"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume","CMA.Adjusted"
"2021-07-21",66.160004,69.800003,66.160004,68.389999,1508800,66.075874
"2021-07-22",68.190002,68.279999,66.449997,67.120003,933100,64.848862
"2021-07-23",68,68.800003,66.839996,67.019997,1275200,64.752235
"2021-07-26",67.480003,68.690002,67.330002,67.75,969200,65.457535
"2021-07-27",66.800003,68.110001,66.360001,67.629997,794900,65.341599
"2021-07-28",68.199997,69.169998,66.889999,68.400002,1297000,66.085548
"2021-07-29",69.139999,69.919998,68.540001,69.389999,1470100,67.042046
"2021-07-30",68.959999,70.190002,68.260002,68.660004,1352100,66.336754
"2021-08-02",69.150002,70.720001,67.629997,67.660004,1595000,65.37059
"2021-08-03",68.089996,69.580002,66.5,69.370003,1101600,67.022728
"2021-08-04",68.129997,69.849998,67.919998,68.720001,1072500,66.394722
"2021-08-05",69.400002,70.440002,69.389999,70.099998,1182900,67.728027
"2021-08-06",71.93,73.18,71.220001,72.25,1210400,69.805267
"2021-08-09",71.720001,72.809998,71.120003,71.989998,1083800,69.55407
"2021-08-10",71.720001,73.580002,71.720001,73.379997,926400,70.897026
"2021-08-11",73.629997,75.150002,72.709999,74.889999,1338900,72.355942
"2021-08-12",75.029999,75.519997,74.43,75.5,1094300,72.945305
"2021-08-13",75.730003,75.93,74.510002,74.949997,845700,72.41391
"2021-08-16",74.209999,74.75,73.199997,74.160004,1166000,71.65065
"2021-08-17",73.309998,73.910004,71.669998,72.510002,1405600,70.056473
"2021-08-18",72.07,73.529999,71.629997,71.870003,1192400,69.438133
"2021-08-19",70.82,71.790001,70.309998,70.910004,1234000,68.510612
"2021-08-20",70.699997,71.5,70.339996,71.279999,1357400,68.868088
"2021-08-23",71.860001,73.040001,71.790001,72.559998,1160000,70.104782
"2021-08-24",72.699997,73.809998,72.669998,73.650002,1221200,71.157898
"2021-08-25",74.339996,76.010002,73.790001,75.220001,1205000,72.674782
"2021-08-26",75.669998,75.769997,73.949997,74.07,1211500,71.56369
"2021-08-27",74.220001,75.949997,74.129997,75.629997,1371500,73.0709
"2021-08-30",75.870003,75.870003,73.510002,73.529999,1353300,71.041962
"2021-08-31",73.800003,74.830002,73.300003,73.910004,1497000,71.409111
"2021-09-01",73.889999,73.959999,71.730003,72.470001,2447400,70.01783
"2021-09-02",72.5,73.370003,71.970001,72.730003,1240900,70.269035
"2021-09-03",72.860001,73.18,71.830002,72.309998,1202100,69.863243
"2021-09-07",72.889999,73.900002,72.699997,72.860001,1591000,70.39463
"2021-09-08",72.57,73.160004,72.040001,72.110001,982000,69.670006
"2021-09-09",71.949997,74.050003,71.57,73.120003,2007400,70.645836
"2021-09-10",73.519997,74.110001,72.239998,72.800003,1436700,70.33667
"2021-09-13",73.68,74.309998,72.639999,74.190002,1881800,71.679626
"2021-09-14",73.68,74.010002,71.25,71.510002,1920900,69.729431
"2021-09-15",71.769997,73.769997,71.769997,73.269997,1613100,71.445595
"2021-09-16",73.879997,74.860001,73.419998,73.760002,1500100,71.923401
"2021-09-17",73.800003,74.739998,73.449997,74.07,3550100,72.225685
"2021-09-20",71.699997,72.07,70.370003,71.970001,1586500,70.177979
"2021-09-21",72.5,72.730003,70.809998,71.32,932500,69.544159
"2021-09-22",72.419998,74.720001,72.050003,73.57,1896300,71.738136
"2021-09-23",74.669998,78.019997,74.43,77.169998,2016400,75.248497
"2021-09-24",77.209999,79.510002,77.019997,78.440002,1269700,76.486877
"2021-09-27",79.919998,82.419998,79.830002,81.919998,1912300,79.880219
"2021-09-28",82.620003,82.760002,81.300003,81.599998,1306800,79.568184
"2021-09-29",81.980003,83.029999,81.300003,82.519997,1367600,80.465279
"2021-09-30",82.940002,82.940002,80.5,80.5,1642000,78.495575
"2021-10-01",80.910004,83.300003,80.629997,82.57,1474700,80.514038
"2021-10-04",82.57,84.269997,82.190002,82.970001,1130100,80.904076
"2021-10-05",84.75,84.830002,83.279999,84.089996,1499500,81.996185
"2021-10-06",83.550003,84.059998,81.589996,83.870003,1191300,81.78167
"2021-10-07",84.830002,85.150002,83.68,84.150002,792200,82.054688
"2021-10-08",83.879997,85.080002,83.519997,84.230003,946600,82.132706
"2021-10-11",84.690002,85.349998,83.410004,83.470001,892900,81.391632
"2021-10-12",83.050003,83.879997,82.730003,83.650002,757400,81.567139
"2021-10-13",83.650002,83.720001,81.209999,82.43,1160900,80.377525
"2021-10-14",83.550003,83.550003,81.980003,82.449997,1277900,80.397011
"2021-10-15",83.089996,83.720001,81.989998,83,1275200,80.933327
"2021-10-18",82.940002,84.459999,82.559998,83.800003,706900,81.713417
"2021-10-19",83.959999,84.519997,83.269997,84.040001,1100200,81.947433
"2021-10-20",83.510002,88.059998,83.269997,86.93,2257500,84.76548
"2021-10-21",87.230003,87.599998,85.959999,86.68,1202400,84.521698
"2021-10-22",87.379997,88.739998,87.18,88.389999,1071300,86.189117
"2021-10-25",88.75,89.040001,88.160004,88.709999,731500,86.501152
"2021-10-26",88.93,89.209999,87.529999,87.620003,1088800,85.438293
"2021-10-27",86.559998,87.279999,84.620003,84.68,1024700,82.571503
"2021-10-28",85.029999,85.830002,84.5,85.720001,769100,83.585609
"2021-10-29",85.910004,86.129997,84.949997,85.089996,721400,82.971283
"2021-11-01",86.110001,87.610001,85.730003,87.269997,887000,85.097008
"2021-11-02",87.269997,87.989998,86.639999,87.209999,711300,85.038498
"2021-11-03",86.75,89.970001,86.580002,89.699997,1005100,87.466499
"2021-11-04",89.150002,89.150002,86.510002,87.660004,788800,85.477303
"2021-11-05",88.75,89.120003,86.730003,87.550003,675900,85.370041
"2021-11-08",88.349998,88.949997,87.260002,87.900002,768400,85.711319
"2021-11-09",86.970001,87.620003,85.900002,87.550003,1081200,85.370041
"2021-11-10",87.779999,88.769997,87.660004,88.410004,948300,86.208626
"2021-11-11",88.220001,89.470001,87.879997,89.040001,713600,86.822937
"2021-11-12",88.620003,89.910004,87.860001,88.760002,887600,86.549911
"2021-11-15",89.389999,90.470001,88.739998,89.580002,937900,87.349495
"2021-11-16",89.650002,90.629997,89.050003,89.910004,951300,87.67128
"2021-11-17",89.580002,90,88.540001,89.110001,654200,86.89119
"2021-11-18",88.940002,89.669998,88.110001,89.309998,751900,87.086205
"2021-11-19",87.870003,88.699997,86.110001,87.93,757200,85.740578
"2021-11-22",89.57,90.360001,88.720001,89.279999,883800,87.056953
"2021-11-23",90.110001,90.730003,89.620003,90.57,927200,88.314842
"2021-11-24",90.57,91.620003,89.879997,90.510002,661900,88.256332
"2021-11-26",86.339996,86.339996,83.540001,85.260002,912700,83.137054
"2021-11-29",86.809998,87.510002,84.620003,85.32,1173200,83.195557
"2021-11-30",83.190002,84.480003,82.290001,82.529999,1733800,80.475029
"2021-12-01",84.779999,85.470001,80.620003,80.650002,1627300,78.641846
"2021-12-02",81.650002,85,81.220001,84.620003,1644400,82.512993
"2021-12-03",84.730003,85.099998,80.82,81.910004,1509800,79.870476
"2021-12-06",84.360001,85.169998,82.959999,83.760002,1575400,81.674408
"2021-12-07",84.57,86.209999,84.199997,85.559998,1209400,83.429588
"2021-12-08",85.860001,85.870003,84.260002,84.580002,1142900,82.473991
"2021-12-09",84.279999,84.75,83.370003,83.839996,926800,81.752411
"2021-12-10",85.339996,85.339996,82.639999,84.529999,1246700,82.425232
"2021-12-13",83.830002,84.209999,81.690002,81.949997,1596000,79.90947
"2021-12-14",81.919998,84.169998,81.629997,83.730003,1811200,82.328293
"2021-12-15",84.699997,85.849998,83.050003,85.07,1637200,83.645859
"2021-12-16",86.25,88.410004,85.559998,87.110001,2171200,85.651711
"2021-12-17",86.110001,86.440002,83.660004,83.739998,4406600,82.33812
"2021-12-20",82.57,82.57,79.989998,81.889999,1197000,80.519089
"2021-12-21",83.760002,84.949997,83.489998,84.790001,1166400,83.370544
"2021-12-22",84.559998,85.199997,83.839996,84.940002,924000,83.518044
"2021-12-23",85.610001,86.760002,85.220001,85.300003,724800,83.872009
"2021-12-27",85.449997,86.629997,84.620003,86.599998,603000,85.150246
"2021-12-28",86.519997,87.470001,86.510002,86.720001,529400,85.268242
"2021-12-29",86.75,88.089996,86.339996,87.589996,670000,86.123672
"2021-12-30",87.739998,88.760002,86.949997,87.019997,659300,85.56321
"2021-12-31",86.519997,87.519997,86.449997,87,575300,85.543549
"2022-01-03",88.32,90.18,88.040001,88.610001,1385300,87.126595
"2022-01-04",90.330002,92.949997,90.040001,92.400002,1640900,90.853149
"2022-01-05",93.010002,94.400002,92.120003,92.339996,1117700,90.794151
"2022-01-06",94.5,96.830002,93.849998,96.489998,1512800,94.87468
"2022-01-07",94.830002,97.300003,94.809998,97.07,1432300,95.444969
