"","ZION.Open","ZION.High","ZION.Low","ZION.Close","ZION.Volume","ZION.Adjusted"
"2021-09-09",56.41,58.290001,56.23,57.560001,1433300,56.538647
"2021-09-10",57.799999,58.290001,57.16,57.380001,1281400,56.361839
"2021-09-13",58.119999,58.77,57.560001,58.310001,1264000,57.275341
"2021-09-14",58.34,58.939999,56.66,56.860001,1374400,55.851067
"2021-09-15",58.009998,58.290001,57.02,57.98,1262300,56.951195
"2021-09-16",58.27,58.759998,57.540001,57.700001,996300,56.676159
"2021-09-17",57.490002,58.310001,56.830002,57.09,2383800,56.076984
"2021-09-20",55.349998,55.75,54.369999,55.669998,1411900,54.682182
"2021-09-21",56.919998,56.919998,54.990002,55.369999,1198500,54.387505
"2021-09-22",56.099998,57.639999,56.099998,56.91,1457000,55.900177
"2021-09-23",57.52,60.02,57.52,59.360001,1789100,58.306705
"2021-09-24",59.18,60.66,59.18,60.25,981200,59.180916
"2021-09-27",61.060001,63.139999,61.060001,62.889999,1362900,61.774071
"2021-09-28",63.040001,63.48,62.389999,62.740002,1128400,61.626732
"2021-09-29",62.73,63.970001,62.419998,63.740002,1425200,62.60899
"2021-09-30",64,64,61.720001,61.889999,1462600,60.791813
"2021-10-01",62.200001,64.110001,62.049999,63.650002,1270700,62.520588
"2021-10-04",63.48,64.43,63.439999,63.799999,1170700,62.667919
"2021-10-05",64.459999,64.650002,63.290001,63.459999,1380400,62.333958
"2021-10-06",62.98,63.049999,61.25,62.799999,1084600,61.685665
"2021-10-07",63.369999,63.84,62.66,63.07,1060700,61.950878
"2021-10-08",62.93,63.91,62.84,63.470001,679600,62.343777
"2021-10-11",64.080002,64.410004,62.400002,62.439999,800900,61.33205
"2021-10-12",62.18,62.779999,61.779999,62.709999,1083000,61.597263
"2021-10-13",62.740002,62.740002,60.650002,62.139999,970600,61.037376
"2021-10-14",62.970001,63.02,62.040001,62.639999,904600,61.528503
"2021-10-15",63.43,63.59,62.040001,62.139999,1473800,61.037376
"2021-10-18",61.950001,63.189999,61.950001,62.23,1288200,61.125782
"2021-10-19",61.41,63.330002,60.48,63.25,2185200,62.127682
"2021-10-20",62.84,65.129997,62.740002,65.099998,1518300,63.944851
"2021-10-21",65.010002,65.290001,63.330002,64.57,988500,63.424263
"2021-10-22",64.870003,66.639999,64.709999,66.389999,1524100,65.21196
"2021-10-25",66.889999,66.989998,65.559998,66.120003,1144200,64.946754
"2021-10-26",66.309998,66.589996,65.230003,65.290001,1004100,64.131477
