"","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2021-04-27",173.089996,174.539993,171.539993,173.800003,992900,170.594269
"2021-04-28",174.479996,175.279999,173.139999,174.360001,560300,171.143936
"2021-04-29",174.789993,176,173.979996,175.589996,600300,172.351227
"2021-04-30",174.759995,175.490005,173.029999,173.830002,1288100,170.623703
"2021-05-03",175.320007,175.740005,173.479996,174.75,675600,171.526749
"2021-05-04",174.139999,175.220001,172.809998,174.720001,971000,171.497299
"2021-05-05",175.190002,180.100006,175.190002,178.720001,1680300,175.423508
"2021-05-06",180.160004,181.929993,178.809998,181.919998,988100,178.564484
"2021-05-07",181.169998,183.919998,180.009995,183.679993,1049600,180.292023
"2021-05-10",184.529999,187.979996,184.009995,186.660004,1174400,183.217041
"2021-05-11",183.509995,184.669998,181.029999,182.75,1228400,179.379196
"2021-05-12",182.429993,182.710007,178.070007,178.619995,1245900,175.325363
"2021-05-13",178.149994,183.110001,178.149994,182.110001,910700,178.750977
"2021-05-14",184.210007,185.350006,182.970001,184.199997,829800,180.802444
"2021-05-17",184,184.970001,181.960007,183.539993,745800,180.154602
"2021-05-18",183.869995,183.869995,179.089996,179.240005,1135500,175.933929
"2021-05-19",177.389999,178.610001,174.050003,178.369995,1321400,175.079956
"2021-05-20",178.990005,181.160004,177.970001,180.449997,810200,177.121597
"2021-05-21",181.460007,183.369995,181.139999,182.089996,688300,178.731339
"2021-05-24",183.429993,183.649994,181.699997,182.100006,773800,178.741165
"2021-05-25",182.100006,183.960007,181.839996,182.600006,817300,179.231964
"2021-05-26",182.990005,183.649994,181.770004,183.550003,921000,180.164429
"2021-05-27",185.529999,186.020004,183.770004,185.800003,1116700,182.37294
"2021-05-28",186.860001,187,185.220001,186.399994,1039500,182.961853
"2021-06-01",188.449997,189.929993,186.210007,187.539993,978800,184.080811
"2021-06-02",186.710007,187.660004,184.789993,185.110001,779000,181.695633
"2021-06-03",183.800003,184.050003,181.100006,183.360001,961800,180.553391
"2021-06-04",183.279999,183.970001,180.690002,181.639999,1280800,178.859741
"2021-06-07",182,182.869995,181.009995,182.070007,1172500,179.283157
"2021-06-08",182.860001,184.110001,181.449997,183.899994,930800,181.085129
"2021-06-09",183.25,183.770004,181.399994,182.289993,952600,179.499786
"2021-06-10",183.550003,184.949997,182.419998,183.690002,1040300,180.878357
"2021-06-11",184.509995,185.270004,183.509995,185.229996,973400,182.394775
"2021-06-14",184.679993,185.179993,181.460007,182.610001,1046400,179.814896
"2021-06-15",183.059998,184.990005,182.869995,184.259995,946700,181.439621
"2021-06-16",183.479996,183.929993,181.199997,182.350006,958700,179.558853
"2021-06-17",182.460007,183.360001,176.889999,180,1217200,177.244812
"2021-06-18",177.149994,178.460007,172.080002,173.410004,3125300,170.755707
"2021-06-21",175.110001,179.929993,174.820007,179.559998,1225900,176.811569
"2021-06-22",180.320007,181.210007,178.929993,180.119995,877100,177.363007
"2021-06-23",180.789993,180.910004,179.309998,179.729996,846300,176.978958
"2021-06-24",180.690002,180.729996,179.100006,179.839996,927800,177.08728
"2021-06-25",180.039993,182.639999,177.899994,180,4609000,177.244812
"2021-06-28",181.369995,183.179993,180.199997,182.740005,1088100,179.942902
"2021-06-29",184.410004,186.889999,182.630005,182.830002,1014900,180.031525
"2021-06-30",182.369995,184.660004,181.830002,184.139999,1096400,181.321457
"2021-07-01",185.25,186.380005,184.460007,186.199997,988600,183.349915
"2021-07-02",185.970001,187.720001,185.779999,187.300003,735800,184.433105
"2021-07-06",188.410004,188.410004,183.009995,184.979996,1545600,182.148605
"2021-07-07",184.630005,189.75,184.630005,189.649994,1040200,186.747116
"2021-07-08",186.5,188.669998,185.710007,187.240005,1179100,184.374008
"2021-07-09",189.130005,190.979996,188.929993,190.320007,1138900,187.406891
"2021-07-12",190.279999,193.25,189.289993,192.770004,937700,189.819366
"2021-07-13",192.220001,192.759995,190.740005,191.190002,898300,188.263565
"2021-07-14",192.059998,193.229996,190.520004,190.940002,931600,188.01738
"2021-07-15",189.910004,192.490005,189.910004,192.190002,905000,189.248245
"2021-07-16",193.380005,193.669998,191.759995,192.259995,1090700,189.317184
"2021-07-19",189.279999,190.529999,188.070007,189.649994,1104800,186.747116
"2021-07-20",189.929993,197.429993,189.669998,196.479996,1335000,193.47258
"2021-07-21",197.5,198.949997,197.130005,198.669998,730500,195.629059
"2021-07-22",199.679993,199.949997,197.539993,198.649994,768100,195.60936
"2021-07-23",200,202.210007,199.669998,201.449997,765500,198.366501
"2021-07-26",200.899994,201.470001,198.679993,199.75,797800,196.69252
"2021-07-27",198.610001,201.970001,198.259995,200.770004,936200,197.696915
"2021-07-28",200.710007,201.860001,198.199997,198.229996,1214000,195.195786
"2021-07-29",200.110001,202.970001,199.020004,202.610001,1225500,199.508743
"2021-07-30",201.619995,203.759995,200.360001,203.610001,1043200,200.493439
"2021-08-02",204,205.880005,201.059998,201.169998,1045200,198.09079
"2021-08-03",202.460007,207.059998,201.229996,206.559998,1192100,203.398285
"2021-08-04",200,202.649994,197.759995,200.279999,1346300,197.214417
"2021-08-05",201.300003,202.160004,195.119995,195.429993,1443400,192.438644
"2021-08-06",196.350006,197.919998,194.710007,197,825600,193.984619
"2021-08-09",192.990005,195.039993,192.179993,193.899994,1808600,190.932068
"2021-08-10",193.669998,193.899994,191.070007,192.220001,1592900,189.277786
"2021-08-11",193.509995,193.979996,191.889999,193.330002,1056000,190.370804
"2021-08-12",193.800003,194.149994,190.940002,191.809998,884900,188.874069
"2021-08-13",192,192.399994,190.070007,191.179993,741900,188.253723
"2021-08-16",190.729996,195.259995,189.830002,195.199997,832400,192.212173
"2021-08-17",193.610001,193.949997,191.089996,193.630005,839800,190.666214
"2021-08-18",192.729996,194.669998,192.270004,192.300003,1022100,189.356567
"2021-08-19",190.300003,195.270004,189.75,193.949997,808500,190.981293
"2021-08-20",194.210007,194.710007,192.660004,193.410004,815800,190.44957
"2021-08-23",195.039993,195.380005,192.899994,194.479996,647800,191.503204
"2021-08-24",194.660004,196.880005,194.559998,196.589996,641100,193.580887
"2021-08-25",197.429993,201.699997,197.160004,199.449997,1383500,196.397125
"2021-08-26",199,200.100006,197.940002,199.240005,645300,196.190338
"2021-08-27",200.649994,201.199997,198.729996,198.779999,920700,195.737381
