"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2021-08-03",222.199997,227.149994,220.589996,224.949997,507200,217.986694
"2021-08-04",224.059998,225.940002,220.610001,220.720001,384700,213.887634
"2021-08-05",222.149994,224.350006,221.050003,221.820007,383900,214.953598
"2021-08-06",222.279999,224.75,220.449997,220.550003,389600,213.7229
"2021-08-09",220.020004,222.949997,219.039993,220.699997,281000,213.86824
"2021-08-10",221.309998,225.559998,220.449997,223.059998,563800,216.155197
"2021-08-11",222.899994,230.059998,222.440002,229.539993,651200,222.434601
"2021-08-12",230.070007,232.320007,228.839996,230.789993,417400,223.645905
"2021-08-13",230.800003,233.330002,230.639999,232.5,413400,225.302979
"2021-08-16",231.940002,234.289993,228.970001,232.860001,353200,225.651825
"2021-08-17",229.949997,229.949997,221.059998,223.869995,411100,216.940125
"2021-08-18",223.020004,225.330002,220.119995,220.279999,374400,213.461258
"2021-08-19",218.179993,221.729996,216.600006,219.350006,308100,212.560059
"2021-08-20",219.360001,222.690002,218.970001,221.199997,289100,214.352753
"2021-08-23",223.020004,223.020004,219.309998,220.229996,303900,213.412781
"2021-08-24",221.610001,223.039993,219.860001,221.119995,374500,214.275253
"2021-08-25",222.050003,226.889999,222.050003,223.869995,383100,216.940125
"2021-08-26",222.740005,223,220.220001,221.100006,250800,215.604187
"2021-08-27",221.979996,227.339996,221.919998,225.940002,354600,220.323868
"2021-08-30",227.179993,227.580002,223.910004,223.919998,436300,218.35408
"2021-08-31",224.279999,224.309998,220.449997,221.529999,566500,216.023468
"2021-09-01",221.550003,224.899994,220.860001,223.720001,580200,218.159058
"2021-09-02",224.449997,227.559998,223.139999,226.429993,562200,220.801682
"2021-09-03",226.089996,227.770004,224.240005,225.869995,421800,220.2556
"2021-09-07",224.5,225.679993,217.229996,217.449997,612100,212.044891
"2021-09-08",216.600006,217.139999,213.259995,216.130005,590800,210.757706
"2021-09-09",216.979996,219.630005,215.690002,217.240005,560400,211.840118
"2021-09-10",217.860001,219.470001,215.460007,215.740005,668800,210.377411
"2021-09-13",217.5,220,216,218.669998,754800,213.234573
"2021-09-14",219.800003,220.009995,215.800003,216.240005,652800,210.864975
"2021-09-15",215.630005,219.119995,214.429993,217.270004,658100,211.86937
"2021-09-16",216.029999,217.220001,212.449997,212.690002,531700,207.403198
"2021-09-17",211.690002,213.190002,208.630005,210.630005,976600,205.394424
"2021-09-20",206.009995,209.850006,204.919998,209.050003,628900,203.853683
"2021-09-21",210.699997,211.029999,205,205.649994,472900,200.538208
"2021-09-22",207.940002,208.869995,206.809998,207.369995,563000,202.215454
"2021-09-23",209.720001,212.350006,208.5,209.020004,548800,203.824448
"2021-09-24",209.130005,211.399994,208.720001,210.160004,442200,204.936111
"2021-09-27",210.089996,214.809998,210.089996,212.130005,416700,206.857132
"2021-09-28",211.399994,213.539993,208.779999,210.509995,420100,205.27739
"2021-09-29",211.979996,212.800003,210.919998,211.630005,322300,206.369568
"2021-09-30",212.539993,212.550003,203.729996,203.860001,812100,198.792709
"2021-10-01",205.210007,206.339996,201.059998,205.210007,588200,200.109146
"2021-10-04",204.600006,210.020004,204.600006,205.330002,728100,200.226181
"2021-10-05",204.550003,207.610001,202.919998,203.949997,616200,198.880463
"2021-10-06",203.399994,204.380005,196.960007,201.029999,933300,196.033035
"2021-10-07",203.770004,208.779999,203.75,204.940002,609200,199.84584
"2021-10-08",205.449997,206,198.580002,198.770004,708100,193.829239
"2021-10-11",198.720001,201.279999,196.820007,198.440002,586800,193.507431
"2021-10-12",198.300003,200.990005,196.649994,199.679993,571200,194.716599
"2021-10-13",200.729996,200.729996,196.75,198.25,727600,193.322144
"2021-10-14",199.660004,205.220001,199.059998,204.690002,812000,199.602066
"2021-10-15",207,210.429993,206.050003,206.720001,579600,201.581604
"2021-10-18",205,207.119995,203.800003,206.630005,467300,201.493851
"2021-10-19",207.880005,207.880005,205.539993,205.639999,535600,200.528473
"2021-10-20",205.639999,210.110001,205.639999,209.240005,651100,204.038971
"2021-10-21",207.660004,209.580002,206.029999,207.899994,1136100,202.732269
"2021-10-22",200.820007,215.630005,200.100006,213.440002,2383500,208.134567
"2021-10-25",208.279999,212.979996,208.100006,208.369995,1244600,203.190598
"2021-10-26",210,210.539993,204.630005,206,790700,200.879517
"2021-10-27",206.559998,208.380005,201.710007,202.100006,814200,197.076462
"2021-10-28",203.419998,210.639999,202.559998,210.179993,698500,204.955597
"2021-10-29",210.610001,213.610001,209.600006,210.830002,728700,205.589447
"2021-11-01",211.669998,215.259995,210.860001,214.460007,607900,209.129227
"2021-11-02",214.559998,216.259995,212.100006,215.449997,618300,210.094604
"2021-11-03",216.309998,222.559998,215,218.070007,882400,212.64949
"2021-11-04",218.759995,221.990005,216.460007,218.179993,496000,212.756744
"2021-11-05",220.210007,222.279999,217.070007,218.139999,510300,212.717758
"2021-11-08",218.119995,219.839996,216.410004,218.600006,408800,213.166321
"2021-11-09",218.199997,222.089996,218.100006,221.059998,429200,215.565155
"2021-11-10",220.559998,223.740005,220.149994,221.110001,524500,215.613922
"2021-11-11",221.600006,227.110001,220.440002,225,590100,219.407227
"2021-11-12",226.029999,233.600006,225.559998,232.169998,780700,226.399017
"2021-11-15",233.369995,237.779999,232.860001,234.479996,684900,228.651581
"2021-11-16",234.630005,237.190002,233.199997,235.220001,553400,229.373199
"2021-11-17",234.699997,235.320007,231.169998,232.919998,399300,227.130371
"2021-11-18",233.139999,233.139999,228.429993,229.610001,493700,225.256577
"2021-11-19",230.110001,232.820007,229,229.289993,404200,224.942627
"2021-11-22",230.119995,233.240005,229.080002,230.619995,413100,226.247421
"2021-11-23",230.809998,232.429993,228.809998,231.270004,337700,226.885117
"2021-11-24",229.919998,233,228.070007,231.259995,318200,226.87529
"2021-11-26",223.800003,227.179993,223.600006,226,331700,221.715027
"2021-11-29",227,227.800003,222.229996,222.779999,360600,218.556076
"2021-11-30",220.869995,221.770004,216.800003,217.740005,902400,213.611649
"2021-12-01",220.130005,226.029999,216.179993,216.380005,641300,212.277435
"2021-12-02",218.410004,225.050003,217.949997,222,594400,217.790863
"2021-12-03",221.630005,224.360001,221.050003,223.039993,698900,218.811142
"2021-12-06",226.100006,230.080002,225.179993,228.110001,531300,223.785019
"2021-12-07",230.5,231.440002,228.479996,229.610001,345900,225.256577
"2021-12-08",230.649994,231.679993,227.179993,227.949997,709800,223.628052
"2021-12-09",226.639999,229.320007,225.869995,226.039993,529700,221.754257
"2021-12-10",228.039993,230.559998,226.910004,230.029999,553500,225.66861
"2021-12-13",230.699997,231.460007,225.570007,228.199997,584500,223.873306
"2021-12-14",227.809998,233.369995,226.539993,232.020004,901900,227.620895
"2021-12-15",231.539993,238.380005,230.570007,237.860001,778800,233.350159
"2021-12-16",238.5,241.619995,238.100006,238.279999,811700,233.762192
"2021-12-17",239.009995,240.289993,229.660004,230.360001,1568800,225.992355
"2021-12-20",226.860001,227.229996,216.779999,220.169998,806700,215.99556
"2021-12-21",222.070007,222.320007,218.839996,221.380005,412300,217.182632
"2021-12-22",221.070007,225.509995,220.529999,224.330002,284600,220.076691
"2021-12-23",225.649994,228.380005,224.970001,227.270004,261000,222.960953
"2021-12-27",228,230.990005,226.839996,230.619995,213700,226.247421
"2021-12-28",229.990005,232.440002,229.809998,230.729996,385500,226.355347
"2021-12-29",230.070007,234.360001,230.070007,233.080002,275400,228.660797
"2021-12-30",233.410004,235.580002,232.130005,232.580002,231300,228.170273
"2021-12-31",231.949997,235.770004,230.600006,234.660004,296500,230.210846
"2022-01-03",235.690002,237.589996,229.389999,232.699997,633200,228.287979
"2022-01-04",234.100006,240.720001,233.860001,239.470001,478700,234.929642
"2022-01-05",240.809998,245.440002,235.039993,235.639999,585000,231.172256
