"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2021-03-08",218.009995,221.589996,216.470001,218.229996,452700,211.718781
"2021-03-09",218.440002,220.639999,216.270004,217.529999,475600,211.039673
"2021-03-10",217.149994,219.350006,216.080002,218.889999,647200,212.3591
"2021-03-11",217.839996,218.940002,214.589996,214.800003,548100,208.391144
"2021-03-12",216.369995,217.699997,214.809998,217.350006,281400,210.865051
"2021-03-15",216.940002,223.100006,216.369995,223.089996,624200,216.433792
"2021-03-16",221.970001,222.070007,218.050003,220.600006,331300,214.018097
"2021-03-17",221.589996,223.009995,218.929993,222.800003,449700,216.152435
"2021-03-18",224.539993,229.139999,223.639999,225.520004,375700,218.79129
"2021-03-19",224.449997,227.389999,220.929993,225.399994,1282900,218.67485
"2021-03-22",225.039993,225.039993,218.889999,220.050003,449700,213.484497
"2021-03-23",218.669998,222.089996,213.990005,215.320007,567400,208.89563
"2021-03-24",217.300003,219.429993,215.350006,215.490005,468800,209.060547
"2021-03-25",215.619995,225.199997,214.25,224.259995,435400,217.568863
"2021-03-26",226.25,229.75,225.350006,229.630005,308700,222.778656
"2021-03-29",230.009995,233.880005,227.029999,227.899994,443000,221.10025
"2021-03-30",227.960007,232.380005,227.960007,232.039993,323800,225.116745
"2021-03-31",231.240005,233.190002,229,230.740005,453600,223.85556
"2021-04-01",230.020004,232.119995,226.850006,231.740005,359900,224.825729
"2021-04-05",234.850006,235.380005,232.419998,234.279999,285700,227.289917
"2021-04-06",234.990005,236.080002,233.110001,233.729996,276500,226.756317
"2021-04-07",233.839996,235.259995,232.460007,235.199997,334700,228.182449
"2021-04-08",234.470001,234.529999,232.289993,234.360001,579600,227.367538
"2021-04-09",236.119995,236.520004,233.179993,235.589996,280600,228.560822
"2021-04-12",235.179993,237.240005,234.389999,236.320007,303300,229.269058
"2021-04-13",235.610001,235.850006,231.860001,232.910004,386000,225.960815
"2021-04-14",233.710007,234.990005,232.929993,233.25,347400,226.290665
"2021-04-15",233.199997,233.600006,230.910004,232.139999,403700,225.213776
"2021-04-16",233.880005,236.270004,232.960007,235.520004,289800,228.492935
"2021-04-19",236.639999,237.539993,233.350006,236.009995,359600,228.968292
"2021-04-20",236.550003,238.100006,231.820007,234.570007,506900,227.571289
"2021-04-21",234.059998,237.820007,233.929993,236.990005,405900,229.919067
"2021-04-22",237.850006,242.130005,235.009995,240.229996,862500,233.062393
"2021-04-23",242.179993,242.179993,238.479996,238.690002,477200,231.568344
