"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume","AEE.Adjusted"
"2021-01-07",76.620003,76.790001,73.989998,74.239998,2153800,71.365234
"2021-01-08",74.300003,75.129997,74.099998,75,1552700,72.09581
"2021-01-11",74.910004,75.330002,74.370003,75.040001,2480400,72.134262
"2021-01-12",74.870003,75.209999,73.400002,74.239998,1456500,71.365234
"2021-01-13",74.440002,75.760002,74.290001,75.5,1879800,72.576447
"2021-01-14",75.690002,75.690002,73.029999,73.989998,1764500,71.124924
"2021-01-15",73.900002,74.779999,73.419998,74.389999,1240100,71.50943
"2021-01-19",74.480003,74.480003,72.769997,72.989998,2451700,70.163635
"2021-01-20",72.389999,72.860001,71.849998,72.540001,2273300,69.731064
"2021-01-21",72.32,72.709999,71.620003,71.739998,2416600,68.962051
"2021-01-22",71.660004,73.099998,71.010002,72.879997,2680500,70.057892
"2021-01-25",72.32,75.150002,72.120003,75.080002,2551600,72.172707
"2021-01-26",74.849998,75.68,73.660004,75.209999,1224100,72.297684
"2021-01-27",74.370003,76.410004,74.050003,75.089996,1505600,72.182327
"2021-01-28",75.120003,76.169998,73.910004,73.910004,1650000,71.048019
"2021-01-29",73.459999,73.849998,72.480003,72.720001,1744200,69.904099
"2021-02-01",72.949997,73.699997,72.440002,72.839996,1365200,70.019447
"2021-02-02",72.839996,74.529999,72.199997,72.769997,908500,69.952164
"2021-02-03",72.769997,73.260002,72.389999,72.739998,748400,69.923325
"2021-02-04",72.629997,74.360001,72.260002,73.93,1453400,71.067245
"2021-02-05",74.209999,74.860001,73.849998,74.199997,1243500,71.326782
"2021-02-08",74.290001,74.449997,72.260002,72.589996,1637200,69.779129
"2021-02-09",73.190002,73.5,72.349998,73.260002,777300,70.423195
"2021-02-10",73.739998,74.25,73.169998,73.440002,1720000,70.596207
"2021-02-11",73.529999,73.809998,72.230003,72.559998,1492400,69.750282
"2021-02-12",72.330002,73.410004,71.910004,73.279999,1247300,70.442421
"2021-02-16",73.209999,73.639999,71.82,72.660004,1660400,69.846428
"2021-02-17",72.980003,73.599998,72.290001,73.300003,1487200,70.461647
"2021-02-18",73.239998,74.620003,73,74.089996,1436900,71.221046
"2021-02-19",74.089996,74.150002,72.260002,72.330002,1813700,69.529213
"2021-02-22",72.370003,72.5,69.790001,71,2226300,68.250702
"2021-02-23",71.589996,72.790001,71.220001,71.860001,1780900,69.0774
"2021-02-24",71.57,72.010002,71.040001,71.400002,1146000,68.635201
"2021-02-25",71.209999,72.07,71.209999,71.410004,1292400,68.644821
"2021-02-26",71.529999,72.639999,70.25,70.269997,2361100,67.548965
"2021-03-01",70.940002,72.050003,70.889999,71.489998,1438300,68.721725
"2021-03-02",71.75,72.169998,70.849998,71.910004,1422800,69.125473
"2021-03-03",71.599998,71.709999,70.43,71.129997,1562900,68.375664
"2021-03-04",71.32,72.660004,70.900002,71.18,1403600,68.423737
"2021-03-05",71.449997,73.309998,71.309998,72.860001,1557800,70.038681
"2021-03-08",73.129997,74.949997,72.879997,74.190002,1387900,71.317177
"2021-03-09",73.610001,75.07,73.610001,74.720001,2840900,72.363106
"2021-03-10",75.029999,76.290001,74.830002,76.190002,3511700,73.786736
"2021-03-11",76.089996,76.669998,75.860001,76.07,3332500,73.670525
"2021-03-12",76.360001,78,76,77.300003,1597800,74.861732
"2021-03-15",77.550003,78.860001,77.32,78.82,1596500,76.333786
"2021-03-16",78.43,79.18,78.269997,78.489998,1439500,76.014191
"2021-03-17",78.849998,79.040001,78.019997,78.110001,1335100,75.646179
"2021-03-18",78.230003,78.860001,77.550003,78.540001,1360900,76.062614
"2021-03-19",78.629997,79.230003,77.970001,78.800003,3001500,76.314415
"2021-03-22",78.550003,78.839996,77.690002,77.970001,1727600,75.510597
"2021-03-23",78.080002,80.199997,77.68,79.980003,999300,77.457199
"2021-03-24",79.389999,81.32,79.169998,80.989998,1568000,78.435333
"2021-03-25",81.400002,82.440002,80.760002,81.589996,913200,79.016396
"2021-03-26",81.43,81.860001,80.330002,81.459999,1625700,78.890511
"2021-03-29",81.489998,83.18,81.309998,82.669998,915700,80.062347
"2021-03-30",81.970001,82.459999,80.800003,81.330002,1064600,78.76461
"2021-03-31",81.129997,81.610001,80.809998,81.360001,1388000,78.793663
"2021-04-01",80.57,81.43,80.309998,81.029999,1111900,78.474075
"2021-04-05",80.959999,82.389999,80.959999,81.489998,1385600,78.919563
"2021-04-06",81.290001,81.769997,80.75,81.5,1011000,78.929245
"2021-04-07",81.580002,81.900002,80.830002,81.300003,1239100,78.735558
"2021-04-08",81.510002,81.809998,80.93,81.110001,1395200,78.551552
"2021-04-09",81.099998,81.480003,80.269997,80.529999,1371800,77.989845
"2021-04-12",80.860001,81.559998,80.389999,80.720001,1664100,78.173859
"2021-04-13",81.419998,82.449997,80.839996,82.279999,1432100,79.684647
"2021-04-14",81.769997,82.669998,81.760002,82.620003,1279400,80.013924
"2021-04-15",82.800003,83.75,82.800003,83.580002,1289600,80.943634
"2021-04-16",83.949997,84.660004,83.699997,84.239998,1306900,81.582825
"2021-04-19",84.43,84.489998,83.629997,83.790001,1319800,81.147018
"2021-04-20",84.07,86.169998,83.370003,85.889999,1364500,83.180779
"2021-04-21",86.160004,86.559998,85.029999,85.080002,1034600,82.396332
"2021-04-22",84.910004,85.269997,84.080002,84.809998,1308200,82.134842
"2021-04-23",84.779999,85.190002,84.32,84.779999,962200,82.105782
"2021-04-26",84.940002,85,84.150002,84.199997,808000,81.544083
"2021-04-27",84.019997,84.150002,83.43,83.449997,735900,80.817741
"2021-04-28",83.760002,83.910004,83.300003,83.650002,630500,81.011429
"2021-04-29",83.690002,84.510002,83.690002,84.139999,1007800,81.48597
"2021-04-30",84.440002,84.949997,83.809998,84.839996,1347900,82.163887
"2021-05-03",84.940002,85.779999,84.620003,85.160004,1179800,82.473801
"2021-05-04",85.290001,85.559998,84.639999,85.190002,1082400,82.502861
"2021-05-05",85.120003,85.120003,83.470001,84.349998,908000,81.689354
"2021-05-06",84.669998,85.25,84.269997,85.150002,970600,82.464119
"2021-05-07",85.010002,86,84.809998,84.980003,1198900,82.299484
"2021-05-10",85.220001,86.779999,85.160004,85.839996,983600,83.132347
"2021-05-11",85.839996,86.07,82.510002,83.389999,1895000,80.759636
"2021-05-12",83.620003,83.889999,82.309998,82.43,1244200,79.82991
"2021-05-13",82.209999,83.830002,82.099998,83.510002,959400,80.875839
"2021-05-14",83.720001,84.730003,83.629997,83.699997,759800,81.059853
"2021-05-17",83.809998,84.410004,83.300003,83.400002,954600,80.769325
"2021-05-18",83.220001,84.269997,83.089996,83.93,1784100,81.2826
"2021-05-19",83.870003,84.309998,83.18,84.209999,1251800,81.553764
"2021-05-20",84.370003,85.190002,84.300003,84.5,1392200,81.834618
"2021-05-21",84.550003,85.160004,84.269997,85.110001,3299100,82.425385
"2021-05-24",85.339996,85.790001,84.599998,84.660004,1977900,81.989586
"2021-05-25",84.660004,84.68,83.230003,83.720001,1278000,81.079224
"2021-05-26",83.769997,84.309998,83.440002,83.940002,1200600,81.292274
"2021-05-27",84.050003,84.169998,83.489998,83.669998,2156100,81.0308
"2021-05-28",84,84.440002,83.839996,84.199997,1437800,81.544083
"2021-06-01",84.550003,84.610001,83.599998,84.18,1791200,81.524712
"2021-06-02",84.279999,85.639999,83.870003,85.220001,1320400,82.531906
"2021-06-03",84.849998,85.849998,84.660004,85.559998,1117400,82.861176
"2021-06-04",86.029999,86.209999,85.620003,86.129997,1752700,83.4132
"2021-06-07",86.330002,86.459999,85.949997,86.129997,1437700,83.4132
"2021-06-08",85.5,85.839996,84.389999,84.75,1398400,82.60421
"2021-06-09",84.940002,85.550003,84.699997,85.360001,1195100,83.198776
"2021-06-10",85.279999,86.260002,85.190002,85.849998,1483400,83.676369
"2021-06-11",85.709999,85.830002,85.239998,85.790001,1440800,83.617889
"2021-06-14",85.709999,86.040001,85.110001,85.839996,1227200,83.666611
"2021-06-15",85.889999,86.779999,85.400002,86.139999,2035800,83.95903
"2021-06-16",85.470001,86.309998,83.75,83.910004,2084800,81.785492
"2021-06-17",83.870003,85.019997,83.540001,84.489998,1511000,82.350792
"2021-06-18",83.639999,83.980003,81.93,82.110001,2955200,80.031059
"2021-06-21",82.349998,83.669998,82.209999,83.389999,1173300,81.278648
"2021-06-22",83.07,83.580002,82.510002,82.519997,1486400,80.430672
"2021-06-23",82.489998,82.610001,81.550003,81.690002,1769800,79.621696
"2021-06-24",81.760002,81.849998,80.849998,81.25,1649000,79.192833
"2021-06-25",81.129997,81.779999,81,81.739998,1748000,79.670425
"2021-06-28",81.93,82.599998,81.650002,81.919998,1250800,79.845863
"2021-06-29",81.639999,81.82,79.489998,79.910004,1829800,77.886765
"2021-06-30",79.970001,80.370003,79.349998,80.040001,1370000,78.013466
