"","KEYS.Open","KEYS.High","KEYS.Low","KEYS.Close","KEYS.Volume","KEYS.Adjusted"
"2021-10-21",174.679993,176.539993,173.309998,176.449997,647200,176.449997
"2021-10-22",176.649994,178.800003,175.929993,176.220001,417700,176.220001
"2021-10-25",176.559998,178.345001,175.225006,177.600006,463800,177.600006
"2021-10-26",178.649994,179,176.619995,177.779999,636400,177.779999
"2021-10-27",177.440002,179.490005,176.649994,176.940002,360000,176.940002
"2021-10-28",178,180.300003,177.779999,179.350006,4e+05,179.350006
"2021-10-29",178.259995,180.25,178.070007,180.020004,703600,180.020004
"2021-11-01",180.5,181.679993,179.279999,181.029999,514200,181.029999
"2021-11-02",182,185.410004,181.160004,184.789993,817500,184.789993
"2021-11-03",184.110001,184.720001,181.990005,183.460007,737200,183.460007
"2021-11-04",184,186.100006,183.330002,186.059998,777500,186.059998
"2021-11-05",186.899994,187.779999,183.169998,183.679993,1078000,183.679993
"2021-11-08",185.240005,186.850006,183.600006,186.279999,514400,186.279999
"2021-11-09",186,187.759995,184.889999,185.860001,579700,185.860001
"2021-11-10",184.690002,185.768005,181.929993,183.610001,710200,183.610001
"2021-11-11",184.710007,186.649994,184.020004,185.759995,510300,185.759995
"2021-11-12",186.710007,187,185.160004,186.619995,698700,186.619995
"2021-11-15",187.110001,189.050003,186.089996,188.190002,589300,188.190002
"2021-11-16",187.529999,193.175003,187.520004,192.710007,1148400,192.710007
"2021-11-17",192,194.470001,189.686005,194.350006,1045200,194.350006
"2021-11-18",194.860001,195.703003,191.300003,194.270004,1341100,194.270004
"2021-11-19",195,196.179993,193.550003,194.630005,1160400,194.630005
"2021-11-22",194.160004,197.699997,191.699997,191.940002,1631800,191.940002
"2021-11-23",192.039993,198.589996,190.460007,195.289993,1657000,195.289993
"2021-11-24",195.039993,200.759995,193.509995,199.660004,1779700,199.660004
"2021-11-26",197.669998,199.320007,190.690002,191.369995,809600,191.369995
"2021-11-29",194,198.970001,193.899994,197.740005,1413900,197.740005
"2021-11-30",196.309998,197.835007,193.339996,194.479996,2596000,194.479996
"2021-12-01",197,198.449997,193.449997,193.669998,1346700,193.669998
"2021-12-02",193.5,199.929993,193.070007,198.479996,1199000,198.479996
"2021-12-03",200,201.490005,196.050003,199.229996,1324300,199.229996
"2021-12-06",199.979996,199.979996,192.630005,195.149994,1188700,195.149994
"2021-12-07",199.690002,203.119995,199.330002,202.429993,1424100,202.429993
"2021-12-08",202.440002,204.050003,201.630005,202.190002,954100,202.190002
"2021-12-09",201.75,203.490005,200.080002,200.630005,714300,200.630005
"2021-12-10",200.970001,202.085007,198.929993,201.850006,816300,201.850006
"2021-12-13",202.389999,205.479996,201.25,204.089996,1124900,204.089996
"2021-12-14",203.139999,203.139999,195.330002,197.990005,1270900,197.990005
