"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"2021-04-21",384.049988,392.130005,384.049988,385.670013,262100,382.082947
"2021-04-22",413.089996,426.700012,409.380005,410.459991,849700,406.642334
"2021-04-23",411.279999,424.559998,411.279999,419.529999,348400,415.62793
"2021-04-26",419.579987,419.579987,409,413.25,327400,409.406403
"2021-04-27",416.350006,425,413.559998,421.690002,290700,417.767914
"2021-04-28",418.730011,423.070007,413.910004,415.290009,206200,411.42746
"2021-04-29",423.899994,423.899994,416.01001,421.450012,222000,417.530151
"2021-04-30",421,424.440002,419.140015,422.519989,211700,418.590179
"2021-05-03",425,431.470001,423.519989,428.859985,279000,424.871185
"2021-05-04",428,431.230011,424.5,431.149994,232900,427.139862
"2021-05-05",436.390015,442.899994,432.519989,441.559998,332500,437.453094
"2021-05-06",440.679993,441.890015,428.910004,434.850006,221600,430.805481
"2021-05-07",435.329987,445.209991,435.329987,444.01001,144400,439.88031
"2021-05-10",446.079987,449.440002,442.910004,444.959991,193000,440.821472
"2021-05-11",438.709991,442.049988,433.839996,438.869995,274100,434.788116
"2021-05-12",435.119995,437.350006,418.829987,419.76001,269100,415.855865
"2021-05-13",423.540009,437.48999,422.579987,435.01001,222300,430.96402
"2021-05-14",435.070007,438.869995,433.279999,437.869995,176600,434.596619
"2021-05-17",437.470001,439.980011,431.170013,435.670013,199600,432.413116
"2021-05-18",441.380005,443.850006,426.920013,427.100006,302800,423.907135
"2021-05-19",423.890015,437.769989,419.790009,427.829987,237800,424.631683
"2021-05-20",428.73999,431.910004,425.309998,429.730011,276200,426.517517
"2021-05-21",432.579987,437.5,428.630005,429.25,210400,426.041077
"2021-05-24",431.589996,434,429.25,430.73999,151200,427.519928
"2021-05-25",429.709991,431.76001,426.869995,429.660004,200100,426.447998
"2021-05-26",430.380005,433.940002,426.01001,429.630005,174000,426.418243
"2021-05-27",429.529999,433.190002,426.910004,431.470001,766100,428.244476
"2021-05-28",430.359985,438.570007,430.359985,436.549988,286700,433.286469
"2021-06-01",440.459991,441.850006,435.529999,438.730011,204900,435.450256
"2021-06-02",439.839996,443.100006,437.040009,440.579987,285100,437.286377
"2021-06-03",437.299988,441.640015,435.700012,438.399994,198500,435.122681
"2021-06-04",441.980011,444.429993,430.579987,438.040009,195100,434.765381
"2021-06-07",438.540009,440.75,431.649994,435.549988,157500,432.293976
"2021-06-08",435.880005,440.429993,430.390015,440,168000,436.710724
"2021-06-09",439.630005,440.850006,432.23999,433.619995,148800,430.378448
"2021-06-10",434.570007,435.920013,427.920013,429,182200,425.792999
"2021-06-11",428.350006,432.850006,426.070007,431.619995,161500,428.393372
"2021-06-14",437.26001,437.26001,427.429993,430.959991,179600,427.738312
"2021-06-15",429.519989,434.769989,426.540009,434.410004,168400,431.162506
"2021-06-16",434.679993,437.029999,430,432.519989,208300,429.286591
"2021-06-17",431.440002,438.019989,428.149994,436.529999,224000,433.266663
"2021-06-18",433.799988,444.640015,430.200012,442.019989,443200,438.715607
"2021-06-21",442.399994,464.029999,442.399994,452.899994,476400,449.514313
"2021-06-22",457.519989,463,450.320007,459.76001,279400,456.323059
"2021-06-23",460.970001,462.429993,454.019989,454.899994,192100,451.499298
"2021-06-24",456.950012,460.390015,453.839996,459.029999,223700,455.59845
"2021-06-25",460.73999,462.470001,453.959991,455.769989,299700,452.362793
"2021-06-28",458.109985,459.119995,454.709991,456.540009,222500,453.127106
"2021-06-29",455.700012,470.149994,455.700012,465.040009,371600,461.563538
"2021-06-30",466,467.549988,451.839996,458.660004,431900,455.231232
"2021-07-01",459.549988,462.480011,457.130005,462.049988,193300,458.595886
"2021-07-02",463.649994,468.820007,462.660004,466.829987,202000,463.340149
"2021-07-06",468.049988,468.320007,455.290009,464.529999,223200,461.057343
"2021-07-07",465.329987,472.329987,464.070007,470.320007,283800,466.804077
"2021-07-08",465.459991,474.26001,462.429993,468.769989,357700,465.265656
"2021-07-09",470.480011,476.690002,469.660004,476.23999,249700,472.67981
"2021-07-12",474.25,478.670013,472.149994,475.51001,249800,471.955261
"2021-07-13",474.109985,477.049988,469.690002,470.880005,232200,467.359924
"2021-07-14",472.01001,473.070007,465.480011,468.769989,236600,465.265656
"2021-07-15",466.519989,468.269989,457.549988,459.820007,249200,456.382568
"2021-07-16",461.820007,464.839996,457.880005,458.890015,224100,455.459534
"2021-07-19",453.619995,456.549988,442.709991,453.519989,363900,450.129669
"2021-07-20",454.410004,458.279999,450.670013,452.51001,364300,449.127228
"2021-07-21",455.369995,457.690002,452.619995,457.690002,275200,454.268494
"2021-07-22",450,456.149994,442.890015,450.519989,606400,447.152069
"2021-07-23",454.109985,463.450012,447.019989,462.369995,346700,458.913513
"2021-07-26",462.98999,476.119995,462.98999,466.959991,332100,463.469147
"2021-07-27",467,472.790009,462,471.869995,237500,468.342468
"2021-07-28",471.869995,473.799988,464.920013,467.630005,168500,464.134155
"2021-07-29",469.859985,478.570007,468.179993,477.799988,176500,474.228119
"2021-07-30",472.910004,484.420013,472.190002,477.820007,270800,474.247986
"2021-08-02",479.320007,482.23999,472.01001,476.51001,191800,472.947784
"2021-08-03",478.890015,485.609985,476.619995,480.440002,186200,476.848419
"2021-08-04",480.070007,489.309998,480.070007,486.970001,219500,483.32959
"2021-08-05",486.950012,495.220001,484.269989,486.809998,203800,483.170746
"2021-08-06",487.329987,490.230011,480.119995,481.089996,147900,477.49353
"2021-08-09",480.910004,486.339996,479.130005,485.399994,154600,481.771301
"2021-08-10",485.160004,490.470001,482.019989,484.179993,154900,480.560455
"2021-08-11",485.25,487.190002,479.320007,483.170013,166800,480.351715
"2021-08-12",483.730011,486.880005,481.850006,484.730011,175600,481.902618
"2021-08-13",483.809998,486.769989,482.829987,485.209991,96900,482.379791
"2021-08-16",483.790009,493.910004,479.190002,493.399994,180300,490.522003
"2021-08-17",488.339996,488.630005,477.929993,479.98999,306100,477.190216
"2021-08-18",479.98999,485.429993,474.390015,476.640015,179100,473.859802
"2021-08-19",475.549988,487.630005,472.959991,484.369995,188400,481.544678
"2021-08-20",486.029999,491.75,484.230011,486.429993,204000,483.592682
"2021-08-23",486.839996,486.839996,474.820007,474.899994,203800,472.129913
"2021-08-24",476.670013,477.950012,472.390015,477.589996,221000,474.80423
"2021-08-25",478.959991,486.660004,478.209991,485.019989,117300,482.190887
"2021-08-26",484.779999,484.779999,476.600006,477.470001,147000,474.684937
"2021-08-27",477.329987,482.679993,473.809998,480.910004,146000,478.104889
"2021-08-30",482.390015,493.709991,482.040009,491.429993,156700,488.563507
"2021-08-31",491.75,496.51001,486.950012,494.299988,329800,491.416718
"2021-09-01",494.299988,494.299988,480.48999,491.230011,211100,488.364685
"2021-09-02",494.470001,498.950012,491.890015,497.26001,164900,494.359497
"2021-09-03",496.070007,498.329987,488.920013,496.890015,113500,493.991669
"2021-09-07",497.549988,497.660004,489.880005,491.049988,131300,488.185699
"2021-09-08",490.309998,500.850006,487.040009,497.390015,161500,494.48877
"2021-09-09",496.220001,496.220001,485.549988,491.640015,232600,488.772308
"2021-09-10",491.660004,498.769989,491.269989,493.429993,198600,490.551819
"2021-09-13",495.559998,495.829987,475.459991,478.920013,291200,476.126465
"2021-09-14",482.029999,484.429993,470.799988,474.679993,218600,471.911163
"2021-09-15",473.269989,480.790009,471.369995,477.149994,214100,474.366821
