"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume","ECL.Adjusted"
"2021-06-15",214.389999,216.240005,212.160004,214.919998,1231800,212.557739
"2021-06-16",215.220001,215.850006,210.289993,210.429993,1041800,208.117096
"2021-06-17",209.970001,210.479996,207.309998,209.639999,966700,207.335785
"2021-06-18",207.240005,209.009995,204.800003,205.009995,1836300,202.756668
"2021-06-21",206.429993,210.029999,206.429993,209.789993,929400,207.484131
"2021-06-22",210.479996,212.399994,209.75,210.119995,672200,207.810501
"2021-06-23",210.119995,210.610001,208.029999,208.070007,542700,205.783051
"2021-06-24",209.490005,210.009995,207.889999,208.240005,596700,205.951172
"2021-06-25",208.460007,209.910004,206.289993,207.479996,3544500,205.199524
"2021-06-28",207.350006,209.809998,206.130005,208.240005,1343100,205.951172
"2021-06-29",209.589996,210.380005,207.399994,208.089996,916000,205.802826
"2021-06-30",206.479996,207.279999,204.279999,205.970001,976000,203.706131
"2021-07-01",206.919998,209.389999,205.300003,209.179993,1065500,206.880844
"2021-07-02",209.75,211.509995,208.649994,210.800003,920700,208.483047
"2021-07-06",210.270004,210.720001,207.600006,209.479996,888700,207.177551
"2021-07-07",208.679993,212.830002,208.070007,211.229996,1290200,208.908295
"2021-07-08",208.520004,210.759995,208.360001,209.830002,822900,207.523697
"2021-07-09",211.940002,213.199997,211.100006,212.759995,927200,210.421478
"2021-07-12",212.050003,214.039993,211.380005,213.410004,1072200,211.064346
"2021-07-13",213.029999,213.690002,211.199997,212.75,784600,210.411606
"2021-07-14",213.029999,214.350006,211.979996,213.75,1336900,211.400604
"2021-07-15",213.070007,215.5,212.630005,214.589996,928600,212.231384
"2021-07-16",215,216.130005,213.669998,215.279999,1252000,212.913803
"2021-07-19",212.850006,213.759995,208.070007,210.339996,1922900,208.028076
"2021-07-20",209.979996,215.789993,209.550003,214.199997,1317500,211.845642
"2021-07-21",215.559998,216,213.869995,214.470001,1149100,212.112686
"2021-07-22",214.649994,215.229996,213.389999,214.940002,606400,212.577545
"2021-07-23",216.490005,218.270004,215.509995,217.889999,836200,215.495102
"2021-07-26",217.669998,219.529999,216.520004,219.139999,1013900,216.731369
"2021-07-27",217.050003,221.25,213.759995,220.800003,1550000,218.373123
"2021-07-28",220.419998,220.770004,216.490005,219.130005,995600,216.721481
"2021-07-29",220,220.800003,219.119995,220.389999,680600,217.967636
"2021-07-30",220.410004,222.639999,219.919998,220.830002,945000,218.402802
"2021-08-02",222.380005,222.539993,218.029999,218.070007,1018700,215.673141
"2021-08-03",218,219.550003,217.509995,219.360001,593800,216.948944
"2021-08-04",217.449997,218.710007,217.050003,217.800003,721900,215.406082
"2021-08-05",219.110001,219.330002,217.059998,218.179993,646900,215.781906
"2021-08-06",218.759995,219.880005,217.330002,219.649994,635400,217.235764
"2021-08-09",220.429993,221,217.869995,218.550003,755800,216.147858
"2021-08-10",218.289993,219.839996,218.289993,219.059998,591500,216.652237
"2021-08-11",219.990005,220.910004,218.639999,220.630005,798900,218.205002
"2021-08-12",220.669998,221,218.800003,219.570007,570200,217.156647
"2021-08-13",219.770004,221.619995,218.899994,221.580002,577800,219.144562
"2021-08-16",219.669998,221.360001,218.419998,221.279999,744900,218.847839
"2021-08-17",221.160004,221.509995,219.160004,221.289993,717800,218.857727
"2021-08-18",220.550003,221.089996,219.070007,219.330002,838600,216.919266
"2021-08-19",218,221.029999,217.490005,220.5,725800,218.076431
"2021-08-20",220.309998,222.410004,220.169998,222.059998,560400,219.619263
"2021-08-23",223.039993,223.509995,221.759995,222.520004,645600,220.074219
"2021-08-24",223.350006,223.559998,221.669998,222.330002,411200,219.886307
"2021-08-25",222,224.389999,221.460007,224.080002,486200,221.617065
"2021-08-26",223.619995,224,222.509995,223.020004,560500,220.568726
"2021-08-27",224.100006,225.869995,223.339996,224.990005,585600,222.517075
"2021-08-30",225,226.559998,224.850006,225.479996,618400,223.001678
"2021-08-31",225.289993,225.990005,224.190002,225.360001,1175100,222.883011
"2021-09-01",225.020004,225.75,223.039993,224.970001,620200,222.497299
"2021-09-02",225.559998,227.470001,224.770004,226.919998,723600,224.425842
"2021-09-03",227.509995,227.970001,225.070007,225.139999,980200,222.665421
