"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2021-02-05",81.169998,81.339996,79.889999,80.589996,788600,79.878441
"2021-02-08",81.18,82.779999,80.769997,82.540001,939800,81.811234
"2021-02-09",82.220001,82.529999,81.120003,81.989998,746000,81.26609
"2021-02-10",82.25,83.989998,81.620003,83.050003,1054300,82.316727
"2021-02-11",83.160004,83.160004,79.260002,81.040001,1209200,80.440704
"2021-02-12",80.5,80.68,79.480003,80.529999,1126200,79.934471
"2021-02-16",81.389999,81.699997,79.239998,80.419998,1427900,79.825287
"2021-02-17",80.18,80.18,78.209999,79.349998,1029800,78.763206
"2021-02-18",76.07,76.980003,71.050003,72.059998,3155300,71.527107
"2021-02-19",72.559998,75.360001,72.470001,73.959999,1958600,73.413071
"2021-02-22",73.269997,75.809998,72.779999,74.129997,1575000,73.581795
"2021-02-23",73.919998,75.089996,71.830002,74.540001,1313300,73.98877
"2021-02-24",74.400002,75.400002,74,74.739998,2116200,74.187286
"2021-02-25",74.860001,74.919998,71.669998,72.529999,1632700,71.993637
"2021-02-26",72.349998,73.089996,71.449997,72.43,1379400,71.894379
"2021-03-01",73.230003,75.309998,72.989998,74.870003,2242900,74.31633
"2021-03-02",75.129997,75.910004,74.470001,74.769997,1771900,74.217072
"2021-03-03",74.599998,75.419998,74.099998,74.400002,1662900,73.849808
"2021-03-04",74.209999,74.449997,71.209999,72.459999,1126000,71.924149
"2021-03-05",73.639999,74.959999,72,74.580002,998400,74.028473
"2021-03-08",75.190002,75.82,74.309998,74.370003,3521000,73.82003
"2021-03-09",74.650002,75.25,72.860001,72.980003,2014300,72.440308
"2021-03-10",73.290001,76.730003,73.059998,76.25,1756200,75.686127
"2021-03-11",76.559998,78.919998,76.449997,77.360001,1426200,76.787926
"2021-03-12",77.309998,78.360001,76.919998,78.080002,990000,77.502594
"2021-03-15",78.099998,78.5,76.540001,77.599998,732200,77.026146
"2021-03-16",77.360001,77.489998,76.25,76.43,802400,75.864792
"2021-03-17",76.470001,77.800003,76.050003,76.800003,1729500,76.232063
"2021-03-18",76.760002,78.370003,76.169998,76.18,1585200,75.616638
"2021-03-19",75.559998,76.529999,74.660004,75.650002,2075800,75.090561
"2021-03-22",75.519997,75.610001,73.43,74.470001,2133000,73.919289
"2021-03-23",74.330002,75.800003,73.610001,74.010002,2006800,73.462692
"2021-03-24",74.900002,77.279999,74.720001,76.040001,1393800,75.477676
"2021-03-25",75.629997,77.970001,75.360001,77.870003,1686200,77.294151
"2021-03-26",77.989998,78.610001,77.239998,78.5,1546900,77.919479
"2021-03-29",78.239998,79.550003,77.519997,78.129997,1078500,77.552223
"2021-03-30",78.290001,80.269997,78.220001,79.720001,1102400,79.130463
"2021-03-31",79.620003,79.790001,77.980003,79.160004,1358000,78.574608
"2021-04-01",79.540001,79.540001,77.830002,78.989998,1073000,78.405869
"2021-04-05",79.940002,80.989998,79.150002,80.970001,1148000,80.371216
"2021-04-06",80.510002,80.800003,79.379997,79.389999,1155500,78.80291
"2021-04-07",79.709999,79.769997,77.800003,78.07,2364600,77.492668
