"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"2021-10-07",86.459999,86.800003,85.07,85.790001,4286200,79.929314
"2021-10-08",86.800003,90.910004,86.800003,90.529999,4848700,84.345497
"2021-10-11",92.300003,93.07,90.040001,90.160004,4611400,84.000778
"2021-10-12",89.82,91.940002,89.379997,90.120003,4565100,83.963509
"2021-10-13",88.989998,91.589996,88.029999,90.410004,4415900,84.233704
"2021-10-14",90.540001,91.300003,88.540001,90.57,3583100,84.770004
"2021-10-15",91.830002,91.889999,89.540001,89.620003,3179500,83.880844
"2021-10-18",90.360001,91.940002,88.589996,89.309998,4664400,83.590683
"2021-10-19",89.410004,90.849998,88.099998,90.160004,2821100,84.386261
"2021-10-20",89.510002,93.43,89.040001,93.099998,3799100,87.137978
"2021-10-21",91.970001,92.730003,89.889999,90.900002,3464400,85.078873
"2021-10-22",91.580002,92.400002,90.650002,92,2202600,86.108429
"2021-10-25",93.5,94.739998,92.839996,94.040001,3849100,88.017792
"2021-10-26",94.540001,95.639999,93.839996,95,2617600,88.916313
"2021-10-27",93.519997,94.650002,92.339996,93.040001,3992200,87.081825
"2021-10-28",92.449997,94.019997,92.419998,93.809998,2284600,87.802513
"2021-10-29",93.519997,94.599998,91.839996,92.459999,2293900,86.538963
"2021-11-01",93.639999,94.209999,92.510002,93.459999,3190600,87.474922
"2021-11-02",92.730003,94.190002,92.209999,92.82,2327300,86.875916
"2021-11-03",91.57,93.110001,90.150002,90.949997,4917500,85.125664
"2021-11-04",92.580002,93.629997,90.129997,90.900002,5006500,85.078873
"2021-11-05",94.970001,96.190002,92.879997,95.120003,7202000,89.028625
"2021-11-08",96.220001,98.199997,95.809998,96.989998,3487300,90.77887
"2021-11-09",96.870003,97.470001,94.809998,97.110001,2439400,90.89119
"2021-11-10",96.230003,96.419998,93.029999,94.290001,4271500,88.251778
"2021-11-11",94.730003,96.32,94.730003,94.919998,3068600,88.841438
"2021-11-12",94.489998,96.029999,94.290001,94.839996,3539500,88.766556
"2021-11-15",94.449997,94.709999,92.32,93.199997,6183400,87.231583
"2021-11-16",93.610001,93.800003,91.839996,91.900002,4718800,86.014839
"2021-11-17",90.709999,92.480003,89.209999,90.080002,6058000,84.311386
"2021-11-18",89.919998,91,88.57,89.620003,4543000,83.880844
"2021-11-19",87.940002,88,85.32,85.68,5732400,80.193153
"2021-11-22",85.599998,88.269997,85.599998,86.709999,6530400,81.157196
"2021-11-23",88.550003,91.849998,88.230003,91.760002,4901700,85.883804
"2021-11-24",90.919998,93.43,90.919998,93.050003,3049700,87.091194
"2021-11-26",87.830002,88.199997,84.699997,87.419998,4738200,81.821724
"2021-11-29",90.440002,91.519997,88.18,88.389999,4061700,82.729614
"2021-11-30",87.029999,89.099998,86,87,7858200,81.428619
"2021-12-01",89.43,89.940002,85.230003,85.349998,5594600,79.884293
"2021-12-02",84.75,87.050003,83.25,86.559998,5674200,81.016792
"2021-12-03",88.639999,89.099998,85.150002,85.989998,5592900,80.483292
"2021-12-06",88,89.120003,86.809998,87.57,3091200,81.962128
"2021-12-07",89,91.919998,88.93,90.559998,4748700,84.760635
"2021-12-08",90.730003,91.300003,89.190002,90.080002,3109200,84.311386
"2021-12-09",89.760002,89.910004,88.230003,88.879997,3957600,83.188232
"2021-12-10",89.910004,89.989998,87.309998,89.68,3615200,83.936996
"2021-12-13",88.800003,89.519997,86.82,88.029999,3999100,82.392662
"2021-12-14",85.410004,86.489998,84.43,85.300003,3412400,81.693527
"2021-12-15",85.629997,85.690002,82.07,84.809998,3148500,81.224243
"2021-12-16",85.860001,88.519997,85.449997,86.190002,5108400,82.545898
"2021-12-17",85.82,85.830002,83.470001,84,9057600,80.448494
"2021-12-20",81.800003,83.629997,80.669998,83.580002,2937500,80.046249
"2021-12-21",84.480003,86.639999,84.32,86.349998,3089500,82.699127
"2021-12-22",86.220001,87.949997,84.879997,87.220001,2713900,83.532341
"2021-12-23",87.25,88.230003,86.870003,87.18,2458300,83.494041
"2021-12-27",86.989998,90.82,86.040001,90.779999,2714800,86.941833
"2021-12-28",91.400002,91.639999,89.080002,90.220001,2307900,86.40551
"2021-12-29",89.879997,91.07,89.25,89.849998,2053100,86.051147
"2021-12-30",89.980003,90.75,89.080002,89.18,2228300,85.409477
"2021-12-31",88.889999,89.57,88.43,88.830002,2062300,85.074272
"2022-01-03",88.330002,91.220001,88.290001,91.160004,2997400,87.305771
