"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2021-02-03",302.26001,302.329987,299.459991,301.140015,1185300,295.991302
"2021-02-04",302.850006,309.559998,301.950012,309.269989,1459000,303.9823
"2021-02-05",312.019989,313.019989,307.01001,309.23999,1228100,303.95282
"2021-02-08",312,317.190002,312,317.040009,962300,311.619507
"2021-02-09",316.019989,318.269989,313.170013,315.329987,1066500,309.93869
"2021-02-10",317.549988,317.799988,311.369995,313.640015,1070000,308.277618
"2021-02-11",314.690002,315.820007,309.049988,314.459991,995400,309.083588
"2021-02-12",314.049988,315.790009,312.279999,313,1721600,307.64856
"2021-02-16",316.809998,321.670013,316.070007,317.089996,3099600,311.66861
"2021-02-17",314.160004,317.5,311.390015,312.079987,1999600,306.744263
"2021-02-18",310.839996,311.459991,298.540009,300.25,3110900,295.116516
"2021-02-19",320,335.209991,315.869995,330,4870100,324.35791
"2021-02-22",329.5,338.549988,328.519989,337.51001,2312500,331.739532
"2021-02-23",331.519989,338.769989,328,337.410004,2222700,331.641235
"2021-02-24",339.429993,346.589996,338.209991,345.660004,1941300,339.750153
"2021-02-25",345.709991,353.019989,342.309998,348.029999,2883000,342.07962
"2021-02-26",346.200012,354.410004,344.059998,349.119995,2537800,343.15097
"2021-03-01",355.059998,363.309998,354.339996,359.51001,2098800,353.363373
"2021-03-02",359.869995,359.869995,349.970001,351.440002,1882000,345.431305
"2021-03-03",349.940002,351.369995,342.809998,343.059998,1929100,337.194611
"2021-03-04",340.670013,343.519989,330.779999,337.950012,2499400,332.171997
"2021-03-05",343.299988,351.839996,334.140015,349.829987,1979700,343.848846
"2021-03-08",354.429993,359.910004,349.220001,353.700012,1764200,347.65271
"2021-03-09",354.720001,357.390015,351.869995,352.690002,1456800,346.659973
"2021-03-10",351.220001,361.690002,351.01001,361.220001,1403200,355.044128
"2021-03-11",365,366.820007,360.779999,364.459991,1675700,358.228729
"2021-03-12",363.549988,370.76001,363.339996,369.48999,1941500,363.172729
"2021-03-15",369.089996,374.730011,366.059998,374.369995,2004400,367.969299
"2021-03-16",376.570007,376.570007,371,373.519989,2047000,367.13382
"2021-03-17",376.079987,380.790009,372.230011,379.26001,1753000,372.775726
"2021-03-18",381,392.420013,379.130005,380.410004,2753100,373.906036
"2021-03-19",377.5,379.839996,371.910004,372.480011,3042100,366.111603
"2021-03-22",373.720001,373.720001,368.660004,371.589996,1398500,365.236786
"2021-03-23",367.269989,371.529999,355.899994,357.48999,2911200,351.377869
"2021-03-24",361.51001,368,360.809998,360.910004,1860600,354.73941
"2021-03-25",357.269989,367.790009,353.459991,366.799988,1970600,360.528717
"2021-03-26",371.029999,372.899994,367.730011,372.290009,1586100,365.924866
"2021-03-29",370.48999,372.48999,367.5,367.970001,1413400,361.678711
"2021-03-30",367,375.309998,366.450012,373.920013,1278200,368.428162
"2021-03-31",374.970001,379.5,368.320007,374.140015,2053300,368.644897
"2021-04-01",375.630005,376,369.290009,372.119995,1561900,366.654572
"2021-04-05",375.600006,377.940002,373.910004,374.809998,1419500,369.305023
"2021-04-06",375.790009,381.839996,375.019989,375.609985,1309700,370.093231
"2021-04-07",375.75,378.880005,372.410004,374.790009,1299300,369.28537
"2021-04-08",372.290009,374.529999,368.630005,374.070007,1250700,368.575897
"2021-04-09",375.640015,378.079987,372.519989,377,1224500,371.462891
"2021-04-12",377.829987,379.149994,375.799988,378.26001,1165100,372.704407
"2021-04-13",383.540009,384.399994,376.630005,378.670013,985100,373.108368
"2021-04-14",377.850006,382.980011,377.850006,381.5,1077100,375.89679
"2021-04-15",384.279999,385.950012,378.679993,382.140015,1127000,376.527435
"2021-04-16",386.059998,386.059998,380.820007,383.070007,1092000,377.443756
"2021-04-19",382.820007,383.679993,378.540009,380.720001,1145100,375.128265
"2021-04-20",378.350006,380.73999,366.630005,370.269989,1807400,364.831696
"2021-04-21",370.709991,375.829987,367.350006,375.600006,1819900,370.083435
"2021-04-22",375.869995,377.23999,365.600006,368.359985,1880200,362.949768
"2021-04-23",368.890015,377.690002,368.890015,376.269989,1301300,370.743591
"2021-04-26",377.019989,383.799988,377.019989,380.450012,1235700,374.862183
"2021-04-27",381.5,383.5,378.529999,382.359985,925700,376.744141
"2021-04-28",381.179993,384.51001,379.549988,379.799988,891000,374.221741
"2021-04-29",382.839996,382.839996,372.070007,376.390015,1104500,370.861877
"2021-04-30",372.549988,373.529999,368.609985,370.850006,1196700,365.403198
"2021-05-03",376.5,377.75,371.880005,373.769989,924600,368.280273
"2021-05-04",371.850006,381,367.880005,379.579987,1692300,374.004944
"2021-05-05",382.660004,383.339996,375.850006,378.859985,1460800,373.295532
"2021-05-06",379.839996,391,378.619995,389.910004,2010900,384.183258
"2021-05-07",387.809998,396.899994,384.329987,394.220001,1597200,388.429932
"2021-05-10",398,400.339996,391.279999,391.399994,1601300,385.651367
"2021-05-11",386.220001,389.179993,377.51001,383.200012,1588500,377.571869
"2021-05-12",384.779999,388.529999,372.420013,373.630005,1631600,368.142395
"2021-05-13",368.470001,379.839996,366.470001,378.109985,1483400,372.556549
"2021-05-14",381.809998,386.709991,380.630005,384,1143600,378.360077
"2021-05-17",381.98999,385.649994,378.779999,383.549988,1170200,377.916656
"2021-05-18",385.230011,386.320007,369.690002,369.690002,1664800,364.260254
"2021-05-19",361.820007,362.179993,351.019989,358.420013,2800600,353.155792
"2021-05-20",357.940002,359,350.529999,355.220001,2947000,350.002747
"2021-05-21",357.799988,368.390015,352.170013,359.75,3614400,354.466248
"2021-05-24",361.540009,362.48999,356.309998,359.359985,1914700,354.08194
"2021-05-25",361.779999,367.799988,360.369995,360.690002,1682300,355.392456
"2021-05-26",359.679993,361.25,354.690002,357.73999,1949800,352.485718
"2021-05-27",363.380005,363.5,358.709991,362.209991,3337100,356.890106
"2021-05-28",362.600006,363.540009,357.579987,361.100006,1348100,355.796417
"2021-06-01",364.410004,369.25,362,364.609985,1483500,359.254822
"2021-06-02",364.51001,365.309998,355.76001,356.709991,1882700,351.470886
"2021-06-03",355.230011,363.429993,354.559998,358.910004,1336800,353.63858
"2021-06-04",360.269989,361.440002,355.309998,356.640015,1279300,351.401886
"2021-06-07",357.070007,359.700012,352.950012,355.429993,1537000,350.209686
"2021-06-08",356.920013,359.470001,352.429993,356.579987,1521700,351.342743
"2021-06-09",355.769989,355.910004,349.209991,349.529999,2000800,344.396332
"2021-06-10",351.880005,354.399994,340.769989,341.440002,2232000,336.425171
"2021-06-11",345.380005,346.5,338.619995,341.570007,2028400,336.553223
"2021-06-14",341.040009,342.429993,331.829987,335.540009,2775000,330.611816
"2021-06-15",336.890015,339.029999,335.76001,338.100006,1722400,333.134216
"2021-06-16",338.100006,340,335.130005,336.559998,2264600,331.616821
"2021-06-17",335.73999,336.910004,321.899994,328.380005,3387800,323.557007
"2021-06-18",324.109985,331.850006,323.450012,328.970001,2930600,324.138336
"2021-06-21",332.970001,338.76001,332.540009,337.880005,2010700,332.91745
"2021-06-22",338.790009,342.649994,335.660004,342.100006,1677400,337.07547
"2021-06-23",342.679993,349.170013,341.48999,347.75,3352700,342.642487
"2021-06-24",349.559998,354.73999,346.529999,350.619995,2140200,345.470337
"2021-06-25",354.089996,355.890015,347.140015,349.98999,6604800,344.849609
"2021-06-28",350.380005,350.950012,345.100006,349.890015,1304200,344.751068
"2021-06-29",350.799988,352.700012,348.089996,348.929993,1213400,344.691772
"2021-06-30",348.170013,353.390015,348.170013,352.709991,1643600,348.425842
"2021-07-01",355.660004,356.190002,351.920013,354.290009,1467900,349.986694
"2021-07-02",354.570007,355.910004,351.209991,352.5,1131800,348.218414
"2021-07-06",352.5,353,344.26001,349.450012,1924000,345.205475
"2021-07-07",348.380005,352.559998,348.220001,351.880005,1309100,347.605957
"2021-07-08",345,347.350006,339.5,343.579987,1621000,339.406738
"2021-07-09",349.200012,350.720001,347.549988,349.480011,1325400,345.235107
"2021-07-12",347.730011,354.75,345.809998,354.279999,1608000,349.976807
"2021-07-13",356,356,350.579987,350.769989,950100,346.509399
"2021-07-14",353.390015,353.450012,344.529999,345.570007,1409400,341.372589
"2021-07-15",342.899994,347.720001,342.309998,346.100006,1516200,341.896149
