"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume","MMC.Adjusted"
"2021-07-14",140.679993,141.229996,139.929993,140.960007,1438100,138.521301
"2021-07-15",140.309998,141.600006,140.309998,141.050003,1819400,138.609756
"2021-07-16",141.169998,141.839996,140.369995,141.330002,1912800,138.884918
"2021-07-19",140.220001,140.610001,137.850006,139.039993,1665000,136.634506
"2021-07-20",139.580002,142.270004,139.119995,141.699997,1813200,139.248489
"2021-07-21",141.259995,144.089996,140.410004,142.389999,2727200,139.926575
"2021-07-22",143.449997,146.649994,143.039993,145.899994,3104900,143.375839
"2021-07-23",146.649994,147.800003,146.360001,147.410004,1694100,144.859726
"2021-07-26",147.410004,149.300003,145.949997,147.639999,3895600,145.085739
"2021-07-27",146.779999,147.539993,145.270004,146.710007,3463300,144.171829
"2021-07-28",144.740005,145.449997,143.539993,144.789993,2798300,142.805786
"2021-07-29",145.820007,147.190002,145.419998,146.800003,1780100,144.788269
"2021-07-30",146.669998,147.960007,146.5,147.220001,2145700,145.202515
"2021-08-02",148.070007,149.130005,147.910004,147.990005,1514000,145.96196
"2021-08-03",148.419998,150.710007,147.580002,150.330002,1954700,148.269897
"2021-08-04",149.779999,150.699997,148.860001,148.889999,1428300,146.849625
"2021-08-05",149.559998,151.029999,149.429993,150.929993,1365200,148.861664
"2021-08-06",151.25,151.770004,149.199997,149.889999,2065900,147.835922
"2021-08-09",149.990005,150.729996,149.179993,150.639999,994600,148.575638
"2021-08-10",151.009995,151.669998,149.539993,150.320007,2839400,148.260025
"2021-08-11",150.809998,151.660004,150.240005,151.589996,1539700,149.512604
"2021-08-12",151.830002,152.029999,150.580002,151.080002,1327700,149.009613
"2021-08-13",151.190002,151.860001,151.190002,151.639999,1963200,149.561935
"2021-08-16",151.929993,153.589996,151.660004,153.529999,1510000,151.426025
"2021-08-17",153.509995,154.910004,152.919998,154.520004,1432800,152.402481
"2021-08-18",154.139999,154.809998,152.880005,152.940002,1719000,150.844116
"2021-08-19",152.380005,154.610001,152.029999,153.919998,1909200,151.810699
"2021-08-20",154.059998,155.539993,153.839996,155.130005,1914300,153.00412
"2021-08-23",155.490005,157.529999,155.490005,155.860001,1771400,153.724106
"2021-08-24",156.089996,156.259995,155.240005,155.270004,1339400,153.142197
"2021-08-25",154.929993,156.080002,154.660004,155.320007,1281400,153.191528
"2021-08-26",155.759995,156.009995,154.660004,154.720001,1280100,152.599731
"2021-08-27",155.169998,156.529999,154.610001,156.350006,1334800,154.207382
"2021-08-30",156.350006,157.270004,156.009995,156.410004,1531700,154.266571
"2021-08-31",156.360001,157.679993,156.199997,157.199997,2096800,155.045731
"2021-09-01",156.869995,158.429993,156.289993,158.050003,1335000,155.884109
"2021-09-02",158.589996,159.710007,158.460007,159.419998,1680000,157.235321
"2021-09-03",158.960007,159.979996,158.740005,159.5,1078500,157.314224
"2021-09-07",158.979996,159,157.300003,157.889999,1314900,155.726273
"2021-09-08",157.990005,159.300003,157.610001,159,1239100,156.821075
"2021-09-09",159.160004,162.259995,159.160004,160.289993,2022700,158.093399
"2021-09-10",160.940002,161.770004,160.270004,160.479996,1112700,158.280792
"2021-09-13",161.809998,161.860001,158.339996,159.139999,1727200,156.959167
"2021-09-14",159.690002,159.759995,157.529999,157.610001,2021300,155.450119
"2021-09-15",158.070007,159.850006,157.020004,158.800003,2281200,156.623825
"2021-09-16",159,159.5,157.139999,158.220001,1659600,156.051773
"2021-09-17",157.460007,158.610001,155.360001,155.830002,3865000,153.694519
"2021-09-20",154,155.139999,152.720001,154.889999,1775100,152.767395
"2021-09-21",155.820007,156.240005,155.100006,155.589996,1435300,153.457794
"2021-09-22",156.710007,157.820007,155.160004,157.080002,2106400,154.927399
"2021-09-23",157.610001,159.300003,157.610001,158.529999,2339700,156.357513
"2021-09-24",158.720001,159.820007,158.360001,159.460007,1486600,157.27478
"2021-09-27",159.649994,159.720001,156,156.570007,1571100,154.424393
"2021-09-28",155.869995,156.470001,152.5,153.270004,1848200,151.169601
"2021-09-29",153.940002,155.210007,153.5,154.479996,1242100,152.363022
"2021-09-30",154.779999,155.380005,151.360001,151.429993,2448300,149.354797
"2021-10-01",152.149994,155.779999,151.630005,154.130005,1737400,152.017822
"2021-10-04",153.630005,154.899994,151.369995,151.740005,1711300,149.660568
"2021-10-05",152.809998,155.860001,152.270004,154.539993,2266600,152.422195
"2021-10-06",153.119995,155.320007,152.220001,155.25,1896400,153.122452
"2021-10-07",156.160004,157.440002,155.860001,156.600006,1741300,154.988068
"2021-10-08",156.649994,157.25,155.860001,156.660004,1029600,155.04744
"2021-10-11",156.690002,157.979996,156.210007,156.820007,1730600,155.205811
"2021-10-12",157,157.839996,155.889999,157,1563400,155.383942
"2021-10-13",157.300003,157.820007,155.600006,157.419998,1927700,155.799622
"2021-10-14",158.570007,160.990005,157.990005,160.669998,1853000,159.016174
"2021-10-15",161.589996,162.630005,161.089996,162,3956600,160.332474
"2021-10-18",161.5,162.720001,160.850006,161.809998,2756500,160.14444
"2021-10-19",162.949997,164.75,162.089996,164.660004,2036200,162.965103
"2021-10-20",164.789993,166.830002,164.789993,165.850006,2048900,164.142868
"2021-10-21",166.850006,168.899994,165.320007,168.429993,2856300,166.696274
"2021-10-22",169.100006,169.770004,167.970001,169.570007,2168600,167.82457
"2021-10-25",169.559998,171.130005,168.869995,169.130005,1476500,167.389084
"2021-10-26",169.710007,169.910004,168.139999,168.910004,1945400,167.171356
"2021-10-27",169.029999,169.850006,167.309998,167.639999,2124500,165.914429
"2021-10-28",168.179993,168.75,166.800003,167.449997,1651700,165.726379
"2021-10-29",167.100006,168.320007,166.440002,166.800003,2924800,165.083069
"2021-11-01",167,167.419998,161.740005,162.789993,2038400,161.114334
"2021-11-02",163.279999,164.789993,162.899994,164.089996,2565900,162.40097
"2021-11-03",164.009995,164.149994,160.639999,162.619995,1656100,160.946091
"2021-11-04",162.679993,162.880005,160.339996,161.179993,1629900,159.52092
"2021-11-05",162.410004,162.600006,160.190002,161.449997,1458900,159.788147
"2021-11-08",162.470001,164.580002,161,164,1722800,162.31189
"2021-11-09",163.679993,165.110001,163.289993,164.919998,1877800,163.222427
"2021-11-10",164.619995,166.080002,162.910004,165.149994,1466700,163.450043
"2021-11-11",165.199997,165.289993,163.339996,164.919998,1078000,163.222427
"2021-11-12",165.429993,167.039993,164.990005,166.699997,1203400,164.9841
"2021-11-15",166.940002,167.970001,166,167.350006,1526200,165.627426
"2021-11-16",167.539993,169.089996,167,168.559998,1593000,166.824936
"2021-11-17",168.229996,168.729996,167.039993,167.789993,1326300,166.062881
"2021-11-18",168.130005,168.380005,167.009995,167.5,1233800,165.775848
"2021-11-19",168.149994,169.610001,166.660004,169.320007,1393500,167.577133
"2021-11-22",169.669998,170.809998,168.460007,169.270004,1698500,167.527649
"2021-11-23",169.369995,170.130005,166.979996,169.050003,1731600,167.309921
"2021-11-24",168.649994,170.149994,168.100006,169.779999,1568600,168.032394
"2021-11-26",166.509995,168.350006,164.520004,166.410004,1398500,164.697083
"2021-11-29",167.880005,168.380005,166.649994,167.029999,2004500,165.310715
"2021-11-30",165.5,168.020004,163.990005,164.020004,4614500,162.33168
"2021-12-01",166.130005,168.779999,163.630005,163.740005,1730600,162.054565
"2021-12-02",164.169998,168.970001,164.160004,168.470001,1798800,166.735886
"2021-12-03",169.429993,169.919998,165.850006,167.789993,1989000,166.062881
"2021-12-06",169.529999,171.580002,168.699997,170.460007,1763800,168.705399
"2021-12-07",172.070007,173.440002,171.770004,172.580002,1475200,170.803558
"2021-12-08",173.5,174.899994,172.050003,172.910004,1266900,171.130173
"2021-12-09",170.210007,172.479996,169.070007,171.050003,1392500,169.289337
"2021-12-10",172.190002,172.550003,170.679993,171.800003,1203600,170.031601
"2021-12-13",172.050003,172.050003,170.059998,170.649994,1451400,168.893417
"2021-12-14",170.710007,171.020004,167.440002,168.979996,2011000,167.240616
"2021-12-15",168.979996,170.699997,168.020004,170.419998,1820100,168.665802
"2021-12-16",171.160004,171.669998,168.5,170,1992400,168.250122
"2021-12-17",169.809998,170.059998,167.029999,168.300003,2541200,166.567627
"2021-12-20",166.699997,168.419998,164.970001,168.300003,1344800,166.567627
"2021-12-21",169.630005,169.630005,167.630005,168.850006,1566700,167.111969
"2021-12-22",168.919998,170.710007,168.630005,170.479996,1045700,168.725174
"2021-12-23",171.089996,171.839996,170.419998,170.570007,1309400,168.814255
"2021-12-27",170.919998,173.919998,170.919998,173.889999,1899600,172.100082
"2021-12-28",173.899994,175.119995,173.419998,173.770004,863800,171.981323
"2021-12-29",173.899994,174.899994,173.779999,173.889999,1092300,172.100082
"2021-12-30",174.429993,175,173.270004,173.490005,678700,171.704208
