"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2021-02-02",88.279999,89.730003,87.459999,88.839996,1415200,79.45491
"2021-02-03",88.43,89.739998,88.07,89.230003,1209200,79.803726
"2021-02-04",89.199997,91.279999,88.410004,90.900002,1190800,81.297295
"2021-02-05",92.019997,93.57,91.639999,93.260002,1277400,83.40799
"2021-02-08",94.089996,95.870003,93.699997,95.519997,1102200,85.429237
"2021-02-09",95.699997,96.019997,94.620003,94.709999,1019900,84.704819
"2021-02-10",95.349998,96.57,94.82,95.470001,2050000,85.384521
"2021-02-11",95.760002,95.760002,93.190002,94.82,829700,84.803192
"2021-02-12",94.699997,96.269997,94.029999,96.139999,1316300,85.983742
"2021-02-16",96.93,98.809998,96.790001,97.989998,1083200,87.638313
"2021-02-17",97.709999,98.32,95.800003,97.809998,964300,87.477341
"2021-02-18",97.480003,98.089996,94.790001,94.919998,1164400,84.892639
"2021-02-19",95.410004,100.839996,95.410004,100.220001,1906600,89.632736
"2021-02-22",100.519997,104.220001,100.519997,102.919998,2426900,92.047501
"2021-02-23",103.349998,103.75,101.25,103,2007400,92.119057
"2021-02-24",103.300003,108,103.040001,107.330002,2818700,95.991638
"2021-02-25",107.029999,108.220001,103.550003,104.410004,2003200,93.380104
"2021-02-26",103.239998,104.940002,101.360001,103.089996,2021200,92.199539
"2021-03-01",105.449997,107.290001,105.139999,106.339996,2772900,95.106209
"2021-03-02",107.330002,109.440002,106.959999,107.900002,2157800,96.501427
"2021-03-03",107.650002,109.989998,107.230003,107.809998,2164900,96.420921
"2021-03-04",107.529999,108.93,103.75,106.169998,2182500,94.95417
"2021-03-05",106.559998,108.559998,103.940002,107.889999,2291800,97.456299
"2021-03-08",108.910004,110.709999,108.419998,108.760002,2464200,98.242157
"2021-03-09",109.209999,109.860001,107.089996,107.169998,1954500,96.805931
"2021-03-10",107,110.169998,106.699997,108.900002,2160100,98.368622
"2021-03-11",109.540001,110.970001,109.150002,109.5,1494200,98.910599
"2021-03-12",109.989998,110.580002,108.089996,108.730003,1426200,98.215073
"2021-03-15",108.43,108.790001,106.040001,107.629997,1604700,97.221436
"2021-03-16",107.089996,107.690002,104.739998,105.360001,1347800,95.170959
"2021-03-17",105.970001,109.18,105.910004,108.720001,1564100,98.206024
"2021-03-18",109.400002,112.730003,107.43,108.099998,2264600,97.645996
"2021-03-19",107.18,108.110001,103.900002,106.769997,5080200,96.444611
"2021-03-22",106.75,106.889999,103.889999,106,1804000,95.749069
"2021-03-23",104.010002,104.410004,99.580002,100.260002,3016600,90.564171
"2021-03-24",102.25,104.82,101.93,102.129997,1638400,92.253326
"2021-03-25",100.75,104.949997,100.230003,104.650002,1337500,94.529633
"2021-03-26",106.75,107,103.879997,105.57,1281900,95.360657
"2021-03-29",105.379997,108.68,104.110001,104.230003,1256800,94.150246
"2021-03-30",104,105.800003,103.389999,105.029999,901400,94.872879
"2021-03-31",104.93,105.980003,103.599998,104.050003,1263500,93.987656
