"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume","AKAM.Adjusted"
"2021-04-12",103.239998,104.709999,103.169998,104.230003,1053600,104.230003
"2021-04-13",103.629997,105.309998,103.629997,104.540001,1079800,104.540001
"2021-04-14",104.529999,104.699997,103.470001,103.57,1351300,103.57
"2021-04-15",104.029999,106.040001,103.720001,105.830002,1956500,105.830002
"2021-04-16",105.980003,106.150002,104.910004,105.959999,1116300,105.959999
"2021-04-19",105.980003,107.110001,105.529999,105.739998,1340800,105.739998
"2021-04-20",105.5,106.93,105.050003,105.379997,1233100,105.379997
"2021-04-21",105.43,106.660004,105.25,105.550003,1092800,105.550003
"2021-04-22",105.290001,106.620003,104.620003,106.360001,2444000,106.360001
"2021-04-23",105.68,108.019997,105.220001,107.010002,2218400,107.010002
"2021-04-26",106.860001,113.989998,106.190002,109.75,4039400,109.75
"2021-04-27",110.050003,111.760002,110.050003,111.620003,2197300,111.620003
"2021-04-28",111.309998,112.099998,108.870003,108.980003,1621700,108.980003
"2021-04-29",110.480003,110.889999,108.169998,110,1430000,110
"2021-04-30",108.720001,109.529999,108.220001,108.699997,1667600,108.699997
"2021-05-03",108.980003,108.980003,106.129997,107.019997,1678400,107.019997
"2021-05-04",106.309998,107.099998,104.099998,105.190002,2160700,105.190002
"2021-05-05",108.5,110.389999,107.330002,108.510002,2916600,108.510002
"2021-05-06",107.779999,110.190002,107.129997,110.18,1440700,110.18
"2021-05-07",110.879997,110.989998,109.449997,110.809998,1411100,110.809998
"2021-05-10",110.790001,112.419998,110.059998,111.230003,1043200,111.230003
"2021-05-11",109.339996,111.949997,108.910004,111.169998,1354300,111.169998
"2021-05-12",110.720001,112.269997,109.790001,111.300003,2e+06,111.300003
"2021-05-13",111.589996,112.290001,110.589996,111.040001,1199600,111.040001
"2021-05-14",111.5,113.580002,111.5,113.160004,1257900,113.160004
"2021-05-17",113.580002,114.459999,112.260002,113.489998,1107600,113.489998
"2021-05-18",112.660004,114.059998,112.660004,112.739998,1131600,112.739998
"2021-05-19",111.459999,113.150002,110.739998,112.940002,1425600,112.940002
"2021-05-20",113.699997,114.790001,113.230003,113.470001,979200,113.470001
"2021-05-21",113.199997,114.889999,113.199997,113.529999,2192200,113.529999
"2021-05-24",113.529999,115.209999,113.529999,114.370003,1163000,114.370003
"2021-05-25",115.129997,115.470001,114.059998,115.160004,1187100,115.160004
"2021-05-26",114.720001,115.629997,114.379997,114.559998,788400,114.559998
"2021-05-27",114.790001,115.779999,114,114.690002,1477200,114.690002
"2021-05-28",114.959999,115.529999,114.040001,114.209999,1044000,114.209999
"2021-06-01",114.080002,114.470001,113.209999,113.849998,791400,113.849998
"2021-06-02",113.669998,115.190002,113.57,114.910004,937000,114.910004
"2021-06-03",114.510002,115.209999,113.510002,114.559998,829400,114.559998
"2021-06-04",114.900002,116.629997,114.830002,116.129997,894300,116.129997
"2021-06-07",116.269997,116.410004,115.209999,115.949997,903900,115.949997
"2021-06-08",117.290001,117.589996,116.660004,117.300003,1126000,117.300003
"2021-06-09",117.75,118.489998,117.5,117.790001,732900,117.790001
"2021-06-10",117.699997,119.18,117.400002,119.080002,1054800,119.080002
"2021-06-11",119.300003,119.300003,117.760002,118.449997,574200,118.449997
"2021-06-14",118.07,118.07,117.019997,118,925100,118
"2021-06-15",118.650002,118.709999,117.57,118.18,920400,118.18
"2021-06-16",117.959999,118.699997,115.980003,116.690002,1224500,116.690002
"2021-06-17",116.82,117.040001,115.720001,116.779999,976300,116.779999
"2021-06-18",116.480003,116.57,114.480003,114.629997,2875700,114.629997
"2021-06-21",115.330002,116.07,114.620003,115.82,1329000,115.82
"2021-06-22",116.129997,116.339996,115.25,115.980003,865500,115.980003
"2021-06-23",116.199997,116.230003,114.949997,115.959999,636700,115.959999
"2021-06-24",116.809998,116.889999,115.690002,115.830002,784200,115.830002
"2021-06-25",115.709999,118.220001,115.239998,116.949997,4032600,116.949997
"2021-06-28",117.440002,117.68,116.470001,116.970001,758800,116.970001
"2021-06-29",117.050003,118,116.389999,117.43,821000,117.43
"2021-06-30",117.650002,117.809998,116.360001,116.599998,957700,116.599998
"2021-07-01",116.82,117.559998,116.629997,117.080002,839300,117.080002
"2021-07-02",117.580002,118.239998,117.559998,118.040001,640200,118.040001
"2021-07-06",117.970001,118.620003,116.529999,117.190002,1087100,117.190002
"2021-07-07",117.68,118.169998,115.25,117.949997,1578900,117.949997
"2021-07-08",116.82,118.230003,116.160004,117.720001,1016200,117.720001
"2021-07-09",117.919998,118.099998,116.720001,117.900002,1000600,117.900002
"2021-07-12",117.779999,118.260002,115.290001,115.550003,1127700,115.550003
"2021-07-13",115.309998,116.690002,115.019997,115.139999,936200,115.139999
"2021-07-14",115.639999,116.830002,115.300003,116.010002,703100,116.010002
"2021-07-15",116.010002,116.790001,115.449997,116.449997,862200,116.449997
"2021-07-16",116.870003,117.839996,116.400002,117.029999,719000,117.029999
"2021-07-19",116.389999,117.720001,116.169998,117.269997,784400,117.269997
"2021-07-20",117.980003,118.580002,117.480003,117.540001,1394300,117.540001
"2021-07-21",117.510002,117.940002,116.139999,117.620003,600900,117.620003
"2021-07-22",117.870003,119.559998,116.720001,116.959999,1780200,116.959999
"2021-07-23",117.419998,120.669998,116.559998,119.540001,1108900,119.540001
"2021-07-26",119.540001,120,118.339996,119.220001,563400,119.220001
"2021-07-27",119.489998,120.489998,118.75,119.849998,969700,119.849998
"2021-07-28",119.849998,120.629997,118.730003,119.139999,678000,119.139999
"2021-07-29",118.730003,119.879997,118.559998,119.379997,986100,119.379997
"2021-07-30",118.540001,120.68,118.43,119.919998,851000,119.919998
"2021-08-02",119.860001,120,117.230003,118.900002,1097700,118.900002
"2021-08-03",118.900002,120.279999,118.559998,119.82,1127200,119.82
"2021-08-04",113.550003,113.970001,110.269997,112.410004,3859000,112.410004
"2021-08-05",112.389999,114.300003,111.279999,113.379997,1970500,113.379997
"2021-08-06",113.970001,115.080002,113.449997,114.57,1482100,114.57
"2021-08-09",114.550003,115.32,114.330002,115.089996,987000,115.089996
"2021-08-10",115.730003,116.120003,115.110001,115.599998,695600,115.599998
"2021-08-11",116.07,116.82,115.410004,116.360001,703800,116.360001
"2021-08-12",116.639999,117.769997,115.949997,117.279999,823800,117.279999
"2021-08-13",117.75,117.809998,115.959999,116.290001,1001700,116.290001
"2021-08-16",116.290001,116.290001,114.650002,115.260002,881400,115.260002
"2021-08-17",115.080002,115.150002,114.209999,114.93,679900,114.93
"2021-08-18",114.559998,114.900002,112.150002,112.220001,1093300,112.220001
"2021-08-19",112,113.949997,111.940002,113.019997,1027900,113.019997
"2021-08-20",113.269997,114.699997,112.75,114.489998,854200,114.489998
"2021-08-23",114.18,114.870003,114.160004,114.379997,645400,114.379997
"2021-08-24",114.699997,114.800003,113.290001,113.75,720900,113.75
"2021-08-25",113.980003,114.080002,112.760002,113.230003,775200,113.230003
"2021-08-26",113.139999,113.75,112.18,113.32,758300,113.32
"2021-08-27",113.040001,113.080002,111.160004,112.199997,1879800,112.199997
"2021-08-30",112.75,113.599998,112.190002,113.019997,1160800,113.019997
"2021-08-31",113.199997,113.550003,112.290001,113.25,1826300,113.25
"2021-09-01",113.839996,114.269997,112.769997,113.389999,1145400,113.389999
"2021-09-02",113.690002,114.300003,112.790001,112.940002,666100,112.940002
