"","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"2020-11-17",46.446667,46.833332,45.973331,46.740002,799500,44.947765
"2020-11-18",46.886665,47.099998,45.933334,45.939999,910500,44.178436
"2020-11-19",45.526669,45.526669,44.080002,44.573334,2503500,42.864182
"2020-11-20",44.413334,44.873333,43.193333,43.653332,1912200,41.979443
"2020-11-23",44.086666,44.126667,42.973331,43.48,2029950,41.812767
"2020-11-24",44.226665,44.826668,43.673332,43.893333,1693650,42.210251
"2020-11-25",43.5,43.606667,42.666668,43.306667,2648250,41.646084
"2020-11-27",43.233334,43.433334,42.633331,42.939999,1502100,41.293468
"2020-11-30",42.666668,43.439999,42.080002,43.419998,15985800,41.755066
"2020-12-01",44.286667,45.360001,44,45.026669,2281500,43.300125
"2020-12-02",44.773335,45.173332,44.066666,44.853333,1436700,43.133438
"2020-12-03",44.853333,45.206669,44.326668,44.633331,1802850,42.921875
"2020-12-04",44.880001,45.113335,44.52,45.060001,848400,43.33218
"2020-12-07",44.553333,44.826668,43.373333,43.473331,959100,41.806351
"2020-12-08",43.153332,43.813332,43.146667,43.406666,672150,41.742245
"2020-12-09",43.453335,43.759998,42.893333,43.380001,1231050,41.716602
"2020-12-10",43.133331,43.666668,43,43.226665,1039650,41.569141
"2020-12-11",43,43.773335,42.926666,43.193333,1113750,41.53709
"2020-12-14",43.619999,43.759998,42.720001,42.740002,1368000,41.177414
"2020-12-15",43.040001,43.986668,42.813332,43.846668,766050,42.243618
"2020-12-16",44,44.286667,43.700001,44.026669,783150,42.417038
"2020-12-17",44.213333,44.553333,43.913334,44.493332,1092300,42.866638
"2020-12-18",44.546665,44.84,43.826668,44.186668,2076750,42.571186
"2020-12-21",44.16,44.313332,42.933334,43.633331,955950,42.038082
"2020-12-22",43.5,43.860001,43.386665,43.586666,738150,41.993122
"2020-12-23",43.913334,44.439999,43.886665,43.986668,685800,42.378494
"2020-12-24",44.099998,44.193333,43.446667,44.066666,224250,42.455566
"2020-12-28",44.253334,44.386665,43.919998,44.060001,808950,42.44915
"2020-12-29",44.293331,44.326668,43.613335,43.82,597000,42.217922
"2020-12-30",43.933334,44.466667,43.933334,44.066666,548550,42.455566
"2020-12-31",44.153332,44.366669,43.720001,44.279999,1124100,42.66111
"2021-01-04",44.34,44.446667,43.16,43.293331,1454100,41.71051
"2021-01-05",43.32,43.606667,42.639999,42.919998,956400,41.350826
"2021-01-06",43.613335,44.726665,43.439999,44.393333,2428800,42.770294
"2021-01-07",44.626667,44.720001,43.706669,44.006668,1520550,42.39777
"2021-01-08",44.693333,44.826668,43.619999,44.240002,3632700,42.622566
"2021-01-11",44.173332,44.633331,44.006668,44.246666,1369050,42.628983
"2021-01-12",44.279999,45.133331,44.193333,44.833332,1600650,43.194206
"2021-01-13",44.773335,45.279999,44.286667,44.373333,1724400,42.751026
"2021-01-14",44.453335,44.526669,43.740002,44.006668,754200,42.39777
"2021-01-15",43.779999,44.266666,43.360001,44.093334,869850,42.481266
"2021-01-19",44.293331,44.360001,43.746666,43.746666,1036800,42.147274
"2021-01-20",43.593334,44.566666,43.366669,44.439999,920100,42.815254
"2021-01-21",44.333332,44.933334,44.259998,44.393333,1480350,42.770294
"2021-01-22",43.906666,44.119999,43.306667,43.919998,828750,42.314266
"2021-01-25",43.453335,44.400002,43.366669,44.040001,1403400,42.429878
