"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2020-12-17",176,177.460007,175.389999,176.649994,2327800,167.879562
"2020-12-18",176.759995,177.460007,175.110001,176.419998,4682000,167.66098
"2020-12-21",173.610001,176.130005,173.029999,175.660004,1704600,166.938736
"2020-12-22",175.050003,175.929993,174.179993,174.779999,1381200,166.102386
"2020-12-23",175.300003,175.809998,173.960007,173.990005,1762600,165.351624
"2020-12-24",174.419998,174.789993,173.419998,174.520004,656200,165.855316
"2020-12-28",175.309998,176.399994,174.389999,174.710007,1403000,166.035873
"2020-12-29",175.550003,175.639999,173.149994,173.850006,1218900,165.218582
"2020-12-30",173.880005,174.919998,173.380005,174.110001,1419100,165.465668
"2020-12-31",174.119995,174.869995,173.179993,174.789993,1841300,166.111893
"2021-01-04",175,176.199997,170.550003,171.869995,2996200,163.336884
"2021-01-05",172.009995,173.25,170.649994,171.580002,2295300,163.061279
"2021-01-06",172.720001,175.570007,172.039993,174.190002,3346400,165.541687
"2021-01-07",171.559998,173.460007,166.160004,169.720001,5863400,161.293625
"2021-01-08",169.169998,169.539993,164.610001,166.619995,4808100,158.347519
"2021-01-11",166.100006,167.139999,165,165.199997,2736600,156.998032
"2021-01-12",165.899994,167.179993,164.080002,166.509995,2949100,158.242981
"2021-01-13",167.270004,167.740005,166.050003,166.279999,2098000,158.024414
"2021-01-14",167.270004,167.360001,165.229996,166.410004,2895400,158.14798
"2021-01-15",165.630005,166.259995,163.380005,165.550003,3550700,157.330658
"2021-01-19",167.259995,169.550003,166.800003,169.119995,3903200,160.723419
"2021-01-20",169.039993,170.580002,168.429993,170.220001,2672300,161.768799
"2021-01-21",170.220001,171.490005,169.389999,170.669998,2688200,162.196472
"2021-01-22",170.199997,170.199997,167.240005,169.039993,2349300,160.647385
"2021-01-25",168.880005,172.490005,168.229996,170.389999,3353100,161.930359
"2021-01-26",173.779999,176.839996,172.080002,175.949997,5148900,167.214294
"2021-01-27",177.309998,187.270004,177.160004,186.649994,8097000,177.383072
"2021-01-28",185,186.580002,182.580002,183.419998,4153700,174.313431
"2021-01-29",182.289993,182.979996,174.869995,175.660004,4217200,166.938736
"2021-02-01",175.970001,177.110001,173.970001,174.699997,2569700,166.026367
"2021-02-02",176.25,177.529999,174.850006,175.020004,2844400,166.330475
"2021-02-03",175.380005,177.440002,173.550003,175.479996,2874200,166.767639
"2021-02-04",175.789993,177.289993,175.509995,177.100006,1833000,168.30722
"2021-02-05",177.600006,179.229996,176.699997,179.009995,1822400,170.122375
"2021-02-08",179.300003,180.869995,179.169998,180.759995,2355100,171.785492
"2021-02-09",181.220001,181.899994,180.179993,180.940002,1942800,171.956573
"2021-02-10",181.880005,182.380005,180.639999,181.080002,1929000,172.089615
"2021-02-11",179.350006,179.880005,175.839996,177.210007,2188400,169.799576
"2021-02-12",177.270004,178.839996,177.210007,178.699997,1081500,171.227219
"2021-02-16",179,179.690002,176.320007,176.630005,1834000,169.243805
"2021-02-17",176.050003,177.300003,175.139999,176.649994,1578100,169.26297
"2021-02-18",177.25,179.669998,176.149994,179.369995,2087100,171.869217
"2021-02-19",179.570007,180.770004,176.199997,176.539993,2986800,169.157578
"2021-02-22",176.460007,177.089996,175.009995,176.119995,2271500,168.755127
"2021-02-23",177.539993,177.539993,174.710007,176.169998,2352300,168.80304
"2021-02-24",176,177.979996,173.759995,177.630005,2742600,170.201981
"2021-02-25",177.520004,180.75,177.429993,178.759995,2634300,171.284744
"2021-02-26",179.440002,179.449997,174.610001,175.059998,3363300,167.739456
"2021-03-01",175.699997,177.5,175.699997,176.410004,1840000,169.033005
"2021-03-02",177,177.789993,174.789993,177.110001,2272400,169.703751
"2021-03-03",177.429993,180.020004,176.800003,178.059998,2267800,170.613998
"2021-03-04",179.289993,180.179993,174.070007,177.630005,3535700,170.201981
"2021-03-05",178.449997,181.559998,176.949997,180.800003,2262800,173.239426
"2021-03-08",180.990005,185.699997,180.929993,183.770004,2574900,176.085236
"2021-03-09",183.5,184.149994,181.020004,181.179993,2842100,173.603531
"2021-03-10",182.369995,185.380005,181.410004,184.509995,2370700,176.794281
"2021-03-11",183.130005,185.070007,182.100006,184.570007,2377300,176.851791
"2021-03-12",185.610001,186.210007,184.270004,184.919998,2691600,177.187149
"2021-03-15",186.029999,189.630005,185.710007,189.479996,3300000,181.556442
"2021-03-16",188,188.460007,185.979996,186.850006,2264000,179.036438
"2021-03-17",187.330002,189.990005,187.050003,188.300003,2585100,180.425827
"2021-03-18",188.600006,192.089996,188.600006,191,3050500,183.012878
"2021-03-19",190.600006,191,188.690002,188.710007,6678900,180.818665
"2021-03-22",188.259995,189.759995,187.009995,189.470001,2605300,181.54689
"2021-03-23",188.770004,191.710007,187.899994,188.330002,2768700,180.454544
"2021-03-24",188.429993,192.740005,188.080002,190.690002,2829200,182.715866
"2021-03-25",191.639999,193.360001,190.169998,193.100006,2221000,185.025085
"2021-03-26",193.009995,194.949997,192.210007,194.880005,2677600,186.730652
"2021-03-29",193.619995,196.720001,193.509995,195.740005,2601800,187.554688
"2021-03-30",194.979996,196.630005,193.880005,194.639999,1876700,186.500687
"2021-03-31",193.940002,194.429993,192.050003,192.679993,2426900,184.62265
"2021-04-01",193.25,193.919998,190.839996,192.699997,1902100,184.641785
"2021-04-05",193.889999,195.949997,193.710007,194.970001,1963000,186.816879
"2021-04-06",195,195.610001,193.990005,194.839996,1472700,186.692322
"2021-04-07",194.160004,195.350006,193.919998,194.949997,1501500,186.797729
"2021-04-08",194.419998,196.669998,194.029999,195.720001,2391800,187.535507
"2021-04-09",196.059998,198.960007,196.059998,198,2159600,189.720169
"2021-04-12",198.199997,199.289993,197.059998,197.830002,1682100,189.557281
"2021-04-13",196.009995,197.330002,195.369995,196.470001,2259700,188.254135
"2021-04-14",195.550003,197.389999,195.020004,196.75,1575000,188.52243
"2021-04-15",197.279999,197.809998,195.910004,197.479996,1461600,189.221909
"2021-04-16",198.720001,199.669998,197.979996,198.580002,2769500,190.275925
"2021-04-19",198.110001,198.690002,196.669998,198.589996,2200500,190.285507
"2021-04-20",198.940002,199.350006,197.440002,198.300003,1653100,190.007629
"2021-04-21",198.300003,201.5,198.119995,200.880005,2649000,192.479736
"2021-04-22",200.669998,202.169998,200.179993,200.899994,2215800,192.498901
"2021-04-23",201,203.160004,200.990005,202.199997,1864100,193.744553
"2021-04-26",202.979996,202.990005,199.580002,199.630005,2578900,191.282028
"2021-04-27",191.509995,195.860001,188.630005,194.449997,5225000,186.318619
"2021-04-28",195,197.309998,194.809998,195.929993,2516900,187.736725
"2021-04-29",196.809998,199.410004,196.270004,199.050003,1887000,190.726288
"2021-04-30",197.660004,198.990005,196.130005,197.139999,2507100,188.896149
"2021-05-03",197.990005,199.470001,196.660004,198.610001,1779800,190.304657
"2021-05-04",198.490005,199.559998,197.539993,199.380005,1879000,191.04245
"2021-05-05",200,201.720001,197.880005,201.440002,2018500,193.016312
"2021-05-06",201.279999,202.509995,200.460007,202.410004,1840600,193.945755
"2021-05-07",202.309998,203.869995,201.240005,203.070007,1843600,194.578171
"2021-05-10",205,208.949997,204.059998,207.330002,3212700,198.660019
"2021-05-11",206.600006,206.910004,202.399994,203.720001,2552500,195.200974
"2021-05-12",203.589996,203.699997,198.770004,198.869995,2230600,190.553787
"2021-05-13",198.639999,204.039993,198.389999,203.410004,1684300,194.903961
"2021-05-14",204,205.119995,203.009995,204.380005,1475400,195.833389
"2021-05-17",204.600006,205.350006,203.690002,205.110001,1532700,196.532867
"2021-05-18",204.990005,205.179993,202.809998,203.029999,1771800,194.539841
"2021-05-19",201.910004,202.699997,199.330002,202.600006,2220200,194.127823
"2021-05-20",201.089996,202.190002,200.5,201.649994,1412500,194.639374
"2021-05-21",201.710007,203.759995,201.080002,201.860001,1537200,194.842087
"2021-05-24",202.800003,203.520004,201.919998,202.610001,1529200,195.565994
"2021-05-25",202.850006,203,201.369995,201.710007,1519400,194.697296
"2021-05-26",201.199997,201.789993,200.300003,201.580002,1847300,194.571823
"2021-05-27",203,203.979996,202.619995,203.240005,2457600,196.174118
"2021-05-28",203.880005,204.389999,202.800003,203.039993,1741200,195.981064
"2021-06-01",204.979996,205.089996,202.550003,203.199997,1567300,196.135483
"2021-06-02",203.729996,203.970001,202.360001,203.289993,1877400,196.222351
"2021-06-03",202.5,204.669998,201.809998,203.669998,1902100,196.589142
"2021-06-04",204.110001,206.119995,203.770004,206.050003,1868600,198.886398
"2021-06-07",206.350006,206.809998,203.309998,203.729996,1531100,196.647079
"2021-06-08",202,204.039993,201.139999,203.589996,1701400,196.511932
"2021-06-09",203.559998,203.570007,201.940002,202.740005,1707600,195.691498
"2021-06-10",204.149994,204.970001,202.779999,203.130005,1953100,196.067932
"2021-06-11",203.759995,204.899994,201.520004,202.809998,1696300,195.759048
