"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2020-12-18",1134.839966,1139.27002,1118.819946,1134.829956,320700,1134.829956
"2020-12-21",1122.23999,1139.219971,1100.140015,1135.329956,137200,1135.329956
"2020-12-22",1129.949951,1138.390015,1120.76001,1125.530029,111800,1125.530029
"2020-12-23",1130,1133.869995,1114.449951,1126.099976,76500,1126.099976
"2020-12-24",1127.22998,1148.400024,1127.22998,1140.189941,43000,1140.189941
"2020-12-28",1149.310059,1149.310059,1124.449951,1134.76001,49600,1134.76001
"2020-12-29",1144.630005,1151.099976,1131.5,1137.959961,86100,1137.959961
"2020-12-30",1141.109985,1149.910034,1129.819946,1133.880005,68000,1133.880005
"2020-12-31",1138.609985,1140.680054,1127.349976,1139.680054,110800,1139.680054
"2021-01-04",1155,1184.530029,1147.52002,1160.869995,172300,1160.869995
"2021-01-05",1154.77002,1190.47998,1154.77002,1176.349976,122200,1176.349976
"2021-01-06",1168.589966,1211.5,1168.589966,1197.089966,181000,1197.089966
"2021-01-07",1200,1224.900024,1200,1222.540039,125800,1222.540039
"2021-01-08",1221.430054,1245.619995,1218.050049,1236.98999,80700,1236.98999
"2021-01-11",1236.98999,1250.75,1231.859985,1245.02002,97700,1245.02002
"2021-01-12",1239.75,1247.599976,1215.51001,1220.47998,124000,1220.47998
"2021-01-13",1221.569946,1231.170044,1208.300049,1216.630005,118100,1216.630005
"2021-01-14",1216.359985,1220.47998,1201.930054,1204.209961,98000,1204.209961
"2021-01-15",1205.72998,1222.319946,1204.75,1218.439941,89000,1218.439941
"2021-01-19",1229.98999,1238.420044,1214.390015,1231.160034,116900,1231.160034
"2021-01-20",1233.050049,1271.670044,1233.050049,1268.800049,131000,1268.800049
"2021-01-21",1267.439941,1270.959961,1242.869995,1244.780029,128400,1244.780029
"2021-01-22",1244.310059,1246,1230.52002,1234.719971,98900,1234.719971
"2021-01-25",1232.26001,1241,1223.630005,1233.469971,70900,1233.469971
"2021-01-26",1232.339966,1232.339966,1204.72998,1210.910034,83500,1210.910034
"2021-01-27",1189.849976,1193.47998,1147.030029,1153.5,130200,1153.5
"2021-01-28",1167.359985,1187.130005,1158.22998,1170.800049,137900,1170.800049
"2021-01-29",1171.839966,1185.939941,1155.670044,1168.099976,92300,1168.099976
"2021-02-01",1179.410034,1192.310059,1174.869995,1180.819946,86500,1180.819946
"2021-02-02",1197.040039,1226.599976,1197.040039,1217.589966,119800,1217.589966
"2021-02-03",1213.869995,1219.359985,1182.640015,1188.380005,126400,1188.380005
"2021-02-04",1190,1224.23999,1184.949951,1216.939941,179400,1216.939941
"2021-02-05",1201.579956,1216.079956,1172.800049,1195.199951,221100,1195.199951
"2021-02-08",1197.619995,1213.890015,1189.119995,1209.27002,123500,1209.27002
"2021-02-09",1206.25,1219.619995,1204.420044,1206.5,71300,1206.5
"2021-02-10",1220,1220,1203.280029,1207.01001,86900,1207.01001
"2021-02-11",1216.599976,1216.599976,1196.430054,1202.069946,106500,1202.069946
"2021-02-12",1199.910034,1223.119995,1199.910034,1220.660034,88700,1220.660034
"2021-02-16",1218,1221.619995,1186.359985,1190.829956,133700,1190.829956
"2021-02-17",1182.680054,1182.680054,1160.76001,1166.459961,143700,1166.459961
"2021-02-18",1166.199951,1166.199951,1144.47998,1150.51001,156000,1150.51001
"2021-02-19",1155.079956,1178.109985,1155.079956,1165.449951,153300,1165.449951
"2021-02-22",1154.76001,1161.27002,1125.469971,1127.890015,104900,1127.890015
"2021-02-23",1122.76001,1122.76001,1094.540039,1110.459961,220900,1110.459961
"2021-02-24",1107.900024,1137.800049,1107.900024,1127.599976,164900,1127.599976
"2021-02-25",1130.51001,1130.51001,1100.089966,1109.910034,100500,1109.910034
"2021-02-26",1118.310059,1129.030029,1107.27002,1116.050049,195000,1116.050049
"2021-03-01",1126.790039,1146,1125.609985,1134.670044,99000,1134.670044
"2021-03-02",1138.619995,1138.619995,1113.540039,1122.569946,116800,1122.569946
"2021-03-03",1115.079956,1119.140015,1091.290039,1093.030029,101600,1093.030029
"2021-03-04",1085.560059,1090.900024,1048.069946,1059.420044,176900,1059.420044
"2021-03-05",1069.51001,1069.51001,1040.160034,1060.589966,243000,1060.589966
"2021-03-08",1060.51001,1070.030029,1033.400024,1038.469971,135500,1038.469971
"2021-03-09",1059.73999,1080.48999,1049.199951,1050,180600,1050
"2021-03-10",1061.97998,1073.51001,1054.01001,1055,191800,1055
"2021-03-11",1070.98999,1083.819946,1063.349976,1080.619995,150000,1080.619995
"2021-03-12",1078.219971,1078.219971,1057.530029,1067.380005,113100,1067.380005
"2021-03-15",1070.119995,1098.689941,1070.119995,1098.22998,110200,1098.22998
"2021-03-16",1102.73999,1106.109985,1075.609985,1083.699951,107300,1083.699951
"2021-03-17",1078.089966,1098.02002,1074.26001,1092.040039,193700,1092.040039
"2021-03-18",1085.109985,1105.150024,1085.109985,1100.290039,137900,1100.290039
"2021-03-19",1094.97998,1131.459961,1094.97998,1123.150024,289100,1123.150024
"2021-03-22",1124.209961,1130.97998,1116.209961,1130.869995,118200,1130.869995
"2021-03-23",1125.02002,1128.319946,1112.680054,1116.709961,90900,1116.709961
"2021-03-24",1114.890015,1125.619995,1107.5,1109.880005,103300,1109.880005
"2021-03-25",1108.609985,1118.949951,1095.73999,1117.180054,95300,1117.180054
"2021-03-26",1121.170044,1164.98999,1117.119995,1163.079956,94100,1163.079956
"2021-03-29",1153.25,1175.469971,1141.660034,1170.589966,103100,1170.589966
"2021-03-30",1165.119995,1170.939941,1145.780029,1149.27002,85100,1149.27002
"2021-03-31",1155.01001,1170.339966,1145.380005,1155.689941,131500,1155.689941
"2021-04-01",1166.459961,1178.369995,1155.140015,1175.189941,74100,1175.189941
"2021-04-05",1180,1199.900024,1180,1195.550049,70300,1195.550049
"2021-04-06",1196.300049,1220.98999,1192.939941,1210.219971,104500,1210.219971
"2021-04-07",1205.439941,1209.069946,1189.449951,1199.839966,63800,1199.839966
"2021-04-08",1209.050049,1211.47998,1200.719971,1206.400024,75600,1206.400024
"2021-04-09",1211.339966,1222.930054,1201.27002,1222.410034,93500,1222.410034
"2021-04-12",1222.75,1231.880005,1214.380005,1218.839966,91200,1218.839966
"2021-04-13",1221,1240.079956,1213.939941,1230.859985,70900,1230.859985
"2021-04-14",1226.52002,1235.27002,1220.449951,1224.599976,75900,1224.599976
"2021-04-15",1232.660034,1265.76001,1232.660034,1261.959961,87700,1261.959961
"2021-04-16",1270.930054,1282.699951,1266.48999,1282.329956,94000,1282.329956
"2021-04-19",1276.290039,1288.089966,1272.680054,1277.290039,87600,1277.290039
"2021-04-20",1277.290039,1282.209961,1267.040039,1276.910034,61400,1276.910034
"2021-04-21",1280.099976,1314.280029,1279,1311.140015,83600,1311.140015
"2021-04-22",1315.77002,1317.099976,1284.969971,1301.560059,114300,1301.560059
"2021-04-23",1305.959961,1339.380005,1301.540039,1335.150024,84600,1335.150024
"2021-04-26",1335.790039,1335.910034,1312.47998,1312.900024,84200,1312.900024
"2021-04-27",1313.910034,1329.060059,1305.790039,1322.859985,80200,1322.859985
"2021-04-28",1320.829956,1327.420044,1309.5,1323.98999,57900,1323.98999
"2021-04-29",1333.73999,1334.800049,1314.959961,1327.98999,78600,1327.98999
"2021-04-30",1325.430054,1325.47998,1304.22998,1313.319946,99800,1313.319946
"2021-05-03",1318.699951,1324.469971,1304.430054,1315.75,70300,1315.75
"2021-05-04",1304.880005,1314,1275.959961,1281.920044,117200,1281.920044
"2021-05-05",1298.040039,1301.23999,1279.420044,1293.01001,90200,1293.01001
"2021-05-06",1292.380005,1305.829956,1274.709961,1298.569946,122600,1298.569946
"2021-05-07",1292.670044,1329.959961,1276.699951,1278.560059,142100,1278.560059
"2021-05-10",1284.939941,1284.939941,1239.25,1244.550049,132300,1244.550049
"2021-05-11",1228.869995,1245.079956,1225.560059,1239.939941,96900,1239.939941
