"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2021-04-19",406,409.049988,404.559998,408.980011,187300,401.842529
"2021-04-20",410.820007,414.059998,409.269989,413.700012,308200,406.480225
"2021-04-21",415,427.769989,414.959991,424.040009,388700,416.639771
"2021-04-22",425.980011,426.48999,418.660004,419.119995,332300,411.805573
"2021-04-23",420,425.51001,418.51001,423.559998,169400,416.168121
"2021-04-26",423.950012,426.850006,419.410004,419.790009,186700,412.463928
"2021-04-27",420,423.869995,416.399994,423.320007,192300,415.932312
"2021-04-28",424.720001,427.48999,421.540009,422.220001,269200,414.851501
"2021-04-29",425.519989,430.649994,423.899994,429.899994,268500,422.397461
"2021-04-30",440,452.820007,432.019989,433.540009,647800,425.973938
"2021-05-03",438.559998,446,437.670013,443.880005,249000,436.133484
"2021-05-04",446.670013,456.880005,443.700012,456.339996,312300,448.376038
"2021-05-05",456.350006,460.970001,456.350006,460.559998,291400,452.522369
"2021-05-06",462.609985,463.440002,454.369995,459,343200,450.989594
"2021-05-07",455,467.579987,453.720001,465.640015,226500,459.134216
"2021-05-10",468.429993,479.869995,468.429993,474.220001,293100,467.59433
"2021-05-11",472.190002,472.850006,460,462.700012,273500,456.235291
"2021-05-12",464.279999,464.279999,453.600006,454.200012,245400,447.854065
"2021-05-13",454.200012,467.059998,453.73999,465.100006,215000,458.601776
"2021-05-14",467.040009,467.549988,463.119995,467.059998,208200,460.534393
"2021-05-17",467,469.48999,462.119995,467.070007,238900,460.54425
"2021-05-18",466.140015,467.070007,454.420013,454.769989,229000,448.416107
"2021-05-19",452.589996,456.809998,447.100006,456.209991,256900,449.835938
"2021-05-20",455.25,458.790009,453.880005,454.73999,186100,448.386505
"2021-05-21",456.619995,460.769989,455.529999,456.429993,408900,450.052917
"2021-05-24",458.820007,461.869995,455.339996,460.01001,152400,453.582886
"2021-05-25",460.26001,461.690002,458.730011,460.820007,181000,454.381592
"2021-05-26",460.119995,463.429993,456.959991,460.640015,160000,454.204102
"2021-05-27",465,465.700012,458.850006,459.119995,393800,452.705292
"2021-05-28",462,464.339996,461.640015,462.160004,144000,455.70282
"2021-06-01",467.329987,469.440002,461.390015,462.660004,166900,456.195862
"2021-06-02",462.570007,466.470001,460.269989,461.640015,185700,455.190155
"2021-06-03",460,464.700012,457.320007,463.459991,156900,456.98465
"2021-06-04",465.899994,466.779999,461.089996,464.649994,153500,458.15802
"2021-06-07",465,465,459.049988,459.809998,254600,453.385681
"2021-06-08",459.790009,463.570007,456.089996,462.480011,123500,456.018372
"2021-06-09",463.73999,463.73999,458.540009,458.549988,140100,452.14325
"2021-06-10",461.220001,462.720001,458.450012,459.549988,133200,453.129303
"2021-06-11",461.320007,462.73999,458.049988,459.200012,141100,452.78418
"2021-06-14",456.459991,459.059998,451.109985,454.799988,193800,448.445648
"2021-06-15",454.630005,458.880005,451.079987,458.720001,156200,452.310913
"2021-06-16",459.540009,459.540009,448.690002,448.940002,191900,442.667542
"2021-06-17",449.720001,449.859985,437,440.970001,250300,434.808929
"2021-06-18",434.209991,439.179993,433,436.529999,365400,430.430939
"2021-06-21",439.309998,447.109985,439.309998,445.089996,200900,438.871338
"2021-06-22",445,445.720001,440.579987,442.570007,197600,436.386566
"2021-06-23",441.910004,447.850006,438.369995,444.429993,262500,438.220551
"2021-06-24",446.100006,446.459991,440.589996,441.609985,227000,435.439941
"2021-06-25",443.630005,446.25,442.380005,442.940002,314200,436.751373
"2021-06-28",442.700012,444.859985,440,443.76001,141700,437.559937
"2021-06-29",444.100006,448.769989,443.529999,448.309998,161300,442.046356
"2021-06-30",449.01001,450.380005,436.76001,438,505000,431.880371
"2021-07-01",442.619995,445.790009,439.790009,444.839996,279000,438.624817
"2021-07-02",444.660004,449.170013,443.130005,446.709991,188000,440.468689
"2021-07-06",449.730011,451.709991,438.790009,447.369995,307000,441.119446
"2021-07-07",445.480011,459.440002,445.480011,459,214500,452.586975
"2021-07-08",454.200012,456.140015,447.75,449.700012,190200,443.416962
"2021-07-09",455.769989,457.869995,453.480011,456.829987,154900,450.447296
"2021-07-12",453.619995,458.380005,452.869995,457.700012,144400,451.305115
"2021-07-13",457.380005,459.23999,453.390015,455.179993,202600,448.820343
"2021-07-14",457.559998,459.209991,453.589996,457.190002,200500,450.802307
"2021-07-15",454.809998,461,454.809998,457.709991,212900,451.314972
"2021-07-16",459.230011,459.75,452.299988,453.190002,174100,446.858185
"2021-07-19",448.470001,451.089996,445.920013,449.519989,213800,443.23941
"2021-07-20",451.880005,460.23999,451.880005,459.529999,180700,453.109589
"2021-07-21",461.170013,464.190002,456.040009,457.730011,189700,451.334747
"2021-07-22",457.859985,459.920013,453.339996,454.429993,118700,448.080841
"2021-07-23",458.149994,459.329987,453.859985,458.660004,148400,452.25177
"2021-07-26",456.940002,458.140015,453.130005,456.720001,225200,450.338837
"2021-07-27",456.089996,458.779999,451.959991,456.179993,170800,449.806396
"2021-07-28",456.019989,457.75,448.440002,454.079987,192900,447.735718
"2021-07-29",456.839996,461.75,454.769989,461.230011,287200,454.785858
"2021-07-30",431.690002,453.209991,431.690002,444.579987,506700,438.368439
"2021-08-02",439.869995,444.149994,438.839996,440.160004,291600,434.010223
"2021-08-03",444.290009,447.899994,439.390015,445.950012,308700,439.71936
"2021-08-04",443.880005,444.98999,437.410004,439.350006,257900,433.211548
"2021-08-05",442.480011,444.339996,438.040009,439.26001,306100,433.122833
"2021-08-06",440.209991,441.690002,435.070007,438.690002,196300,434.161926
"2021-08-09",436.970001,438.25,435.350006,437.730011,165700,433.211884
"2021-08-10",439.200012,445.380005,437.350006,442.73999,182600,438.170135
"2021-08-11",443.290009,446.799988,441.720001,445.390015,209100,440.792816
"2021-08-12",446.799988,446.799988,437.910004,438.070007,213000,433.54837
"2021-08-13",438.190002,441.230011,437.359985,438.690002,166500,434.161926
"2021-08-16",436.23999,442.850006,434.290009,440.079987,181500,435.537598
"2021-08-17",437.540009,438.25,432.880005,435.940002,216200,431.440369
"2021-08-18",433.369995,437.220001,427.880005,428.359985,238800,423.938568
"2021-08-19",424.459991,432.369995,423.359985,429.660004,192000,425.225189
"2021-08-20",431.730011,435.459991,430.779999,430.98999,528000,426.541412
"2021-08-23",433.410004,435.869995,431.660004,432.350006,234100,427.88739
"2021-08-24",433.279999,435.730011,430.76001,430.98999,2e+05,426.541412
"2021-08-25",430.920013,436.829987,430.75,435.820007,181300,431.321594
"2021-08-26",434.779999,434.779999,428.309998,428.809998,336600,424.383942
"2021-08-27",431.459991,433.820007,430.799988,432.130005,139800,427.669678
"2021-08-30",432.519989,438.519989,432.299988,434.600006,161400,430.114166
"2021-08-31",434.579987,436.980011,431.679993,433.700012,397800,429.223511
"2021-09-01",434,434,424.660004,429.230011,306000,424.799591
"2021-09-02",431.25,436.049988,430.980011,435.399994,269500,430.905914
"2021-09-03",433.799988,433.890015,428.899994,429.649994,226900,425.215271
"2021-09-07",429.5,429.5,421.399994,421.450012,317800,417.099915
"2021-09-08",419.899994,421.910004,414.190002,418.149994,357600,413.833954
"2021-09-09",418.529999,420.73999,415.619995,416.540009,275900,412.240601
"2021-09-10",417.850006,418.75,414.660004,415.230011,217400,410.944122
"2021-09-13",417.730011,417.790009,408.089996,413.23999,295500,408.97464
"2021-09-14",415.440002,415.440002,407.899994,409.880005,365600,405.649323
"2021-09-15",409.600006,414.839996,407.910004,412.119995,283800,407.866211
"2021-09-16",412.450012,412.769989,408.420013,409.059998,232300,404.837769
"2021-09-17",406.519989,407.089996,402.01001,402.480011,475800,398.325745
"2021-09-20",397.25,404.880005,396.179993,404.179993,275100,400.008148
"2021-09-21",404.679993,406.640015,400.959991,401.269989,196500,397.128174
"2021-09-22",403.730011,405.160004,401.220001,402.179993,168700,398.028809
"2021-09-23",403.640015,406.410004,402.359985,403.390015,155500,399.226318
"2021-09-24",402.440002,406.73999,402.440002,405.350006,139000,401.166077
"2021-09-27",405.679993,413.179993,404.799988,408.220001,222300,404.00647
"2021-09-28",407.149994,409.75,402.309998,402.730011,230600,398.573151
"2021-09-29",405.350006,407.140015,401.429993,401.73999,152700,397.593353
"2021-09-30",402.579987,405.079987,393.01001,393.059998,273800,389.00293
"2021-10-01",393.200012,401.48999,391.160004,398.25,216900,394.139374
"2021-10-04",396.679993,401,393.720001,397.230011,249000,393.129883
"2021-10-05",399.970001,405.73999,397.230011,402.230011,197000,398.078308
