"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"2021-06-04",116.900002,117.209999,115.949997,116.919998,694600,115.336884
"2021-06-07",117.389999,119.150002,116.669998,118.260002,780900,116.658745
"2021-06-08",118.889999,118.940002,116.5,117.900002,656600,116.303619
"2021-06-09",118.120003,118.910004,117.300003,117.400002,664100,115.810394
"2021-06-10",117.989998,121.120003,117.580002,120.940002,841600,119.30246
"2021-06-11",120.709999,121.32,119.019997,119.839996,596900,118.217346
"2021-06-14",119.830002,119.830002,117.75,118.730003,635500,117.122391
"2021-06-15",119.110001,119.279999,118.300003,119.029999,474600,117.41832
"2021-06-16",119.290001,119.449997,117.790001,118.360001,566200,116.757385
"2021-06-17",118.529999,118.730003,116.919998,118.110001,597800,116.510773
"2021-06-18",117.230003,117.230003,114.309998,114.419998,1189400,112.870728
"2021-06-21",114.699997,116.739998,114.379997,116.620003,800200,115.040947
"2021-06-22",116.190002,117.339996,115.959999,116.690002,873600,115.110008
"2021-06-23",116.470001,116.669998,115.489998,115.809998,639500,114.24192
"2021-06-24",116.459999,116.459999,115.029999,115.480003,826800,113.916382
"2021-06-25",115.480003,116.779999,114.980003,116.339996,2753400,114.764748
"2021-06-28",116.269997,116.269997,114.260002,114.739998,909700,113.186409
"2021-06-29",115.120003,115.839996,114.360001,114.440002,894600,112.890472
"2021-06-30",114.620003,115.099998,113.620003,114.489998,782500,112.939789
"2021-07-01",114.900002,117.029999,114.900002,116.440002,1184700,114.863388
"2021-07-02",116.18,116.919998,115.050003,116.620003,776100,115.040947
"2021-07-06",116.040001,116.129997,112.660004,115.419998,956900,113.857193
"2021-07-07",114.949997,116.120003,114.620003,115.040001,812900,113.482346
"2021-07-08",114.160004,114.839996,113.260002,114.440002,639600,112.890472
"2021-07-09",115.290001,115.82,114.739998,115.129997,577300,113.571121
"2021-07-12",114.699997,116.25,114.260002,115.550003,644500,113.985443
"2021-07-13",115.290001,115.82,114.139999,114.209999,846700,112.663574
"2021-07-14",114.019997,114.330002,113.279999,113.559998,595700,112.022385
