"","JKHY.Open","JKHY.High","JKHY.Low","JKHY.Close","JKHY.Volume","JKHY.Adjusted"
"2021-08-25",173.399994,174.529999,172.889999,173.449997,240600,171.536804
"2021-08-26",173.339996,174.600006,171.490005,173.949997,240100,172.031296
"2021-08-27",174.320007,176.690002,174.089996,175.929993,423500,173.989456
"2021-08-30",176.229996,177.240005,175.580002,176.320007,200200,174.375168
"2021-08-31",176.929993,179.360001,175.740005,176.380005,518500,174.434494
"2021-09-01",177.25,177.990005,175.190002,177.300003,256800,175.34436
"2021-09-02",177.940002,178.399994,175.919998,176.229996,287400,174.286133
"2021-09-03",175.869995,176.660004,174.949997,175.740005,316200,173.801559
"2021-09-07",176.190002,177.410004,172.800003,173,433900,171.091782
"2021-09-08",172.270004,175.380005,171.830002,173.279999,600800,171.825562
"2021-09-09",174.179993,174.639999,171.210007,171.25,472300,169.812607
"2021-09-10",171.740005,173.5,168.559998,169.039993,516500,167.62114
"2021-09-13",170.580002,171.529999,167.770004,168.440002,368500,167.026199
"2021-09-14",168.330002,169.119995,166.470001,167.110001,366200,165.707336
"2021-09-15",167.160004,170.679993,167.160004,169.910004,357600,168.483856
"2021-09-16",170.289993,171.639999,169.449997,170.809998,316000,169.376297
"2021-09-17",170.029999,170.139999,167.720001,168.759995,827000,167.343491
"2021-09-20",166.699997,169.539993,166.669998,169.410004,452200,167.988052
"2021-09-21",170.509995,170.610001,167.479996,167.830002,314800,166.421326
"2021-09-22",167.820007,169.869995,166.889999,168.759995,292700,167.343491
"2021-09-23",168.649994,171.639999,168.649994,170.369995,283300,168.939987
"2021-09-24",170.369995,171.570007,170.369995,171.380005,219600,169.941513
"2021-09-27",171.070007,171.820007,169.479996,170.610001,326500,169.177979
"2021-09-28",170.100006,170.100006,164.720001,165.410004,488300,164.021637
"2021-09-29",165.610001,167.639999,165.610001,166.160004,321800,164.765335
"2021-09-30",166.5,167.729996,162.710007,164.059998,464100,162.682968
"2021-10-01",164.789993,166.669998,163.149994,165.009995,354500,163.624969
"2021-10-04",164.039993,165.679993,162.220001,163.160004,394300,161.790512
