"","NXPI.Open","NXPI.High","NXPI.Low","NXPI.Close","NXPI.Volume","NXPI.Adjusted"
"2021-03-25",182.660004,192,182.279999,191.309998,3512600,187.946075
"2021-03-26",190.789993,199.429993,189.070007,199,3096200,195.500854
"2021-03-29",196.910004,197.660004,191.880005,194.139999,2707300,190.726318
"2021-03-30",192.389999,198.809998,192.270004,197.770004,2324500,194.29248
"2021-03-31",200.020004,203.199997,198,201.339996,2854000,197.799698
"2021-04-01",205.270004,208.309998,204.139999,208.080002,2662800,204.421204
"2021-04-05",211.339996,216.429993,209.630005,214.699997,2663700,210.924789
"2021-04-06",212.610001,214.699997,208.660004,212.910004,2177500,209.166275
"2021-04-07",211.899994,213.389999,210.259995,212.139999,1522500,208.409821
"2021-04-08",209,210.669998,207.089996,209.210007,3177300,205.531326
"2021-04-09",207.449997,209.520004,206.039993,209.190002,1878000,205.511688
"2021-04-12",207.979996,208.220001,204.869995,207.940002,1686200,204.283661
"2021-04-13",207.320007,207.789993,200.720001,202,3033300,198.448105
"2021-04-14",201.199997,203.330002,198.589996,199.889999,2879000,196.375198
"2021-04-15",202.759995,202.759995,198.529999,201.770004,1858100,198.222137
"2021-04-16",201.190002,202.080002,199.009995,199.380005,2187600,195.874191
"2021-04-19",199.369995,199.559998,191.990005,194.759995,2686000,191.335419
"2021-04-20",193.860001,196.589996,192.360001,193.860001,3197900,190.451233
"2021-04-21",194.160004,201.350006,192.460007,201.130005,2747800,197.593414
"2021-04-22",201.240005,202.070007,195.880005,196.25,2379900,192.799194
"2021-04-23",198.089996,202.770004,197.940002,201.559998,3210500,198.015839
"2021-04-26",202.399994,206.720001,202.100006,205.020004,3238900,201.415009
"2021-04-27",207.779999,209.190002,202.460007,203.399994,2790700,199.823486
"2021-04-28",203.889999,203.889999,198.350006,198.649994,2191500,195.157013
"2021-04-29",201.199997,201.660004,196.399994,200.759995,1982500,197.229904
"2021-04-30",197.270004,198.330002,191.050003,192.509995,3704600,189.124969
"2021-05-03",194.75,195.940002,190.470001,191.839996,2245300,188.466736
"2021-05-04",188.5,191.75,185.199997,191.089996,4444300,187.72995
"2021-05-05",192.020004,192.729996,188.470001,190.410004,4243000,187.061905
"2021-05-06",189.419998,192.619995,186.259995,192.520004,2785600,189.134827
"2021-05-07",195,198.5,193.330002,197.919998,3321400,194.439835
"2021-05-10",195.300003,196.410004,188.910004,189.029999,2850400,185.706146
"2021-05-11",183.419998,192.830002,182.589996,192.539993,3037300,189.154434
"2021-05-12",187.789993,189.990005,181.720001,182.779999,3820500,179.566071
"2021-05-13",184.850006,189.130005,184.690002,186.440002,2586100,183.161697
"2021-05-14",188.800003,194.949997,188.160004,192.270004,2953800,188.889221
"2021-05-17",190.259995,191.470001,187.240005,191.179993,2244600,187.818344
"2021-05-18",193.070007,195.350006,191.179993,191.25,2288500,187.887131
"2021-05-19",187.160004,195.809998,186.119995,194.940002,2748900,191.512238
"2021-05-20",195.589996,200.619995,195.589996,199.669998,2641400,196.159073
"2021-05-21",201.130005,202.320007,199.179993,199.839996,2237200,196.326096
"2021-05-24",200.740005,205.699997,200.740005,204.380005,2092100,200.786255
"2021-05-25",206,206.639999,204.130005,204.759995,1916500,201.159561
"2021-05-26",204.690002,207.860001,204.020004,206.139999,1983300,202.515305
"2021-05-27",206.509995,210.410004,205,210.220001,3503800,206.523575
"2021-05-28",210.5,213.289993,209.699997,211.419998,2239000,207.702469
"2021-06-01",212.850006,214.300003,207.649994,207.910004,2264800,204.254196
"2021-06-02",207.119995,208.559998,205.490005,207.850006,1764800,204.195251
"2021-06-03",205.589996,205.770004,200.630005,200.75,3895100,197.220078
"2021-06-04",201.350006,203.25,200.669998,202,3485600,198.448105
"2021-06-07",202,202,199.720001,201.149994,2587800,197.613037
"2021-06-08",203.080002,203.080002,197.5,198.25,3322600,194.764038
"2021-06-09",198.710007,199.600006,196.520004,197.380005,1939000,193.909363
"2021-06-10",198,202.660004,197.699997,201.050003,2371200,197.514816
