"","GNRC.Open","GNRC.High","GNRC.Low","GNRC.Close","GNRC.Volume","GNRC.Adjusted"
"2021-11-16",436.320007,442.279999,430.269989,438.679993,530000,438.679993
"2021-11-17",439.130005,439.779999,426.149994,426.640015,461100,426.640015
"2021-11-18",429.359985,430.320007,417.529999,422.089996,487100,422.089996
"2021-11-19",425.420013,438.929993,420.679993,434.25,752700,434.25
"2021-11-22",443.519989,463.459991,427.01001,439.98999,1020300,439.98999
"2021-11-23",440,447.269989,423.910004,432.829987,585700,432.829987
"2021-11-24",429.140015,437.440002,421.929993,437.100006,368000,437.100006
"2021-11-26",429.790009,445.660004,427.779999,433.149994,374300,433.149994
"2021-11-29",437.5,442.179993,419.01001,424.579987,672100,424.579987
"2021-11-30",425.48999,433.519989,411.529999,421.23999,1687900,421.23999
"2021-12-01",423.570007,427.220001,403.48999,403.570007,790900,403.570007
"2021-12-02",402.209991,417.679993,398.51001,406.459991,656400,406.459991
"2021-12-03",401,407.290009,383.670013,385.559998,1056300,385.559998
"2021-12-06",384.059998,384.059998,362,366.679993,1495900,366.679993
"2021-12-07",374.779999,380,355.589996,358.420013,2041800,358.420013
"2021-12-08",360.950012,375.339996,352.559998,367.980011,1083400,367.980011
"2021-12-09",369.730011,370.410004,357.76001,360.640015,718400,360.640015
"2021-12-10",360.619995,366.649994,347.519989,348.23999,756500,348.23999
"2021-12-13",349.299988,352.589996,342.179993,345.480011,935700,345.480011
"2021-12-14",340.450012,343.850006,335,341.299988,1044700,341.299988
"2021-12-15",342.920013,356.950012,336.339996,355.570007,1340700,355.570007
"2021-12-16",370.940002,377.709991,346.230011,350.040009,1404200,350.040009
"2021-12-17",343,362.339996,339.5,357.429993,1647000,357.429993
"2021-12-20",352.040009,360.23999,343.899994,346.119995,828000,346.119995
"2021-12-21",347.51001,352.25,337.630005,348.200012,565500,348.200012
"2021-12-22",350.670013,354.589996,345,351.809998,463200,351.809998
"2021-12-23",351.470001,354.579987,346.51001,351.290009,391400,351.290009
"2021-12-27",352.48999,356.359985,346.140015,352.079987,455000,352.079987
"2021-12-28",352.980011,352.980011,346.459991,348.179993,382400,348.179993
"2021-12-29",348.76001,350.200012,339.630005,346.929993,407700,346.929993
"2021-12-30",347.299988,357.149994,346,352.959991,365800,352.959991
"2021-12-31",350.959991,356.839996,350,351.920013,406400,351.920013
"2022-01-03",353.980011,353.980011,343.440002,347.910004,565500,347.910004
"2022-01-04",346.640015,347.890015,318.519989,332.079987,1610800,332.079987
"2022-01-05",332.149994,332.579987,309.290009,312.089996,1429300,312.089996
"2022-01-06",313.880005,322.230011,303.339996,317.390015,1122200,317.390015
"2022-01-07",316.149994,324.26001,311.089996,316.549988,1003200,316.549988
"2022-01-10",321.140015,323.880005,306.790009,323.730011,1292400,323.730011
"2022-01-11",323,329.700012,318.049988,323.290009,1117700,323.290009
"2022-01-12",325.820007,327.720001,318.149994,319,869000,319
"2022-01-13",320.700012,323.880005,308.920013,310.339996,645100,310.339996
"2022-01-14",308.079987,315.769989,302.549988,306.279999,1069900,306.279999
"2022-01-18",300.01001,302.549988,293.519989,294.899994,917200,294.899994
"2022-01-19",297.410004,305.359985,291.269989,291.359985,752400,291.359985
