"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume","PFG.Adjusted"
"2021-05-25",65.769997,66.440002,63.939999,63.990002,1488800,61.084473
"2021-05-26",64.120003,64.949997,63.900002,64.779999,3376600,61.838596
"2021-05-27",65.32,66.209999,64.779999,65.269997,2386200,62.306343
"2021-05-28",65.870003,65.870003,64.339996,65.389999,1343500,62.420906
"2021-06-01",66.110001,66.849998,65.940002,66.230003,2382600,63.222763
"2021-06-02",65.800003,66.290001,65.300003,65.459999,1028700,63.068607
"2021-06-03",64.720001,66.099998,64.720001,65.720001,923300,63.319111
"2021-06-04",65.75,66,64.980003,65.940002,703400,63.531071
"2021-06-07",66.169998,66.169998,65.410004,65.519997,716100,63.126408
"2021-06-08",65.220001,66.220001,64.699997,66.160004,882100,63.743042
"2021-06-09",65.889999,65.889999,65.050003,65.080002,826600,62.702488
"2021-06-10",66.139999,66.190002,64.339996,64.379997,767700,62.028061
"2021-06-11",64.650002,65.019997,64.580002,64.870003,623200,62.500164
"2021-06-14",64.870003,65,64.019997,64.239998,935000,61.893173
"2021-06-15",63.040001,64.989998,63.029999,64.550003,1426000,62.191853
"2021-06-16",64.440002,65.019997,63.689999,64.489998,1093800,62.134041
"2021-06-17",64.940002,65.080002,61.529999,61.810001,1095800,59.551952
"2021-06-18",60.619999,61.259998,59.689999,59.740002,2011600,57.557571
"2021-06-21",60.450001,61.669998,60.349998,61.619999,975600,59.368889
"2021-06-22",61.5,62.119999,60.73,61.740002,1216600,59.484509
"2021-06-23",61.970001,62.709999,61.5,62.25,1002400,59.975876
"2021-06-24",62.540001,63.25,62.080002,62.919998,1441100,60.621395
"2021-06-25",62.830002,64.769997,62.830002,64.360001,1785400,62.008789
"2021-06-28",64.349998,64.43,63.040001,63.139999,1469600,60.833359
"2021-06-29",63.580002,63.950001,62.799999,62.959999,860400,60.659931
"2021-06-30",62.799999,63.349998,62.689999,63.189999,1099500,60.881531
"2021-07-01",63.869999,63.98,63.169998,63.540001,1213700,61.218746
"2021-07-02",63.330002,63.419998,63.029999,63.27,772800,60.958611
"2021-07-06",64.489998,64.550003,61.459999,61.810001,1312000,59.551952
"2021-07-07",60.689999,62.130001,60.689999,61.860001,896300,59.600124
"2021-07-08",60.43,60.860001,59.549999,59.939999,1531700,57.750263
"2021-07-09",61.25,62.110001,60.900002,61.990002,1122000,59.725376
"2021-07-12",61.830002,62.720001,61.139999,62.5,1949500,60.216743
"2021-07-13",62.029999,62.650002,61.470001,61.509998,789400,59.262901
"2021-07-14",61.790001,62.389999,60.689999,61.41,729800,59.166561
"2021-07-15",60.709999,62.07,60.529999,61.599998,985400,59.349617
"2021-07-16",61.16,62.060001,60.810001,60.990002,1136000,58.761906
"2021-07-19",59.580002,60,58.66,59.200001,1477200,57.037296
"2021-07-20",58.869999,61.91,58.869999,61.57,1670200,59.320713
"2021-07-21",62.240002,63.869999,62.119999,63.060001,1258900,60.756283
"2021-07-22",62.990002,63.009998,61.810001,62.009998,1179900,59.74464
"2021-07-23",62.68,63.119999,61.939999,62.189999,622400,59.918068
"2021-07-26",62.169998,63.200001,62.169998,62.639999,1342300,60.351627
"2021-07-27",61.830002,63.200001,61.369999,62.549999,1057800,60.264915
"2021-07-28",62.959999,63.860001,61.32,62.470001,1693900,60.18784
"2021-07-29",63.470001,63.619999,62.419998,62.889999,1184200,60.592495
"2021-07-30",62.639999,63.099998,61.830002,62.130001,1534200,59.860264
"2021-08-02",62.450001,63.52,61.849998,62,1218900,59.735008
"2021-08-03",62.25,63.09,60.610001,62.990002,1279500,60.688843
"2021-08-04",62.389999,63.220001,61.740002,61.830002,1832600,59.571217
"2021-08-05",62.450001,63.610001,62.220001,63.599998,1310200,61.276554
"2021-08-06",64.599998,65.220001,64.209999,64.860001,890700,62.490524
"2021-08-09",64.860001,65.480003,64.260002,64.949997,799500,62.577236
"2021-08-10",65,66.389999,64.639999,65.699997,981600,63.299835
