"","SBNY.Open","SBNY.High","SBNY.Low","SBNY.Close","SBNY.Volume","SBNY.Adjusted"
"2021-10-20",300.149994,311.339996,299.149994,309.790009,611100,306.982635
"2021-10-21",310.869995,311.209991,305.100006,309.690002,442500,306.883575
"2021-10-22",311.440002,316.950012,310.450012,315.440002,435300,312.581451
"2021-10-25",317.51001,317.51001,310.420013,312.399994,413400,309.569
"2021-10-26",313.100006,314.799988,304.23999,307.929993,534500,305.139496
"2021-10-27",304.279999,307.390015,294.26001,295.559998,666200,292.881592
"2021-10-28",296.01001,301.480011,292.399994,300.799988,682100,298.639954
"2021-10-29",301.700012,307.679993,295.5,297.820007,689700,295.681366
"2021-11-01",301.359985,313.070007,299,311.049988,1188200,308.816345
"2021-11-02",311.540009,315.399994,308.160004,315.119995,540600,312.857117
"2021-11-03",315,327.440002,314.890015,325.690002,806400,323.351227
"2021-11-04",326.359985,326.359985,312.579987,319.48999,625700,317.19574
"2021-11-05",322.230011,326.320007,314.440002,320.640015,382500,318.337494
"2021-11-08",327,328.73999,319.019989,321.040009,647900,318.734589
"2021-11-09",319.01001,323.339996,315.670013,323.230011,513800,320.908905
"2021-11-10",323.970001,326.290009,314.899994,315.380005,531800,313.115265
"2021-11-11",316.100006,319.429993,314.23999,315.450012,475600,313.184784
"2021-11-12",315.579987,323.089996,313.070007,314.98999,541500,312.728058
"2021-11-15",319.200012,323.290009,317,321.450012,387800,319.141693
"2021-11-16",319.529999,325.329987,316.820007,322.100006,484700,319.787018
"2021-11-17",322.100006,324.690002,316.670013,323.420013,378200,321.097534
"2021-11-18",324.269989,328.570007,320.730011,328,633100,325.644623
"2021-11-19",326.269989,332.51001,319.23999,331.98999,995800,329.605957
"2021-11-22",336.190002,339.390015,328.75,332.609985,1087700,330.221497
"2021-11-23",333.559998,337,328.640015,336.140015,889000,333.726166
"2021-11-24",334.670013,342.029999,332.779999,339.630005,527300,337.191101
"2021-11-26",328.929993,329.589996,319.470001,325.950012,746000,323.609375
"2021-11-29",329.619995,336.649994,324.450012,327.079987,1470600,324.731201
"2021-11-30",324.5,329.040009,299.940002,302.299988,4465900,300.129181
"2021-12-01",314.200012,323.130005,303.529999,305.01001,1393700,302.819733
"2021-12-02",310.51001,321.440002,306.01001,319.600006,886900,317.304962
"2021-12-03",320.820007,321.679993,302.410004,305.730011,668200,303.534576
"2021-12-06",310.290009,314.299988,299.01001,311.339996,979600,309.104248
"2021-12-07",315.589996,321.959991,314.670013,318.230011,724500,315.944794
"2021-12-08",319.309998,324.339996,314.299988,320.839996,727700,318.536041
"2021-12-09",320.220001,324.01001,314.350006,315.350006,530200,313.08548
"2021-12-10",317.640015,319.140015,298.679993,304.950012,851800,302.760162
"2021-12-13",304.48999,305.529999,291.429993,295.579987,744400,293.457397
"2021-12-14",293.859985,301.809998,292.040009,299.820007,855000,297.666992
"2021-12-15",301.959991,307.420013,295.630005,303.26001,1138300,301.082306
"2021-12-16",306.299988,311.700012,301.329987,304.26001,1460100,302.075104
"2021-12-17",301.290009,304.130005,288.149994,303.470001,12033900,301.290771
"2021-12-20",295.130005,300.899994,292,299.799988,1256000,297.647095
"2021-12-21",302.920013,316,302.920013,315.820007,742100,313.552094
"2021-12-22",315.309998,320.869995,311.779999,320.299988,513000,317.999908
"2021-12-23",322.559998,326.73999,318.880005,319.730011,577200,317.43399
"2021-12-27",319.679993,328.209991,316.540009,326.600006,455900,324.2547
"2021-12-28",326.420013,328.089996,322.209991,324.209991,341400,321.881836
"2021-12-29",324.48999,326.339996,320.51001,320.920013,346900,318.615448
"2021-12-30",321.910004,328.01001,319.579987,319.700012,326200,317.404236
"2021-12-31",318.910004,326.070007,318.910004,323.470001,295700,321.147156
"2022-01-03",325.970001,331.579987,323.179993,327.339996,523700,324.98938
"2022-01-04",331.5,339.399994,329.609985,335.079987,685400,332.673767
"2022-01-05",337.429993,347.399994,337.429993,341,1165700,338.55127
"2022-01-06",343.459991,362.640015,340.380005,362.459991,1212400,359.857178
"2022-01-07",362,370.899994,356.980011,365.709991,1250800,363.083832
"2022-01-10",365.450012,367.119995,346,353.23999,1120700,350.703369
"2022-01-11",354.190002,361.76001,344.76001,360.709991,646100,358.11972
"2022-01-12",363.970001,371.420013,362.140015,366,852900,363.371735
"2022-01-13",366.390015,372.5,364.350006,365.149994,655500,362.527832
