"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2021-03-26",98.110001,98.879997,97.480003,98.440002,718700,94.098999
"2021-03-29",98.110001,99.480003,97.800003,99.160004,828400,94.787262
"2021-03-30",98.970001,99,97.459999,98.660004,837300,94.309296
"2021-03-31",98.739998,99.669998,98.419998,99.470001,1365800,95.083572
"2021-04-01",99.040001,99.790001,98.419998,99.639999,941100,95.246078
"2021-04-05",100,101.739998,99.910004,100.529999,1082100,96.09684
"2021-04-06",100.279999,101.970001,99.75,101.900002,1279700,97.406418
"2021-04-07",102,102.360001,101.050003,101.720001,1690900,97.234344
"2021-04-08",101.900002,102.290001,101.160004,101.279999,770300,96.813751
"2021-04-09",101.269997,102.059998,100.769997,101.139999,808500,96.679932
"2021-04-12",101.199997,102.300003,101.199997,101.970001,745300,97.473328
"2021-04-13",101.139999,103.669998,100.989998,103.410004,1110800,98.849823
"2021-04-14",103.209999,104.239998,102.639999,104.18,1004700,99.585869
"2021-04-15",104,105.68,103.900002,105.589996,977500,100.933693
"2021-04-16",106.120003,107.150002,105.779999,106.639999,1521200,101.937386
"2021-04-19",107.080002,107.080002,105.919998,106.580002,726900,101.880043
"2021-04-20",106.720001,108.440002,106.589996,107.989998,716800,103.227859
"2021-04-21",108.389999,108.879997,107.099998,107.68,773600,102.931526
"2021-04-22",107.559998,107.75,106.580002,106.599998,797500,101.899155
"2021-04-23",106.440002,106.919998,105.610001,106.709999,1081000,102.004303
"2021-04-26",106.82,107.120003,106.18,107,1248400,102.281525
"2021-04-27",106.529999,107.32,106.120003,106.540001,1896600,101.841797
"2021-04-28",106.290001,106.949997,105.169998,106.580002,2145300,101.880043
"2021-04-29",106.760002,108.949997,106.760002,108.589996,1499300,103.801407
"2021-04-30",108.730003,109.43,108.110001,109.290001,1459300,104.470528
"2021-05-03",109.410004,110.339996,109.129997,109.230003,915700,104.413185
"2021-05-04",109.480003,109.610001,108,109.110001,1325100,104.29847
"2021-05-05",107.599998,108.010002,105.980003,106.940002,1417800,103.122025
"2021-05-06",107.199997,107.82,106.239998,107.629997,1397700,103.787392
"2021-05-07",107.389999,109,107.389999,108.309998,833700,104.443115
"2021-05-10",108.940002,109.800003,108.650002,109.110001,960200,105.214554
"2021-05-11",109.080002,109.349998,106.129997,107.029999,974400,103.208809
"2021-05-12",106.980003,106.980003,103.849998,103.879997,1073000,100.171265
"2021-05-13",104.050003,106.949997,103.879997,106.059998,1279400,102.273438
"2021-05-14",106.400002,107.620003,106.400002,107.18,719000,103.353455
"2021-05-17",107.279999,107.489998,105.519997,105.519997,1102400,101.752716
"2021-05-18",105.190002,105.980003,104.669998,105.529999,1445700,101.762375
"2021-05-19",105.25,105.480003,103.82,105.010002,865300,101.260925
"2021-05-20",104.900002,106.559998,104.900002,105.739998,717300,101.964867
"2021-05-21",106.010002,106.790001,105.610001,106.639999,1901500,102.832733
"2021-05-24",106.970001,107.080002,106.150002,106.800003,936500,102.987022
"2021-05-25",106.860001,106.860001,105.589996,105.919998,908300,102.138435
"2021-05-26",105.889999,106.110001,105.150002,105.330002,840800,101.569511
"2021-05-27",105.849998,105.849998,104.769997,104.800003,1007500,101.058426
"2021-05-28",105.32,105.739998,104.75,105.260002,722600,101.502007
"2021-06-01",105.5,105.75,104.260002,104.629997,889500,100.894493
"2021-06-02",104.599998,105.309998,103.970001,104.68,882000,100.942703
"2021-06-03",104.110001,106.059998,103.970001,105.809998,710400,102.032364
"2021-06-04",106,106.32,105.620003,105.919998,570800,102.138435
"2021-06-07",106.290001,106.68,105.860001,106.589996,714000,102.784523
"2021-06-08",106.470001,106.769997,105.260002,106.129997,869500,102.340942
"2021-06-09",106.559998,107.870003,106.010002,107.620003,866900,103.777748
