"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2021-12-10",106.68,107.910004,106.339996,107.410004,1944100,105.522118
"2021-12-13",107.25,108.480003,106.43,107.879997,1198800,105.983856
"2021-12-14",108.029999,109,107.029999,107.290001,1103700,105.404221
"2021-12-15",107.029999,110.120003,107.029999,109.849998,1089700,107.919228
"2021-12-16",110.089996,112.110001,109.739998,110.669998,1298200,108.724815
"2021-12-17",109.449997,110.940002,109.199997,109.519997,1892000,107.595024
"2021-12-20",108.550003,109.660004,106.839996,109.449997,958000,107.526253
"2021-12-21",110.370003,111.230003,108.580002,109.269997,1032800,107.349419
"2021-12-22",108.940002,109.980003,108.669998,109.980003,513100,108.046951
"2021-12-23",110.120003,110.5,109.82,110.089996,459800,108.155006
"2021-12-27",110.220001,110.900002,109.760002,110.830002,436300,108.882004
"2021-12-28",110.970001,111.959999,110.839996,111.889999,341000,109.92337
"2021-12-29",111.93,112.540001,111.43,112.489998,465600,110.512825
