"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"2021-03-11",94.209999,95.059998,93.339996,94.529999,982900,91.531067
"2021-03-12",95,96.330002,94.459999,95.919998,767200,92.876968
"2021-03-15",96.050003,97.260002,95.970001,97.220001,739600,94.135735
"2021-03-16",96.879997,97.18,94.839996,96.18,688400,93.128716
"2021-03-17",96.68,96.68,94.5,95.18,696600,92.160454
"2021-03-18",94.760002,97.230003,94.760002,95.610001,844100,92.576813
"2021-03-19",96.309998,97.370003,95.459999,96.699997,2266600,93.632225
"2021-03-22",97.279999,97.279999,94.599998,95.589996,1311200,92.557434
"2021-03-23",95.389999,96.050003,94.660004,95.110001,669400,92.092667
"2021-03-24",95.139999,96.639999,94.830002,95.07,808100,92.05394
"2021-03-25",95.620003,96.739998,94.599998,96.279999,699900,93.225548
"2021-03-26",96.860001,97.870003,96.5,97.699997,1159500,94.600502
"2021-03-29",97.699997,98.900002,96.730003,97.410004,884600,94.31971
"2021-03-30",97.5,98.379997,97.400002,97.809998,803900,94.707024
"2021-03-31",98.139999,98.260002,95.080002,95.43,1259400,92.402519
"2021-04-01",95.599998,97.489998,95,97.150002,919600,94.067963
"2021-04-05",97.970001,98.650002,97.050003,97.68,800600,94.581139
"2021-04-06",97,98.25,97,97.559998,812400,94.464943
"2021-04-07",97.269997,97.760002,96.029999,96.269997,620000,93.215866
"2021-04-08",96.07,96.699997,95.459999,96.510002,658800,93.448257
"2021-04-09",96.860001,97.809998,96.540001,97.449997,547500,94.358421
"2021-04-12",97.489998,99.139999,97.220001,99.040001,762400,95.897995
"2021-04-13",98.800003,99.32,97.449997,98.209999,882300,95.094322
"2021-04-14",98,98.730003,97.419998,98.519997,736700,95.394485
"2021-04-15",99.040001,101.029999,98.190002,100.760002,1202400,97.563431
"2021-04-16",101.370003,104.349998,100.300003,100.760002,1549600,97.563431
"2021-04-19",100.559998,100.559998,98.339996,98.639999,785100,95.510689
"2021-04-20",98.970001,99.669998,98.330002,99.480003,704300,96.324036
"2021-04-21",99.68,100.580002,98.690002,98.949997,962000,95.810844
"2021-04-22",98.779999,100.040001,98.43,99.169998,814700,96.023865
"2021-04-23",99.559998,100.300003,98.839996,99.779999,839300,96.614517
"2021-04-26",100.620003,100.699997,97.75,98.139999,994700,95.026543
"2021-04-27",98.199997,99.260002,96.349998,96.589996,1755600,93.525719
"2021-04-28",93.900002,95,92,93.629997,2490400,90.659615
"2021-04-29",93.940002,97.440002,93.599998,97.43,1642600,94.339073
"2021-04-30",97.470001,98.519997,96.260002,97.080002,2316300,94.000168
"2021-05-03",97.110001,100,97.110001,99.07,1390500,95.927032
"2021-05-04",99.940002,99.940002,98.379997,99.300003,1103600,96.149757
"2021-05-05",99.389999,99.75,97.870003,98.870003,895300,95.733383
"2021-05-06",98.919998,99.410004,97.150002,98.019997,962000,94.910347
"2021-05-07",98.059998,99.779999,97.330002,99.510002,897400,96.353081
"2021-05-10",100,102.650002,99.940002,101.730003,1398000,98.502663
"2021-05-11",101.029999,101.199997,98.019997,99.089996,954100,95.946404
"2021-05-12",98.150002,98.75,97.029999,97.150002,1083500,94.067963
"2021-05-13",97.449997,99.690002,97.300003,99.209999,669000,96.062607
"2021-05-14",99.360001,100.279999,98.900002,99.779999,679800,96.614517
"2021-05-17",99.540001,99.989998,98.620003,99.029999,679600,95.888313
"2021-05-18",99.059998,99.5,97.410004,97.489998,660900,94.397163
"2021-05-19",97.029999,97.470001,95.419998,97.379997,1011800,94.290649
"2021-05-20",97.349998,98.019997,96.400002,96.510002,946200,93.448257
"2021-05-21",96.370003,97.93,96.339996,96.580002,2444900,93.516052
"2021-05-24",97.620003,97.889999,96.279999,97.720001,821800,94.619873
"2021-05-25",97.709999,97.860001,95.760002,96.139999,1015600,93.089996
"2021-05-26",96,97.349998,95.970001,97.339996,857300,94.251915
"2021-05-27",97.739998,98.370003,96.940002,97.129997,1518800,94.048592
"2021-05-28",97.239998,98.57,96.790001,97.019997,936300,93.942085
"2021-06-01",97.639999,97.75,96.129997,96.419998,792100,93.361107
"2021-06-02",96.730003,96.730003,95.290001,95.57,760100,92.538078
"2021-06-03",95.059998,96.360001,94.349998,96.160004,1332800,93.608902
"2021-06-04",95.82,96.540001,95.580002,96.339996,971700,93.784126
"2021-06-07",98.580002,98.739998,96.889999,98.550003,1071400,95.935486
"2021-06-08",98.129997,99.099998,97.720001,98.669998,1035500,96.052307
"2021-06-09",99.110001,99.32,98.269997,99,1165200,96.373543
"2021-06-10",99.360001,99.589996,98.400002,99.169998,1106000,96.539032
"2021-06-11",99.300003,100.07,99.169998,100,760400,97.347023
"2021-06-14",100.150002,100.220001,98.410004,98.709999,897100,96.09124
"2021-06-15",98.68,99.370003,97.870003,99.18,742800,96.548767
"2021-06-16",99.370003,99.370003,96.360001,96.470001,986000,93.910675
"2021-06-17",96.400002,96.690002,94.519997,95.019997,990000,92.499138
"2021-06-18",93.949997,94.389999,92.029999,92.889999,1977500,90.425644
"2021-06-21",93.529999,95.080002,93.339996,94.349998,781100,91.846909
"2021-06-22",94.139999,95.529999,93.760002,95.360001,867900,92.830116
"2021-06-23",95.540001,95.739998,94.330002,94.349998,629600,91.846909
"2021-06-24",95.040001,95.040001,94.019997,94.349998,509600,91.846909
"2021-06-25",94.120003,95.919998,93.760002,95.790001,1018800,93.248718
"2021-06-28",95.989998,95.989998,94.110001,94.269997,711100,91.769035
"2021-06-29",94.290001,94.980003,93.519997,94.540001,704600,92.031868
"2021-06-30",94.209999,94.400002,93.150002,93.669998,2089200,91.184952
"2021-07-01",94.139999,94.309998,92.370003,94.209999,1300500,91.710632
"2021-07-02",94.25,94.650002,93.540001,93.779999,758400,91.292038
"2021-07-06",93.610001,93.610001,91.93,92.82,948500,90.357498
"2021-07-07",92.769997,93.800003,92.360001,93.339996,847400,90.863708
"2021-07-08",92.519997,92.699997,91.410004,91.760002,782000,89.325638
"2021-07-09",92.660004,93.370003,92.360001,93.169998,829500,90.698219
"2021-07-12",93.169998,93.57,92.410004,92.739998,686700,90.279625
"2021-07-13",92.019997,92.989998,92.019997,92.620003,1005900,90.162811
"2021-07-14",93.089996,95.360001,92.830002,94.650002,1332400,92.138947
"2021-07-15",94.209999,95.599998,93.82,93.940002,905300,91.447792
"2021-07-16",94.110001,94.209999,93.260002,93.300003,1374800,90.824768
"2021-07-19",92.610001,93.449997,92.209999,93.129997,1135500,90.659279
"2021-07-20",93.370003,94.419998,92.860001,93.110001,1068800,90.639809
"2021-07-21",93.050003,94.040001,92.779999,93.139999,740200,90.669022
"2021-07-22",93.110001,93.199997,91.669998,91.769997,1043000,89.335358
"2021-07-23",92.230003,92.949997,91.239998,92.879997,707600,90.415916
"2021-07-26",92.610001,93.82,92.360001,92.5,865600,90.045998
"2021-07-27",91.889999,92.290001,91.139999,91.32,2237400,88.897301
"2021-07-28",86.559998,90,84.669998,88.510002,2734300,86.16185
"2021-07-29",89.150002,89.959999,88.82,89.230003,1174100,86.862747
"2021-07-30",89,89.68,88.449997,89.169998,1566100,86.804329
"2021-08-02",89.279999,90.279999,88.919998,89.650002,1040900,87.271599
"2021-08-03",89.849998,91.910004,89.419998,91.410004,1256700,88.984917
"2021-08-04",90.980003,91.290001,90.089996,90.360001,798000,87.962776
"2021-08-05",90.82,91.209999,89.129997,89.739998,934400,87.359207
"2021-08-06",90.449997,91.349998,90.139999,91,1045600,88.585785
"2021-08-09",90.709999,90.720001,89.529999,89.610001,546300,87.232666
"2021-08-10",89.870003,90.110001,89.349998,89.400002,604300,87.028236
"2021-08-11",89.940002,91.239998,89.489998,90.82,692100,88.410568
"2021-08-12",90.980003,91.68,90.43,91.230003,634800,88.809685
"2021-08-13",91.260002,92.440002,91.110001,91.900002,656300,89.461906
"2021-08-16",91.690002,92.970001,91.519997,92.32,726800,89.870773
"2021-08-17",91.769997,91.839996,90.470001,91.459999,680500,89.033585
"2021-08-18",91.110001,91.610001,88.699997,88.769997,1078700,86.414948
"2021-08-19",88.279999,88.75,87.120003,87.769997,830600,85.441475
"2021-08-20",87.470001,88.900002,87.470001,88.690002,758100,86.337074
"2021-08-23",89.089996,90.230003,88.949997,89.529999,726600,87.154785
"2021-08-24",89.610001,90.239998,89.239998,89.559998,580600,87.183983
"2021-08-25",89.559998,90.779999,89.309998,90.309998,764200,87.914085
"2021-08-26",90.080002,90.389999,89.589996,89.989998,518200,87.602577
"2021-08-27",90.190002,91.080002,89.82,90.739998,770200,88.332672
"2021-08-30",90.889999,91.589996,90.470001,90.760002,693100,88.352158
"2021-08-31",90.779999,91.050003,89.620003,90.059998,1727200,87.670723
"2021-09-01",90.07,90.07,87.559998,89.160004,1512000,86.794601
"2021-09-02",89.239998,90.809998,88.830002,90.760002,1198100,88.860443
"2021-09-03",90.559998,91.139999,89.970001,90.089996,759700,88.20446
"2021-09-07",90.300003,90.300003,88.410004,88.489998,900900,86.637947
"2021-09-08",88.339996,89.389999,87.870003,89.110001,882300,87.244972
"2021-09-09",88.830002,89.260002,86.809998,87.279999,1152800,85.45327
"2021-09-10",87.989998,89.139999,87.870003,88.400002,1158000,86.549835
"2021-09-13",89.68,90.790001,88.940002,89.129997,1536500,87.264557
"2021-09-14",89.589996,90.43,89.120003,90.080002,1132900,88.194679
"2021-09-15",90.360001,91.349998,89.900002,90.669998,1119400,88.772324
"2021-09-16",90.739998,91.760002,90.239998,90.269997,1043100,88.380692
"2021-09-17",89.800003,89.800003,86.870003,87.440002,4927200,85.609932
"2021-09-20",86.860001,87.5,86.07,86.82,1230100,85.002907
"2021-09-21",87.32,87.739998,86.379997,87.449997,857000,85.61972
"2021-09-22",87.730003,88.080002,87.230003,87.510002,806000,85.678467
"2021-09-23",87.830002,88.68,87.75,88.459999,752600,86.608589
"2021-09-24",88.169998,89.269997,87.879997,88.510002,859000,86.657539
"2021-09-27",88.75,90.25,88.139999,89.709999,772000,87.832413
