"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2020-12-03",85.519997,85.730003,84.410004,85.190002,3842100,81.854958
"2020-12-04",85.239998,85.68,84.419998,85.029999,3142600,81.701225
"2020-12-07",84.800003,85.860001,84.75,85.389999,2966800,82.047127
"2020-12-08",84.470001,85.440002,84.190002,85.169998,2664500,81.835747
"2020-12-09",85.160004,85.339996,84.389999,84.75,2582900,81.43219
"2020-12-10",84.889999,85.349998,84.389999,84.589996,2856500,81.27845
"2020-12-11",84.160004,85.089996,84.150002,84.68,2610200,81.364922
"2020-12-14",85.080002,85.449997,84.139999,84.190002,2684400,80.894104
"2020-12-15",84.510002,85.07,84.209999,84.75,2555800,81.43219
"2020-12-16",85.139999,85.760002,84.639999,85.040001,2862000,81.710831
"2020-12-17",85.5,86.050003,85.339996,85.660004,3086500,82.306564
"2020-12-18",85.660004,86.199997,84.959999,85.93,6089800,82.566002
"2020-12-21",85.050003,85.489998,84.370003,85.309998,2757900,81.970268
"2020-12-22",85.199997,85.419998,84.269997,84.400002,2341500,81.095894
"2020-12-23",84.589996,84.959999,84.199997,84.43,2690400,81.124718
"2020-12-24",84.620003,85.099998,84.489998,85.040001,733200,81.710831
"2020-12-28",85.279999,85.68,84.980003,85.410004,1225800,82.066353
"2020-12-29",85.830002,86.209999,84.919998,85.029999,2390900,81.701225
"2020-12-30",85.18,85.339996,84.550003,84.730003,2158000,81.412971
"2020-12-31",84.959999,85.599998,84.529999,85.510002,1893100,82.162453
"2021-01-04",84.779999,85.559998,83.529999,84.330002,3506000,81.028641
"2021-01-05",84.330002,84.82,83.370003,84.519997,2559300,81.211189
"2021-01-06",84.160004,84.790001,81.870003,82.25,9053900,79.03006
"2021-01-07",81.910004,82.550003,81.139999,81.800003,5061000,78.597679
"2021-01-08",82.089996,82.610001,81.82,82.349998,5569300,79.126144
"2021-01-11",82.349998,83.059998,82.099998,82.139999,4430800,78.924355
"2021-01-12",81.879997,82.75,81.849998,82.260002,4359800,79.039665
"2021-01-13",82.25,82.93,82.25,82.489998,4069400,79.260651
"2021-01-14",82.769997,82.779999,81.620003,81.940002,3732500,78.732185
"2021-01-15",81.940002,82.440002,81.690002,81.879997,6359600,78.67453
"2021-01-19",82.550003,82.550003,80.739998,80.849998,4004300,77.68486
"2021-01-20",79.5,80.449997,78.900002,80.199997,6897200,77.06031
"2021-01-21",80.18,80.43,78.760002,79.279999,5772000,76.176331
"2021-01-22",78.779999,78.919998,77.900002,78.190002,4816300,75.548286
"2021-01-25",78.209999,79.099998,78.150002,78.610001,7750400,75.954102
"2021-01-26",78.870003,79.089996,77.93,78.75,5788400,76.089371
"2021-01-27",78.550003,78.989998,77.839996,78.029999,6289700,75.393692
"2021-01-28",78.040001,79.830002,78.029999,79.150002,8037900,76.475861
"2021-01-29",78.910004,80.199997,77.839996,78,7405100,75.364716
"2021-02-01",78.639999,79.699997,78.32,78.519997,6514500,75.867134
"2021-02-02",78.849998,79.75,78.559998,78.849998,5018800,76.185997
"2021-02-03",79,79.410004,78.529999,78.879997,3863600,76.214966
"2021-02-04",78.769997,79.279999,78.449997,78.93,3869600,76.263298
"2021-02-05",79.160004,80.07,79.110001,79.870003,3579200,77.171524
"2021-02-08",80,80.129997,79.269997,79.699997,3828700,77.007263
"2021-02-09",79.639999,79.660004,78.360001,78.699997,3682200,76.041061
"2021-02-10",79,79.470001,78.269997,79.110001,4882700,76.43721
"2021-02-11",79.25,79.300003,78.349998,78.410004,3106000,75.760857
"2021-02-12",78.330002,78.5,77.779999,78.43,2732400,75.780174
"2021-02-16",78.050003,78.220001,77.07,78.190002,5147600,75.548286
"2021-02-17",77.900002,78.919998,77.860001,78.440002,3145000,75.789848
"2021-02-18",78.339996,78.860001,78.089996,78.720001,2565600,76.060387
"2021-02-19",78.620003,78.75,77.110001,77.199997,4540200,74.591728
"2021-02-22",77.220001,77.440002,76.879997,77.269997,2573400,74.659363
"2021-02-23",77.800003,78.440002,77,77.489998,4131400,74.871933
"2021-02-24",77.089996,77.639999,76.629997,76.639999,4083400,74.050659
"2021-02-25",76.599998,77.169998,76.279999,76.690002,4178100,74.098969
"2021-02-26",76.660004,76.660004,75.150002,75.199997,5421200,72.659302
"2021-03-01",75.440002,76.360001,75.330002,75.599998,3872400,73.045792
"2021-03-02",75.639999,76.050003,75.260002,75.419998,4977000,72.87188
"2021-03-03",75.099998,75.269997,74.18,74.610001,5705600,72.089241
"2021-03-04",74.919998,75.940002,74.269997,74.440002,6337500,71.924995
"2021-03-05",74.610001,76.239998,74.57,76.059998,10241200,73.49025
"2021-03-08",75.760002,77.260002,75.379997,76.449997,4676200,73.867073
"2021-03-09",76.730003,77.339996,74.849998,74.940002,7085400,72.408096
"2021-03-10",75.290001,76.330002,74.139999,75.800003,7028500,73.239037
"2021-03-11",75.57,75.860001,75.110001,75.269997,4842600,72.726936
"2021-03-12",75.870003,76.25,75.389999,75.510002,3141700,72.958832
"2021-03-15",76.040001,76.120003,74.910004,75.68,4860300,73.123085
"2021-03-16",75.849998,76.389999,75.5,75.860001,4268600,73.297012
"2021-03-17",76.150002,76.419998,75.400002,75.800003,3914900,73.239037
"2021-03-18",75.660004,76.209999,74.669998,76.07,3366700,73.499908
"2021-03-19",76.099998,76.5,74.849998,74.980003,11878800,72.446747
"2021-03-22",74.980003,75.93,74.839996,75.769997,8160500,73.210052
"2021-03-23",76.199997,78.32,75.82,77.75,6060800,75.123161
"2021-03-24",76.900002,78.260002,76.900002,77.769997,4255400,75.142471
"2021-03-25",78.300003,78.540001,77.470001,77.889999,4769500,75.258415
"2021-03-26",77.790001,79.260002,77.519997,79.220001,4170300,76.543503
"2021-03-29",79.110001,79.970001,79.110001,79.900002,3811800,77.200516
"2021-03-30",79.470001,79.739998,79.010002,79.330002,4841700,76.649773
"2021-03-31",79.75,79.82,78.610001,78.830002,4493200,76.166664
"2021-04-01",78.529999,79.059998,77.580002,78.550003,4881300,75.896133
"2021-04-05",78.730003,79.910004,78.610001,79.529999,4026900,76.843018
"2021-04-06",79.25,80.139999,79.209999,79.860001,3814800,77.161858
"2021-04-07",80.230003,80.330002,79.459999,79.620003,5027800,76.929985
"2021-04-08",79.699997,79.849998,79.190002,79.639999,3773000,76.949295
"2021-04-09",79.669998,80.169998,79.169998,79.779999,3509000,77.084572
"2021-04-12",79.800003,80.459999,79.620003,80.160004,3510400,77.451736
"2021-04-13",79.5,79.830002,79.120003,79.730003,4442500,77.036263
"2021-04-14",79.790001,79.809998,79,79.400002,4129600,76.717407
"2021-04-15",79.769997,80.760002,79.57,80.459999,4010400,77.741592
"2021-04-16",80.879997,80.959999,80.300003,80.699997,8134800,77.97348
"2021-04-19",80.480003,80.580002,79.709999,80.370003,4021200,77.654633
"2021-04-20",79.93,81.879997,79.82,81.330002,4307300,79.024666
"2021-04-21",81.730003,82.050003,80.809998,81.150002,3755200,78.849777
"2021-04-22",80.93,81.629997,80.720001,81.050003,4036400,78.752602
"2021-04-23",80.410004,80.629997,79.480003,79.790001,3908400,77.528328
"2021-04-26",79.75,79.889999,78.970001,79.279999,3920000,77.032768
"2021-04-27",78.959999,79.129997,78.410004,78.559998,4148900,76.333183
"2021-04-28",79.059998,79.269997,78.580002,78.769997,3353300,76.537216
"2021-04-29",79.07,80.230003,79.019997,79.82,4828400,77.557472
"2021-04-30",79.610001,81.160004,79.610001,80.699997,7252300,78.412521
"2021-05-03",80.839996,81.25,80.190002,81.07,3709100,78.772034
"2021-05-04",81.199997,82,80.849998,81.089996,4129500,78.791473
"2021-05-05",80.949997,81.550003,80.529999,81.32,3093300,79.014946
"2021-05-06",81.629997,82.400002,81.370003,82.309998,3850100,79.976883
"2021-05-07",82.220001,82.540001,81.860001,82.18,2263700,79.850578
"2021-05-10",82.650002,83.93,82.440002,83.339996,4206000,80.977692
"2021-05-11",83.57,83.629997,82.190002,82.440002,5119300,80.103203
"2021-05-12",82.510002,82.839996,81.93,82.050003,4075100,79.724258
"2021-05-13",81.760002,83.760002,81.449997,83.260002,4300200,80.899956
"2021-05-14",83.489998,84.010002,83.360001,83.559998,4146500,81.191452
"2021-05-17",83.790001,84.269997,83.379997,83.550003,3522100,81.181732
"2021-05-18",83.160004,83.879997,82.760002,83.110001,3024200,80.754219
"2021-05-19",82.800003,83.260002,82.440002,83.209999,4078400,80.851379
"2021-05-20",83.260002,84.68,83.169998,84.089996,3966900,81.706436
"2021-05-21",84.290001,84.660004,84.019997,84.230003,3497900,81.842468
"2021-05-24",84.440002,84.910004,84.099998,84.400002,3196200,82.007652
"2021-05-25",84.470001,84.68,83.900002,84.589996,3472800,82.192261
"2021-05-26",84.879997,84.879997,84.199997,84.43,2601700,82.036797
"2021-05-27",84.370003,84.669998,83.690002,83.690002,4686300,81.317772
"2021-05-28",83.959999,84.589996,83.720001,83.779999,3971700,81.40522
"2021-06-01",84.949997,85.010002,82.120003,82.480003,5587000,80.142075
"2021-06-02",82.769997,83.279999,82.510002,82.879997,3749600,80.530724
"2021-06-03",82.93,83.959999,82.730003,83.949997,3967000,81.570404
"2021-06-04",84.400002,84.519997,83.699997,83.970001,3660200,81.589836
"2021-06-07",84.089996,84.089996,83.370003,83.900002,3211600,81.52182
"2021-06-08",84.059998,84.230003,82.870003,82.93,3233100,80.579315
"2021-06-09",83.449997,83.879997,82.529999,82.559998,6530200,80.219803
"2021-06-10",82.550003,83.669998,82.550003,83.599998,4075900,81.230324
"2021-06-11",83.699997,83.889999,83.110001,83.629997,2560000,81.25946
"2021-06-14",83.660004,83.660004,82.860001,83.410004,2345200,81.045708
"2021-06-15",83.690002,83.870003,83.150002,83.269997,3220700,80.909676
"2021-06-16",83.900002,83.900002,81.910004,81.949997,3615200,79.627083
"2021-06-17",81.809998,82.650002,81.470001,82.43,3253100,80.093483
"2021-06-18",81.919998,82.220001,81,81.019997,7471300,78.723457
"2021-06-21",81.269997,81.589996,81.129997,81.440002,4226700,79.131554
"2021-06-22",81.459999,81.690002,81.029999,81.290001,3159900,78.985809
"2021-06-23",81.279999,81.339996,80.239998,80.25,3673800,77.975273
"2021-06-24",80.269997,80.860001,80.209999,80.559998,3449800,78.276489
"2021-06-25",80.610001,81.510002,80.330002,81.459999,9475300,79.150978
"2021-06-28",81.599998,82.300003,81.519997,81.720001,2735300,79.40361
"2021-06-29",81.860001,82.080002,81.07,81.25,3056700,78.946938
"2021-06-30",81.57,81.669998,80.82,81.349998,4687700,79.044098
"2021-07-01",81.5,81.879997,81.25,81.739998,3596100,79.423042
"2021-07-02",81.919998,82.120003,81.589996,81.699997,2752200,79.384171
"2021-07-06",81.669998,82.099998,81.449997,81.970001,3221000,79.646523
"2021-07-07",82.099998,83.089996,81.910004,82.660004,3220200,80.316971
"2021-07-08",82.580002,83,82.050003,82.339996,3514800,80.006027
"2021-07-09",82.669998,82.82,82.269997,82.43,2801600,80.093483
"2021-07-12",82.510002,83.120003,82.480003,82.93,4482600,80.579315
"2021-07-13",82.779999,83.32,82.349998,82.639999,2733700,80.297531
"2021-07-14",82.629997,83.379997,82.279999,83.230003,2959200,80.870811
"2021-07-15",83.330002,83.769997,82.650002,83.629997,4200800,81.25946
"2021-07-16",83.660004,84.5,83.660004,84.389999,6527500,81.997932
"2021-07-19",84.379997,84.959999,83.18,83.970001,4960200,81.589836
"2021-07-20",83.82,84.779999,82.669998,82.690002,4884100,80.779015
"2021-07-21",82.779999,82.980003,82.059998,82.18,3579600,80.280807
"2021-07-22",81.639999,82.480003,81.290001,81.839996,3659900,79.948662
"2021-07-23",81.720001,83.459999,81.529999,83.279999,3107500,81.355385
"2021-07-26",83.150002,84.300003,82.949997,84.089996,5947500,82.14666
"2021-07-27",83.779999,84.57,83.440002,83.949997,4136700,82.009895
"2021-07-28",84.010002,84.260002,83.139999,83.18,3110700,81.25769
"2021-07-29",83.480003,83.830002,83.029999,83.519997,3974400,81.589836
"2021-07-30",80.519997,81.059998,79.220001,79.5,9513700,77.662735
