"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2020-12-01",97.580002,98.410004,96.900002,97.150002,1690800,94.597878
"2020-12-02",96.720001,97.230003,94.82,95.75,1926000,93.234665
"2020-12-03",95.870003,96.360001,94.660004,94.75,2037600,92.260933
"2020-12-04",94.699997,95.690002,94.629997,95.669998,2262800,93.156769
"2020-12-07",95.5,95.699997,94.620003,94.849998,1262100,92.358299
"2020-12-08",94.309998,94.940002,94.239998,94.68,1306900,92.192772
"2020-12-09",95.010002,95.110001,93.910004,94.32,1704500,91.842224
"2020-12-10",94.309998,94.57,93.290001,93.489998,1088200,91.034035
"2020-12-11",93.290001,95.190002,93.290001,94.980003,2175400,92.484901
"2020-12-14",95.209999,95.93,94.870003,94.900002,1764500,92.406998
"2020-12-15",95.449997,96.519997,95.309998,96.199997,1756900,93.672836
"2020-12-16",96.43,96.699997,95.379997,95.400002,1798500,92.893852
"2020-12-17",95.769997,97.239998,95.769997,96.889999,1111400,94.344711
"2020-12-18",96.809998,97.690002,96.480003,96.779999,2337100,94.237602
"2020-12-21",95.519997,95.870003,93.660004,95.239998,998100,92.738052
"2020-12-22",95.199997,95.949997,94.919998,95.82,644700,93.302826
"2020-12-23",95.980003,96.489998,95,95.010002,1306900,92.514099
"2020-12-24",94.959999,95.720001,94.910004,95.629997,307200,93.117813
"2020-12-28",96.059998,97.160004,96.059998,96.419998,780500,93.887062
"2020-12-29",96.790001,96.980003,95.529999,95.620003,712000,93.108078
"2020-12-30",95.709999,96.239998,95.360001,95.709999,561600,93.195717
"2020-12-31",95.5,96.470001,95.110001,96.300003,587800,94.188454
"2021-01-04",96.18,96.199997,93.019997,93.540001,1297300,91.488983
"2021-01-05",93.209999,93.849998,92.519997,93.639999,1038000,91.586784
"2021-01-06",93.889999,96.080002,93.5,95.879997,1608900,93.777672
"2021-01-07",96.220001,97.260002,95.709999,96.769997,1329000,94.648148
"2021-01-08",96.760002,97.57,96.540001,96.970001,863100,94.843765
"2021-01-11",95.459999,96.599998,95.339996,95.75,904700,93.65052
"2021-01-12",95.690002,95.980003,94.650002,95.25,721300,93.161476
"2021-01-13",95.07,95.580002,94.400002,94.440002,933500,92.36924
"2021-01-14",94.660004,94.790001,93.050003,93.699997,952200,91.64547
"2021-01-15",93.25,94.199997,92.849998,93.809998,1147800,91.753044
"2021-01-19",94.209999,95.550003,93.93,94.669998,1479500,92.594193
"2021-01-20",94.589996,95.099998,94.290001,94.68,1293200,92.603981
"2021-01-21",94.669998,94.830002,93.550003,93.970001,825300,91.909554
"2021-01-22",94.010002,94.690002,93.68,94.400002,782000,92.330116
"2021-01-25",94.339996,94.709999,93.5,94.139999,674300,92.075813
"2021-01-26",94.339996,94.480003,92.940002,93.349998,1092100,91.303146
"2021-01-27",92.5,92.75,90.07,90.400002,1403500,88.417824
"2021-01-28",91.019997,93.449997,90.209999,91.879997,1163600,89.865364
"2021-01-29",91.309998,91.769997,90.010002,90.519997,1240900,88.535202
"2021-02-01",90.93,91.720001,90.339996,90.970001,994700,88.975334
"2021-02-02",91.489998,92.169998,91.160004,91.870003,1210700,89.855606
"2021-02-03",91.82,91.830002,90.760002,91.5,1404600,89.493713
"2021-02-04",91.599998,92.419998,91.150002,92.040001,875000,90.021873
"2021-02-05",92.43,92.43,90.889999,90.93,2132700,88.936211
"2021-02-08",91,91.879997,90.540001,91.779999,1672500,89.76757
"2021-02-09",92.019997,92.110001,91.019997,91.540001,1081300,89.532829
"2021-02-10",91.980003,92.040001,90.199997,90.519997,1341400,88.535202
"2021-02-11",90.699997,91.32,90.559998,91.290001,1223500,89.2883
"2021-02-12",91.260002,91.610001,90.879997,91.260002,850900,89.258972
"2021-02-16",90.330002,91.089996,90.099998,90.379997,1703900,88.398262
"2021-02-17",90,90.309998,89.230003,90.080002,1285400,88.104851
"2021-02-18",90.059998,91.82,89.900002,91.720001,1829000,89.708878
"2021-02-19",91.760002,91.910004,90.510002,90.589996,1608100,88.603653
