"","ATO.Open","ATO.High","ATO.Low","ATO.Close","ATO.Volume","ATO.Adjusted"
"2020-10-15",94.410004,95.440002,93.43,94.5,967600,90.299126
"2020-10-16",94.370003,95.07,93.419998,94.489998,923200,90.289566
"2020-10-19",94.760002,95.010002,93.900002,94.239998,557100,90.050682
"2020-10-20",94.410004,94.699997,93.110001,94.279999,658000,90.088905
"2020-10-21",94.279999,96.900002,94.029999,95.540001,1079500,91.2929
"2020-10-22",95.559998,97.099998,95.349998,96.639999,808400,92.343987
"2020-10-23",97.260002,98.190002,96.959999,97.690002,593400,93.347321
"2020-10-26",97.190002,97.809998,96.660004,97.480003,768000,93.146645
"2020-10-27",97.660004,98.169998,97.029999,97.07,704000,92.754883
"2020-10-28",96.07,96.650002,92.620003,92.690002,837600,88.569588
"2020-10-29",92.400002,93.370003,90.660004,92.080002,704100,87.986702
"2020-10-30",91.57,92.220001,91.050003,91.669998,1483000,87.594933
"2020-11-02",92.510002,95.599998,92.370003,95.510002,865800,91.264221
"2020-11-03",96.699997,98.400002,96.43,97.629997,759500,93.28997
"2020-11-04",97,98.589996,95.489998,95.589996,672200,91.34066
"2020-11-05",96.620003,97.550003,94.519997,95.019997,673400,90.796005
"2020-11-06",95.459999,95.690002,93.32,93.639999,507200,89.477364
"2020-11-09",98,99.610001,96.639999,97.790001,808500,93.442879
"2020-11-10",98.239998,102.949997,97.919998,102.449997,1369300,97.895714
"2020-11-11",102.68,102.68,99.82,100.739998,1077300,96.261734
"2020-11-12",99.889999,100.730003,97.449997,98.720001,1243200,94.331535
"2020-11-13",99.43,102.739998,99.239998,102.160004,958300,97.618622
"2020-11-16",103.57,103.660004,100.900002,101.279999,1641800,96.777718
"2020-11-17",100.559998,101.410004,99.889999,100.050003,1159400,95.602417
"2020-11-18",100.610001,100.830002,95.830002,96.169998,1152400,91.89489
"2020-11-19",96.550003,96.790001,93.040001,95.099998,1375200,90.872459
"2020-11-20",95.209999,96.459999,94.360001,95.669998,1458100,91.417114
"2020-11-23",96.160004,97.160004,95.980003,96.860001,935400,92.554222
"2020-11-24",97.800003,101.300003,97.519997,100.279999,1486600,95.822182
"2020-11-25",100.419998,100.419998,98.360001,99.410004,795200,94.990852
"2020-11-27",98.720001,99.010002,96.639999,96.82,307900,93.101326
"2020-11-30",96.849998,97.260002,95.269997,95.889999,2098200,92.207039
"2020-12-01",96.190002,97.379997,96.190002,96.639999,1030100,92.928253
