"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2021-04-05",279.01001,282.690002,278.799988,281.130005,2631300,276.118652
"2021-04-06",281.429993,283.049988,279.649994,281.630005,1786600,276.609802
"2021-04-07",281.970001,283.630005,281.100006,282.570007,2736300,277.532959
"2021-04-08",284.119995,285.350006,283.230011,284.420013,1600600,279.350037
"2021-04-09",285,287.820007,283.600006,287.709991,1787800,282.58139
"2021-04-12",285.970001,288.100006,285.140015,287.540009,1437500,282.414429
"2021-04-13",286.600006,287.059998,284.079987,285.220001,2228000,280.135742
"2021-04-14",284.380005,286.799988,283.079987,284.440002,1903500,280.234253
"2021-04-15",286.26001,287.179993,284.410004,285.149994,2047500,280.933777
"2021-04-16",285.160004,287.459991,285.01001,286.959991,2625500,282.71698
"2021-04-19",287.100006,287.230011,284.910004,286.540009,1437100,282.303223
"2021-04-20",285.929993,288.899994,285.76001,288.600006,1889800,284.332794
"2021-04-21",289.670013,291.149994,287.790009,290.720001,1585900,286.421417
"2021-04-22",290.98999,293.279999,289.149994,290.160004,1460400,285.86969
"2021-04-23",290.190002,292.890015,289.700012,291.73999,1505300,287.426331
"2021-04-26",291.600006,292.369995,288.839996,289.519989,1420700,285.239136
"2021-04-27",290.070007,290.890015,288.070007,290.25,1270900,285.958374
"2021-04-28",290.720001,291.450012,289.820007,290.269989,1159900,285.978058
"2021-04-29",292.079987,293.279999,290.600006,292.540009,1247800,288.214508
"2021-04-30",290.769989,290.920013,288.359985,289.970001,1969200,285.682495
"2021-05-03",292.929993,293.420013,291.369995,292.170013,1300400,287.849945
"2021-05-04",290.890015,291.940002,289.149994,291.600006,1810700,287.288422
"2021-05-05",292.339996,292.829987,289.119995,289.519989,1553800,285.239136
"2021-05-06",289.480011,291.179993,287.609985,291.160004,1863200,286.854889
"2021-05-07",292.200012,294.089996,291.040009,291.529999,1394200,287.219452
"2021-05-10",290.619995,294.100006,290.190002,290.609985,1620700,286.313049
"2021-05-11",288.440002,288.459991,284.570007,287.950012,1541700,283.692383
"2021-05-12",285.230011,285.309998,279.140015,279.390015,2116600,275.258972
"2021-05-13",281.119995,287.25,281.119995,285.320007,1698200,281.101257
"2021-05-14",286.859985,294.5,286.619995,288.200012,1285600,283.93869
"2021-05-17",287.640015,288.549988,286.100006,287,1500000,282.756409
"2021-05-18",285.809998,286.700012,282.820007,283.01001,1438400,278.825409
"2021-05-19",279.929993,281.070007,276.880005,280.970001,1625200,276.815582
"2021-05-20",281.700012,285.130005,281.579987,283.950012,2094700,279.751526
"2021-05-21",285,287.140015,282.670013,283.380005,2210200,279.189972
"2021-05-24",285.200012,286.040009,284.209991,284.850006,1231300,280.638184
"2021-05-25",285.799988,286.200012,283.609985,285.98999,1761300,281.761383
"2021-05-26",285.899994,286.829987,283.329987,283.950012,1873200,279.751526
"2021-05-27",284.170013,285.279999,279.149994,280.049988,7166300,275.909149
"2021-05-28",282.549988,284.920013,282.100006,282.160004,2005700,277.987976
"2021-06-01",285.579987,285.579987,280.609985,280.880005,1670800,276.726929
"2021-06-02",281.049988,283.119995,281.049988,281.799988,2089800,277.633301
"2021-06-03",280,280.790009,277.380005,279.630005,1540600,275.495392
"2021-06-04",281.320007,283.440002,281.179993,283.170013,1146200,278.983063
"2021-06-07",283.170013,284.25,281.059998,282.190002,1404000,278.017517
"2021-06-08",282,283.480011,280.920013,281.450012,1321400,277.288452
"2021-06-09",283.100006,283.269989,281.540009,282.109985,1166500,277.938721
"2021-06-10",283.529999,284.709991,282.779999,284.220001,2007200,280.017517
"2021-06-11",285,285.570007,283.940002,285.279999,1473100,281.06189
"2021-06-14",285.73999,285.839996,283.179993,285.709991,1672400,281.485474
"2021-06-15",286.850006,287.950012,285.369995,286.190002,1408200,281.958374
"2021-06-16",287.480011,287.480011,283.029999,283.940002,2350600,279.741669
"2021-06-17",282.5,285.429993,282.5,284.769989,1872100,280.559387
"2021-06-18",282.839996,284,280.799988,281.25,3134000,277.091461
"2021-06-21",283.959991,287.5,282.01001,285.559998,1959400,281.337677
"2021-06-22",285.76001,286.619995,283.709991,285.660004,2019800,281.436249
"2021-06-23",287.75,288.399994,285.589996,285.700012,2161300,281.475647
"2021-06-24",297.230011,297.799988,289.549988,291.559998,3003900,287.248993
"2021-06-25",292.329987,295.220001,290.420013,294.660004,4233600,290.303162
"2021-06-28",294.440002,295.869995,292.5,293.899994,1662400,289.554382
"2021-06-29",294.790009,297.649994,294.600006,296.429993,2060700,292.046967
"2021-06-30",295.98999,296.98999,293.790009,294.790009,1595300,290.431213
"2021-07-01",295.480011,300.059998,295,300,3104100,295.564178
"2021-07-02",300,305.170013,300,304.839996,2280100,300.332642
"2021-07-06",304.859985,306.850006,301.690002,305.399994,1856200,300.884369
"2021-07-07",305.820007,309.790009,305.200012,309.609985,1889900,305.032104
"2021-07-08",305.029999,309.23999,302.660004,309.149994,1867700,304.578949
"2021-07-09",310.600006,316.220001,310.179993,312.619995,2054000,307.997589
"2021-07-12",311.839996,312.179993,310.730011,311.570007,1456900,306.963135
"2021-07-13",311.209991,313.910004,310.049988,312.630005,1570600,308.007446
"2021-07-14",313.049988,315.519989,312.529999,314.390015,1743800,310.615784
"2021-07-15",313.880005,315.48999,313.299988,314.940002,1927800,311.15918
"2021-07-16",317.119995,317.119995,311.299988,311.910004,2666100,308.165558
"2021-07-19",308,309.790009,306.26001,309.179993,1851600,305.468323
"2021-07-20",310,314.170013,308.98999,312.059998,1448700,308.31369
"2021-07-21",312.609985,314.049988,311.950012,313.769989,1180300,310.003174
"2021-07-22",314.769989,315,312.769989,314.26001,1274800,310.487305
"2021-07-23",316,318.799988,315.540009,318.649994,1221000,314.824615
"2021-07-26",318.799988,319.73999,316.850006,318.980011,1345800,315.150665
"2021-07-27",317.880005,320.100006,315.809998,319.890015,1641000,316.049774
"2021-07-28",320.850006,321,316.119995,316.309998,2006300,312.512695
"2021-07-29",317.820007,319.140015,316.130005,318.350006,1863800,314.528259
"2021-07-30",317.709991,319.179993,316.899994,317.679993,2305400,313.866241
"2021-08-02",319.269989,319.48999,315.5,316.079987,1507200,312.285461
"2021-08-03",317.769989,319.600006,315.5,318.519989,1979600,314.696167
"2021-08-04",318.019989,319.190002,315.850006,316.769989,1448300,312.967163
"2021-08-05",317.910004,320.559998,317.040009,320.309998,1952400,316.464691
"2021-08-06",321,322.369995,318.5,321.829987,1392600,317.966431
"2021-08-09",322.01001,322.26001,319.380005,319.519989,1225100,315.684174
"2021-08-10",319.970001,322.059998,319.059998,320.179993,918900,316.336212
"2021-08-11",320.619995,320.859985,317.079987,319.790009,1841600,315.950928
"2021-08-12",319.700012,321.829987,318.640015,321.76001,910900,317.897308
"2021-08-13",322.190002,324.040009,321.579987,323.450012,970300,319.567017
"2021-08-16",324,328.5,323.140015,328.25,1781000,324.309387
"2021-08-17",327.600006,329.950012,326.769989,329.299988,1531700,325.346741
"2021-08-18",327.369995,329.179993,324.380005,324.549988,1636800,320.653778
"2021-08-19",322.809998,329,322.450012,328.25,1294200,324.309387
"2021-08-20",329.809998,333.549988,328.329987,332.649994,1726800,328.656525
"2021-08-23",334.23999,334.880005,332.730011,332.920013,2017900,328.923309
"2021-08-24",333.140015,334,330.75,330.910004,1451300,326.937469
"2021-08-25",331.940002,334.589996,331.130005,333.440002,1613600,329.437073
"2021-08-26",334.470001,334.470001,331.23999,333.230011,1702300,329.229584
"2021-08-27",334.089996,335.910004,333.350006,335.660004,1126200,331.630432
"2021-08-30",335,338.649994,332.920013,337,973800,332.954315
"2021-08-31",337.200012,337.410004,335.100006,336.559998,1641300,332.519592
"2021-09-01",337.450012,339.029999,336.660004,337.899994,1621100,333.843536
"2021-09-02",338.459991,342.049988,338.25,341,1600500,336.906311
"2021-09-03",341,344.079987,340.109985,343.329987,1566100,339.208313
"2021-09-07",343.329987,344.429993,340.209991,341.48999,1380700,337.390411
"2021-09-08",340.839996,342.269989,339.720001,340.320007,1392800,336.234467
"2021-09-09",341.459991,342.549988,339.899994,341.100006,1668200,337.005096
"2021-09-10",343.5,345.519989,341.5,341.920013,1725200,337.815308
"2021-09-13",345,345.470001,335.869995,339.440002,1854200,335.365021
"2021-09-14",341.059998,343.26001,340,340.720001,1758800,336.629669
"2021-09-15",340.23999,345.5,339.829987,344.429993,1657200,340.295135
"2021-09-16",344.640015,345,340.220001,342.230011,2252700,338.121521
"2021-09-17",340.029999,341.519989,334.570007,335.399994,4455100,331.373535
"2021-09-20",331.100006,334.920013,328.230011,332.290009,2650200,328.300873
"2021-09-21",333.790009,335.459991,330.869995,331.149994,2820300,327.174561
"2021-09-22",335.450012,336.809998,333.140015,334.660004,2441100,330.642426
"2021-09-23",337.619995,344.73999,337.130005,343,4543400,338.882294
"2021-09-24",340.679993,342.880005,337.720001,339.230011,2035900,335.157562
"2021-09-27",337.519989,337.720001,333.079987,334.51001,2025300,330.494232
"2021-09-28",331.559998,332.019989,323.859985,324.209991,2300500,320.317841
"2021-09-29",326.299988,326.410004,323.070007,323.529999,1741300,319.646027
"2021-09-30",324.48999,325.890015,318.299988,319.920013,2382100,316.079376
"2021-10-01",323.369995,326.890015,319.589996,324.859985,1802300,320.960052
"2021-10-04",323.399994,324.320007,316.01001,319.48999,1774500,315.654572
"2021-10-05",320.959991,327.329987,320.809998,325.119995,1628800,321.216949
"2021-10-06",323.109985,325.339996,320.51001,325.190002,2166400,321.286102
"2021-10-07",328,329.529999,325.799988,326.25,1188400,322.333374
"2021-10-08",326.73999,327.630005,324.540009,325.190002,1229800,321.286102
"2021-10-11",324.730011,328.730011,324.51001,326.5,1475900,322.580353
"2021-10-12",328.109985,329.399994,327.190002,327.690002,2054600,323.756104
"2021-10-13",328.25,331.549988,325.859985,330.179993,1768500,327.184692
"2021-10-14",333.140015,339.269989,332.019989,339.040009,1638400,335.964325
"2021-10-15",341.179993,341.910004,339.200012,341.820007,2074900,338.719086
"2021-10-18",341.600006,344.23999,340.649994,343.179993,1636800,340.066742
"2021-10-19",345,350.76001,344.48999,349.73999,2177800,346.567261
"2021-10-20",350,350.440002,345.570007,345.799988,1740100,342.662994
"2021-10-21",345.799988,347.5,344.720001,347.119995,1520200,343.971008
"2021-10-22",348.25,355.350006,348.25,353.790009,1459400,350.580536
