"","J.Open","J.High","J.Low","J.Close","J.Volume","J.Adjusted"
"2021-12-01",144.649994,144.850006,138.550003,138.779999,665600,138.036514
"2021-12-02",138.75,143.039993,138.119995,142.029999,537300,141.269104
"2021-12-03",142.550003,143.309998,140.210007,141.889999,442800,141.129852
"2021-12-06",143.800003,144.389999,140.720001,141.350006,871900,140.592758
"2021-12-07",142.949997,145.089996,142.25,143.509995,565900,142.74115
"2021-12-08",143.350006,144.899994,142.809998,144.490005,352000,143.715927
"2021-12-09",144.210007,144.220001,142.130005,142.160004,387800,141.398407
"2021-12-10",143,144.350006,142.619995,143.440002,379900,142.671539
"2021-12-13",143.490005,143.949997,139.809998,140.889999,549200,140.135208
"2021-12-14",140.570007,141.949997,139.210007,140.25,450200,139.498657
"2021-12-15",140.220001,141.029999,138.199997,140.080002,368500,139.329544
"2021-12-16",140.919998,142.210007,137.470001,138.169998,820600,137.429764
"2021-12-17",137.759995,138.210007,134.850006,135.529999,1603400,134.803925
"2021-12-20",133.110001,133.789993,130.309998,132.830002,957200,132.118378
"2021-12-21",134,135.240005,133.399994,134.240005,643600,133.520844
"2021-12-22",134.5,134.929993,133.130005,134.589996,550500,133.868973
"2021-12-23",134.809998,137.899994,134.809998,137.350006,365700,136.614182
"2021-12-27",138,139.009995,136.880005,138.979996,337900,138.235458
"2021-12-28",139.110001,140.539993,138.639999,140.199997,325600,139.448898
"2021-12-29",140.199997,141.220001,138.240005,138.25,418700,137.509354
"2021-12-30",139,139.940002,138.25,138.830002,253900,138.086258
"2021-12-31",139.119995,140.020004,138.300003,139.229996,243800,138.484085
"2022-01-03",139.520004,141.350006,138.490005,139.580002,514000,138.832245
"2022-01-04",140.369995,143.169998,139.240005,142.550003,643500,141.786331
"2022-01-05",142.789993,143.820007,138.889999,139.070007,542000,138.324966
"2022-01-06",140,140.130005,138.529999,138.880005,388600,138.135986
"2022-01-07",138.580002,139.220001,136.610001,137.190002,513200,136.455032
"2022-01-10",136.869995,136.869995,132.820007,133.550003,701600,132.834534
"2022-01-11",133.320007,134.179993,131.059998,134.149994,604800,133.43132
"2022-01-12",134.5,135.330002,132.149994,132.309998,1000200,131.601166
"2022-01-13",132.570007,135.75,132.570007,134.179993,413900,133.461136
"2022-01-14",132.949997,133.960007,131.669998,132.919998,352700,132.207916
"2022-01-18",131.529999,132,127.790001,129.610001,627500,128.915634
"2022-01-19",130.350006,131.100006,128.850006,128.979996,428000,128.289001
"2022-01-20",129.539993,131.580002,126.370003,126.529999,616900,125.852142
"2022-01-21",126.209999,128.820007,125.110001,127.959999,823900,127.274483
"2022-01-24",126.120003,132.889999,125.129997,132.130005,1257400,131.422134
"2022-01-25",129.059998,130.429993,125.169998,127.18,933400,126.498657
"2022-01-26",128.009995,129.729996,123.989998,125.68,546100,125.006691
"2022-01-27",127.470001,129,125.379997,126.5,726500,125.822304
"2022-01-28",125.959999,128.179993,124.089996,128.100006,449200,127.413734
"2022-01-31",127.660004,130.279999,127.190002,130.179993,506600,129.482574
"2022-02-01",130.699997,130.949997,128.929993,130.110001,612000,129.412949
"2022-02-02",129.979996,132.619995,129,131.619995,855100,130.914871
"2022-02-03",131.029999,131.589996,128.660004,128.949997,505400,128.259171
"2022-02-04",127.739998,128.690002,126.550003,127.669998,1019100,126.986031
"2022-02-07",128.419998,129.240005,127.120003,128.059998,734900,127.373947
"2022-02-08",128.009995,129.369995,123.839996,124.239998,1021900,123.574409
"2022-02-09",124.050003,128.419998,123.870003,127.739998,801500,127.055664
"2022-02-10",125.169998,127.82,123.769997,124.349998,815600,123.683815
"2022-02-11",124.339996,124.690002,120.169998,121.480003,1273400,120.829208
"2022-02-14",121.68,121.809998,118.57,120.669998,1276700,120.023529
"2022-02-15",122.129997,123.809998,121.809998,123.800003,780800,123.136765
"2022-02-16",123.839996,123.860001,120.300003,121.660004,709400,121.00824
"2022-02-17",120.550003,121.300003,119.150002,119.699997,863100,119.058731
"2022-02-18",119.699997,120.690002,118.75,119.650002,787500,119.008995
"2022-02-22",119.68,120.919998,118.660004,119.529999,716900,118.889641
"2022-02-23",120.139999,120.169998,117.269997,117.510002,706200,116.880463
"2022-02-24",114.849998,119.580002,114.110001,119.410004,633400,119.00322
"2022-02-25",119.400002,123.389999,118.769997,123.199997,688500,122.780296
"2022-02-28",121.529999,123.239998,120.220001,123,974300,122.580986
"2022-03-01",123.019997,124.260002,121.669998,123.010002,912500,122.590942
"2022-03-02",123.82,127.080002,123.779999,126.510002,793800,126.079025
"2022-03-03",127.550003,128.490005,126.269997,127.830002,616200,127.394524
"2022-03-04",126.599998,128.139999,126.050003,127.959999,585100,127.524086
"2022-03-07",128.210007,128.210007,122.82,122.860001,810100,122.441452
"2022-03-08",122.849998,124.779999,121.129997,121.580002,1278800,121.165817
"2022-03-09",123.269997,127.220001,123.269997,125.629997,595200,125.202019
"2022-03-10",123.739998,124.860001,123.019997,124.620003,954100,124.195465
"2022-03-11",125.550003,126.650002,124.18,125.029999,639700,124.604065
"2022-03-14",126.25,128.729996,125.709999,126.839996,817600,126.407898
"2022-03-15",128,132.940002,127.68,131.210007,1377900,130.763031
"2022-03-16",132.059998,136.970001,132.009995,135.679993,1485200,135.217773
"2022-03-17",134.529999,138.119995,134.199997,138.029999,873700,137.559784
"2022-03-18",139.559998,141.279999,137.699997,141.220001,1939000,140.738907
"2022-03-21",140.970001,142,139.429993,139.889999,896800,139.413437
"2022-03-22",139.699997,141.179993,138.089996,138.289993,539900,137.818893
"2022-03-23",137.699997,137.699997,135.399994,135.690002,789300,135.227753
"2022-03-24",135.770004,138.800003,135.490005,138.619995,375300,138.147766
"2022-03-25",139.029999,139.029999,136.630005,137.880005,431000,137.410309
