"","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2021-04-12",61.75,62.07,61.580002,62.029999,2795600,60.505203
"2021-04-13",62.029999,62.110001,61.049999,61.459999,2709800,59.949219
"2021-04-14",61.330002,61.889999,61.27,61.389999,2313100,59.880939
"2021-04-15",61.700001,62.169998,61.240002,62.139999,2336300,60.612499
"2021-04-16",62.580002,62.849998,62.110001,62.490002,3349300,60.953903
"2021-04-19",62.34,62.630001,62.029999,62.32,2374900,60.788074
"2021-04-20",62.25,62.290001,60.860001,61.200001,4211000,59.695614
"2021-04-21",61.23,61.959999,60.970001,61.880001,3315400,60.358894
"2021-04-22",62.400002,63.52,62.110001,62.290001,4083600,60.75882
"2021-04-23",62.279999,63.25,62.099998,62.900002,2117600,61.353821
"2021-04-26",63.220001,63.799999,62.529999,62.810001,3710200,61.266033
"2021-04-27",62.869999,63.700001,62.650002,63.400002,4280400,61.841526
"2021-04-28",63.439999,64.080002,62.970001,63.099998,4816600,61.548901
"2021-04-29",63.189999,63.490002,62.490002,63.279999,4454500,61.72448
"2021-04-30",61.049999,62.540001,60.110001,62.34,8711900,60.807583
"2021-05-03",62.970001,64.089996,62.360001,63.889999,4850300,62.319481
"2021-05-04",63.599998,64.309998,63.330002,63.639999,6186700,62.075626
"2021-05-05",63.84,64.699997,63.16,64.470001,5179400,62.885227
"2021-05-06",64.779999,65.18,64.550003,64.870003,5257600,63.275394
"2021-05-07",64.43,65.970001,63.869999,65.699997,5670700,64.084984
"2021-05-10",65.900002,66.690002,65.779999,65.830002,5264100,64.211807
"2021-05-11",65.309998,65.330002,63.5,64.129997,9007100,62.553589
"2021-05-12",63.560001,64.410004,62.860001,63.07,4991400,61.519642
"2021-05-13",63.130001,64.779999,62.900002,64.309998,3902600,62.729156
"2021-05-14",64.709999,65.800003,64.400002,65.550003,4274200,63.93869
"2021-05-17",65.230003,66.220001,65.059998,65.910004,3182000,64.289833
"2021-05-18",65.970001,66.190002,63.77,63.830002,5348200,62.260956
"2021-05-19",63.119999,63.509998,62.34,63.25,5457100,61.695221
"2021-05-20",63.650002,64.379997,63.240002,64.230003,5448500,62.651131
"2021-05-21",64.580002,65.25,64.300003,64.5,3223200,62.914486
"2021-05-24",64.879997,65.059998,64.5,64.739998,2743100,63.148586
"2021-05-25",64.870003,65.669998,64.650002,64.940002,5131300,63.343678
"2021-05-26",65.699997,66.239998,65.400002,65.940002,5103700,64.319099
"2021-05-27",66.18,66.389999,65.669998,66.220001,9009000,64.592209
"2021-05-28",66.440002,66.709999,65.889999,66.540001,2772500,64.90435
"2021-06-01",68.330002,68.330002,66.879997,67.029999,3464700,65.382301
"2021-06-02",66.940002,67.160004,66.169998,66.389999,3253800,64.758026
"2021-06-03",66.220001,66.709999,65.610001,66.599998,2465900,64.962868
"2021-06-04",66.879997,67,66.300003,66.730003,3269000,65.089676
"2021-06-07",67.080002,67.290001,65.940002,66.199997,2439300,64.572693
"2021-06-08",68,68,66.540001,67.239998,4417000,65.587128
"2021-06-09",66.910004,67.300003,66.580002,66.860001,3960300,65.216484
"2021-06-10",67.370003,67.489998,66.739998,66.980003,3915900,65.333527
"2021-06-11",67,67.269997,66.440002,67.040001,3452200,65.392059
"2021-06-14",66.739998,67.150002,65.610001,66.160004,3142700,64.533684
"2021-06-15",66.379997,67.360001,65.959999,67.309998,3925100,65.655418
"2021-06-16",67.120003,67.470001,66.5,67.260002,4586700,65.606651
"2021-06-17",67.220001,67.360001,64.959999,65.93,5628500,64.309334
"2021-06-18",65.230003,65.389999,64.370003,64.440002,7274400,63.114441
"2021-06-21",65.029999,66.5,64.870003,66.330002,3844100,64.965553
"2021-06-22",66.379997,67.110001,65.879997,66.720001,3037000,65.347534
"2021-06-23",66.949997,67.019997,66.25,66.440002,2294300,65.073296
"2021-06-24",66.860001,67.010002,66.269997,66.580002,2819400,65.210411
"2021-06-25",66.870003,67.480003,66.75,67.089996,11399700,65.709923
"2021-06-28",67.32,67.720001,66.730003,67.559998,3756200,66.17025
"2021-06-29",67.959999,68.559998,67.849998,68.370003,5069000,66.963593
"2021-06-30",68.190002,68.949997,68.059998,68.629997,4800300,67.218239
"2021-07-01",69.019997,69.209999,68.440002,69.010002,2842000,67.590431
"2021-07-02",68.940002,69.220001,68.75,69.18,1978500,67.756927
"2021-07-06",69.300003,69.349998,67.57,68.349998,3136700,66.944008
"2021-07-07",68.309998,69.699997,68.059998,69.529999,5716400,68.099724
"2021-07-08",68,69.220001,68,68.910004,5123800,67.492477
"2021-07-09",69.68,70.449997,69.489998,70.059998,4171700,68.618828
"2021-07-12",69.580002,70.809998,69.330002,70.690002,2728400,69.23587
"2021-07-13",70.650002,70.690002,69.440002,69.620003,3523200,68.187881
"2021-07-14",69.839996,70.449997,69.709999,69.849998,4298100,68.413139
"2021-07-15",69.489998,70.18,69.309998,70.120003,4558400,68.677597
"2021-07-16",70.339996,70.510002,69.470001,69.730003,4840900,68.295624
"2021-07-19",68.57,68.739998,67.389999,68.029999,4949300,66.630585
"2021-07-20",67.989998,69.949997,67.989998,69.739998,3448900,68.305405
"2021-07-21",70.120003,70.709999,69.900002,70.559998,3715000,69.108543
"2021-07-22",70.879997,70.879997,69.790001,70.160004,3716800,68.716774
"2021-07-23",70.440002,71.150002,70.349998,70.919998,2605600,69.461128
"2021-07-26",70.849998,71.080002,70.120003,70.639999,3098800,69.18689
"2021-07-27",70.150002,71.099998,69.919998,70.769997,2817600,69.314217
"2021-07-28",70.690002,70.760002,69.75,70.290001,3952300,68.844093
"2021-07-29",70.940002,71.779999,70.510002,71.599998,3377900,70.127144
"2021-07-30",69.989998,71.610001,69.25,71.419998,3910900,69.950851
"2021-08-02",71.699997,72.360001,70.660004,70.699997,2436900,69.245659
