"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted"
"2021-04-21",144,147.380005,143.020004,147.179993,2161700,145.109833
"2021-04-22",147.570007,148.919998,145.869995,147.160004,3247300,145.090134
"2021-04-23",141.539993,144.979996,140.679993,144.330002,6395300,142.299942
"2021-04-26",146.800003,151.119995,145.559998,150.339996,4821100,148.225403
"2021-04-27",150.699997,150.880005,148.850006,150.360001,2692100,148.245117
"2021-04-28",150.679993,153.460007,149.440002,152.539993,2584500,150.39444
"2021-04-29",153.850006,155.080002,152.089996,154.630005,2636000,152.455063
"2021-04-30",153.600006,154.039993,152.479996,153.350006,2712700,151.193069
"2021-05-03",154.589996,156.050003,154.009995,154.800003,2726200,152.622681
"2021-05-04",154.479996,155.740005,152.839996,154.529999,3025100,152.356461
"2021-05-05",154.869995,156.729996,154.320007,156.389999,3001600,154.190308
"2021-05-06",156.860001,157.509995,154.020004,156.880005,2798800,154.673416
"2021-05-07",155.610001,159.259995,155.339996,158.979996,2617800,156.743866
"2021-05-10",159.75,160.690002,158.5,158.679993,2987600,156.448074
"2021-05-11",156.460007,157.789993,153.649994,154.429993,3900100,152.257874
"2021-05-12",154.720001,155.899994,152.070007,152.300003,3487400,150.157837
"2021-05-13",152.410004,154.809998,151.809998,154.080002,2269700,151.912796
"2021-05-14",155.389999,157.940002,154.529999,157.149994,1892700,154.939606
"2021-05-17",157.050003,157.380005,155.880005,156.860001,1541400,154.653687
"2021-05-18",157.360001,158.300003,154.860001,154.990005,2417800,152.810013
"2021-05-19",152.070007,154.779999,151.720001,154.729996,3526800,152.553635
"2021-05-20",155.470001,156.25,153.929993,155.529999,3031100,153.342377
"2021-05-21",156.699997,158.809998,156.350006,156.869995,3424100,154.663559
"2021-05-24",157.699997,158.910004,156.949997,158.639999,1956900,156.408661
"2021-05-25",159.070007,160.080002,157.740005,158.009995,2484200,155.787506
"2021-05-26",158.160004,159.380005,157.369995,158.580002,3731600,156.349503
"2021-05-27",159.979996,160.289993,158.850006,159.740005,2828400,157.493195
"2021-05-28",160.259995,160.639999,158.860001,160.130005,2436400,157.877701
"2021-06-01",162.509995,164.110001,161.550003,163.759995,3827800,161.456619
"2021-06-02",164.610001,165.690002,163.320007,164.119995,3384600,161.811584
"2021-06-03",163.679993,165.419998,162.820007,164.520004,2454800,162.205963
"2021-06-04",165,165.729996,163.320007,165,3239300,162.679199
"2021-06-07",165.630005,166.649994,165.369995,165.919998,2516400,163.586258
"2021-06-08",164.860001,167.139999,163.630005,166.509995,2486300,164.167953
"2021-06-09",165.270004,166.139999,163.800003,164.089996,2700100,161.781982
"2021-06-10",165.179993,165.210007,162.119995,162.229996,3024500,159.948151
"2021-06-11",163,164.539993,162.509995,164.509995,1630100,162.196091
"2021-06-14",164.300003,164.880005,163.110001,163.809998,2125700,161.505936
"2021-06-15",163.929993,166.899994,163.800003,166.270004,3726100,163.931366
"2021-06-16",165.779999,166.649994,164.270004,164.679993,3281300,162.363693
"2021-06-17",165.970001,166,160.529999,162.130005,4194400,159.849564
"2021-06-18",158.699997,159.669998,157.25,158.169998,6900200,155.945267
"2021-06-21",160.080002,165.210007,159.130005,164.899994,3681400,162.580597
"2021-06-22",163.419998,165.240005,162.460007,164.5,2697600,162.186234
"2021-06-23",165.029999,166.860001,164.789993,166.020004,2327600,163.68486
"2021-06-24",167.059998,168.580002,166.410004,168.210007,2417100,165.844055
"2021-06-25",168.449997,170.410004,168.449997,169.449997,9186000,167.06662
"2021-06-28",168.619995,168.850006,163.199997,164.779999,3433400,162.462296
"2021-06-29",165.570007,166.320007,163.229996,164.25,2785900,161.939743
"2021-06-30",163.699997,166.160004,163.699997,165.229996,2331800,162.90596
"2021-07-01",165.649994,167.369995,164.690002,166.940002,2685900,165.021378
