"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"2021-03-12",53.560001,55.700001,53.490002,55.060001,3821900,54.982018
"2021-03-15",55.43,55.5,54.25,55.299999,1110500,55.221676
"2021-03-16",55.139999,55.139999,53.48,53.91,869000,53.833641
"2021-03-17",54.139999,55.630001,53.900002,55.43,1078000,55.35149
"2021-03-18",55.400002,57.040001,55.150002,55.349998,1305400,55.271603
"2021-03-19",55.080002,55.799999,53.48,55.310001,1909100,55.231663
"2021-03-22",54.950001,55.220001,53.639999,54.419998,816300,54.342926
"2021-03-23",53.880001,54.290001,51.919998,52.18,1122800,52.106094
"2021-03-24",52.98,54.189999,52.560001,52.57,744100,52.495544
"2021-03-25",52.18,54.290001,51.720001,54.169998,869200,54.093273
"2021-03-26",54.5,54.740002,53.650002,54.700001,898800,54.622524
"2021-03-29",54.610001,55.43,53.82,53.959999,1036000,53.883568
"2021-03-30",54.220001,55.540001,53.779999,55.290001,1222100,55.211689
"2021-03-31",56.5,57.23,55.84,56.080002,1294000,56.000572
"2021-04-01",55.990002,57.060001,55.790001,57.029999,926900,56.949223
"2021-04-05",57.48,58.02,57.259998,57.560001,772900,57.478477
"2021-04-06",57.119999,57.919998,56.799999,56.880001,953300,56.799438
"2021-04-07",57.060001,57.119999,56.52,57.07,691100,56.989166
"2021-04-08",58.740002,58.75,57.259998,57.889999,1441700,57.808006
"2021-04-09",58,58.450001,57.290001,58.380001,935600,58.29731
"2021-04-12",58.119999,58.470001,57.41,58.43,556700,58.34724
"2021-04-13",58.040001,58.240002,56.900002,57.91,972600,57.827984
"2021-04-14",58.099998,59.310001,58.099998,58.57,904200,58.487045
"2021-04-15",58.599998,58.990002,57.709999,57.93,954100,57.84795
"2021-04-16",58.490002,58.779999,57.779999,58.540001,924900,58.457085
"2021-04-19",60,60,58.450001,59.060001,1335700,58.976357
"2021-04-20",58.560001,58.860001,57.32,58.220001,1664900,58.137543
"2021-04-21",57.740002,59.360001,57.52,59.200001,1173300,59.116154
"2021-04-22",59.369999,59.93,58.619999,59.09,897400,59.006306
"2021-04-23",59.09,60.630001,58.830002,60.43,842200,60.34441
"2021-04-26",60.790001,61.349998,60.790001,60.900002,757000,60.813744
"2021-04-27",60.959999,61.720001,60.790001,61.18,889900,61.093349
"2021-04-28",61,61.900002,60.75,61.75,1388100,61.662537
"2021-04-29",62.759998,63.560001,61.860001,63.139999,1351700,63.050571
"2021-04-30",63.099998,64.489998,62.91,64.239998,1761700,64.149017
"2021-05-03",64.839996,65.860001,64.150002,65.559998,1888600,65.467148
"2021-05-04",65.360001,65.779999,64.339996,65.5,1253800,65.407227
