"","GL.Open","GL.High","GL.Low","GL.Close","GL.Volume","GL.Adjusted"
"2020-11-19",91.75,93.610001,91.199997,93.349998,399400,92.003502
"2020-11-20",92.980003,93.730003,92.540001,93.290001,373800,91.944382
"2020-11-23",94.480003,95.059998,93.709999,94.629997,413000,93.265038
"2020-11-24",96.309998,97.599998,95.389999,97.519997,503300,96.113365
"2020-11-25",96.599998,96.949997,95.339996,96.650002,308900,95.25592
"2020-11-27",96.169998,97.449997,95.839996,96.019997,194100,94.634987
"2020-11-30",95.25,95.779999,92.93,93.099998,1550200,91.757111
"2020-12-01",94.93,95.550003,93.860001,94.440002,477800,93.077797
"2020-12-02",94.25,95.339996,94.110001,95.129997,268000,93.757835
"2020-12-03",94.699997,95.730003,94.57,94.949997,323200,93.580414
"2020-12-04",95.730003,97.169998,95.660004,96.459999,370400,95.068649
"2020-12-07",95.769997,96.019997,94.559998,94.879997,294800,93.511429
"2020-12-08",93.709999,94.75,93.709999,94.550003,426400,93.186203
"2020-12-09",95.169998,95.25,93.82,94.360001,341000,92.99894
"2020-12-10",93.580002,95.150002,93.580002,94.879997,395100,93.511429
"2020-12-11",93.769997,95.160004,93.489998,93.699997,332200,92.348442
"2020-12-14",95.07,95.07,91.769997,91.769997,426600,90.446297
"2020-12-15",92.839996,93.879997,92.099998,93.709999,411600,92.358315
"2020-12-16",94.129997,94.529999,92.949997,93.529999,315600,92.180908
"2020-12-17",93.559998,93.639999,92.639999,93.43,337900,92.082352
"2020-12-18",93.370003,94.059998,92.080002,92.809998,1211600,91.471298
"2020-12-21",93.309998,93.309998,89.919998,92.25,471700,90.919365
"2020-12-22",92.230003,92.93,91.589996,91.75,447600,90.426582
"2020-12-23",92.110001,93.629997,92.110001,92.900002,554300,91.559998
"2020-12-24",93.300003,93.559998,91.879997,92.870003,76100,91.530434
"2020-12-28",93.440002,94.660004,92.93,93.290001,345500,91.944382
"2020-12-29",93.720001,93.769997,92.080002,92.160004,514800,90.830666
"2020-12-30",92.650002,93.839996,92.650002,93.209999,4e+05,91.865517
"2020-12-31",93.080002,95.120003,92.699997,94.959999,250800,93.590294
"2021-01-04",95.360001,95.599998,92.040001,92.400002,390700,91.067215
"2021-01-05",92.120003,93.220001,91.879997,92.330002,289000,90.998222
"2021-01-06",94.360001,97.790001,93.849998,97.470001,624700,96.064072
"2021-01-07",98.07,98.82,96.919998,96.970001,457100,95.755981
"2021-01-08",97.139999,97.379997,95.379997,96.440002,297300,95.23262
"2021-01-11",95.269997,96.379997,94.849998,95.360001,341600,94.166153
"2021-01-12",95.419998,96.580002,95.120003,95.650002,392300,94.452515
"2021-01-13",95.440002,96.239998,95.110001,95.910004,389300,94.709259
"2021-01-14",96.480003,97.230003,96,96.580002,357500,95.370872
"2021-01-15",95.57,96.400002,95.089996,96.080002,365700,94.877136
"2021-01-19",96.419998,97.739998,96.139999,96.879997,409000,95.667107
"2021-01-20",96.739998,96.980003,95.959999,96.519997,352000,95.311615
"2021-01-21",96.230003,96.610001,95.559998,95.709999,375100,94.511772
"2021-01-22",94.480003,95.029999,94.010002,94.339996,592100,93.158905
"2021-01-25",93.32,94.449997,92.349998,93.5,455400,92.329437
"2021-01-26",93.849998,94.160004,93.089996,93.110001,382900,91.944313
"2021-01-27",91.559998,92.360001,90.07,90.199997,489400,89.07074
"2021-01-28",91.330002,94.339996,90.949997,92.760002,475500,91.598694
"2021-01-29",92.010002,92.209999,89.839996,90.389999,547200,89.258362
"2021-02-01",91.099998,91.589996,89.580002,91.330002,632100,90.186592
"2021-02-02",92.5,93.5,91.269997,92.580002,501900,91.420952
"2021-02-03",92.400002,94.330002,89.769997,90.839996,649000,89.702728
"2021-02-04",90.93,94.050003,90.93,93.029999,407500,91.865311
"2021-02-05",93.400002,93.809998,91.949997,93.660004,379200,92.487427
"2021-02-08",93.529999,94.459999,93.400002,94.099998,461300,92.921913
"2021-02-09",93.589996,93.790001,92.660004,92.75,415000,91.588814
"2021-02-10",93.139999,93.190002,91.82,92.360001,464300,91.203697
"2021-02-11",92.260002,93.230003,92.040001,92.709999,377800,91.549309
"2021-02-12",92.849998,94.059998,92.849998,94.019997,306500,92.842918
"2021-02-16",94.099998,94.910004,93.699997,93.779999,693800,92.605919
"2021-02-17",93.57,94.849998,93.089996,94.68,420000,93.494667
"2021-02-18",94.120003,94.440002,93.029999,93.580002,762700,92.408432
"2021-02-19",94.050003,95.709999,93.279999,95.300003,603800,94.106903
"2021-02-22",94.970001,97.220001,94.970001,96.540001,531800,95.331375
"2021-02-23",97.260002,97.440002,95.370003,96.169998,666700,94.966003
"2021-02-24",96.139999,98.989998,96.139999,98.32,372400,97.089088
"2021-02-25",99.099998,99.260002,95.43,96.230003,400700,95.025261
"2021-02-26",95.82,96,93.300003,93.400002,700800,92.23069
"2021-03-01",95.07,96.599998,94.93,95.120003,501300,93.929146
"2021-03-02",95.040001,96.730003,94.93,96.059998,392400,94.857384
"2021-03-03",96.220001,97.75,96.050003,96.32,358800,95.114128
"2021-03-04",96,96.43,93.550003,94.510002,409900,93.32679
"2021-03-05",95.440002,97.839996,94.169998,97.32,423500,96.101601
"2021-03-08",98.43,101.580002,98.260002,99.470001,491800,98.224693
"2021-03-09",98.660004,100.800003,97.57,99.050003,507900,97.809944
"2021-03-10",98.900002,101.800003,98.900002,101.139999,418600,99.873787
"2021-03-11",99.150002,101.019997,99.150002,99.849998,340500,98.599937
"2021-03-12",101.309998,101.529999,100.07,101.389999,414500,100.120644
