"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
"2021-01-29",114.019997,114.019997,111.080002,111.330002,7315100,107.511978
"2021-02-01",112.660004,113.220001,110.449997,111.18,5905500,107.367119
"2021-02-02",112.910004,115.260002,112.279999,113.949997,3865900,110.04213
"2021-02-03",113.669998,113.910004,112.089996,112.629997,4602900,108.767395
"2021-02-04",113.129997,117.480003,112.510002,117,5903500,112.987526
"2021-02-05",118,118.900002,117.730003,118.400002,4147800,114.339516
"2021-02-08",118.379997,118.769997,117.599998,118.07,4780300,114.020821
"2021-02-09",118.360001,119.529999,117.519997,117.879997,3624000,113.837349
"2021-02-10",118.589996,119,116.949997,117.440002,3424000,113.41243
"2021-02-11",117.660004,119,117.209999,118.720001,3892800,114.648537
"2021-02-12",118.93,119.879997,118.529999,119.739998,3005400,115.633553
"2021-02-16",119.739998,120.529999,118.599998,119.68,5417900,115.575615
"2021-02-17",118.529999,119,117.120003,118.160004,3299400,114.107742
"2021-02-18",117.220001,117.739998,115.25,115.389999,6044600,111.432747
"2021-02-19",115.610001,116.080002,112.629997,113.330002,10331500,109.443382
"2021-02-22",112.769997,116.580002,112.580002,115.75,5808400,111.780396
"2021-02-23",117.489998,119.75,116.5,118,5961400,113.953239
"2021-02-24",118.040001,119.510002,117.769997,118.739998,6461900,114.667854
"2021-02-25",118.080002,118.900002,117.019997,117.879997,4207900,113.837349
"2021-02-26",118.559998,118.93,116.769997,116.970001,5225200,112.958565
"2021-03-01",118,119.209999,117.57,117.860001,4613400,113.818031
"2021-03-02",118.099998,118.489998,117.120003,117.870003,3688200,113.827682
"2021-03-03",117.269997,119.050003,116.800003,117.949997,4564100,113.904938
"2021-03-04",118.080002,118.57,114.07,115.269997,5052300,111.316856
"2021-03-05",115.709999,118.760002,115.260002,118.260002,4636100,114.204308
"2021-03-08",118.25,118.440002,116.610001,116.669998,3873900,112.668839
"2021-03-09",117.589996,119.139999,116.910004,117.050003,4025400,113.035812
"2021-03-10",118.099998,119.440002,117.269997,118.660004,4475200,114.590614
"2021-03-11",119.349998,119.349998,117.599998,118.099998,3654700,114.049797
"2021-03-12",117.949997,119.239998,117.860001,118.809998,3063400,114.735458
"2021-03-15",119.120003,119.550003,118.169998,119.150002,3886200,115.063782
"2021-03-16",119.349998,119.660004,118.300003,118.940002,3590500,114.860992
"2021-03-17",119.110001,119.639999,118.440002,118.559998,4398400,114.494026
"2021-03-18",118.419998,120.25,118.220001,118.830002,4269700,114.754761
"2021-03-19",118.660004,118.68,116.379997,116.620003,9590600,112.62056
"2021-03-22",116.5,117.769997,115.510002,116.839996,4879100,112.833008
"2021-03-23",116.82,117.080002,114.779999,115.029999,6830800,111.085091
"2021-03-24",115.150002,117.099998,115.110001,115.959999,4206200,111.983192
"2021-03-25",115.889999,116.879997,114.779999,116.580002,3944400,113.147865
"2021-03-26",116.660004,118.809998,116.010002,118.559998,5802900,115.069572
"2021-03-29",117.639999,119.660004,117.019997,119.160004,4285400,115.651917
"2021-03-30",118.519997,119.330002,118.18,118.830002,4489600,115.331635
"2021-03-31",119.279999,119.440002,118.07,118.129997,5711800,114.652229
"2021-04-01",118.440002,118.779999,117.620003,118.190002,6020900,114.710464
"2021-04-05",118.830002,120.309998,118.489998,120.25,4984400,116.709824
"2021-04-06",119.889999,121.809998,119.650002,121.150002,5128200,117.583321
"2021-04-07",121,122.050003,119.959999,120.629997,4299600,117.078636
"2021-04-08",121.290001,121.559998,120.589996,120.650002,3393800,117.098045
"2021-04-09",120.900002,122,120.660004,122,3918700,118.408302
"2021-04-12",121.75,122.260002,121.150002,121.790001,4361400,118.204483
"2021-04-13",121.440002,123.910004,121.260002,123.629997,6238700,119.990318
"2021-04-14",123.599998,124.860001,123.529999,123.900002,5845000,120.252373
"2021-04-15",124.010002,126.139999,124.010002,125.849998,5605300,122.144951
"2021-04-16",126.830002,126.830002,125.080002,125.910004,4509800,122.203186
"2021-04-19",125.360001,126.290001,125.099998,126.129997,4172200,122.416702
"2021-04-20",125.910004,128.419998,125.790001,128.279999,5411000,124.503418
"2021-04-21",128.809998,131.380005,128.360001,130.25,6046000,126.415421
"2021-04-22",130.070007,130.910004,129.330002,129.850006,3623300,126.027206
"2021-04-23",129.889999,131.789993,129.509995,131.199997,3801200,127.337456
"2021-04-26",131.419998,131.490005,130.020004,130.119995,2793900,126.289253
"2021-04-27",129.369995,130.389999,128.899994,129.970001,3279100,126.143669
"2021-04-28",130.259995,131.619995,130,131.199997,3875100,127.337456
"2021-04-29",132.080002,132.300003,130.910004,131.5,4239100,127.628616
"2021-04-30",130.669998,131.210007,129.779999,130.919998,4866200,127.065697
"2021-05-03",131.759995,131.910004,130.899994,131.199997,3109800,127.337456
"2021-05-04",130.869995,130.990005,128.070007,128.5,6659000,124.716934
"2021-05-05",128.360001,128.449997,126.410004,127,7670900,123.261093
"2021-05-06",126.739998,127.5,125.82,127.300003,4449500,123.552277
"2021-05-07",127.449997,128.440002,126.519997,126.699997,3871100,122.969925
"2021-05-10",127,128.039993,126.830002,126.900002,3866400,123.164047
"2021-05-11",126.300003,126.739998,124.440002,125.220001,3501400,121.533493
"2021-05-12",124.389999,124.900002,122.860001,123.120003,4796300,119.495323
"2021-05-13",123.379997,124.989998,123.309998,124.190002,3261800,120.533829
"2021-05-14",124.790001,125.639999,124.57,125.269997,3687600,121.582024
"2021-05-17",125.449997,126.129997,125.059998,125.529999,3008000,121.834366
"2021-05-18",125.480003,127.139999,125.480003,125.849998,4232700,122.144951
"2021-05-19",125.099998,125.889999,124.400002,125.669998,4608900,121.970245
"2021-05-20",125.449997,127.279999,125.309998,126.699997,3385000,122.969925
"2021-05-21",127.300003,128.570007,127.160004,127.290001,3647600,123.542557
"2021-05-24",128.089996,128.669998,127.699997,128.100006,3826900,124.328712
"2021-05-25",128.550003,129.149994,128.070007,128.399994,3854900,124.619873
"2021-05-26",127.519997,128.240005,125.309998,126.269997,6450200,122.552582
"2021-05-27",124.559998,127.610001,124,125.150002,9866400,121.465569
"2021-05-28",126.650002,128.039993,126.370003,126.589996,5530000,122.863167
"2021-06-01",128.070007,128.119995,124.690002,124.790001,5643900,121.116158
"2021-06-02",124.639999,124.989998,123.480003,123.800003,6011200,120.155312
"2021-06-03",123.370003,123.629997,122.279999,123.07,4763000,119.4468
"2021-06-04",123.620003,124.389999,123.239998,123.849998,4037300,120.203827
"2021-06-07",124.389999,125.139999,123.879997,123.959999,5765700,120.3106
"2021-06-08",124.629997,124.75,120.529999,121.800003,6380300,118.214188
"2021-06-09",122.18,123.230003,121.980003,123.110001,3880100,119.485626
"2021-06-10",124.010002,124.93,123.669998,124.739998,3514200,121.067635
"2021-06-11",124.879997,124.900002,123.169998,123.779999,6245200,120.135887
"2021-06-14",124.32,124.32,122.959999,124.150002,3434900,120.495003
"2021-06-15",124.470001,125.360001,123.949997,125.169998,4381800,121.484978
"2021-06-16",125.260002,125.540001,124.089996,125.019997,4678100,121.339378
"2021-06-17",124.379997,125.389999,124.050003,125.209999,3837400,121.523804
"2021-06-18",123.589996,124.360001,123.190002,123.230003,5820600,119.602081
"2021-06-21",123.5,125.82,123.32,125.540001,4623500,121.844086
"2021-06-22",126.339996,127.120003,125.68,126.730003,3923800,122.999046
"2021-06-23",126.739998,126.919998,125.440002,125.489998,3575100,121.795547
"2021-06-24",125.610001,125.800003,125.059998,125.089996,3690100,122.019897
"2021-06-25",125.25,125.660004,124.5,124.93,4182600,121.863831
"2021-06-28",125.290001,125.419998,122.989998,123.739998,4552600,120.703041
"2021-06-29",123.949997,124.68,123.800003,124.540001,3922500,121.483406
"2021-06-30",124.370003,124.889999,123.599998,124.129997,3704000,121.083466
"2021-07-01",124.459999,126.190002,124.010002,126.129997,3182400,123.034378
"2021-07-02",125.82,126.860001,125.639999,126.830002,3478900,123.717209
"2021-07-06",126.809998,127.059998,125.610001,126.970001,3066300,123.853775
"2021-07-07",127,127.82,126.489998,127.739998,3216100,124.604866
"2021-07-08",127.57,127.650002,125.75,127.440002,3815300,124.312233
"2021-07-09",127.889999,128.610001,127.660004,128.169998,3750600,125.024315
"2021-07-12",128.199997,128.740005,127.75,128.199997,3165000,125.053581
"2021-07-13",127.57,128.050003,126.839996,127.400002,3214700,124.273216
"2021-07-14",128.050003,128.070007,127.040001,127.739998,3049700,124.604866
"2021-07-15",126.459999,126.889999,124.989998,125.360001,5115400,122.283272
"2021-07-16",125.650002,126.160004,125.050003,125.800003,3646400,122.712479
