"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume","HCA.Adjusted"
"2021-05-03",203.339996,205.639999,201.679993,204.509995,1594600,202.1922
"2021-05-04",204,206.669998,202.179993,206.339996,1732200,204.00148
"2021-05-05",206.020004,208.509995,204.309998,207.839996,1337000,205.484482
"2021-05-06",207.970001,209.839996,207.210007,209.330002,1249700,206.957611
"2021-05-07",207.600006,211.240005,207.139999,210.520004,1053800,208.134109
"2021-05-10",211.190002,217.279999,210,211.889999,1414200,209.488586
"2021-05-11",208.330002,210.520004,206.139999,206.759995,1911600,204.416718
"2021-05-12",206.389999,208.350006,203.949997,204.110001,1278300,201.796768
"2021-05-13",204.270004,209.369995,203.690002,207.470001,1129200,205.118652
"2021-05-14",209.130005,212.220001,208.580002,211.5,1234600,209.103012
"2021-05-17",211.139999,212.059998,208.789993,209.5,1013700,207.125687
"2021-05-18",210.149994,210.149994,205.399994,205.449997,1395200,203.121567
"2021-05-19",203.850006,204.649994,199.759995,203.669998,1430700,201.36174
"2021-05-20",203.710007,207.869995,203.690002,206.210007,1101400,203.872971
"2021-05-21",207.309998,210.100006,206.130005,206.380005,1053500,204.041016
"2021-05-24",208.190002,208.190002,205.059998,206.119995,1173300,203.783966
"2021-05-25",207.289993,211.169998,206.580002,210.210007,1870100,207.827637
"2021-05-26",210.199997,213.639999,209.830002,211.830002,1350100,209.429276
"2021-05-27",212.809998,214.710007,212.350006,213.690002,2034400,211.268173
"2021-05-28",214.399994,215.679993,212.429993,214.789993,1054600,212.355713
"2021-06-01",216.860001,217.059998,214.229996,215.869995,1227400,213.423477
"2021-06-02",217.25,217.360001,209.300003,210.630005,1360800,208.242874
"2021-06-03",209.149994,213.940002,207.919998,213.259995,1567900,210.843048
"2021-06-04",214.630005,216.100006,212.949997,213.770004,964700,211.34729
"2021-06-07",214.160004,215.220001,211.529999,211.869995,1053000,209.468811
"2021-06-08",211.839996,212.229996,208.809998,209.839996,1317200,207.461807
"2021-06-09",210.570007,210.990005,208.210007,208.309998,1096200,205.949158
"2021-06-10",209.5,212.410004,208.809998,210.100006,1096400,207.718872
"2021-06-11",210.419998,211.949997,209.610001,211.690002,702500,209.290848
"2021-06-14",210.770004,211.199997,205.949997,207.860001,1472100,205.504242
"2021-06-15",207.699997,211.149994,206.850006,209.559998,859800,207.664536
"2021-06-16",208.630005,210.300003,206.529999,206.759995,1339300,204.889862
"2021-06-17",207.479996,209.139999,204.130005,207.210007,1240900,205.3358
"2021-06-18",202.869995,204.149994,200.419998,201.360001,2576000,199.538712
"2021-06-21",202.899994,208.440002,201.899994,208.089996,964600,206.20784
"2021-06-22",207.470001,211.009995,207.149994,209.839996,1131100,207.942001
"2021-06-23",209.649994,209.940002,206.020004,206.149994,1052100,204.285385
"2021-06-24",208.279999,208.279999,204.070007,204.429993,1287200,202.580933
"2021-06-25",204.839996,208.460007,203.75,207.619995,3049300,205.742081
"2021-06-28",207.320007,207.679993,205.509995,206.919998,1097900,205.048416
"2021-06-29",208.550003,209.820007,205.410004,205.880005,916000,204.017822
"2021-06-30",205.490005,206.960007,204.440002,206.740005,1438300,204.870056
"2021-07-01",207.419998,212.5,207.160004,211.830002,1446900,209.914017
"2021-07-02",211.470001,215.190002,210.429993,214.850006,829400,212.906708
"2021-07-06",214.050003,214.910004,211.449997,214.839996,961100,212.89679
"2021-07-07",214.570007,217.419998,214.279999,216.929993,975800,214.96788
"2021-07-08",213.619995,215.309998,211.630005,214.050003,976900,212.113937
"2021-07-09",216.330002,219.960007,215.220001,218.789993,913000,216.811035
"2021-07-12",217.479996,221.710007,216.649994,220.339996,1098800,218.347046
"2021-07-13",220,220.919998,218.119995,219.229996,872600,217.247086
"2021-07-14",220,220.820007,217.979996,218.75,1223400,216.771423
"2021-07-15",217.020004,220.960007,217.020004,220.289993,1122000,218.29747
"2021-07-16",220.979996,221.630005,218.990005,219.199997,1040900,217.217346
"2021-07-19",216.050003,219.229996,214.610001,217.630005,1593300,215.66156
"2021-07-20",239.100006,252,237.679993,248.899994,4824100,246.648697
"2021-07-21",250.990005,254.449997,248.309998,249.25,2435600,246.995544
"2021-07-22",249.410004,250,245.729996,246.789993,1704700,244.557785
"2021-07-23",248.710007,250.339996,246.350006,248.460007,1484600,246.212708
"2021-07-26",247.550003,248.419998,240.820007,245.759995,1710100,243.537125
"2021-07-27",245.660004,250.779999,244.009995,247.690002,1548300,245.449677
"2021-07-28",247.419998,247.570007,242.710007,245.929993,1106400,243.705566
"2021-07-29",247.169998,249.479996,246.860001,247.899994,1092700,245.657776
"2021-07-30",247.039993,249.789993,246.470001,248.199997,1283600,245.955048
"2021-08-02",248.850006,251.809998,248.410004,251,1171900,248.729736
"2021-08-03",251.940002,254.199997,247.419998,253.509995,1276500,251.21701
"2021-08-04",252.199997,255.130005,248.020004,248.259995,1528200,246.014481
"2021-08-05",249.240005,250.5,244.309998,249.059998,1147700,246.807266
"2021-08-06",249.979996,252.509995,249.669998,250.119995,1047500,247.857681
"2021-08-09",249,249.990005,247.520004,248.639999,698300,246.391068
"2021-08-10",246,248.460007,239.720001,240.660004,1980400,238.483246
"2021-08-11",240.809998,241.710007,236.419998,241.160004,1250400,238.978745
"2021-08-12",237,244.440002,236.110001,242.539993,1121400,240.346222
"2021-08-13",242.520004,244.020004,242.050003,242.979996,830400,240.782257
"2021-08-16",242.600006,246.589996,242.199997,246.309998,897600,244.082138
"2021-08-17",244.529999,247.580002,243.720001,245.029999,1087600,242.813721
"2021-08-18",243.360001,246.669998,242.199997,242.470001,1224600,240.276886
"2021-08-19",241.050003,247.270004,239.839996,246.5,1062300,244.270416
"2021-08-20",246.600006,250.660004,246.600006,249.339996,1006900,247.084732
"2021-08-23",250.240005,251.789993,249.440002,249.649994,1005700,247.391907
"2021-08-24",249.580002,251.649994,249.369995,249.479996,817300,247.223465
"2021-08-25",250.160004,255.279999,249.240005,252.089996,1112100,249.80986
"2021-08-26",251.589996,253.169998,250.039993,251.039993,917100,248.769363
"2021-08-27",252.5,253.410004,250.550003,251.850006,905800,249.572037
"2021-08-30",252.550003,255.080002,251.570007,253.490005,601700,251.197205
"2021-08-31",253.360001,257.420013,252.070007,252.979996,1820600,250.691818
"2021-09-01",254.220001,255,251.270004,252.660004,958100,250.37471
"2021-09-02",253.419998,254.880005,252.979996,253.279999,804400,250.989105
"2021-09-03",252.300003,254.100006,251.089996,252.949997,605700,250.662079
"2021-09-07",250.960007,253.259995,248.399994,252.130005,1764600,249.849503
"2021-09-08",251.380005,256.529999,249.710007,254.429993,1416400,252.128693
"2021-09-09",254.25,261.799988,253.949997,258.26001,2145900,255.924072
"2021-09-10",259.890015,260.769989,255.679993,256.700012,1113200,254.378174
"2021-09-13",258.959991,259.470001,255.960007,257.690002,1129000,255.359222
"2021-09-14",258.700012,258.970001,254.350006,254.669998,1403400,252.366531
"2021-09-15",254.029999,257.399994,251.309998,256.450012,1337700,254.610321
"2021-09-16",257.480011,262.75,256.049988,261.640015,1750800,259.763123
