"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2021-04-21",121.5,126.050003,120.349998,125.989998,1926200,125.989998
"2021-04-22",124.610001,126.709999,122.709999,124.379997,2300100,124.379997
"2021-04-23",125.540001,126.220001,123.660004,124.150002,2618400,124.150002
"2021-04-26",124.730003,127.220001,124.599998,125,2087100,125
"2021-04-27",125.129997,128.029999,124.199997,127.75,1567600,127.75
"2021-04-28",128.039993,130.740005,126.300003,130.270004,2103400,130.270004
"2021-04-29",131.710007,132.100006,125.129997,129.029999,2617700,129.029999
"2021-04-30",127.699997,129.300003,126.940002,128.399994,1275100,128.399994
"2021-05-03",128.699997,130.649994,128.029999,128.860001,1494100,128.860001
"2021-05-04",128.119995,128.289993,121.800003,124.349998,4818700,124.349998
"2021-05-05",126.75,129.339996,125.839996,127.809998,2342500,127.809998
"2021-05-06",126.599998,127.230003,121.18,122.779999,2885200,122.779999
"2021-05-07",123.400002,126.620003,122.279999,126.290001,1654900,126.290001
"2021-05-10",127,128.050003,125.370003,125.730003,2571600,125.730003
"2021-05-11",124.699997,129.789993,123.790001,125,3799300,125
"2021-05-12",123.629997,125.32,120.25,120.910004,2869400,120.910004
"2021-05-13",122.279999,125.279999,120.010002,122.419998,2602100,122.419998
"2021-05-14",123.940002,127.220001,122.760002,126.669998,2017400,126.669998
"2021-05-17",125.43,125.699997,121.360001,124.730003,2710200,124.730003
"2021-05-18",125.540001,128.5,125.43,126.139999,2015100,126.139999
"2021-05-19",123.800003,126.389999,122.919998,126.300003,2181900,126.300003
"2021-05-20",126.279999,127.400002,124.550003,126.629997,1908500,126.629997
"2021-05-21",127.739998,129.009995,126.529999,127.360001,1889100,127.360001
"2021-05-24",127.650002,130.360001,126,129.460007,1706400,129.460007
"2021-05-25",130.539993,132.240005,128.119995,129.029999,1730800,129.029999
"2021-05-26",130.009995,132.800003,129.199997,132.449997,2571900,132.449997
"2021-05-27",132.970001,133.130005,131.119995,132.669998,1544000,132.669998
"2021-05-28",133.240005,133.330002,131.149994,131.869995,1239300,131.869995
"2021-06-01",134.190002,136.210007,133.259995,135.610001,2234400,135.610001
"2021-06-02",136.009995,136.830002,133.550003,134.649994,1582600,134.649994
"2021-06-03",133.029999,133.110001,129.059998,129.080002,2944700,129.080002
"2021-06-04",130.130005,130.160004,127.68,128.160004,2149400,128.160004
"2021-06-07",127.43,129.160004,125.199997,129.100006,3075200,129.100006
"2021-06-08",129.75,129.75,126.870003,128.050003,1569300,128.050003
"2021-06-09",128.240005,128.289993,126.599998,126.669998,1828200,126.669998
"2021-06-10",126.779999,127.349998,125.040001,126.169998,1656200,126.169998
"2021-06-11",126.239998,127.269997,124.769997,127.169998,1207200,127.169998
"2021-06-14",127.199997,127.519997,123.900002,124.949997,3051900,124.949997
"2021-06-15",124.949997,126.209999,124.57,125.400002,1658200,125.400002
"2021-06-16",125.120003,126.18,123.720001,125.449997,1622800,125.449997
"2021-06-17",125.760002,129.320007,124.510002,125.300003,2313900,125.300003
"2021-06-18",124,125.040001,122.760002,124.440002,2526800,124.440002
"2021-06-21",125.190002,127.769997,123.529999,127.610001,1735800,127.610001
"2021-06-22",126.269997,127.540001,124.309998,126.760002,2067600,126.760002
"2021-06-23",127.389999,128.479996,124.980003,125.949997,1864300,125.949997
"2021-06-24",126.879997,127.650002,124.129997,124.150002,2721300,124.150002
"2021-06-25",124.339996,125.099998,123.230003,124.059998,3498300,124.059998
"2021-06-28",123.809998,123.809998,119.800003,120.760002,3935700,120.760002
"2021-06-29",120.949997,122.809998,120.830002,121.639999,2710200,121.639999
"2021-06-30",123.139999,125.169998,121.959999,122.300003,3847000,122.300003
"2021-07-01",123.5,124.519997,122.190002,122.400002,2017500,122.400002
"2021-07-02",123.18,123.18,121.040001,121.5,2050900,121.5
"2021-07-06",122,122,116.809998,116.900002,3790000,116.900002
"2021-07-07",117.879997,117.879997,112.339996,112.910004,4946200,112.910004
"2021-07-08",110.650002,112.910004,109.919998,111.660004,3661000,111.660004
"2021-07-09",113.199997,114.940002,112.339996,113.870003,3131900,113.870003
"2021-07-12",113.279999,114.099998,111.709999,114.010002,1766800,114.010002
"2021-07-13",112.93,113.300003,111.379997,111.550003,2011700,111.550003
"2021-07-14",112.199997,113.32,109.800003,110.709999,1990500,110.709999
"2021-07-15",109.800003,110.660004,106.75,108.230003,2786600,108.230003
"2021-07-16",109.099998,109.470001,104.169998,104.699997,2608600,104.699997
"2021-07-19",100.529999,105,100.25,104.739998,4278800,104.739998
