"","MSCI.Open","MSCI.High","MSCI.Low","MSCI.Close","MSCI.Volume","MSCI.Adjusted"
"2021-11-24",627.830017,647.5,625.26001,642.640015,412600,639.688599
"2021-11-26",631.340027,639.98999,618.909973,621.039978,228200,618.187744
"2021-11-29",634.969971,649.450012,631.23999,645.48999,376900,642.525513
"2021-11-30",639.159973,649.890015,628.309998,629.450012,539900,626.559143
"2021-12-01",638.640015,642.200012,615.77002,616.349976,317200,613.519287
"2021-12-02",616.549988,636.960022,616.549988,629.580017,446800,626.688538
"2021-12-03",632.640015,633.51001,592.630005,603.450012,423000,600.678528
"2021-12-06",605.090027,611.900024,593.01001,608.150024,373300,605.356995
"2021-12-07",622.169983,637.25,620.76001,637.070007,302400,634.144165
"2021-12-08",635.880005,646.98999,631.830017,646.090027,258600,643.122803
"2021-12-09",643.830017,643.830017,619.26001,619.940002,347100,617.092834
"2021-12-10",626.469971,630.349976,620.539978,628.140015,192600,625.255249
"2021-12-13",626.719971,634,619.820007,621.76001,490500,618.90448
"2021-12-14",613.559998,615.849976,586.75,591.070007,520600,588.355408
"2021-12-15",594.080017,602.890015,589.22998,602.419983,443400,599.65332
"2021-12-16",607.799988,614.969971,592.01001,595.119995,405800,592.386841
"2021-12-17",592.47998,596.849976,581.450012,590.219971,585800,587.509277
"2021-12-20",579.590027,582.299988,573.179993,579.299988,462000,576.639465
"2021-12-21",585.659973,595.659973,578.780029,594.659973,272900,591.928894
"2021-12-22",595.359985,605.469971,591.820007,604.179993,265600,601.405212
"2021-12-23",609.190002,616.609985,607.940002,611.27002,183700,608.462646
"2021-12-27",615.23999,619.960022,610.950012,618.77002,176200,615.928223
"2021-12-28",620.599976,623.159973,614.640015,614.97998,132000,612.155579
"2021-12-29",616.219971,619.059998,611.080017,614.789978,155900,611.966492
"2021-12-30",616.75,618.580017,612.25,612.539978,166700,609.726807
"2021-12-31",611.429993,616.27002,610.51001,612.690002,149900,609.87616
"2022-01-03",614.330017,617.130005,589,595.580017,297500,592.844727
"2022-01-04",605.169983,606.320007,584.030029,591.130005,381800,588.415161
"2022-01-05",590.179993,591.830017,565.210022,566.119995,548400,563.52002
"2022-01-06",562.599976,566,550.219971,562.97998,705600,560.394409
"2022-01-07",562.97998,566.169983,551.679993,552,551600,549.464844
"2022-01-10",542.47998,545.080017,528.369995,541.859985,1081200,539.371399
"2022-01-11",544.25,555.469971,539.340027,553.320007,676700,550.778809
"2022-01-12",560.679993,568,555,559.080017,532800,556.512329
"2022-01-13",559.039978,564.039978,530.559998,533.409973,596600,530.960205
"2022-01-14",530.25,530.280029,517.289978,526.73999,564300,524.320862
