"","ODFL.Open","ODFL.High","ODFL.Low","ODFL.Close","ODFL.Volume","ODFL.Adjusted"
"2021-11-04",348.679993,358.540009,346.589996,355.26001,655700,354.319
"2021-11-05",357.029999,360.640015,339.519989,348.829987,844700,347.906036
"2021-11-08",349.899994,352,344.459991,351.450012,523900,350.519104
"2021-11-09",346.859985,353.540009,346.859985,351.940002,704600,351.007813
"2021-11-10",351.940002,352.73999,343.149994,345.01001,499800,344.096191
"2021-11-11",346.899994,349.690002,345.059998,349.369995,297300,348.444641
"2021-11-12",350,361.600006,349.76001,357.380005,522400,356.43338
"2021-11-15",357.209991,360.519989,355.410004,359.679993,492800,358.727295
"2021-11-16",358,364.070007,356.079987,361.350006,575700,360.392914
"2021-11-17",361.190002,363.040009,354.649994,360.929993,489000,359.973969
"2021-11-18",361.130005,362.51001,351.709991,352,794300,351.067657
"2021-11-19",351.570007,354.320007,349.179993,351.820007,746400,350.888123
"2021-11-22",354.410004,359.940002,353.029999,354.369995,480200,353.431335
"2021-11-23",353.709991,357.579987,349.540009,354.950012,555200,354.009857
"2021-11-24",353.059998,359.429993,349.660004,358.829987,442800,357.879547
"2021-11-26",352.540009,359.040009,350.01001,352.059998,372400,351.127472
"2021-11-29",358.809998,364.829987,356.399994,357.220001,688100,356.273804
"2021-11-30",357.350006,359.440002,352.959991,355.170013,1305100,354.427704
"2021-12-01",359.730011,363.220001,350.359985,350.420013,936800,349.687622
"2021-12-02",350.130005,358.589996,346.01001,357.049988,630800,356.303741
"2021-12-03",358.200012,363.459991,352.589996,358.980011,633700,358.229736
"2021-12-06",360.540009,361.940002,348.350006,353.130005,808700,352.391968
"2021-12-07",356.679993,373.579987,355.589996,364,1005000,363.239227
"2021-12-08",364.359985,370.279999,356.059998,356.809998,765500,356.06427
"2021-12-09",356.589996,361.679993,354.369995,354.75,662200,354.008545
"2021-12-10",356.369995,360.269989,354.76001,356.290009,655900,355.545349
"2021-12-13",360.690002,361.420013,348.670013,358.920013,885500,358.169861
"2021-12-14",356.950012,358.01001,346.25,352.079987,588400,351.344147
"2021-12-15",353.890015,356.440002,349.980011,353.570007,571100,352.831024
"2021-12-16",355.690002,359.75,350.170013,351.200012,741700,350.465973
"2021-12-17",350,350.070007,338.570007,340.619995,1185300,339.908081
"2021-12-20",335.570007,338.5,327.190002,333.850006,786400,333.152252
"2021-12-21",336.359985,339.890015,331.850006,339.440002,545500,338.73056
