"","CMS.Open","CMS.High","CMS.Low","CMS.Close","CMS.Volume","CMS.Adjusted"
"2021-01-11",57.610001,58.02,56.98,57.130001,1488600,54.757366
"2021-01-12",57.130001,57.5,55.790001,56.369999,1613600,54.028927
"2021-01-13",56.43,58.009998,56.41,57.77,1878600,55.370789
"2021-01-14",57.810001,58.130001,56.75,57.82,2136500,55.418709
"2021-01-15",57.810001,58.860001,57.580002,58.619999,2463500,56.185478
"2021-01-19",59.02,59.02,58.16,58.25,1694400,55.830845
"2021-01-20",57.939999,58.98,57.759998,58.700001,1993800,56.262165
"2021-01-21",58.209999,58.5,57.830002,58.110001,1649300,55.696667
"2021-01-22",57.970001,58.57,57.32,58.41,1802200,55.984207
"2021-01-25",58.259998,59.889999,58.02,59.52,1581300,57.048107
"2021-01-26",59.419998,59.419998,58.169998,58.779999,1741500,56.33884
"2021-01-27",58.209999,58.919998,56.98,57.299999,2590300,54.920303
"2021-01-28",57.360001,58.369999,56.830002,57.25,3805500,54.872383
"2021-01-29",56.880001,57.52,56.209999,56.880001,2474900,54.51775
"2021-02-01",57.110001,58.09,56.52,57.18,1541800,54.80529
"2021-02-02",57.349998,58.419998,56.830002,57.419998,1398100,55.03532
"2021-02-03",57.23,57.66,56.889999,57.200001,1324400,54.824459
"2021-02-04",56.130001,57.450001,56.009998,56.860001,1584500,54.916206
"2021-02-05",58.299999,58.48,57.130001,57.450001,1904500,55.486038
"2021-02-08",57.389999,57.650002,56.049999,56.439999,2412500,54.510567
"2021-02-09",56.59,57,55.57,56.580002,1659200,54.645782
"2021-02-10",56.919998,57.380001,56.470001,56.93,1776600,54.983818
"2021-02-11",56.970001,57.32,56.52,56.580002,1303000,54.645782
"2021-02-12",56.290001,56.709999,55.950001,56.380001,1362200,54.452621
"2021-02-16",56.310001,56.43,55.380001,55.450001,1817300,53.554413
"2021-02-17",55.639999,56.02,55.080002,55.830002,1533600,53.921425
"2021-02-18",55.900002,56.869999,55.900002,56.619999,1558700,54.684414
"2021-02-19",56.599998,56.689999,55.93,55.98,1847000,54.066292
"2021-02-22",55.779999,55.970001,53.700001,54.779999,2299600,52.907314
"2021-02-23",55.240002,56.16,54.91,55.689999,2432700,53.786201
"2021-02-24",55.599998,55.73,54.549999,54.57,1772800,52.704498
"2021-02-25",54.459999,55.169998,54.389999,55.060001,2155200,53.177746
"2021-02-26",55.169998,56.119999,54.080002,54.110001,3426300,52.26022
"2021-03-01",54.580002,55.759998,54.580002,54.82,1918100,52.94595
"2021-03-02",54.849998,55.200001,54.200001,54.880001,1668300,53.003899
"2021-03-03",54.549999,54.790001,53.189999,53.880001,2721300,52.038082
"2021-03-04",54.049999,55.02,53.720001,53.91,2018000,52.067059
"2021-03-05",54.080002,55.669998,54.060001,55.369999,2120100,53.477146
"2021-03-08",55.380001,56.540001,55.080002,56.150002,1628100,54.230484
"2021-03-09",56.040001,56.77,55.73,56.529999,1752300,54.597492
"2021-03-10",57.299999,57.830002,56.790001,57.09,3051400,55.138348
"2021-03-11",56.73,57.580002,56.73,56.759998,2284300,54.819626
"2021-03-12",57.240002,57.830002,56.880001,57.540001,1457200,55.572964
"2021-03-15",57.77,58.740002,57.630001,58.5,2261200,56.500145
"2021-03-16",58.23,58.959999,58.139999,58.380001,2876400,56.384247
"2021-03-17",58.529999,58.560001,57.849998,57.869999,1934000,55.891685
"2021-03-18",57.849998,58.23,57.279999,58.029999,2170400,56.046207
"2021-03-19",58.09,59.029999,57.75,58.349998,6263000,56.355274
"2021-03-22",58.27,58.939999,57.919998,58.5,2437100,56.500145
"2021-03-23",58.689999,60.689999,58.41,60.529999,2930500,58.460743
"2021-03-24",60.200001,61.16,59.950001,60.880001,2139000,58.798786
"2021-03-25",61.209999,62.209999,60.48,61.099998,2288500,59.011261
"2021-03-26",60.990002,61.099998,60.189999,60.93,1586400,58.847073
"2021-03-29",60.880001,62.18,60.380001,61.919998,1107700,59.803234
"2021-03-30",61.27,61.82,60.509998,61.02,1307600,58.933994
"2021-03-31",61.130001,61.360001,60.66,61.220001,2130300,59.127167
"2021-04-01",61.110001,61.299999,60.41,61.02,1280600,58.933994
"2021-04-05",61.189999,61.900002,61.099998,61.48,1249200,59.378273
"2021-04-06",61.240002,61.73,60.759998,61.709999,1440400,59.60041
"2021-04-07",61.130001,61.869999,60.82,61.139999,1574500,59.049896
"2021-04-08",61.25,61.369999,60.470001,60.599998,2313000,58.528355
"2021-04-09",60.549999,61.029999,60.23,60.459999,2968200,58.393143
"2021-04-12",60.98,61.459999,60.59,60.759998,2635200,58.682884
"2021-04-13",60.369999,61.799999,60.150002,61.66,2368000,59.55212
"2021-04-14",61.52,62.23,61.279999,62.18,2119900,60.054344
"2021-04-15",62.240002,63.41,62.23,63.400002,2103100,61.232639
"2021-04-16",63.59,64.110001,63.25,64.080002,2251100,61.889393
"2021-04-19",64.150002,64.269997,63.700001,64.120003,2607100,61.928028
"2021-04-20",64.300003,65.790001,64.040001,65.269997,1799800,63.038708
"2021-04-21",65.580002,65.739998,64.720001,64.730003,1513600,62.517174
