"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2021-02-08",228.729996,232.710007,227.559998,232.509995,523100,214.838699
"2021-02-09",233.690002,236.740005,232.949997,236.369995,680300,218.405334
"2021-02-10",237.639999,237.690002,231.350006,234.100006,697100,216.307861
"2021-02-11",232.940002,234.149994,231.610001,233.070007,853200,215.356155
"2021-02-12",232.479996,232.949997,229.5,231.860001,617500,214.238098
"2021-02-16",231.600006,231.800003,226.539993,229.949997,566300,212.473282
"2021-02-17",229.949997,234.539993,229.630005,234.070007,879000,216.280151
"2021-02-18",233.380005,236.089996,233.380005,235,622800,217.139465
"2021-02-19",235.649994,236.869995,233.759995,234.699997,761500,216.862244
"2021-02-22",234.589996,238.389999,233.25,237.759995,711500,219.689682
"2021-02-23",239.509995,246.210007,239.509995,242.339996,794300,223.9216
"2021-02-24",241.809998,244.990005,241.199997,242.610001,803200,224.171082
"2021-02-25",243.259995,246.520004,240.259995,243.360001,816500,224.864075
"2021-02-26",243.729996,244.830002,233.850006,233.940002,1110900,216.160034
"2021-03-01",236,238.860001,231.800003,231.970001,778500,214.339752
"2021-03-02",231.259995,236.029999,230.229996,234.429993,917000,216.612793
"2021-03-03",232.979996,233.979996,230.720001,230.850006,1025100,213.304871
"2021-03-04",231.539993,234.440002,229.139999,231.350006,1003400,213.766876
"2021-03-05",231.800003,235.529999,229.5,235.050003,667900,217.185669
"2021-03-08",236.229996,240.820007,234.529999,238.649994,628400,220.512054
"2021-03-09",238.669998,242.309998,238.009995,240.029999,584400,221.78717
"2021-03-10",240.660004,240.660004,237.199997,239.839996,625700,221.611603
"2021-03-11",238.910004,241.800003,238.460007,238.610001,615400,220.475098
"2021-03-12",238.419998,243.160004,238.419998,243.050003,599000,224.577621
"2021-03-15",242.320007,243.580002,239.639999,242.479996,887300,225.909927
"2021-03-16",243.070007,245.899994,241.660004,245.330002,512900,228.565155
"2021-03-17",245.110001,245.110001,239.830002,241.660004,751800,225.14595
"2021-03-18",240.419998,242.309998,238.389999,242.009995,570900,225.472046
"2021-03-19",242.570007,243,233.460007,233.460007,1336400,217.506317
"2021-03-22",233.460007,237.710007,233,236.699997,647100,220.524918
"2021-03-23",237.419998,243.289993,236.720001,242.899994,723600,226.301224
"2021-03-24",241.600006,242.800003,240.169998,241.139999,656200,224.661499
"2021-03-25",242.389999,242.5,237.520004,241.300003,594800,224.810562
"2021-03-26",241.970001,244.830002,239.830002,244.589996,836500,227.875732
"2021-03-29",243.940002,250.160004,241.960007,247.990005,823200,231.043396
"2021-03-30",248.289993,248.880005,245.929993,247.029999,652900,230.149002
"2021-03-31",247,249.970001,244.559998,246.759995,1105400,229.897446
"2021-04-01",248.279999,252.119995,247.410004,251.940002,844300,234.723465
"2021-04-05",251.649994,255.589996,250.580002,255.270004,1162300,237.825912
"2021-04-06",254.309998,255.360001,252,255.309998,744600,237.863159
