"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume","DVA.Adjusted"
"2021-04-15",108.940002,110.540001,108.580002,109.849998,764300,109.849998
"2021-04-16",110.440002,113.5,110.099998,113.110001,1760700,113.110001
"2021-04-19",113.480003,113.690002,110.190002,110.779999,826000,110.779999
"2021-04-20",110.360001,112.550003,110.169998,112.199997,670000,112.199997
"2021-04-21",112.900002,114.370003,112.669998,113.540001,523000,113.540001
"2021-04-22",113.550003,113.949997,112.080002,112.449997,614600,112.449997
"2021-04-23",112.379997,113.93,110.949997,113.599998,604900,113.599998
"2021-04-26",113.790001,114.769997,113.139999,113.349998,506900,113.349998
"2021-04-27",112.510002,113.739998,112.120003,112.360001,487200,112.360001
"2021-04-28",112.900002,114.370003,112.550003,113.309998,689800,113.309998
"2021-04-29",113.82,114.779999,113.330002,114.470001,781100,114.470001
"2021-04-30",113.709999,117.529999,112.989998,116.529999,1330200,116.529999
"2021-05-03",117.290001,120.989998,117.139999,120.919998,839000,120.919998
"2021-05-04",120.900002,123.510002,120.68,123.360001,715000,123.360001
"2021-05-05",123.449997,123.970001,120.900002,122.519997,683600,122.519997
"2021-05-06",122.610001,124.550003,121.120003,124.300003,645800,124.300003
"2021-05-07",124.300003,126.830002,124.080002,126.800003,482100,126.800003
"2021-05-10",127.510002,129.589996,127.059998,127.980003,587100,127.980003
"2021-05-11",127.309998,127.309998,124.32,124.610001,488400,124.610001
"2021-05-12",124.650002,125.650002,122.68,122.779999,547900,122.779999
"2021-05-13",122.610001,126.419998,122.510002,125.940002,452200,125.940002
"2021-05-14",126.18,126.459999,125.150002,125.410004,302500,125.410004
"2021-05-17",123.910004,124.720001,122.790001,124.339996,631400,124.339996
"2021-05-18",124.389999,124.639999,121.5,122.139999,608900,122.139999
"2021-05-19",121.669998,122.290001,119.779999,122.220001,675200,122.220001
"2021-05-20",122.290001,123.93,122.089996,123.059998,382200,123.059998
"2021-05-21",123.379997,124.559998,122.25,122.540001,475000,122.540001
"2021-05-24",123.120003,123.370003,121.809998,121.839996,372200,121.839996
"2021-05-25",121.730003,122.309998,120.849998,120.870003,475900,120.870003
"2021-05-26",120.68,121.629997,120.040001,120.599998,731200,120.599998
"2021-05-27",121.519997,121.580002,120.120003,120.669998,969100,120.669998
"2021-05-28",121.169998,121.169998,119.559998,120.07,480300,120.07
"2021-06-01",120.349998,120.75,119.040001,119.860001,482000,119.860001
"2021-06-02",120.349998,120.480003,119.32,119.610001,473700,119.610001
"2021-06-03",119.190002,121.779999,117.959999,121.129997,426500,121.129997
"2021-06-04",121.57,121.610001,120,120.279999,357800,120.279999
"2021-06-07",120.769997,120.900002,118.529999,118.68,528200,118.68
"2021-06-08",118.529999,119.669998,117.540001,119.470001,574000,119.470001
"2021-06-09",119.93,120.849998,119.43,120.440002,328600,120.440002
"2021-06-10",120.470001,121.989998,120.139999,121.800003,465200,121.800003
"2021-06-11",122.25,122.82,121.309998,122.269997,494600,122.269997
"2021-06-14",122.059998,122.480003,120.5,121.559998,452500,121.559998
"2021-06-15",121.480003,124.610001,121.160004,123.639999,575200,123.639999
"2021-06-16",123.459999,124.010002,122.32,122.779999,567800,122.779999
"2021-06-17",122.980003,123.940002,121.739998,123.610001,626600,123.610001
"2021-06-18",122.230003,123.5,121.540001,121.629997,1131500,121.629997
"2021-06-21",121.529999,124.879997,121.239998,124.360001,657400,124.360001
"2021-06-22",124.160004,124.849998,123.18,123.199997,746500,123.199997
"2021-06-23",122.82,122.919998,120.220001,120.389999,595900,120.389999
"2021-06-24",121.370003,122.050003,120.519997,121.330002,376300,121.330002
"2021-06-25",121.25,122.860001,121.099998,121.669998,1442900,121.669998
"2021-06-28",121.669998,122.339996,120.550003,121.82,645600,121.82
"2021-06-29",122.260002,122.769997,119.900002,120.559998,537900,120.559998
"2021-06-30",120.5,120.980003,119.830002,120.43,628100,120.43
"2021-07-01",120.709999,123.699997,120.540001,122.330002,619300,122.330002
"2021-07-02",122.099998,122.629997,120.68,122.440002,563000,122.440002
