"","ALK.Open","ALK.High","ALK.Low","ALK.Close","ALK.Volume","ALK.Adjusted"
"2021-04-30",67.959999,69.720001,67.849998,69.139999,1616300,69.139999
"2021-05-03",69.459999,69.800003,68.050003,68.690002,1186100,68.690002
"2021-05-04",68.120003,68.889999,65.870003,66.559998,1887800,66.559998
"2021-05-05",65.980003,67.800003,65.980003,66.910004,1159900,66.910004
"2021-05-06",67.019997,67.400002,65.779999,67.040001,1014700,67.040001
"2021-05-07",66.5,68.57,66.5,67.900002,829200,67.900002
"2021-05-10",68,68.529999,67.029999,67.089996,814300,67.089996
"2021-05-11",65.300003,66.050003,63.639999,65.540001,1279800,65.540001
"2021-05-12",65.230003,66.489998,64.550003,64.769997,1809400,64.769997
"2021-05-13",65.400002,67.660004,65.25,67.160004,1592100,67.160004
"2021-05-14",68.080002,70.25,68.080002,69.839996,1454300,69.839996
"2021-05-17",69.199997,71.870003,68.529999,71.669998,2057900,71.669998
"2021-05-18",72,72.919998,70.290001,70.290001,1457200,70.290001
"2021-05-19",69.290001,69.769997,67.900002,69.330002,953200,69.330002
"2021-05-20",69.879997,69.879997,67.529999,68.43,834500,68.43
"2021-05-21",68.879997,69.300003,68,68.07,1083500,68.07
"2021-05-24",68.43,69.360001,67.75,69.25,794400,69.25
"2021-05-25",68.959999,70.300003,68.099998,68.25,1780700,68.25
"2021-05-26",68.769997,69.949997,68.629997,69.639999,1143700,69.639999
"2021-05-27",70.139999,70.610001,69.389999,70.43,856400,70.43
"2021-05-28",70.349998,70.379997,68.949997,69.199997,1158100,69.199997
"2021-06-01",69.93,70.900002,68.910004,69.540001,1557000,69.540001
"2021-06-02",69.839996,69.849998,67.540001,67.839996,1876100,67.839996
"2021-06-03",66.830002,67.339996,65.330002,65.459999,2206500,65.459999
"2021-06-04",65.779999,66.169998,64.82,65.449997,1267500,65.449997
"2021-06-07",65.910004,66.389999,65.260002,65.559998,1094000,65.559998
"2021-06-08",66,66.940002,65.169998,66.300003,1272400,66.300003
"2021-06-09",66.599998,66.660004,65.5,65.620003,1010400,65.620003
"2021-06-10",67.010002,67.010002,64.760002,64.900002,1491800,64.900002
"2021-06-11",64.860001,65.830002,63.43,65.480003,2844200,65.480003
"2021-06-14",65.120003,65.75,64.269997,64.449997,1942800,64.449997
"2021-06-15",64.709999,64.940002,63.540001,64.330002,1720900,64.330002
"2021-06-16",64.400002,64.910004,63.619999,63.93,1306500,63.93
"2021-06-17",64.18,64.510002,61.880001,62.639999,1720000,62.639999
"2021-06-18",62.43,64.129997,62.009998,63.310001,3381600,63.310001
"2021-06-21",63.790001,65.160004,63.599998,65.019997,1516700,65.019997
"2021-06-22",64.610001,64.970001,63.099998,64.209999,1818000,64.209999
"2021-06-23",64.300003,64.489998,63.740002,63.779999,1495300,63.779999
"2021-06-24",64.190002,64.400002,63.060001,63.549999,1281800,63.549999
"2021-06-25",63.419998,63.709999,62.91,63.27,1693600,63.27
"2021-06-28",62.450001,62.689999,60.52,61.450001,2038700,61.450001
"2021-06-29",61.27,61.630001,59.849998,60.130001,3916100,60.130001
"2021-06-30",60.009998,60.619999,59.830002,60.310001,4112700,60.310001
"2021-07-01",60.860001,61.549999,60.459999,61.43,2243600,61.43
"2021-07-02",61.689999,61.75,60.41,60.709999,1194700,60.709999
"2021-07-06",60.740002,61.09,58.939999,59.189999,1452200,59.189999
"2021-07-07",58.990002,59.630001,57.220001,57.619999,2208000,57.619999
"2021-07-08",56.5,58.73,55.93,57.779999,1830700,57.779999
"2021-07-09",58.650002,59.59,58.27,59.380001,1213500,59.380001
"2021-07-12",58.82,59.799999,58.07,59.669998,1297400,59.669998
"2021-07-13",59.029999,59.110001,57.470001,57.619999,1810300,57.619999
"2021-07-14",58.5,59.389999,57.209999,57.549999,1533700,57.549999
"2021-07-15",57.09,58,56.009998,56.91,1939000,56.91
"2021-07-16",57.5,57.619999,54.360001,54.619999,2810200,54.619999
"2021-07-19",52.84,53.709999,51.75,52.830002,3103700,52.830002
"2021-07-20",52.82,55.91,52.580002,55.48,2404400,55.48
"2021-07-21",56.330002,58.220001,56.259998,57.59,2659100,57.59
"2021-07-22",56.860001,58.98,55.400002,57.98,4907400,57.98
"2021-07-23",58.860001,59.48,57.740002,58.25,1920000,58.25
"2021-07-26",58.259998,60.66,58.259998,60.560001,2326900,60.560001
"2021-07-27",60.34,60.490002,59.080002,59.32,1552500,59.32
"2021-07-28",59.900002,60.200001,58.32,59.66,1586200,59.66
"2021-07-29",60.290001,60.5,58.82,58.849998,1423400,58.849998
"2021-07-30",58.119999,59.419998,57.700001,58.029999,2072600,58.029999
"2021-08-02",58.209999,59.73,56.619999,56.709999,2440100,56.709999
"2021-08-03",56.740002,57.200001,55.200001,57.189999,1833300,57.189999
"2021-08-04",56.139999,56.959999,54.790001,55.240002,2127400,55.240002
"2021-08-05",55.25,57.869999,55.150002,57.560001,2223800,57.560001
"2021-08-06",58.139999,58.490002,57.02,57.869999,1499300,57.869999
"2021-08-09",57.07,57.470001,55.869999,56.860001,1344900,56.860001
"2021-08-10",56.810001,58.98,56.52,58.470001,1621300,58.470001
"2021-08-11",57.849998,59.720001,57.509998,59.450001,2010100,59.450001
