"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume","ADSK.Adjusted"
"2021-04-22",287.540009,292.23999,285.720001,288,1721000,288
"2021-04-23",289.470001,296.570007,289.119995,295.269989,1073500,295.269989
"2021-04-26",294.670013,300.76001,294.399994,299.339996,833400,299.339996
"2021-04-27",299.410004,299.970001,294.25,297.869995,812700,297.869995
"2021-04-28",298.070007,299.559998,296.179993,299.230011,908300,299.230011
"2021-04-29",301.5,301.5,293.790009,296.279999,906900,296.279999
"2021-04-30",294.549988,295.470001,290.5,291.910004,732200,291.910004
"2021-05-03",292.98999,293.5,286.070007,287.5,644600,287.5
"2021-05-04",284.230011,284.230011,274.5,279.730011,1052200,279.730011
"2021-05-05",280.209991,282,277.679993,281.079987,839400,281.079987
"2021-05-06",280.48999,284.720001,277.790009,284.350006,1131000,284.350006
"2021-05-07",285.660004,292.640015,283.899994,285.76001,799600,285.76001
"2021-05-10",285.890015,286,275.880005,276.049988,839200,276.049988
"2021-05-11",269,280.559998,265.75,277.420013,933200,277.420013
"2021-05-12",271.950012,275.089996,267.339996,269.540009,984100,269.540009
"2021-05-13",270.940002,273.700012,267.220001,269.720001,1289700,269.720001
"2021-05-14",272.519989,278.820007,270.160004,277.630005,1154300,277.630005
"2021-05-17",275,275.609985,270.350006,274.779999,755100,274.779999
"2021-05-18",276.350006,276.980011,272.559998,272.75,812000,272.75
"2021-05-19",267.630005,274.709991,266.790009,273.970001,821300,273.970001
"2021-05-20",275.209991,282.970001,275.209991,281.160004,971200,281.160004
"2021-05-21",283.630005,285,279.329987,281.679993,996300,281.679993
"2021-05-24",285.290009,288.519989,283.829987,287.480011,923100,287.480011
"2021-05-25",288.279999,291.480011,287.059998,289.470001,1119900,289.470001
"2021-05-26",288.720001,293.48999,288.089996,292.51001,1192200,292.51001
"2021-05-27",290.25,291.170013,284.799988,286.670013,2369800,286.670013
"2021-05-28",287,291.5,282.149994,285.859985,1948500,285.859985
"2021-06-01",287,287.410004,280.01001,281.299988,1205900,281.299988
