"","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume","TSN.Adjusted"
"2021-07-20",71,72.18,70.82,71.339996,1756900,69.833275
"2021-07-21",71.760002,71.889999,71.279999,71.470001,1374100,69.960541
"2021-07-22",71.199997,71.220001,69.879997,70.720001,1436000,69.226379
"2021-07-23",70.879997,71.559998,70.550003,71.32,1278100,69.813713
"2021-07-26",71.059998,71.68,70.980003,71.25,1699800,69.745186
"2021-07-27",71.089996,71.989998,70.910004,71.769997,2789100,70.254196
"2021-07-28",71.889999,71.949997,70.730003,71.610001,1102600,70.09758
"2021-07-29",72.160004,72.599998,71.830002,71.919998,1238300,70.401031
"2021-07-30",71.970001,72.339996,71.400002,71.459999,1692700,69.950745
"2021-08-02",71.769997,72.540001,71.370003,71.75,1817100,70.234619
"2021-08-03",71.849998,72.260002,71.190002,71.709999,1981400,70.195473
"2021-08-04",71.239998,71.330002,70.089996,70.360001,1634500,68.873978
"2021-08-05",70.709999,70.870003,70.040001,70.139999,1426100,68.65863
"2021-08-06",70.599998,71.360001,70.5,71.120003,1369300,69.617935
"2021-08-09",75,77.440002,74,77.300003,5240600,75.667412
"2021-08-10",77.589996,79.779999,77.550003,79.550003,3303400,77.869896
"2021-08-11",79.949997,80.260002,79.029999,80.18,2132700,78.48658
"2021-08-12",80.129997,80.599998,79.360001,80.040001,2207900,78.349541
"2021-08-13",80.620003,82.449997,80.410004,81.910004,2690900,80.180046
"2021-08-16",81.870003,81.870003,80.519997,81.110001,1651000,79.396942
"2021-08-17",80.709999,81.290001,80.239998,80.760002,1183100,79.054337
"2021-08-18",80.760002,81.110001,80.029999,80.150002,1998700,78.457214
"2021-08-19",79.860001,81.349998,79.339996,80.290001,1609000,78.594261
"2021-08-20",79.68,80.309998,79.610001,79.940002,1453100,78.251656
"2021-08-23",80.169998,80.169998,79.389999,79.529999,1122300,77.850304
"2021-08-24",79.809998,79.870003,78.949997,79.120003,1223200,77.448975
"2021-08-25",78.970001,79.260002,78.510002,78.709999,1384900,77.047623
"2021-08-26",78.489998,78.720001,77.620003,78.099998,1411500,76.450516
"2021-08-27",78.190002,78.900002,77.739998,78.510002,1198600,76.85186
"2021-08-30",78.449997,78.769997,78.029999,78.18,1039600,76.528824
"2021-08-31",77.989998,78.620003,77.690002,78.519997,1889400,77.301643
"2021-09-01",78.57,78.779999,77.699997,78.349998,1308400,77.134285
"2021-09-02",78.32,78.849998,78.110001,78.489998,1426500,77.272102
"2021-09-03",78.5,79.57,77.82,78.230003,1477300,77.016144
"2021-09-07",77.699997,78.419998,77.199997,77.290001,3170500,76.090729
"2021-09-08",77.400002,77.489998,75.809998,76.169998,3435000,74.988106
"2021-09-09",76.029999,76.220001,74.709999,75.580002,2156600,74.407257
"2021-09-10",75.589996,75.790001,74.43,74.800003,1391700,73.639374
"2021-09-13",75,77.059998,75,76.43,1797800,75.244064
"2021-09-14",76.739998,76.739998,75.029999,75.43,1697300,74.25959
"2021-09-15",75.339996,76.389999,75.199997,76.209999,1288400,75.027489
"2021-09-16",76.050003,76.379997,75.580002,75.800003,1112100,74.623856
"2021-09-17",75.400002,76.18,75.290001,75.809998,2566200,74.63369
"2021-09-20",75.059998,76.209999,74.940002,75.699997,1628300,74.525391
"2021-09-21",75.93,76.260002,75.220001,75.519997,1244400,74.34819
"2021-09-22",76.089996,76.32,75.370003,75.480003,914700,74.308823
"2021-09-23",75.839996,76.870003,75.739998,76.110001,1497800,74.929039
"2021-09-24",76.190002,76.800003,75.809998,76.220001,1125600,75.037331
"2021-09-27",76.730003,77.839996,76.5,76.860001,1234900,75.667404
"2021-09-28",77.050003,78.099998,76.949997,77.800003,2008600,76.592819
"2021-09-29",78.18,81.010002,78.059998,80.489998,2810500,79.241074
"2021-09-30",80.720001,80.809998,78.919998,78.940002,1981200,77.715126
"2021-10-01",79.120003,79.139999,77.839996,78.309998,2249500,77.094894
"2021-10-04",78.620003,79.360001,77.809998,78.080002,1690500,76.868469
"2021-10-05",78.260002,78.720001,77.93,78.309998,1381500,77.094894
"2021-10-06",78.190002,78.660004,77.32,78.620003,1070200,77.400093
"2021-10-07",78.900002,79.470001,78.519997,78.68,2016000,77.45916
"2021-10-08",78.699997,79.209999,78.459999,78.57,858400,77.350861
"2021-10-11",78.809998,79.599998,78.300003,78.339996,1269300,77.124435
"2021-10-12",78.580002,79.440002,78.199997,79.239998,2028200,78.010468
"2021-10-13",79.480003,79.629997,78.07,79.309998,1335900,78.079384
"2021-10-14",79.779999,79.849998,79.220001,79.699997,1059000,78.463326
"2021-10-15",80,80.209999,79.559998,79.68,1413800,78.443642
"2021-10-18",79.389999,80.18,79.199997,79.43,1290800,78.197525
"2021-10-19",79.779999,80.129997,79.019997,80.099998,1236000,78.857124
"2021-10-20",80.199997,81.860001,80.099998,81.230003,1457300,79.969597
"2021-10-21",81.139999,81.57,80.809998,81.190002,1156800,79.930214
"2021-10-22",81.309998,82.589996,81.07,82.5,1283200,81.219879
"2021-10-25",82.5,83.760002,81.959999,83.290001,1671300,81.997627
"2021-10-26",83.199997,83.32,82.25,82.489998,1203900,81.210037
"2021-10-27",82.559998,82.559998,80.099998,80.629997,1520600,79.378899
"2021-10-28",80.690002,81.089996,79.57,81.010002,1389800,79.753006
"2021-10-29",81.07,81.790001,79.940002,79.970001,1771200,78.729149
"2021-11-01",80.150002,81.25,80,80.830002,977000,79.575798
"2021-11-02",80.849998,81.739998,80.550003,81.529999,1269400,80.264938
"2021-11-03",81.540001,82.32,81.190002,81.720001,1152200,80.451996
"2021-11-04",81.739998,82.18,80.599998,81.07,835100,79.812073
"2021-11-05",81.470001,81.860001,80.989998,81.559998,1143000,80.294464
"2021-11-08",81.900002,81.949997,81.220001,81.370003,1051100,80.107422
"2021-11-09",81.209999,81.669998,80.669998,81.519997,1169900,80.255089
"2021-11-10",81.959999,82.830002,81.260002,82.540001,1574100,81.25927
"2021-11-11",82.169998,83.25,82.019997,83.129997,1580900,81.840111
"2021-11-12",83.129997,83.150002,80.43,81.230003,2804700,79.969597
"2021-11-15",81,84.82,80.529999,84.110001,4097500,82.804901
"2021-11-16",84.550003,85.610001,83.540001,83.580002,2434700,82.283134
"2021-11-17",83.57,84.379997,82.209999,82.589996,1859000,81.308487
"2021-11-18",82.599998,83.300003,82.260002,82.559998,2875000,81.278954
"2021-11-19",82.650002,82.919998,81.019997,81.510002,2018200,80.245255
"2021-11-22",81.690002,83.339996,81.690002,83.129997,1730000,81.840111
"2021-11-23",83,83.860001,82.650002,83.239998,2131600,81.948402
"2021-11-24",83.010002,84.370003,82.940002,83.239998,1314300,81.948402
"2021-11-26",82,83.110001,81.330002,81.339996,1171500,80.077888
"2021-11-29",81.93,82.480003,81.550003,81.879997,2027500,80.609505
"2021-11-30",80.699997,81.940002,78.75,78.959999,3299900,78.173996
"2021-12-01",79.550003,80.459999,78.220001,78.260002,2427300,77.480965
"2021-12-02",79.269997,81.459999,78.949997,80.790001,2993600,79.985779
"2021-12-03",81.739998,83.080002,81.639999,82.599998,3070800,81.777756
"2021-12-06",83.400002,84.870003,83.279999,83.480003,2744500,82.649002
"2021-12-07",83.489998,84.849998,83.43,83.970001,1874300,83.134125
"2021-12-08",84.339996,84.970001,83.440002,83.529999,2074700,82.698502
"2021-12-09",83.379997,84.400002,82.510002,83.75,3182200,82.916313
"2021-12-10",84.25,84.550003,83.57,84.110001,1973200,83.272728
"2021-12-13",83.720001,85.389999,83.220001,84.93,2564400,84.084564
"2021-12-14",85.25,86.43,84.849998,85.75,3078000,84.8964
"2021-12-15",85.779999,86.260002,85.029999,85.910004,1892800,85.054817
"2021-12-16",86.400002,86.959999,85.809998,86.199997,1821900,85.341919
"2021-12-17",86.300003,86.620003,85.389999,85.43,3392500,84.57959
"2021-12-20",84.709999,85.129997,83.989998,84.839996,1721600,83.995461
"2021-12-21",85,85.68,84.57,85.269997,1548700,84.421181
"2021-12-22",85.150002,85.529999,84.57,84.93,1599600,84.084564
"2021-12-23",85.209999,85.75,84.940002,85.220001,1182200,84.371681
"2021-12-27",85.089996,86.160004,84.919998,86.160004,726000,85.30233
"2021-12-28",85.940002,86.699997,85.940002,86.669998,960600,85.807243
"2021-12-29",86.669998,86.82,86.199997,86.419998,975500,85.559731
"2021-12-30",86.610001,86.75,86.07,86.32,752600,85.460732
"2021-12-31",86.400002,87.5,86.269997,87.160004,1258500,86.292366
"2022-01-03",86.879997,87.830002,86.160004,87.800003,1781700,86.925995
