"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2021-02-01",135.919998,136.960007,133.360001,136.910004,565000,135.347397
"2021-02-02",138.779999,141.25,137.009995,140.600006,528900,138.995316
"2021-02-03",140.970001,141.210007,137.809998,139.050003,4e+05,137.462982
"2021-02-04",139.550003,142.139999,138.070007,142.070007,754500,140.731903
"2021-02-05",143.009995,144.919998,142.339996,144.649994,583700,143.287613
"2021-02-08",145.210007,146.490005,144.029999,146.020004,397100,144.644699
"2021-02-09",146.899994,148.529999,146,148.350006,557600,146.952759
"2021-02-10",148.039993,148.039993,145.160004,146.720001,722900,145.338089
"2021-02-11",147.600006,147.619995,145.679993,147.320007,762400,145.93248
"2021-02-12",147.360001,149.360001,146.720001,148.320007,487600,146.92305
"2021-02-16",148.910004,149.490005,145.589996,146.320007,769300,144.941879
"2021-02-17",145.509995,145.789993,141.410004,143.820007,482300,142.465439
"2021-02-18",143.350006,147.410004,142.690002,146.899994,584600,145.516388
"2021-02-19",147.940002,149.949997,146.160004,146.559998,1083900,145.179611
"2021-02-22",145.559998,147.020004,144.169998,145.550003,484100,144.179123
"2021-02-23",144.830002,145.199997,140.880005,144.509995,418400,143.148895
"2021-02-24",144.160004,147.539993,143.860001,146.660004,372600,145.278656
"2021-02-25",146.649994,147.759995,145.380005,146.479996,429600,145.100357
"2021-02-26",146.639999,148.740005,145.380005,146.869995,736800,145.486679
"2021-03-01",147.809998,152.190002,147.809998,149.389999,588200,147.982956
"2021-03-02",149.020004,152.559998,148.020004,150.729996,540900,149.310333
"2021-03-03",151.259995,154.619995,150.649994,152.589996,689300,151.152802
"2021-03-04",155.850006,155.899994,148.690002,149.289993,561800,147.883881
"2021-03-05",150.139999,156.259995,148.350006,155.630005,697100,154.1642
"2021-03-08",155.990005,160.949997,155.229996,159.389999,996000,157.888763
"2021-03-09",160.889999,164.300003,160.039993,160.690002,769100,159.176529
"2021-03-10",160.470001,160.470001,156.889999,157,1048000,155.521286
"2021-03-11",156.720001,159.339996,154.270004,159.289993,764900,157.789703
"2021-03-12",160.190002,163.699997,158.919998,162.830002,374600,161.296371
"2021-03-15",163.179993,163.179993,160.100006,161.460007,450700,159.939285
"2021-03-16",161.710007,161.710007,157.25,158.169998,370100,156.680283
"2021-03-17",158.679993,160.600006,156.380005,159.899994,368000,158.393967
"2021-03-18",159.619995,164.460007,159.619995,162.089996,381600,160.563339
"2021-03-19",161.339996,163.699997,159.910004,162.309998,936300,160.781265
"2021-03-22",163.929993,163.929993,157.279999,158.410004,806200,156.918015
"2021-03-23",157.940002,160.399994,155.160004,155.949997,600800,154.481171
"2021-03-24",156.630005,161.320007,156.25,159.529999,560200,158.027451
"2021-03-25",160.470001,162.050003,157.820007,161.419998,475800,159.899643
