"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"2021-03-11",171.369995,173.139999,170.820007,171.610001,2957700,167.241165
"2021-03-12",174.050003,175.350006,173.330002,175.050003,1393600,170.593582
"2021-03-15",175.029999,175.339996,172.029999,174.199997,1350500,169.765244
"2021-03-16",173.589996,173.589996,170.179993,172.419998,969900,168.030533
"2021-03-17",173.899994,174.210007,171.229996,173.449997,1179000,169.034332
"2021-03-18",173.860001,179.009995,165.199997,168.130005,4640900,164.589935
"2021-03-19",167.410004,168.289993,159.119995,159.229996,6915700,155.877304
"2021-03-22",159.089996,159.970001,156.889999,157.050003,3351500,153.743225
"2021-03-23",156.389999,159.380005,156.080002,157.380005,3291800,154.066269
"2021-03-24",157.990005,159.679993,156.589996,156.619995,2326300,153.322281
"2021-03-25",157.100006,159.449997,155.070007,158.910004,3000300,155.564056
"2021-03-26",160.100006,160.100006,157.809998,159.779999,1891000,156.415741
"2021-03-29",162.5,162.5,157.899994,160.339996,2790900,156.963913
"2021-03-30",160.470001,162.449997,160.229996,161.509995,2701000,158.109283
"2021-03-31",160.869995,162.5,157.800003,157.970001,2925500,154.643845
"2021-04-01",157.470001,159.350006,157.160004,158.990005,1993600,155.642365
"2021-04-05",160.710007,161.520004,159.240005,159.910004,1332200,156.542999
"2021-04-06",159.789993,161.330002,159.350006,161.039993,1966400,157.649185
"2021-04-07",161.880005,161.910004,160.100006,160.949997,1256100,157.561081
"2021-04-08",159.589996,160.470001,158.610001,159.910004,1600800,156.542999
"2021-04-09",160.759995,161.199997,159.5,160.690002,2077300,157.30658
"2021-04-12",161.339996,162.100006,160.470001,160.940002,1173700,157.551315
"2021-04-13",160.940002,161.470001,159.179993,160.919998,1459000,157.531738
"2021-04-14",160.679993,165.160004,160,164.110001,1418100,160.654556
"2021-04-15",164.059998,164.440002,161.559998,162.100006,1723800,158.686874
"2021-04-16",162.460007,164.169998,162.460007,162.770004,1600800,159.342789
"2021-04-19",163.059998,163.210007,160.589996,161.710007,1165800,158.305115
"2021-04-20",161.199997,162.179993,160.369995,161.710007,1281100,158.305115
"2021-04-21",162,165.690002,161.899994,165.070007,1263000,161.59436
"2021-04-22",164.25,168.729996,163.410004,166.919998,2814400,163.405396
"2021-04-23",167.199997,169.429993,166.970001,169.259995,1658800,165.696106
"2021-04-26",169.100006,170.419998,165.970001,166.029999,1430000,162.534134
"2021-04-27",165.759995,167.240005,165.509995,166.600006,1190700,163.092148
"2021-04-28",167.929993,169.860001,162.210007,164.059998,2277700,160.605621
"2021-04-29",165.240005,170.479996,164.960007,169.5,2880800,165.931061
"2021-04-30",169.029999,173.309998,168.600006,171.589996,3277700,167.977066
"2021-05-03",173.339996,174.410004,171.130005,172.009995,2272000,168.388229
"2021-05-04",171.550003,173.679993,171.300003,172.710007,2463000,169.073471
"2021-05-05",171.830002,173.380005,169.889999,171.339996,2150600,167.732315
"2021-05-06",172.410004,173.619995,171.330002,173.240005,2249500,169.592346
"2021-05-07",171.5,176.539993,171.029999,176.389999,3034600,172.675995
"2021-05-10",176.850006,177.190002,173.800003,173.830002,1466500,170.169891
