"","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2021-02-01",212.889999,213.169998,209.699997,211.5,254900,204.165298
"2021-02-02",213.830002,217.220001,211.669998,214.110001,294200,206.684799
"2021-02-03",212.990005,215.740005,211.570007,214.279999,177100,206.848877
"2021-02-04",215.839996,222.080002,212.619995,220.929993,272200,213.26825
"2021-02-05",222.110001,223.729996,218.919998,219.399994,201400,211.791321
"2021-02-08",219.990005,225.419998,219.25,225.190002,236800,217.380508
"2021-02-09",228.199997,240.399994,228.199997,233.039993,430500,224.958282
"2021-02-10",233.729996,236.389999,231.199997,234.690002,238100,226.551071
"2021-02-11",235.660004,245.029999,235.130005,244.949997,365500,236.455276
"2021-02-12",243.600006,247.619995,240.649994,243.539993,305100,235.094162
"2021-02-16",244.770004,244.770004,238.919998,240.440002,260600,232.101669
"2021-02-17",241.220001,244.059998,239.539993,242.720001,177400,234.302582
"2021-02-18",240.610001,243.300003,240.070007,240.899994,158100,232.545715
"2021-02-19",242.330002,242.330002,237.589996,239.300003,351400,231.00119
"2021-02-22",238.300003,243.289993,237.270004,241.809998,298500,233.424164
"2021-02-23",242.970001,245.570007,238.910004,239.979996,299000,231.657608
"2021-02-24",241,248.059998,240.830002,244.720001,207100,236.233231
"2021-02-25",246.160004,246.160004,237.990005,238.970001,221700,230.682648
"2021-02-26",238.860001,243.860001,236.580002,241.809998,391200,233.424164
"2021-03-01",244.610001,246.809998,240.5,242.639999,205100,234.225372
"2021-03-02",242.279999,244.529999,240.779999,241.919998,186400,233.530304
"2021-03-03",240.080002,244.940002,240.080002,242.229996,271600,233.82959
"2021-03-04",241.059998,245.960007,238.360001,239.679993,222700,231.368027
"2021-03-05",242.369995,248.449997,240.399994,246.899994,219400,238.337631
"2021-03-08",248.160004,254,247.490005,251.039993,240100,242.334061
"2021-03-09",248.949997,252.850006,245.699997,247.149994,320600,238.578979
"2021-03-10",246.669998,252.759995,246.220001,250.220001,206300,241.542511
"2021-03-11",248.229996,250.789993,246.449997,249.419998,192800,240.770248
"2021-03-12",251.929993,254.169998,250.699997,252.820007,216800,244.052338
"2021-03-15",251.759995,256.600006,250.369995,255.970001,206700,247.093094
"2021-03-16",251.130005,253.800003,249.889999,253.369995,184800,246.073349
"2021-03-17",255.600006,255.600006,248.679993,251.279999,225400,244.043533
"2021-03-18",253.710007,256.059998,250.610001,251.949997,209900,244.694244
"2021-03-19",251.75,251.75,245.669998,245.830002,450800,238.750488
"2021-03-22",244.270004,245.130005,241.779999,243.880005,242500,236.856644
"2021-03-23",242.75,244.149994,240.789993,241.360001,282700,234.409195
"2021-03-24",245.5,246.179993,242.779999,242.949997,378700,235.953415
"2021-03-25",243.199997,248.860001,242,247.860001,314000,240.722
"2021-03-26",250,250.369995,248.020004,250.149994,178000,242.946075
"2021-03-29",251.419998,255.830002,250.710007,254.089996,458200,246.772598
"2021-03-30",254.770004,256.920013,253.440002,254.289993,288700,246.966827
"2021-03-31",254.229996,254.339996,247.630005,247.809998,281700,240.673447
"2021-04-01",246.179993,251.639999,245.600006,251.110001,235400,243.878433
"2021-04-05",252.860001,253.389999,249.720001,251.009995,341600,243.781311
"2021-04-06",250.309998,254.809998,250.309998,253.580002,262300,246.277298
"2021-04-07",253.580002,256.160004,252.399994,255.759995,256200,248.394501
"2021-04-08",254.050003,254.600006,251.639999,253.300003,266600,246.005371
"2021-04-09",254.449997,255.199997,252.679993,254.770004,185100,247.433029
"2021-04-12",254.470001,255.190002,251.270004,254.979996,262600,247.636963
"2021-04-13",254.710007,256.630005,251.770004,256.070007,241600,248.695572
"2021-04-14",256.25,260.450012,255.889999,259.450012,244900,251.978271
"2021-04-15",259.809998,263.269989,259.350006,262.799988,208900,255.23175
"2021-04-16",264.279999,264.820007,261.299988,262.100006,228000,254.551941
"2021-04-19",263.600006,264.290009,261.160004,264,162000,256.397186
"2021-04-20",263.410004,265,261.079987,262.429993,327400,254.872421
"2021-04-21",262.429993,267.799988,262.429993,267.640015,189200,259.932373
"2021-04-22",266.299988,266.690002,263.829987,264.51001,220000,256.892517
"2021-04-23",265.269989,268.709991,264.890015,266.820007,169300,259.136017
"2021-04-26",267.109985,269.230011,265.579987,266,226900,258.3396
"2021-04-27",266.98999,268.380005,265.5,267.049988,188900,259.359375
"2021-04-28",269.329987,269.329987,265.329987,266.119995,311500,258.456177
"2021-04-29",266.339996,272.730011,264.769989,272.450012,655100,264.603882
"2021-04-30",273.049988,278.940002,271.5,276.950012,462600,268.974243
"2021-05-03",279.190002,281.269989,271.76001,272.070007,393800,264.234833
"2021-05-04",272.179993,277.48999,271.470001,273.420013,441100,265.545959
"2021-05-05",273.109985,274.980011,266.809998,273.109985,300200,265.244812
"2021-05-06",274.779999,274.950012,270.109985,273.320007,276300,265.448822
"2021-05-07",270.179993,274,269.549988,273.100006,296800,265.235138
"2021-05-10",274.230011,275.799988,272.679993,272.809998,332400,264.953491
"2021-05-11",271.600006,271.859985,264.709991,265.570007,319900,257.921997
"2021-05-12",267.089996,267.670013,262.019989,262.440002,307500,254.882156
"2021-05-13",261.070007,272.109985,261.070007,270.959991,222700,263.156738
"2021-05-14",270.75,272.350006,269,271.429993,191700,263.61322
"2021-05-17",271.140015,273.220001,267.01001,272.109985,335900,264.273651
"2021-05-18",270.480011,272.309998,267.25,271.51001,400500,263.690948
"2021-05-19",270.320007,270.809998,266.519989,269.200012,324300,261.447479
"2021-05-20",269.690002,270.179993,266.700012,268.420013,252400,260.689941
"2021-05-21",268.619995,270.76001,263.779999,264.290009,276800,256.678833
"2021-05-24",265.450012,265.829987,262.480011,263.570007,388200,255.979614
"2021-05-25",261.779999,261.779999,253.399994,254.440002,592600,248.574356
"2021-05-26",254.929993,256.600006,253.669998,254.699997,495900,248.828323
"2021-05-27",256.589996,259.980011,254.910004,259.929993,1750000,253.937744
"2021-05-28",261.579987,261.579987,257.029999,259.959991,357000,253.967072
"2021-06-01",262.410004,263.070007,258.850006,259.799988,463100,253.810745
"2021-06-02",259.48999,259.48999,256.540009,257.089996,332300,251.163239
"2021-06-03",256.190002,258.540009,254.509995,257,325200,251.075317
"2021-06-04",256.769989,259.850006,255.270004,259.369995,227200,253.390686
"2021-06-07",259.179993,259.450012,256.309998,257.790009,327800,251.847122
"2021-06-08",257.220001,259.720001,255.460007,259.170013,304100,253.195297
"2021-06-09",257.649994,259.01001,257.109985,257.649994,237400,251.710327
"2021-06-10",258.940002,259.390015,254.740005,254.880005,237500,249.004181
"2021-06-11",254.779999,256.179993,253.330002,253.839996,276200,247.988174
"2021-06-14",253.779999,254.149994,252,254.029999,207600,248.173782
"2021-06-15",254.389999,258.48999,252.839996,256.579987,216400,250.664978
"2021-06-16",255.949997,257.350006,254.119995,254.190002,191400,248.330093
"2021-06-17",254.929993,255.179993,245.440002,245.529999,310000,239.869736
"2021-06-18",239.289993,241.199997,236.130005,236.210007,606000,230.764587
"2021-06-21",237.869995,243.949997,237.869995,243.580002,327700,237.964706
"2021-06-22",243.520004,245.059998,241.710007,244.440002,301900,238.804855
"2021-06-23",244.330002,246.770004,243.199997,245.779999,407500,240.113983
"2021-06-24",247.470001,253.619995,246.850006,252.610001,327500,246.786514
"2021-06-25",253.649994,256.76001,252.369995,256.23999,512600,250.332809
"2021-06-28",255.759995,255.759995,250.529999,251.550003,235800,245.750977
"2021-06-29",252.800003,253.919998,251.389999,253,361700,247.167526
"2021-06-30",251.979996,253.029999,250.5,252.009995,226000,246.200348
"2021-07-01",252.960007,257.119995,251.309998,256.820007,291800,250.899475
"2021-07-02",255.270004,255.759995,251.089996,252.350006,311100,246.532516
"2021-07-06",251.089996,251.089996,247.229996,248.380005,668700,242.654053
"2021-07-07",246.729996,252.029999,246.729996,250.979996,528400,245.194092
"2021-07-08",247.009995,247.009995,242.449997,242.990005,240900,237.388306
"2021-07-09",246.850006,247.949997,245.350006,247.860001,282300,242.146027
"2021-07-12",246.160004,249.720001,245.110001,248.899994,174900,243.162033
"2021-07-13",248.309998,248.520004,244.669998,244.669998,155300,239.029556
"2021-07-14",245.009995,246.970001,243.770004,245.210007,175000,239.557114
"2021-07-15",242.679993,246.589996,242.440002,246.369995,222700,240.690369
"2021-07-16",247.369995,247.449997,244.960007,246.779999,140200,241.090912
"2021-07-19",242.410004,243.630005,234.869995,236.679993,253900,231.223755
"2021-07-20",237.199997,243.490005,237.059998,241.25,285800,235.6884
"2021-07-21",243.380005,246.919998,243.380005,244.529999,221900,238.892792
"2021-07-22",243.720001,244.429993,242.070007,242.720001,169200,237.124512
"2021-07-23",244.460007,245.119995,241.820007,242.789993,152900,237.192886
"2021-07-26",242.270004,244.520004,241.25,243.589996,234700,237.974457
"2021-07-27",241.610001,246.110001,240.479996,245.029999,253200,239.381271
"2021-07-28",244.690002,247.880005,240.580002,243.399994,279600,237.788818
"2021-07-29",247.679993,248.929993,245.229996,247.580002,373500,241.872467
"2021-07-30",247.009995,253.740005,245.789993,252.830002,346400,247.00145
"2021-08-02",254.470001,259.200012,253.850006,254.759995,370300,248.886948
"2021-08-03",256.119995,260.809998,251.990005,259.809998,476900,253.820557
"2021-08-04",258.420013,260.649994,257.079987,258.190002,335700,252.237885
"2021-08-05",260.279999,262.23999,257.170013,259.179993,273300,253.205032
"2021-08-06",261.970001,262.920013,260.660004,262.670013,165800,256.614624
"2021-08-09",262.660004,264.380005,261.049988,262.75,273800,256.69278
"2021-08-10",262.390015,264.579987,262,264.290009,239100,258.197235
"2021-08-11",264.549988,268.899994,263.890015,268.809998,172400,262.613068
"2021-08-12",270,271.450012,268.829987,271.420013,167000,265.162903
"2021-08-13",272.220001,274.660004,270.829987,272.920013,229100,266.628326
"2021-08-16",271.910004,273.630005,269.75,271.679993,267800,265.41687
"2021-08-17",270.309998,275.859985,270.309998,273.679993,222000,267.370758
"2021-08-18",272.269989,276,271.140015,271.579987,210000,265.319214
"2021-08-19",269.869995,273.200012,268.48999,271.429993,180500,265.172668
"2021-08-20",270.73999,272.880005,269.200012,271.940002,197800,265.670929
"2021-08-23",273.109985,275.279999,272.670013,272.829987,139200,266.540375
"2021-08-24",272.049988,273.619995,270.809998,272.170013,169400,267.414856
"2021-08-25",272.299988,274.309998,270.910004,272.709991,198600,267.945404
"2021-08-26",272.700012,274.140015,266.320007,266.369995,243900,261.716187
"2021-08-27",266.410004,269.140015,263.880005,267.910004,203500,263.229279
"2021-08-30",267.769989,267.769989,262.730011,263.019989,194700,258.424683
"2021-08-31",262.709991,267.299988,262.579987,264.899994,305500,260.271851
"2021-09-01",264.75,265.160004,260.940002,261.25,266700,256.685638
"2021-09-02",261.390015,261.390015,258.200012,259.130005,402700,254.602692
"2021-09-03",258.829987,260.76001,255.820007,256.640015,340600,252.156189
"2021-09-07",255.809998,255.809998,251.979996,252.179993,405200,247.774094
"2021-09-08",253.179993,264.380005,252.190002,263.429993,562000,258.827515
"2021-09-09",263.51001,267.700012,259.559998,260.079987,233200,255.536041
"2021-09-10",261.929993,261.929993,255.339996,255.339996,286900,250.878876
"2021-09-13",257.619995,258.450012,255.619995,257.140015,170700,252.647446
"2021-09-14",258.73999,258.73999,251.490005,253.910004,193600,249.473862
"2021-09-15",253.800003,254.899994,252.320007,253.389999,188700,248.962952
"2021-09-16",254.410004,254.75,251.850006,252.320007,199900,247.911636
"2021-09-17",251.449997,256.51001,251.449997,255.860001,517500,251.389786
"2021-09-20",252.149994,254.270004,250.169998,253.320007,270200,248.89418
"2021-09-21",255.399994,256.140015,251.259995,252.899994,190100,248.481506
"2021-09-22",255.100006,255.190002,251.960007,253.380005,212300,248.95311
"2021-09-23",254.460007,258.26001,254.460007,255.220001,209500,250.760986
"2021-09-24",254.910004,256.570007,253.270004,255.740005,153200,251.271896
"2021-09-27",257.779999,261.019989,257.429993,258.890015,241200,254.366852
"2021-09-28",259.76001,260.829987,253.559998,254.389999,184500,249.94548
"2021-09-29",253.970001,255.830002,252.759995,253.039993,163500,248.619049
"2021-09-30",253.169998,258.179993,250.75,250.779999,272900,246.398544
"2021-10-01",251.660004,253.720001,248.630005,252.029999,224000,247.626709
"2021-10-04",252.279999,255.470001,249.789993,250.410004,179000,246.035019
"2021-10-05",250.369995,256.769989,250.369995,255.770004,240300,251.301361
"2021-10-06",254.619995,261.029999,254.210007,260.850006,198500,256.292603
"2021-10-07",263.679993,267.51001,263.679993,266.070007,208100,261.421417
"2021-10-08",267.279999,270.23999,266.179993,268.600006,170800,263.907227
"2021-10-11",268.839996,272,265.329987,265.440002,156900,260.802399
"2021-10-12",264.459991,268.600006,263.5,265.790009,127000,261.146332
"2021-10-13",264.859985,266.709991,260.850006,266.190002,231000,261.539307
"2021-10-14",268.910004,279.209991,268.390015,277.869995,348000,273.015228
"2021-10-15",279.910004,281.470001,277.179993,278.459991,227200,273.59491
"2021-10-18",277.299988,281.089996,276.100006,276.350006,229600,271.52179
"2021-10-19",278.880005,280.470001,275.790009,276.640015,174600,271.806763
"2021-10-20",275.649994,280.51001,274.850006,279.01001,162400,274.135345
