"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume","FIS.Adjusted"
"2021-05-20",148.160004,150.119995,147.740005,149.820007,2468500,146.988571
"2021-05-21",150.009995,150.899994,149.820007,150.369995,2449500,147.528168
"2021-05-24",151.570007,152.089996,150.550003,151.039993,1677200,148.185501
"2021-05-25",151.360001,151.360001,149.520004,150.75,2562700,147.900986
"2021-05-26",150.669998,151.039993,148.550003,148.940002,2483900,146.125198
"2021-05-27",149.009995,150.360001,148.509995,149.800003,5675600,146.968948
"2021-05-28",150.25,150.539993,148.5,148.979996,2506000,146.164429
"2021-06-01",149.770004,149.899994,148.169998,148.429993,1792300,145.624832
"2021-06-02",149,150.179993,146.289993,149.190002,2552800,146.370483
"2021-06-03",148.240005,148.779999,146,146.470001,3672300,143.701889
"2021-06-04",146.919998,147.850006,146.199997,146.860001,1879100,144.084488
"2021-06-07",146,146.759995,142.690002,143.529999,4027400,140.817444
"2021-06-08",143.610001,145,142.929993,144.529999,2923200,141.798538
"2021-06-09",145.039993,145.889999,144.089996,145.130005,2181800,142.387192
"2021-06-10",145.419998,145.5,144.160004,145.380005,2716000,143.0168
"2021-06-11",145.710007,147.039993,145.039993,145.649994,3165900,143.28241
"2021-06-14",145.830002,146.520004,144.419998,146.5,2071600,144.118607
"2021-06-15",146.779999,147.020004,145.360001,145.979996,1407900,143.607056
"2021-06-16",146.350006,146.649994,143.699997,144.419998,1979500,142.072403
"2021-06-17",144.979996,147.289993,144.690002,145.869995,2616400,143.49884
"2021-06-18",144.410004,145.770004,143.800003,143.820007,4040200,141.482162
"2021-06-21",144.520004,146.100006,143.649994,145.570007,2900400,143.203705
"2021-06-22",145.630005,146.259995,144.509995,145.929993,1700900,143.557846
"2021-06-23",145.630005,145.679993,144.740005,145.309998,1970700,142.947937
"2021-06-24",146.410004,146.949997,145.619995,145.759995,1771000,143.39061
"2021-06-25",145.699997,147.169998,145.270004,146.970001,1795500,144.580933
"2021-06-28",147.029999,147.210007,142.399994,143.539993,3161500,141.206711
"2021-06-29",143.619995,143.860001,141.679993,141.919998,2972100,139.613037
"2021-06-30",142.130005,142.289993,141.559998,141.669998,2404000,139.367111
"2021-07-01",141.699997,144.690002,141.699997,143.720001,4401100,141.383789
"2021-07-02",144.410004,145.789993,143.809998,145.570007,1778000,143.203705
"2021-07-06",145.830002,145.830002,143.639999,145.240005,1835300,142.879074
"2021-07-07",145.720001,146.240005,145,145.619995,1551500,143.252899
"2021-07-08",144.089996,144.360001,142.699997,143.149994,1918300,140.823044
"2021-07-09",144.210007,144.949997,143.940002,144.419998,1200700,142.072403
"2021-07-12",143.929993,145.119995,143.300003,145.039993,1590400,142.682327
"2021-07-13",145.229996,148.050003,145.080002,146.229996,2722100,143.852966
"2021-07-14",146.669998,148.229996,146.449997,148.020004,2061800,145.613892
"2021-07-15",147.699997,149.490005,147.270004,148.589996,1967000,146.174622
"2021-07-16",149.529999,149.759995,148.320007,148.539993,1484500,146.125427
"2021-07-19",147.360001,147.630005,141.660004,142.440002,2431400,140.124573
"2021-07-20",142.979996,146.100006,142.830002,144.830002,1826000,142.475754
"2021-07-21",145.270004,146.009995,144.119995,145.470001,1343300,143.105347
"2021-07-22",145.479996,146.149994,144.259995,146.110001,2169300,143.734924
"2021-07-23",147.389999,149.419998,147.389999,148.830002,2333100,146.410736
"2021-07-26",148.5,148.979996,147.320007,148.419998,1576000,146.007385
"2021-07-27",148.309998,151.339996,148.009995,150.860001,3084600,148.40773
"2021-07-28",151.149994,152.199997,148.009995,148.710007,2202400,146.292679
"2021-07-29",149.690002,151.389999,149.190002,149.630005,2211700,147.197723
"2021-07-30",148.869995,150.020004,148.5,149.050003,1595900,146.627136
"2021-08-02",150.029999,150.740005,137.539993,139.119995,8891500,136.858536
