"","BSX.Open","BSX.High","BSX.Low","BSX.Close","BSX.Volume","BSX.Adjusted"
"2021-05-11",43.150002,43.380001,42.369999,42.529999,10858500,42.529999
"2021-05-12",42.34,42.34,41.23,41.349998,9882700,41.349998
"2021-05-13",41.509998,41.880001,41.330002,41.610001,5005900,41.610001
"2021-05-14",41.84,42.040001,41.540001,41.549999,4447600,41.549999
"2021-05-17",41.5,41.82,41.23,41.720001,5552100,41.720001
"2021-05-18",41.73,42.189999,41.66,41.77,5212300,41.77
"2021-05-19",41.259998,41.5,41.040001,41.43,5900600,41.43
"2021-05-20",41.360001,42.279999,41.23,41.919998,4427500,41.919998
"2021-05-21",42.139999,42.639999,42.07,42.110001,5203600,42.110001
"2021-05-24",42.369999,42.98,42.200001,42.799999,7790600,42.799999
"2021-05-25",43.009998,43.34,42.68,43.029999,5891500,43.029999
"2021-05-26",41.52,42.349998,41.049999,41.830002,10531800,41.830002
"2021-05-27",42.049999,42.23,41.779999,41.959999,8004500,41.959999
"2021-05-28",42.360001,42.860001,42.080002,42.549999,5720700,42.549999
"2021-06-01",42.82,43.200001,42.5,42.93,8166500,42.93
"2021-06-02",43,43.060001,41.549999,41.610001,11253700,41.610001
"2021-06-03",41.360001,41.540001,40.869999,41.349998,5658900,41.349998
"2021-06-04",41.779999,42.119999,41.400002,42.029999,5465300,42.029999
"2021-06-07",42.209999,42.700001,42.009998,42.139999,7467400,42.139999
"2021-06-08",42.369999,42.389999,41.43,42.02,4840000,42.02
"2021-06-09",42.049999,42.400002,42.02,42.330002,3863500,42.330002
"2021-06-10",42.490002,42.91,42.389999,42.84,3992000,42.84
"2021-06-11",42.759998,42.93,42.380001,42.91,5352800,42.91
"2021-06-14",42.939999,42.939999,42.369999,42.540001,5034100,42.540001
"2021-06-15",42.700001,42.93,42.389999,42.75,6396200,42.75
"2021-06-16",42.810001,43.029999,42.529999,42.779999,4910600,42.779999
"2021-06-17",42.720001,43.5,42.700001,43.349998,6578600,43.349998
"2021-06-18",43.110001,43.360001,42.810001,43.02,8845300,43.02
"2021-06-21",43.299999,43.82,43.169998,43.599998,6706000,43.599998
"2021-06-22",43.529999,43.919998,43.290001,43.830002,5623300,43.830002
"2021-06-23",43.790001,43.970001,43.619999,43.790001,3760400,43.790001
"2021-06-24",43.990002,44.200001,43.709999,43.709999,6324800,43.709999
"2021-06-25",43.869999,44.27,43.84,44.099998,6884200,44.099998
"2021-06-28",44,44.220001,43.040001,43.330002,6762800,43.330002
"2021-06-29",43.369999,43.5,42.98,43.23,5370200,43.23
"2021-06-30",43.299999,43.299999,42.439999,42.759998,8902400,42.759998
"2021-07-01",42.779999,43.509998,42.689999,43.360001,5756400,43.360001
"2021-07-02",43.400002,44,43.209999,43.919998,4997800,43.919998
"2021-07-06",43.790001,43.799999,43.25,43.619999,6659700,43.619999
"2021-07-07",43.720001,43.990002,43.540001,43.93,5358000,43.93
"2021-07-08",43.459999,43.540001,42.790001,43.34,6035200,43.34
"2021-07-09",43.669998,43.830002,43.389999,43.59,4137100,43.59
"2021-07-12",43.360001,43.619999,43.360001,43.490002,3772600,43.490002
"2021-07-13",43.389999,43.52,43,43.060001,4137100,43.060001
"2021-07-14",43.240002,43.34,42.650002,42.740002,4174500,42.740002
"2021-07-15",42.419998,42.549999,41.860001,42.16,6079700,42.16
"2021-07-16",42.310001,42.43,41.98,42.099998,5539700,42.099998
"2021-07-19",41.66,41.830002,40.93,41.23,6268200,41.23
"2021-07-20",41.32,43,41.310001,42.790001,8007700,42.790001
"2021-07-21",43.189999,43.830002,43.02,43.580002,7571100,43.580002
"2021-07-22",43.630001,43.919998,43.18,43.549999,4793700,43.549999
"2021-07-23",43.849998,44.27,43.689999,44.119999,5204200,44.119999
"2021-07-26",43.869999,44.080002,43.68,43.970001,5899300,43.970001
"2021-07-27",44.630001,46.029999,43.779999,45.509998,14100200,45.509998
"2021-07-28",45.41,45.799999,44.830002,45.43,8168100,45.43
"2021-07-29",45.52,45.57,44.919998,45.32,5214500,45.32
"2021-07-30",45.189999,45.93,45.009998,45.599998,9108200,45.599998
"2021-08-02",45.77,46.290001,45.34,45.880001,10041100,45.880001
"2021-08-03",45.900002,45.93,45.16,45.540001,7721500,45.540001
"2021-08-04",45.380001,45.599998,44.240002,44.259998,8099900,44.259998
"2021-08-05",44.450001,44.66,44.060001,44.650002,6471000,44.650002
"2021-08-06",44.709999,44.740002,44.290001,44.700001,5607500,44.700001
"2021-08-09",44.700001,44.869999,43.68,43.810001,5918500,43.810001
"2021-08-10",43.84,43.98,42.130001,42.650002,14862700,42.650002
"2021-08-11",42.810001,43.950001,42.709999,43.630001,7582800,43.630001
"2021-08-12",43.66,44.259998,43.48,44.07,5013700,44.07
"2021-08-13",44,44.369999,43.849998,44.330002,3137400,44.330002
"2021-08-16",44.299999,44.709999,44.09,44.66,5261700,44.66
"2021-08-17",44.630001,45.380001,44.369999,45.150002,8536400,45.150002
"2021-08-18",45.080002,45.099998,44.060001,44.09,10536400,44.09
"2021-08-19",43.990002,44.57,43.799999,44.27,4606900,44.27
"2021-08-20",44.200001,44.509998,43.939999,44.439999,5214800,44.439999
"2021-08-23",44.5,44.599998,43.82,43.990002,10137900,43.990002
"2021-08-24",44.16,45.68,44.009998,44.849998,7916700,44.849998
"2021-08-25",44.68,45.310001,44.459999,44.810001,4271400,44.810001
"2021-08-26",44.709999,44.889999,44.52,44.66,4011300,44.66
"2021-08-27",44.849998,45.040001,44.59,44.799999,4027500,44.799999
"2021-08-30",44.880001,45.09,44.630001,44.830002,3659900,44.830002
"2021-08-31",44.889999,45.27,44.68,45.150002,6770000,45.150002
"2021-09-01",45.330002,45.700001,44.91,45.580002,5408500,45.580002
"2021-09-02",45.799999,45.869999,44.950001,45.060001,7294900,45.060001
"2021-09-03",45,45.119999,44.459999,44.919998,8243800,44.919998
"2021-09-07",44.66,45.16,44.27,45.099998,3609900,45.099998
"2021-09-08",45.029999,45.799999,44.860001,45.509998,5470400,45.509998
"2021-09-09",45.5,45.950001,45.27,45.41,4944400,45.41
"2021-09-10",45.41,45.560001,44.25,44.459999,5105700,44.459999
"2021-09-13",44.720001,44.880001,43.82,44.209999,5816100,44.209999
"2021-09-14",44.540001,45.009998,44.099998,44.849998,4638100,44.849998
"2021-09-15",44.880001,45.369999,44.619999,45.009998,5266700,45.009998
"2021-09-16",45.009998,45.119999,44.639999,44.900002,5313500,44.900002
"2021-09-17",44.529999,44.709999,43.919998,44.369999,8419600,44.369999
"2021-09-20",43.799999,44.080002,43.240002,43.639999,7566100,43.639999
"2021-09-21",44.02,44.360001,43.34,43.360001,6336200,43.360001
"2021-09-22",43.43,44.939999,43.23,44.310001,8946300,44.310001
"2021-09-23",44.509998,45.400002,44.32,45,8199300,45
"2021-09-24",44.900002,45.099998,44.389999,44.700001,4332900,44.700001
"2021-09-27",44.509998,44.810001,44.23,44.459999,4844900,44.459999
"2021-09-28",44.220001,44.32,43.470001,43.669998,4867700,43.669998
"2021-09-29",43.84,44.200001,43.720001,43.889999,5096900,43.889999
"2021-09-30",43.91,44.279999,43.380001,43.389999,6738400,43.389999
"2021-10-01",43.490002,44.029999,43.200001,43.799999,4782100,43.799999
"2021-10-04",43.529999,43.779999,42.009998,42.41,8878100,42.41
"2021-10-05",42.52,43.23,42.43,42.439999,5396300,42.439999
"2021-10-06",42.18,42.91,41.860001,42.860001,5274300,42.860001
"2021-10-07",43.200001,44.25,43.200001,43.619999,6783000,43.619999
"2021-10-08",43.630001,44.02,43.099998,43.16,4163600,43.16
"2021-10-11",42.98,43.240002,42.099998,42.139999,3752000,42.139999
"2021-10-12",42.290001,42.490002,41.950001,42.09,4114700,42.09
"2021-10-13",42.150002,42.330002,41.75,41.790001,5622400,41.790001
"2021-10-14",42.060001,43.369999,42.060001,43.25,6771600,43.25
"2021-10-15",43.580002,43.68,43.049999,43.400002,5503500,43.400002
"2021-10-18",43.009998,43.049999,42.259998,42.799999,4144200,42.799999
"2021-10-19",43.23,44.470001,43.110001,44.130001,6098000,44.130001
"2021-10-20",44.459999,45,44.23,44.470001,7840300,44.470001
"2021-10-21",44.299999,44.93,44.049999,44.869999,5942900,44.869999
"2021-10-22",44.799999,45.119999,44.59,44.84,3715100,44.84
"2021-10-25",44.990002,45.02,44.439999,44.490002,5238900,44.490002
"2021-10-26",44.66,44.759998,44.279999,44.32,5314600,44.32
"2021-10-27",45.119999,45.43,43.580002,43.73,6993000,43.73
"2021-10-28",43.529999,43.84,43.07,43.240002,5732200,43.240002
"2021-10-29",43.080002,43.279999,42.580002,43.130001,7157700,43.130001
"2021-11-01",43.299999,43.419998,42.759998,42.799999,8231300,42.799999
"2021-11-02",43.060001,43.5,42.560001,43.209999,12976800,43.209999
"2021-11-03",43.110001,43.310001,42.32,42.91,10404700,42.91
"2021-11-04",42.98,43.189999,42.080002,42.5,7241400,42.5
"2021-11-05",42.549999,44.57,42.5,43.16,14638300,43.16
"2021-11-08",43.299999,43.529999,42.720001,43.349998,7059300,43.349998
"2021-11-09",43.34,43.389999,42.560001,42.790001,4935600,42.790001
"2021-11-10",42.619999,43.02,42.34,42.450001,4813200,42.450001
"2021-11-11",42.459999,42.619999,41.669998,41.959999,9437700,41.959999
"2021-11-12",42.119999,42.27,41.619999,42.07,9924300,42.07
"2021-11-15",42.18,42.27,41.16,41.34,9649400,41.34
"2021-11-16",41.310001,41.639999,40.880001,41.419998,9553800,41.419998
"2021-11-17",41.82,42.02,41.389999,41.610001,6719300,41.610001
"2021-11-18",41.650002,41.650002,40.82,41.209999,7224500,41.209999
"2021-11-19",41.150002,41.169998,40.5,41.029999,7955600,41.029999
"2021-11-22",41.119999,41.209999,40.450001,40.700001,6639200,40.700001
"2021-11-23",40.549999,41.080002,39.779999,40.23,11577700,40.23
"2021-11-24",40.220001,40.779999,40.130001,40.700001,7812200,40.700001
"2021-11-26",40,40.169998,38.439999,38.57,9260600,38.57
"2021-11-29",38.849998,39.200001,38.439999,38.59,9533500,38.59
"2021-11-30",38.419998,39.07,37.959999,38.07,14717300,38.07
"2021-12-01",38.709999,39.419998,38.110001,38.139999,10355800,38.139999
"2021-12-02",38.27,39.669998,38.18,39.599998,11094200,39.599998
"2021-12-03",39.830002,40.09,38.98,39.459999,8704000,39.459999
"2021-12-06",39.880001,41.279999,39.759998,40.700001,8951800,40.700001
"2021-12-07",41.240002,42.060001,41.049999,41.400002,10139200,41.400002
"2021-12-08",41.419998,41.869999,41.32,41.66,4620000,41.66
"2021-12-09",41.380001,41.869999,40.950001,41.279999,5870500,41.279999
"2021-12-10",41.380001,41.529999,40.900002,41.169998,4602700,41.169998
"2021-12-13",41.049999,41.740002,41,41.43,5891200,41.43
"2021-12-14",41.290001,41.490002,40.700001,40.849998,6571200,40.849998
"2021-12-15",40.830002,41.09,39.779999,40.240002,14235000,40.240002
"2021-12-16",40.279999,41.169998,40.23,40.43,13248900,40.43
