"","DLR.Open","DLR.High","DLR.Low","DLR.Close","DLR.Volume","DLR.Adjusted"
"2021-07-20",156.619995,157.800003,156.25,157,958600,151.905426
"2021-07-21",156.600006,156.619995,154.410004,154.679993,922900,149.660721
"2021-07-22",154.229996,154.880005,153.330002,153.979996,805600,148.983444
"2021-07-23",153.820007,155.089996,152.729996,154.860001,737500,149.834869
"2021-07-26",154.270004,154.449997,152.850006,153.779999,974100,148.789917
"2021-07-27",153.779999,155.75,152.850006,155.380005,814500,150.338013
"2021-07-28",155.309998,155.330002,153.369995,154.160004,765300,149.157578
"2021-07-29",154.679993,154.889999,149.800003,150.490005,1613800,145.606689
"2021-07-30",154.490005,157.690002,153.380005,154.160004,1819400,149.157578
"2021-08-02",154.350006,156.610001,153,154.740005,862300,149.718765
"2021-08-03",154.770004,156.550003,153.970001,155.149994,1073300,150.115463
"2021-08-04",155.490005,157.119995,154.350006,155.929993,828400,150.870163
"2021-08-05",156.399994,156.619995,154.089996,155.960007,1107600,150.8992
"2021-08-06",155.800003,157.949997,155.520004,157.080002,758900,151.982849
"2021-08-09",156.720001,158.050003,156.220001,157.669998,1477100,152.553696
"2021-08-10",157.550003,157.75,154.240005,154.369995,895500,149.360779
"2021-08-11",154.649994,156.960007,154.330002,156.460007,752800,151.382965
"2021-08-12",156.550003,158.050003,155.169998,157.520004,868100,152.408569
"2021-08-13",158.160004,159.179993,157.639999,159.100006,477200,153.937302
"2021-08-16",158.889999,161.699997,158.190002,161.399994,1011200,156.162659
"2021-08-17",161.119995,162.369995,160.009995,161.619995,815000,156.375519
"2021-08-18",161.199997,161.820007,158.889999,159.649994,1273700,154.469437
"2021-08-19",160.360001,163.610001,159.589996,162.899994,1136400,157.613983
"2021-08-20",162.649994,164.25,161.779999,162.770004,1007500,157.48822
"2021-08-23",162.179993,163.389999,161.399994,162.089996,1215400,156.830261
"2021-08-24",162.190002,162.289993,160,161.580002,949400,156.336807
"2021-08-25",160.679993,161.050003,157.080002,158.630005,1244800,153.482544
"2021-08-26",158.300003,159.529999,157.539993,158.860001,791100,153.705093
"2021-08-27",159.600006,160.449997,158.75,160.110001,904600,154.914536
"2021-08-30",160.100006,162.449997,159.339996,162.419998,1133300,157.149567
"2021-08-31",162.440002,164.160004,161,163.910004,1272700,158.591217
"2021-09-01",164.399994,166.830002,163.419998,166.600006,1169100,161.193939
"2021-09-02",167,168.070007,164.779999,168,1109300,162.548508
"2021-09-03",167.300003,168.300003,165.990005,167.600006,1296200,162.161469
"2021-09-07",166.929993,166.929993,164.270004,166.399994,1343800,161.000397
"2021-09-08",165.740005,168.300003,165.509995,166.139999,1400300,160.748856
"2021-09-09",159.139999,160.449997,157.759995,157.880005,5111700,152.756882
"2021-09-10",158.169998,158.979996,155.190002,155.369995,2428000,150.328339
"2021-09-13",156.059998,156.809998,153.600006,154.710007,1617900,149.689758
"2021-09-14",153.869995,154.75,153.240005,154.210007,1077300,150.33316
"2021-09-15",154.149994,156.759995,153.779999,156.020004,1695700,152.097656
"2021-09-16",156.020004,156.759995,154.009995,156.410004,968000,152.477859
"2021-09-17",155.059998,157.990005,155.059998,156.800003,2601700,152.858047
"2021-09-20",156.210007,157.729996,154.889999,157.309998,1447600,153.355209
"2021-09-21",157.369995,158.649994,156.550003,157.160004,1785900,153.209
"2021-09-22",157.669998,160.089996,157.399994,159.529999,1789400,155.519424
"2021-09-23",159.800003,160,153.960007,154.679993,1523600,150.791336
"2021-09-24",154.350006,155.009995,152.110001,152.720001,1083700,148.880615
"2021-09-27",151.929993,152.889999,147.600006,147.779999,1514600,144.064789
"2021-09-28",146.770004,147.009995,143.009995,146.089996,2709000,142.417297
"2021-09-29",146.220001,148.199997,146.220001,146.759995,1128000,143.07045
"2021-09-30",147.270004,147.639999,144.369995,144.449997,995500,140.818527
"2021-10-01",145.419998,146.419998,144.050003,145.059998,889900,141.413177
"2021-10-04",144.520004,146.039993,143.830002,145.449997,1177400,141.793365
"2021-10-05",143,144.149994,141,142.699997,1694700,139.112503
"2021-10-06",142.460007,145.119995,140.880005,145.100006,1449300,141.452194
"2021-10-07",145.779999,146.770004,143.429993,143.690002,1022800,140.077637
"2021-10-08",143.380005,143.380005,140.259995,140.660004,1066700,137.12381
"2021-10-11",140.270004,140.75,139.449997,139.729996,1065700,136.217178
"2021-10-12",139.979996,142.240005,139.309998,141.869995,1372400,138.303391
"2021-10-13",142.130005,144.410004,141.479996,144.330002,1537400,140.701538
"2021-10-14",145.630005,149.429993,145.440002,148.949997,1631200,145.205399
"2021-10-15",149.570007,149.990005,146.800003,147.539993,1323900,143.830826
"2021-10-18",146.869995,148.050003,146.110001,147.539993,1783500,143.830826
"2021-10-19",147.570007,150.110001,146.759995,149.910004,1699600,146.141251
"2021-10-20",150.75,154.270004,150.380005,153.160004,1330500,149.30954
"2021-10-21",153.020004,154.869995,152.330002,154.779999,980900,150.888824
"2021-10-22",155,157.100006,153.979996,156.889999,969400,152.945786
"2021-10-25",156.910004,157.350006,155.130005,156.720001,1087300,152.78006
"2021-10-26",157.320007,158.279999,156.570007,157.25,1143000,153.296722
"2021-10-27",161.990005,161.990005,156.619995,156.889999,1319000,152.945786
"2021-10-28",157.330002,160.229996,157.059998,160.089996,930500,156.065338
"2021-10-29",159.039993,160.5,157.009995,157.809998,1512900,153.842651
"2021-11-01",157.490005,158.149994,155.070007,158.070007,907800,154.096115
"2021-11-02",158.789993,159.169998,157.119995,157.970001,847800,153.998627
"2021-11-03",158.360001,159.669998,157.330002,158.5,1216000,154.515305
"2021-11-04",158.720001,159.270004,155.970001,156.160004,1051000,152.234146
"2021-11-05",156.809998,157.25,154.399994,155.470001,773500,151.561478
"2021-11-08",155.75,156.419998,153.889999,156.059998,862600,152.136642
"2021-11-09",156.550003,159.509995,156.410004,157.149994,1243900,153.199249
"2021-11-10",156.600006,157.990005,154.029999,154.110001,855800,150.235672
"2021-11-11",154.039993,154.639999,151.860001,153.669998,730800,149.806732
"2021-11-12",154.020004,156.529999,153.350006,156.320007,1062600,152.390121
"2021-11-15",158,162.580002,158,161.199997,1851200,157.14743
"2021-11-16",161.410004,162.350006,160.5,161.710007,1583300,157.644608
"2021-11-17",161.080002,164.279999,160.830002,164.110001,1325800,159.984268
"2021-11-18",164.740005,165.300003,161.610001,164.300003,949100,160.169495
"2021-11-19",165.470001,166.5,164.369995,165.580002,1550800,161.417313
"2021-11-22",164.5,165.490005,162.779999,163.179993,947700,159.077652
"2021-11-23",163.330002,166.139999,163.179993,165.110001,1249800,160.959137
"2021-11-24",165.839996,166.75,164.850006,166.210007,1183900,162.031479
"2021-11-26",164.970001,168.539993,164,164.759995,1044100,160.61792
"2021-11-29",165.889999,169.970001,163.589996,168.789993,1400700,164.5466
"2021-11-30",167.979996,169.820007,166.949997,167.740005,2684700,163.52301
"2021-12-01",168.690002,169.210007,162.710007,162.839996,1875600,158.746201
"2021-12-02",163.360001,166.869995,163.059998,165.699997,1281000,161.534302
"2021-12-03",165.860001,166.759995,163.490005,165.279999,1369300,161.124863
"2021-12-06",165.820007,166.979996,164.050003,165.149994,1016300,160.998108
"2021-12-07",166.240005,167.619995,165,167.419998,1350200,163.211044
"2021-12-08",167.100006,168.5,165.770004,168.110001,1046000,163.883713
"2021-12-09",168.300003,168.300003,164.809998,166.320007,1121300,162.138718
"2021-12-10",166.690002,168.300003,165.470001,167.100006,1179000,162.899124
"2021-12-13",167.050003,172.419998,166.75,171.419998,1561800,167.110489
"2021-12-14",170,170,165.389999,167.240005,1237600,164.146378
"2021-12-15",167.75,170.380005,166.339996,170.369995,1320900,167.21846
"2021-12-16",170.509995,172.649994,169.899994,171.990005,1138600,168.808502
"2021-12-17",172.330002,174.639999,170.5,171.539993,2835900,168.366806
"2021-12-20",170.279999,172.809998,169.669998,171.149994,1041700,167.984024
"2021-12-21",172.039993,173.369995,169.289993,169.880005,1194500,166.737534
