"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2021-02-23",67.050003,71.449997,63.049999,71.010002,5421100,67.61763
"2021-02-24",71.849998,74.599998,70.650002,73.800003,2798400,70.27433
"2021-02-25",74.599998,74.870003,69.050003,69.059998,2740600,65.760773
"2021-02-26",68.739998,70.18,65.269997,69.279999,2530500,65.970268
"2021-03-01",70.959999,74.470001,70.419998,73.660004,3159600,70.141022
"2021-03-02",73.089996,74.139999,69.889999,71.010002,2592800,67.61763
"2021-03-03",72.07,78.029999,72.07,74.440002,3671300,71.285309
"2021-03-04",75.529999,82.860001,75.510002,81.260002,5757800,77.816292
"2021-03-05",84,88.75,82.580002,85.269997,6585400,81.656342
"2021-03-08",86.900002,87.75,81.82,84.169998,3194400,80.602966
"2021-03-09",83,83.610001,79.93,81.029999,3557600,77.596031
"2021-03-10",81.080002,82.75,78.790001,80.940002,2816800,77.509842
"2021-03-11",82.300003,85.970001,81.419998,84.040001,2355000,80.478477
"2021-03-12",83.489998,84.879997,81.68,82.010002,2146300,78.5345
"2021-03-15",82.519997,84.410004,81.639999,84.290001,2132400,80.717873
"2021-03-16",82,83,79.449997,82.089996,5632100,78.611099
"2021-03-17",81.129997,82.959999,79.010002,81.410004,2594400,77.95993
"2021-03-18",80.360001,81.599998,74.559998,75.169998,3535700,71.984367
"2021-03-19",75.510002,79.029999,74.260002,75.809998,9425400,72.597252
"2021-03-22",76.050003,76.690002,74.169998,75.309998,2663300,72.118439
"2021-03-23",72.190002,75.279999,71.349998,72.129997,3744100,69.073204
"2021-03-24",74.279999,77.400002,74.220001,74.389999,2555300,71.237434
"2021-03-25",72.099998,74.360001,69.529999,73.800003,3060000,70.672432
"2021-03-26",76.660004,77.360001,73.470001,75.790001,2158200,72.57811
"2021-03-29",74.699997,75.839996,72.690002,74.239998,1857300,71.093781
"2021-03-30",73.489998,75.720001,72.620003,74.480003,1567600,71.323624
"2021-03-31",74.389999,75.190002,73.129997,73.489998,2509100,70.375557
"2021-04-01",74.18,81.230003,74.07,81.220001,4710600,77.777985
"2021-04-05",80.900002,81,75.160004,75.400002,3868400,72.20462
"2021-04-06",76.5,78.940002,75.25,75.459999,2533100,72.262077
"2021-04-07",75.029999,76.919998,74.870003,76.309998,2096400,73.076057
"2021-04-08",75.610001,75.629997,73.580002,75.199997,3255900,72.013092
"2021-04-09",75.699997,76.540001,74.040001,74.800003,1823800,71.630051
"2021-04-12",75.540001,76.589996,73.230003,73.879997,1633600,70.749039
"2021-04-13",74.699997,76.860001,74.010002,75.760002,1941400,72.549362
"2021-04-14",76.870003,81.419998,76.870003,80.339996,2961400,76.935272
"2021-04-15",79.160004,79.959999,77.93,79.080002,1816900,75.728676
"2021-04-16",79.550003,79.889999,77.43,77.540001,1588200,74.253922
"2021-04-19",78,79.910004,77.040001,77.669998,1754400,74.378418
"2021-04-20",77.25,77.260002,73.120003,74.269997,2708500,71.122513
"2021-04-21",73.209999,75.839996,72.339996,75.260002,1693000,72.070557
"2021-04-22",75.580002,76.150002,73.660004,75.279999,1292700,72.089714
"2021-04-23",75.879997,76.699997,74.75,76.129997,1147400,72.903694
"2021-04-26",75.550003,78.260002,75.550003,77.459999,1192000,74.177322
"2021-04-27",77.580002,79.599998,77.300003,79.32,1302400,75.958504
"2021-04-28",79.949997,84.580002,79.82,83.68,2791100,80.133736
"2021-04-29",85,87.599998,83.57,84.339996,2104800,80.765747
"2021-04-30",83.279999,85.089996,81.360001,81.730003,1718100,78.266365
"2021-05-03",83.480003,84.550003,82.010002,83.919998,1988800,80.363548
"2021-05-04",83.839996,84.489998,78.309998,79.199997,4645800,75.84359
"2021-05-05",80.07,86.099998,78.75,83.120003,4667800,79.597458
"2021-05-06",83.419998,83.529999,79.839996,82.25,2412900,78.76432
"2021-05-07",80.599998,84.480003,80.150002,84.209999,2096300,80.641266
"2021-05-10",85.459999,87.18,82.239998,82.760002,2036400,79.252716
"2021-05-11",79.639999,81.809998,77.279999,79.800003,2528200,76.418159
"2021-05-12",80.57,85.860001,78.75,79.480003,3715300,76.495163
"2021-05-13",78,80.639999,75.099998,76.199997,3031000,73.338318
"2021-05-14",77.690002,79.300003,76.699997,78.699997,2573900,75.744438
"2021-05-17",78.400002,80.519997,77.760002,80.360001,2344800,77.342102
"2021-05-18",80.660004,81.190002,78.690002,80,2063900,76.995628
"2021-05-19",77.239998,79.029999,75.459999,77.919998,2713000,74.993736
"2021-05-20",77.75,77.760002,74.599998,76.529999,2686900,73.655937
"2021-05-21",77.900002,79.260002,75.900002,76.309998,2688600,73.444199
"2021-05-24",76.82,77.699997,75.330002,77.300003,2324900,74.397026
"2021-05-25",77.440002,77.879997,75.330002,75.480003,1535600,72.64537
"2021-05-26",75.480003,78.550003,75.150002,78.290001,2386200,75.349846
"2021-05-27",78.959999,80.25,78.110001,79.339996,1741600,76.360405
"2021-05-28",79.870003,80.239998,78.540001,80.07,1361500,77.062996
"2021-06-01",82.879997,86.839996,82.400002,86.610001,4189300,83.357384
"2021-06-02",87.239998,89.07,85.050003,86.440002,2704700,83.193771
"2021-06-03",85.980003,87.540001,84.599998,86.519997,2083100,83.27076
"2021-06-04",87.309998,87.879997,84.029999,85.82,2294200,82.597054
"2021-06-07",86.309998,87.849998,85.75,87.190002,1269800,83.915611
"2021-06-08",87.18,90.18,85.099998,89.639999,2686300,86.273598
"2021-06-09",90.120003,92.110001,87.849998,88.279999,2792100,84.964676
"2021-06-10",90.309998,90.75,85.959999,86.989998,1771300,83.723114
"2021-06-11",87.150002,88.449997,86.709999,87.269997,1406800,83.992599
"2021-06-14",88.459999,89.610001,85.379997,86.440002,1526300,83.193771
"2021-06-15",87.230003,91.139999,87.040001,90.849998,2721500,87.438148
"2021-06-16",90.07,91.75,88.870003,90.370003,1672300,86.976181
"2021-06-17",89.949997,91.25,84.139999,86.889999,2811400,83.626869
"2021-06-18",84.410004,87.239998,84.199997,86.18,4276700,82.943535
"2021-06-21",86.629997,92.309998,86.510002,91.5,2736700,88.063744
"2021-06-22",90.470001,91.660004,88.639999,91.330002,2022300,87.900124
"2021-06-23",92.360001,95.779999,91.809998,91.910004,2321800,88.458351
"2021-06-24",91.269997,94.459999,91.110001,94.25,1762500,90.710472
"2021-06-25",94.769997,96.639999,93.559998,96.309998,4894100,92.693108
"2021-06-28",95.529999,95.940002,91.879997,92.470001,2340300,88.997314
"2021-06-29",93.32,95.230003,91.980003,92.620003,1710900,89.141685
"2021-06-30",93.529999,95.419998,92.610001,93.889999,2110500,90.363991
"2021-07-01",97,102.529999,95.089996,99.599998,5577400,95.85955
"2021-07-02",97.760002,99.059998,96.75,98.059998,1773000,94.377388
"2021-07-06",98.260002,98.610001,90.970001,91.169998,3326500,87.746132
"2021-07-07",91.25,92.650002,86.800003,87.989998,3724000,84.685555
