"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume","MCHP.Adjusted"
"2021-04-28",78.339996,78.379997,77.010002,77.309998,2967800,76.051941
"2021-04-29",78.040001,78.43,76.785004,77.955002,2016800,76.686455
"2021-04-30",76.730003,77.440002,74.779999,75.144997,4010400,73.922165
"2021-05-03",76.224998,76.410004,73.660004,74.065002,3224200,72.859741
"2021-05-04",73.294998,73.370003,71.605003,72.440002,5768600,71.261192
"2021-05-05",73.550003,74.635002,72.105003,72.82,4161200,71.635002
"2021-05-06",72.690002,73.375,71.660004,73.254997,5083400,72.062927
"2021-05-07",76.209999,76.209999,74.040001,74.875,4884800,73.656563
"2021-05-10",74.379997,74.559998,71.599998,71.654999,4435600,70.488968
"2021-05-11",70.105003,72.925003,69.309998,72.754997,4379600,71.57106
"2021-05-12",70.974998,71.540001,69.269997,69.57,5059400,68.437897
"2021-05-13",70.559998,71.964996,69.855003,71.059998,3801200,69.903648
"2021-05-14",72.099998,73.529999,71.195,72.735001,3763600,71.551399
"2021-05-17",71.849998,72.260002,70.400002,71.760002,2226000,70.592262
"2021-05-18",71.269997,72.870003,71.139999,71.214996,2751600,70.056122
"2021-05-19",69.925003,73.779999,69.68,73.495003,4007400,72.299019
"2021-05-20",73.775002,75.974998,73.775002,75.574997,3906200,74.554649
"2021-05-21",75.105003,75.940002,74.294998,74.904999,3385000,73.8937
"2021-05-24",75.574997,77.434998,75.574997,77.050003,2816200,76.009743
"2021-05-25",77.745003,78.065002,76.205002,77.375,2686800,76.330345
"2021-05-26",77.379997,78.125,76.690002,77.769997,3782600,76.720016
"2021-05-27",77.625,78.654999,77.220001,77.875,3353600,76.823593
"2021-05-28",78.114998,78.824997,77.660004,78.474998,2322800,77.415497
"2021-06-01",79,79.839996,77.605003,77.660004,2634000,76.611511
"2021-06-02",77.269997,78.184998,76.839996,77.745003,2805000,76.695366
"2021-06-03",76.504997,76.860001,75.379997,75.855003,3726000,74.830872
"2021-06-04",76.684998,77.805,76.339996,77.690002,2868400,76.641106
"2021-06-07",77.25,77.695,76.514999,76.785004,2170600,75.748322
"2021-06-08",77.955002,78.025002,75.605003,76.305,1763600,75.274796
"2021-06-09",76.639999,76.985001,75.735001,75.904999,2041600,74.880196
"2021-06-10",76.214996,77.269997,75.709999,76.720001,2365000,75.684189
"2021-06-11",77.084999,77.105003,76.324997,77.044998,1428200,76.004807
"2021-06-14",77.260002,77.945,76.129997,77.879997,2909000,76.828522
"2021-06-15",77.739998,78.235001,76.730003,76.974998,2268000,75.935753
"2021-06-16",77.32,77.870003,75.375,76.195,3248200,75.166275
"2021-06-17",75.690002,76.425003,74.230003,75.114998,4524600,74.100861
"2021-06-18",74.474998,74.660004,72.035004,72.809998,7738400,71.826981
"2021-06-21",73.305,74.135002,72.720001,73.875,3377800,72.877602
"2021-06-22",73.849998,73.860001,72.860001,72.940002,4633200,71.955231
"2021-06-23",72.839996,73.82,72.735001,73.230003,1891000,72.241318
"2021-06-24",73.925003,74.959999,73.675003,74.559998,3971000,73.553352
"2021-06-25",74.915001,75.625,73.995003,74.385002,4496600,73.380722
"2021-06-28",75.040001,76.675003,74.889999,76.160004,3760000,75.131752
"2021-06-29",76.010002,76.599998,75.355003,76.410004,2174600,75.37838
"2021-06-30",76.294998,76.370003,74.495003,74.870003,4135600,73.859169
"2021-07-01",74.925003,75.440002,73.735001,73.849998,2979200,72.852936
"2021-07-02",74.43,74.525002,73.370003,74.125,3002400,73.124237
"2021-07-06",73.665001,74.014999,71.800003,73.065002,4011600,72.078545
"2021-07-07",73.690002,73.735001,70.949997,71.754997,3721800,70.786224
"2021-07-08",70.504997,71.114998,69.154999,70.510002,3486400,69.558037
"2021-07-09",70.839996,72.25,70.150002,72.010002,3285200,71.037781
"2021-07-12",71.839996,73.135002,71.684998,73.095001,2808200,72.108139
"2021-07-13",72.574997,72.900002,71.889999,71.964996,2878400,70.993393
"2021-07-14",72.555,73.389999,71.625,71.769997,4049000,70.801025
"2021-07-15",70.669998,70.855003,67.989998,68.724998,5767200,67.797134
"2021-07-16",69.050003,69.599998,66.735001,66.879997,3636000,65.977043
"2021-07-19",65.845001,66,64.529999,65.989998,8572400,65.09906
"2021-07-20",66.169998,69.154999,65.915001,68.514999,6437800,67.589966
"2021-07-21",68.855003,70.349998,68.504997,70.330002,3572800,69.380463
"2021-07-22",69.269997,69.449997,68.644997,69.190002,4917600,68.255859
"2021-07-23",69.919998,70.07,68.690002,69.610001,2074000,68.670189
"2021-07-26",69.195,69.974998,69.019997,69.695,2309800,68.754044
"2021-07-27",69.275002,69.480003,66.375,67.974998,4063400,67.057259
"2021-07-28",68.425003,69.385002,68.055,68.940002,3511000,68.009239
"2021-07-29",70,70.629997,69.334999,70.514999,2499800,69.562965
"2021-07-30",69.879997,71.605003,69.855003,71.559998,3442000,70.593857
"2021-08-02",73.610001,75.815002,72.394997,72.495003,7295200,71.516235
"2021-08-03",72.860001,73.760002,71.485001,73.410004,4502000,72.418884
"2021-08-04",73.955002,75.669998,73.654999,73.754997,6037800,72.759216
"2021-08-05",74,74.894997,73.269997,74.889999,3313400,73.878899
"2021-08-06",74.445,75.074997,74.144997,74.864998,3035600,73.854233
"2021-08-09",75.254997,75.254997,73.945,74.75,2915000,73.740791
"2021-08-10",74.910004,75.510002,73.764999,75.25,3420800,74.234047
"2021-08-11",75.75,75.75,73.855003,75.235001,2056200,74.219246
"2021-08-12",74.900002,75.949997,73.510002,75.574997,6965200,74.554649
"2021-08-13",75.349998,76.025002,74.985001,75.785004,2324200,74.761826
"2021-08-16",75.75,76.275002,74.955002,75.205002,2997000,74.189644
"2021-08-17",74.175003,74.254997,72.144997,72.845001,4056200,71.861511
"2021-08-18",72.364998,73.355003,71.724998,71.834999,2989400,70.865143
"2021-08-19",71.160004,72.394997,70.489998,72.125,3787600,71.368309
"2021-08-20",72.195,73.059998,71.470001,72.419998,5313600,71.66021
"2021-08-23",73.004997,74.18,72.824997,73.940002,4887200,73.164276
"2021-08-24",74.260002,75.050003,73.894997,74.025002,2292200,73.248383
"2021-08-25",75.445,76.25,74.675003,75.724998,5766600,74.930534
"2021-08-26",75.5,78.160004,75.235001,77.970001,5169200,77.151985
"2021-08-27",78.125,80.18,77.889999,79.690002,4060600,78.853943
"2021-08-30",79.870003,80.089996,79,79.504997,2886400,78.670883
"2021-08-31",79.535004,79.535004,77.5,78.68,4377800,77.854546
"2021-09-01",79.324997,79.339996,77.514999,77.805,3887600,76.988716
"2021-09-02",77.815002,78.294998,77.57,78.135002,3659400,77.315262
"2021-09-03",78.065002,79.050003,77.889999,78.415001,2077400,77.592316
"2021-09-07",78.654999,78.654999,77.714996,78.014999,2510200,77.196518
"2021-09-08",77.830002,77.995003,76.495003,77.144997,2370800,76.335648
"2021-09-09",77.275002,78.404999,76.809998,77.985001,3061000,77.166832
"2021-09-10",78.639999,80.375,78.639999,78.739998,3836400,77.91391
