"","AMAT.Open","AMAT.High","AMAT.Low","AMAT.Close","AMAT.Volume","AMAT.Adjusted"
"2021-03-22",117.599998,121.480003,116.970001,119.330002,11318700,118.209885
"2021-03-23",119.900002,120.199997,115.559998,116.379997,8263800,115.28756
"2021-03-24",122.650002,125.800003,120.419998,121.099998,20252500,119.963272
"2021-03-25",118.760002,120.480003,116.220001,119.720001,10381600,118.596222
"2021-03-26",119.669998,128.979996,119.169998,128.639999,14037000,127.432487
"2021-03-29",127.040001,127.830002,123.470001,125.709999,10539600,124.529991
"2021-03-30",124.889999,127.900002,123.860001,126.760002,7970900,125.570145
"2021-03-31",129.970001,135.5,129,133.600006,18589500,132.345947
"2021-04-01",138.139999,142.360001,137.199997,141.520004,15929200,140.191589
"2021-04-05",145.5,146,141.740005,143.050003,14377400,141.707214
"2021-04-06",143.880005,145.300003,136.949997,139.539993,18004800,138.230164
"2021-04-07",140.25,141.869995,136.820007,139.139999,13702700,137.833939
"2021-04-08",140.610001,141.679993,138.210007,139.350006,10238000,138.041977
"2021-04-09",138.320007,140.179993,137.490005,138.910004,9637200,137.606094
"2021-04-12",137.820007,138.729996,134.509995,135,11147500,133.732788
"2021-04-13",136.630005,136.990005,133.199997,135.100006,8034300,133.831863
"2021-04-14",134.669998,137.139999,133.240005,134.139999,8134200,132.880859
"2021-04-15",136,136.139999,132.850006,134.410004,8269400,133.148331
"2021-04-16",133.5,134.740005,133.009995,133.729996,7686300,132.474716
"2021-04-19",133.389999,135.279999,128.699997,130.889999,12826400,129.661377
"2021-04-20",129.380005,131.669998,128.309998,128.589996,7583300,127.38295
"2021-04-21",130.139999,135.160004,129,135.050003,12108800,133.782318
"2021-04-22",134.770004,135.740005,130.449997,131.75,11483500,130.513275
"2021-04-23",133.490005,135.169998,132.75,134.860001,8079100,133.594101
"2021-04-26",134.830002,138.669998,134.199997,137.300003,7927200,136.011215
"2021-04-27",138.149994,138.25,135.550003,136.779999,5767400,135.496094
"2021-04-28",136.639999,136.919998,134.570007,135.690002,6172700,134.416306
"2021-04-29",137.25,137.600006,133.089996,135.389999,6668400,134.11911
"2021-04-30",132,134.399994,131.399994,132.710007,8691800,131.464294
"2021-05-03",134.25,135.610001,131.699997,132.850006,7750200,131.602966
"2021-05-04",129.990005,130.679993,125.32,128.720001,14199100,127.511734
"2021-05-05",131.729996,132.520004,128.759995,130.289993,7276600,129.066986
"2021-05-06",129.639999,131.889999,127.760002,131.729996,7270500,130.493484
"2021-05-07",132.550003,134.100006,131.639999,132.949997,7524800,131.702042
"2021-05-10",131.919998,131.919998,124.510002,124.690002,10471500,123.519569
"2021-05-11",120,124.339996,117.620003,123.550003,15287800,122.390266
"2021-05-12",119.330002,121.010002,114.389999,114.879997,18648200,113.801651
"2021-05-13",118.489998,121.470001,117.889999,119.919998,14228000,118.794334
"2021-05-14",121.889999,125.800003,120.260002,124.830002,12422300,123.658249
"2021-05-17",122,123.620003,120.370003,123.57,9379000,122.41008
"2021-05-18",125.339996,125.389999,121.690002,121.809998,7536700,120.666595
"2021-05-19",118.419998,125.080002,117.790001,124.800003,10424200,123.628532
"2021-05-20",126.809998,130.669998,125.239998,130.309998,18239800,129.086823
"2021-05-21",129.850006,130.690002,127.019997,128.660004,14252400,127.452309
"2021-05-24",130.190002,135.630005,129.589996,134.580002,11405600,133.316742
"2021-05-25",136.449997,139.149994,135.940002,137.5,12721000,136.20932
"2021-05-26",137.970001,138.970001,136.210007,136.899994,10577900,135.852081
"2021-05-27",135.940002,138.190002,135.839996,137.820007,10623400,136.76503
"2021-05-28",139.169998,139.460007,137.820007,138.130005,7186300,137.072662
"2021-06-01",139,142.119995,137.259995,138.210007,8839300,137.152054
"2021-06-02",138.050003,140.360001,136.919998,139.009995,6401200,137.945923
"2021-06-03",137.399994,138.029999,135.089996,136.380005,8191900,135.33606
"2021-06-04",137.729996,140.850006,137.619995,139.850006,6662800,138.77951
"2021-06-07",139.460007,139.690002,138.190002,138.970001,5943100,137.906235
