"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2021-02-17",86.43,86.849998,84.779999,85.07,2399400,85.07
"2021-02-18",84.440002,86.099998,83.260002,85.239998,2293700,85.239998
"2021-02-19",85.589996,85.82,83.989998,84.309998,4797500,84.309998
"2021-02-22",83.809998,84,82.760002,83.339996,3201100,83.339996
"2021-02-23",83.629997,85.629997,82.440002,85.220001,4287500,85.220001
"2021-02-24",85.279999,86.080002,84.440002,84.449997,1931800,84.449997
"2021-02-25",84.150002,85.089996,82.919998,83.970001,2107300,83.970001
"2021-02-26",84.349998,84.349998,82.709999,83.099998,2641900,83.099998
"2021-03-01",83.989998,85.790001,83.989998,85.769997,3181700,85.769997
"2021-03-02",86,86.879997,85.480003,86.279999,3315800,86.279999
"2021-03-03",85.779999,86.410004,84.239998,84.25,2514300,84.25
"2021-03-04",84.25,84.879997,81.230003,81.879997,2764000,81.879997
"2021-03-05",82.290001,82.489998,78.860001,81.720001,2771500,81.720001
"2021-03-08",81.370003,82.379997,80.290001,80.32,2779900,80.32
"2021-03-09",81.120003,83.419998,80.900002,82.019997,2293800,82.019997
"2021-03-10",82.580002,84.959999,82.25,82.980003,2771800,82.980003
"2021-03-11",83.639999,84.389999,82.589996,82.970001,1996100,82.970001
"2021-03-12",83.07,83.239998,81.959999,82.07,1865500,82.07
"2021-03-15",81.660004,82.099998,80.790001,81.139999,3764000,81.139999
"2021-03-16",81.309998,82.18,80.620003,81.260002,2494600,81.260002
"2021-03-17",81.010002,81.209999,79.720001,80.379997,2303800,80.379997
"2021-03-18",80,80.199997,78.580002,78.68,2363300,78.68
"2021-03-19",78.669998,80.139999,78.440002,79.410004,3507800,79.410004
"2021-03-22",78.989998,80.419998,78.800003,79.660004,2497100,79.660004
"2021-03-23",79.690002,80.809998,79.309998,79.769997,2390800,79.769997
"2021-03-24",80,80.93,79.660004,80.209999,2494500,80.209999
"2021-03-25",80.330002,80.800003,79.300003,80.550003,2758500,80.550003
"2021-03-26",80.75,82.410004,80.209999,82.300003,2784700,82.300003
"2021-03-29",82.139999,83.18,81.199997,82.43,2376100,82.43
"2021-03-30",82.089996,83.220001,81.970001,82.849998,3001400,82.849998
"2021-03-31",83.349998,84.330002,83.169998,83.639999,3567600,83.639999
"2021-04-01",83.980003,84.440002,83.120003,83.839996,2424100,83.839996
"2021-04-05",84.910004,86.239998,84.480003,85.739998,2555400,85.739998
"2021-04-06",85.199997,86.550003,85.190002,85.410004,2324600,85.410004
"2021-04-07",85.440002,85.989998,84.019997,84.120003,2549100,84.120003
"2021-04-08",84.879997,85.139999,84.029999,84.160004,2461200,84.160004
"2021-04-09",84.510002,86,83.800003,85.989998,2550800,85.989998
