"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume","MU.Adjusted"
"2021-02-03",81.849998,82.529999,78.970001,79.110001,17456000,78.65374
"2021-02-04",79.150002,81.339996,78.959999,81.25,11519700,80.781387
"2021-02-05",81.769997,82.019997,80.720001,81.099998,10958000,80.632263
"2021-02-08",81.75,84.059998,81.639999,84.010002,12394800,83.525482
"2021-02-09",83.349998,84,82.400002,83.32,10362500,82.839455
"2021-02-10",84,84.440002,81.300003,82.349998,9869200,81.875053
"2021-02-11",84.400002,86.639999,84,86.480003,18750400,85.981232
"2021-02-12",86.110001,88.32,85.459999,88.010002,14273900,87.502411
"2021-02-16",89.220001,89.220001,87.050003,87.739998,10312800,87.233955
"2021-02-17",86.690002,87.32,84.900002,86.050003,10033500,85.553711
"2021-02-18",86.519997,88.730003,85.959999,88.540001,19168100,88.029358
"2021-02-19",90.25,91.489998,88.809998,90.959999,21886500,90.435394
"2021-02-22",89.529999,90.519997,85.919998,86.279999,16077000,85.782379
"2021-02-23",85.239998,89.199997,82.440002,88.230003,23203200,87.721138
"2021-02-24",88.300003,92.599998,87.730003,92.519997,21281700,91.986397
"2021-02-25",91.519997,93.099998,87.580002,88.120003,22546200,87.611778
"2021-02-26",89.739998,92.940002,88.230003,91.529999,22787600,91.002098
"2021-03-01",94.540001,95.75,92.57,94.760002,19908900,94.213478
"2021-03-02",93.57,94.900002,90.900002,91.089996,18679600,90.564644
"2021-03-03",90.57,93.330002,88.389999,89.110001,26424100,88.596062
"2021-03-04",88.809998,89.75,81.849998,84.330002,31971100,83.843628
"2021-03-05",87.529999,89.32,83.300003,88.93,30329100,88.417091
"2021-03-08",88.57,89.720001,84.870003,85.050003,22708300,84.559479
"2021-03-09",88,90.18,86.300003,89.300003,22301400,88.784981
"2021-03-10",90.010002,90.010002,85.309998,85.410004,23407800,84.917404
"2021-03-11",87.589996,90.220001,86.849998,89.309998,20716500,88.794907
"2021-03-12",87.57,88.529999,86.43,87.769997,21916400,87.263786
"2021-03-15",87.769997,88.910004,86.139999,88.849998,16144400,88.337563
"2021-03-16",90.75,94.68,90.110001,91.43,28539000,90.902679
"2021-03-17",91.330002,95.489998,90.099998,94.760002,24616700,94.213478
"2021-03-18",92.970001,93.480003,89.410004,89.82,27081000,89.301971
"2021-03-19",90.360001,92.68,88.889999,90.510002,24963400,89.987991
"2021-03-22",91.830002,92.419998,89.650002,91.279999,19365800,90.753548
"2021-03-23",91.019997,91.269997,84.970001,85.400002,32043800,84.907463
"2021-03-24",87.059998,87.150002,82.919998,83,24232800,82.521301
"2021-03-25",81.139999,84.43,80.489998,84.089996,23630200,83.605011
"2021-03-26",84.160004,88.139999,84.029999,87.989998,23949100,87.482521
"2021-03-29",87.760002,88.25,85.769997,86.589996,21772800,86.090591
"2021-03-30",86.260002,87.220001,85.25,86.540001,13897000,86.040886
"2021-03-31",87.440002,89.080002,86.709999,88.209999,25372300,87.701263
"2021-04-01",93,94.379997,91.25,92.410004,39700600,91.877037
"2021-04-05",93.93,94.669998,92.470001,93.75,19795100,93.209297
"2021-04-06",93.839996,96.099998,92.660004,93.489998,22847000,92.950806
