"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2021-02-18",164.960007,166.160004,164.300003,165.740005,5189100,159.608963
"2021-02-19",165.600006,165.960007,162.910004,162.979996,8190900,156.951065
"2021-02-22",161.869995,162.539993,160.289993,161.869995,6447100,156.854156
"2021-02-23",161.479996,163.190002,160.399994,160.440002,7042800,155.468475
"2021-02-24",162.399994,164.389999,160.919998,162.589996,10286100,157.551849
"2021-02-25",163.130005,163.699997,161.990005,162.759995,9719700,157.716583
"2021-02-26",162,162.410004,157.970001,158.460007,14417500,153.54982
"2021-03-01",161.449997,161.529999,159.089996,159.320007,10551400,154.383163
"2021-03-02",159.779999,160.779999,158.600006,159.020004,7610900,154.092468
"2021-03-03",158.25,158.899994,156.059998,156.220001,8499600,151.379242
"2021-03-04",155.990005,156.100006,151.470001,153.070007,11033200,148.326859
"2021-03-05",153.979996,156.690002,153.130005,156.100006,8331600,151.26297
"2021-03-08",157,159.330002,155.979996,157.399994,6546700,152.522659
"2021-03-09",156.889999,160.75,156.889999,157.699997,7461300,152.81337
"2021-03-10",158.820007,159.899994,157.360001,159.149994,6635600,154.218445
"2021-03-11",159.539993,160.630005,158.919998,159.139999,6305600,154.208755
"2021-03-12",159.279999,160.309998,159.190002,159.600006,5474800,154.65451
"2021-03-15",159.75,160.660004,158.5,160.419998,5524100,155.449081
"2021-03-16",160.460007,161.679993,160.240005,161.369995,6369100,156.369659
"2021-03-17",160.830002,161.729996,159.529999,160.770004,6001400,155.788254
"2021-03-18",160.210007,161.490005,159.960007,160.470001,4801800,155.497543
"2021-03-19",160.690002,161.5,159.470001,160.039993,14891500,155.080872
"2021-03-22",158.309998,160.649994,158,160.5,7544100,155.526611
"2021-03-23",160.210007,161.199997,158.880005,160.350006,7178300,155.381256
"2021-03-24",160.100006,162.479996,159.820007,161.910004,6370100,156.892929
"2021-03-25",162.440002,162.449997,160.639999,161.970001,6269800,156.95105
"2021-03-26",162.089996,165.100006,161.380005,164.929993,7619200,159.819321
"2021-03-29",163.830002,167.029999,163.630005,166.039993,8535100,160.894943
"2021-03-30",165.020004,165.660004,164.229996,165.009995,7236300,159.896851
"2021-03-31",164.960007,165.389999,163.699997,164.350006,8281500,159.257309
"2021-04-01",162.600006,163.839996,162.259995,162.830002,7229700,157.784409
"2021-04-05",163.639999,164.75,162.660004,163.429993,7387100,158.365814
"2021-04-06",164.080002,164.520004,163,163.389999,5074200,158.327057
"2021-04-07",163.550003,164.279999,163.320007,163.610001,4608000,158.540253
"2021-04-08",164,164.110001,162.850006,162.970001,5039400,157.92009
"2021-04-09",162.119995,162.929993,159.779999,161.25,8418300,156.253372
"2021-04-12",161.089996,162.080002,160.339996,161.639999,5022800,156.631302
"2021-04-13",156.860001,159.929993,156.529999,159.479996,18424100,154.538223
"2021-04-14",157.830002,160.110001,157.539993,159.919998,7718300,154.964584
"2021-04-15",160.720001,162.389999,160.229996,160.389999,7524600,155.420029
"2021-04-16",161.339996,162.509995,160.559998,162.240005,9049400,157.212708
"2021-04-19",162.5,163.110001,160.839996,162.690002,8353500,157.648758
