"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2021-02-01",102.239998,103.709999,101.639999,103.059998,1782200,100.395027
"2021-02-02",104.309998,106.919998,103.639999,106.300003,1999800,103.551254
"2021-02-03",105.790001,106.150002,104.730003,104.730003,1606800,102.021858
"2021-02-04",105.440002,105.879997,102.849998,102.989998,2777000,100.326843
"2021-02-05",103.349998,105.889999,103.349998,105.339996,2266100,102.616058
"2021-02-08",104.82,105.110001,102.790001,103.360001,1947000,100.687271
"2021-02-09",103.410004,103.959999,102.25,103.120003,1598500,100.453484
"2021-02-10",103.779999,105.339996,102.989998,104.82,2005200,102.10952
"2021-02-11",104.75,105.980003,104.260002,105.480003,1791200,103.244949
"2021-02-12",105.449997,105.900002,104.529999,105.470001,1163800,103.235153
"2021-02-16",105.669998,106.18,104.970001,105.599998,1904300,103.362404
"2021-02-17",104.739998,105.43,103.949997,104.339996,2263200,102.129097
"2021-02-18",103.93,105.889999,103.93,105.370003,1485600,103.137276
"2021-02-19",105.529999,106.059998,104.93,105.129997,1726800,102.902359
"2021-02-22",104.419998,105.540001,103.760002,105.010002,2102700,102.784897
"2021-02-23",105.599998,106.730003,103.940002,104.650002,1795800,102.432526
"2021-02-24",104.57,105.07,103.709999,104.68,1704200,102.461899
"2021-02-25",104.650002,105.019997,103.879997,104.699997,1751800,102.481461
"2021-02-26",105.220001,105.279999,103.209999,103.529999,2018900,101.336258
"2021-03-01",104.010002,105.860001,103.970001,104.510002,1446300,102.295502
"2021-03-02",104.269997,105.489998,103.720001,104.739998,2450800,102.520615
"2021-03-03",104.769997,105.160004,103.480003,103.510002,1740700,101.316696
"2021-03-04",103.699997,104.349998,101.959999,103.57,1789200,101.375404
"2021-03-05",103.800003,104.800003,101.940002,104.330002,1638000,102.119308
"2021-03-08",104.5,105.440002,104.089996,104.139999,2036900,101.933334
"2021-03-09",104.480003,104.779999,102.650002,102.68,2502600,100.504265
"2021-03-10",103.199997,105.209999,102.800003,104.610001,1995500,102.393379
"2021-03-11",105.080002,105.779999,104.480003,104.629997,1846100,102.412956
"2021-03-12",104.93,105.410004,104.110001,104.809998,1562800,102.589134
"2021-03-15",105.239998,108.010002,105.120003,107.989998,1954900,105.701752
"2021-03-16",108,109.139999,107.620003,108.800003,2289500,106.494598
"2021-03-17",108.800003,111.68,108.260002,111.019997,2707800,108.667557
"2021-03-18",110.809998,110.970001,108.269997,108.309998,1645400,106.014969
"2021-03-19",108.480003,109.529999,107.57,107.959999,3184200,105.672394
"2021-03-22",107.779999,108.980003,107.629997,108.75,1915800,106.445656
"2021-03-23",107.959999,108.379997,107.449997,108,1473900,105.71154
"2021-03-24",108,108.839996,107.080002,107.080002,1198900,104.811035
"2021-03-25",107.080002,107.5,106.010002,107.379997,1430400,105.104683
"2021-03-26",107.949997,108.139999,106.290001,108.059998,1391400,105.770279
"2021-03-29",108,109.970001,107.080002,109.209999,1717900,106.895905
"2021-03-30",108.25,110.68,108.25,109.769997,1694000,107.444031
"2021-03-31",109.199997,109.480003,108.150002,108.18,1604400,105.887733
"2021-04-01",108.669998,109.970001,107.989998,109.800003,927800,107.473404
"2021-04-05",110.07,111.290001,109.949997,110.639999,1239200,108.295601
"2021-04-06",111.400002,114.699997,111.279999,114.080002,2280000,111.662704
"2021-04-07",113.760002,114.639999,113.589996,114.050003,1095600,111.633354
"2021-04-08",113.779999,114.669998,113.400002,114.660004,1216200,112.230423
"2021-04-09",114.779999,114.970001,113.599998,114.959999,1042100,112.524071
"2021-04-12",115,116.550003,114.989998,116.419998,1541900,113.953125
"2021-04-13",116.470001,117.989998,116.129997,117.449997,1462000,114.961311
"2021-04-14",117.529999,118.830002,117.43,118.160004,1353400,115.656258
"2021-04-15",118.470001,118.970001,117.25,117.610001,1243800,115.11792
"2021-04-16",118.639999,118.639999,117.720001,118.059998,1586500,115.558372
"2021-04-19",118.379997,118.709999,117.150002,117.709999,768500,115.215797
"2021-04-20",117.110001,118.080002,116.919998,117.959999,827500,115.460495
"2021-04-21",117.760002,118.269997,117.169998,117.449997,846600,114.961311
"2021-04-22",118.18,118.529999,117.480003,117.82,829600,115.323463
"2021-04-23",117.730003,118.190002,117.339996,117.720001,1097600,115.225578
"2021-04-26",117.949997,117.949997,115.360001,115.68,2121100,113.228806
"2021-04-27",116.040001,116.5,115.800003,116.410004,1082000,113.943336
"2021-04-28",115.910004,118.699997,115.5,117.57,1789700,115.078773
"2021-04-29",118,119.230003,117.739998,118.910004,2055800,116.390373
"2021-04-30",118.919998,119.919998,118.360001,119.519997,1863900,116.987434
"2021-05-03",120,120.68,119.93,119.980003,1087200,117.437698
"2021-05-04",119.910004,120.709999,119.139999,119.370003,1594300,116.840622
"2021-05-05",119.519997,121.389999,119.059998,121.089996,1428400,118.52417
"2021-05-06",121.849998,122.410004,120.57,121.290001,1190200,118.71994
"2021-05-07",121.269997,122.370003,121.099998,121.230003,1022400,118.661217
"2021-05-10",121.57,122.730003,121.290001,121.919998,1039200,119.336594
"2021-05-11",122.110001,122.110001,118.309998,119.150002,2750100,116.62529
"2021-05-12",118.779999,119.110001,116.919998,117.150002,1617100,114.667664
"2021-05-13",117.279999,118.779999,117.279999,118.089996,1470800,115.587738
"2021-05-14",118.379997,119.709999,118.349998,119.269997,1241900,116.742744
"2021-05-17",119.330002,119.489998,117.760002,118.650002,1181600,116.135872
"2021-05-18",118.970001,120.050003,118.919998,119.290001,1426300,116.762314
"2021-05-19",118.230003,119.059998,117.389999,118.709999,1624400,116.194603
"2021-05-20",118.82,120.269997,118.709999,119.940002,1242200,117.398552
"2021-05-21",120.25,120.550003,119.470001,119.709999,2184700,117.173416
"2021-05-24",120.160004,121.599998,119.980003,120.519997,1460300,117.966248
"2021-05-25",121,121.290001,120.360001,120.599998,1536200,118.044556
"2021-05-26",120.790001,120.93,120.029999,120.489998,2496500,117.93689
"2021-05-27",120.400002,120.489998,119.300003,120.089996,2226600,118.035179
"2021-05-28",120.099998,120.32,119.57,119.970001,1389600,117.917229
"2021-06-01",121,121,119.620003,119.900002,1242700,117.848427
"2021-06-02",120.010002,120.709999,119.139999,119.239998,2240600,117.199715
"2021-06-03",118.440002,119.029999,117.18,118.720001,1690100,116.688622
"2021-06-04",119.5,119.629997,118.260002,118.769997,1080500,116.737755
"2021-06-07",118.879997,119.129997,117.779999,118.32,1104500,116.295464
"2021-06-08",118.629997,119.959999,118.470001,119.059998,1448900,117.022797
"2021-06-09",119.160004,119.489998,117.480003,117.529999,2053000,115.518982
"2021-06-10",117.790001,118.720001,117.260002,118.709999,1310200,116.678787
"2021-06-11",119.019997,120.169998,118.889999,119.650002,2077900,117.602707
"2021-06-14",119.269997,119.550003,117.410004,118.059998,2266200,116.039917
"2021-06-15",118.199997,118.650002,117.730003,118.57,1177700,116.541191
"2021-06-16",118.879997,118.879997,117.25,118.139999,1394400,116.118553
"2021-06-17",118.139999,118.459999,116.32,116.839996,1215800,114.840782
"2021-06-18",115.720001,116.07,114.519997,114.639999,3951000,112.678436
"2021-06-21",115.5,116.830002,114.900002,116.760002,1486800,114.762161
"2021-06-22",117.099998,117.660004,116.410004,117.5,1293500,115.489502
"2021-06-23",117.529999,117.639999,116.809998,116.940002,1407600,114.939087
"2021-06-24",117.580002,117.940002,116.889999,116.989998,1706200,114.98822
"2021-06-25",116.699997,117.660004,116.519997,117.25,5229900,115.243774
"2021-06-28",116.900002,117.07,115.419998,116.110001,1662200,114.123276
"2021-06-29",116.480003,116.559998,115.419998,115.559998,1187000,113.582687
"2021-06-30",115.440002,115.879997,114.510002,115.029999,1474300,113.06176
"2021-07-01",115.489998,116.440002,115.360001,116.010002,1847500,114.024994
"2021-07-02",116.43,117.080002,116.029999,116.949997,867700,114.948914
"2021-07-06",117.440002,117.440002,115.629997,116.25,963300,114.26088
"2021-07-07",115.970001,117.900002,115.690002,117.82,1182400,115.804016
"2021-07-08",116.699997,117.860001,116.379997,117.32,1122700,115.312569
"2021-07-09",118.360001,118.849998,117.879997,118.580002,999900,116.551018
"2021-07-12",118.029999,118.260002,117.360001,117.870003,1001900,115.853157
"2021-07-13",117.68,117.720001,116.889999,117.089996,1140000,115.08651
"2021-07-14",117.209999,118.040001,116.919998,117.120003,931700,115.116005
"2021-07-15",116.809998,117.209999,116.089996,116.989998,1029800,114.98822
"2021-07-16",117.339996,117.519997,115.720001,115.849998,1055900,113.867722
"2021-07-19",114.489998,114.769997,112.150002,113.449997,2222400,111.508797
"2021-07-20",113.900002,116.43,113.540001,116.160004,1886400,114.172432
"2021-07-21",116.989998,117.849998,116.029999,116.769997,1566000,114.771988
"2021-07-22",117,120.449997,116.660004,120.260002,1989000,118.202278
