"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2021-10-05",105.059998,106,103.75,104.900002,5737200,104.589287
"2021-10-06",103.68,104.419998,102.059998,104.330002,7013900,104.020973
"2021-10-07",104.839996,106.529999,104.330002,105.510002,6656500,105.197479
"2021-10-08",105.370003,106.220001,104.660004,104.720001,4273600,104.409813
"2021-10-11",104.839996,105.760002,103.970001,104.080002,4121800,103.771713
"2021-10-12",103.559998,104.040001,101.559998,102.720001,8549600,102.415741
"2021-10-13",102.199997,103.199997,101.18,102.360001,7517000,102.056808
"2021-10-14",103.139999,103.650002,102.370003,102.739998,6139100,102.435677
"2021-10-15",103.650002,105.900002,103.190002,104.410004,5650300,104.100746
"2021-10-18",103.68,104.57,103.040001,104.120003,4145500,103.8116
"2021-10-19",104.580002,104.970001,103.580002,104.730003,4216400,104.419792
"2021-10-20",104.75,106.019997,103.870003,106,6107900,105.686028
"2021-10-21",105.760002,106.389999,103.010002,103.150002,7219600,102.844467
"2021-10-22",103.050003,104.510002,102.550003,104.050003,5355000,103.741806
"2021-10-25",103.639999,105.989998,103.330002,105.300003,6496200,104.988106
"2021-10-26",105.760002,110.970001,105.220001,107.440002,11701000,107.121765
"2021-10-27",107.879997,108.279999,103.690002,103.849998,8984300,103.542397
"2021-10-28",103.389999,105.379997,103.099998,105.260002,5910800,104.948219
"2021-10-29",104.949997,105.239998,104.120003,104.870003,5618700,104.55938
"2021-11-01",105.760002,106.769997,105.279999,106.230003,4887100,105.915352
"2021-11-02",106.339996,107.139999,105.300003,106.690002,4480800,106.373985
"2021-11-03",106.160004,106.339996,104.82,105.970001,4111700,105.656113
"2021-11-04",105.870003,106.400002,104.290001,105.209999,4675800,104.898369
"2021-11-05",106.93,109.650002,106.849998,108.739998,7602300,108.417908
"2021-11-08",109.400002,110.309998,108.32,108.419998,5174500,108.098854
"2021-11-09",114.730003,116.169998,110.480003,111.290001,25123700,110.960358
"2021-11-10",112.5,112.68,108.110001,108.959999,8692600,108.63726
"2021-11-11",108.550003,109.599998,106.779999,107,5512800,106.68306
"2021-11-12",107.400002,107.93,106.459999,107.589996,7625800,107.271309
"2021-11-15",108.029999,108.669998,106.199997,106.669998,6124900,106.354042
"2021-11-16",106.150002,106.209999,102.82,103.349998,11997700,103.043869
"2021-11-17",103.699997,103.879997,101.419998,101.989998,8307600,101.687897
"2021-11-18",101.43,101.800003,99.18,100.669998,8530900,100.371811
"2021-11-19",99.800003,100.739998,99.300003,99.959999,6603300,99.663918
"2021-11-22",100.470001,101.970001,100.279999,101.040001,6206600,100.740715
"2021-11-23",101.779999,102.209999,101.150002,102.080002,6011400,101.777641
"2021-11-24",101.860001,102.32,101.309998,102.230003,5572100,101.9272
"2021-11-26",96.660004,98.099998,95.510002,97.839996,8607600,97.550194
"2021-11-29",99.269997,100.43,96.830002,98.400002,9776600,98.108536
"2021-11-30",96.639999,97.43,94.470001,94.989998,11409400,94.708633
"2021-12-01",96.550003,96.889999,92.940002,93,8657100,92.724533
"2021-12-02",94.199997,95.779999,92.809998,95.230003,6094600,94.947937
"2021-12-03",95.129997,95.349998,91.730003,92.769997,8082800,92.495216
"2021-12-06",93.849998,96.889999,93.239998,96.010002,6679900,95.725616
"2021-12-07",96.599998,98.330002,96.300003,97.550003,5049000,97.261063
"2021-12-08",97.550003,98.940002,96.980003,98.279999,4756800,97.988892
"2021-12-09",97.769997,98.190002,97,97.830002,4066700,97.540222
"2021-12-10",98.089996,98.559998,96.449997,96.949997,4276300,96.662827
"2021-12-13",95.970001,96.400002,92.82,93.129997,7378600,92.854141
"2021-12-14",92.75,94.059998,91.720001,92.110001,7260800,91.837166
"2021-12-15",92.220001,92.410004,90.18,92.080002,7694500,91.807266
