"","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume","CINF.Adjusted"
"2020-11-11",87.290001,87.360001,83.370003,84.519997,820300,81.159187
"2020-11-12",84.040001,84.199997,82.18,82.989998,577300,79.690018
"2020-11-13",83.800003,84.93,77.370003,78.779999,2530800,75.647438
"2020-11-16",80.980003,81.550003,79.199997,79.839996,1315100,76.665276
"2020-11-17",79.010002,80.199997,76.690002,79.709999,940200,76.540459
"2020-11-18",79.699997,81.209999,79.160004,79.5,574000,76.338791
"2020-11-19",78.870003,78.870003,76.82,78.349998,829000,75.234535
"2020-11-20",78.309998,78.879997,77.120003,77.400002,825000,74.322311
"2020-11-23",78.089996,78.5,77.169998,77.629997,695000,74.543144
"2020-11-24",79.269997,80.470001,78.010002,79.559998,861600,76.396416
"2020-11-25",78.660004,79.099998,77.349998,78.529999,537700,75.407379
"2020-11-27",78.290001,79.410004,77.309998,77.809998,370500,74.715996
"2020-11-30",77.07,78.260002,75.5,76.349998,3184100,73.314056
"2020-12-01",77.889999,80.470001,77.080002,80,1108500,76.818924
"2020-12-02",79.599998,80.68,78.260002,79.93,858900,76.751701
"2020-12-03",79.639999,81.739998,79.260002,81.699997,860400,78.451324
"2020-12-04",81.889999,83.389999,81.739998,82.959999,886500,79.661217
"2020-12-07",81.980003,82.220001,79.790001,80.18,520700,76.99176
"2020-12-08",79.889999,81.639999,79.410004,81.260002,410000,78.028831
"2020-12-09",82.370003,82.580002,80.620003,81.330002,494400,78.096039
"2020-12-10",81.5,81.709999,80.43,80.970001,606500,77.750351
"2020-12-11",79.900002,81.029999,79.150002,80.169998,550800,76.982155
"2020-12-14",80.980003,82.389999,79.440002,79.610001,964300,76.44442
"2020-12-15",79.370003,81.580002,78.559998,80.93,805700,78.302086
"2020-12-16",80.870003,82.699997,80.610001,82.040001,998400,79.376045
"2020-12-17",82.400002,84.449997,82.199997,84.290001,912700,81.552986
"2020-12-18",84.879997,85.739998,82.57,83.040001,2524200,80.343567
"2020-12-21",83.019997,84.160004,81.440002,84.050003,829300,81.32077
"2020-12-22",83.629997,84.349998,83.059998,83.959999,4997500,81.233696
"2020-12-23",85.599998,87.900002,84.779999,85.709999,1220700,82.92688
"2020-12-24",85.720001,86.220001,84.209999,85.230003,226500,82.462463
"2020-12-28",85.309998,87.559998,85.160004,87.370003,585600,84.532974
"2020-12-29",88.330002,88.690002,86.120003,86.230003,727300,83.429985
"2020-12-30",86.139999,87.120003,86,86.459999,411600,83.652519
