"","FRC.Open","FRC.High","FRC.Low","FRC.Close","FRC.Volume","FRC.Adjusted"
"2021-06-24",184.5,185.830002,183.199997,185.190002,1138100,183.904373
"2021-06-25",186.740005,189.589996,185.539993,188.649994,610600,187.340317
"2021-06-28",187.910004,187.910004,184.460007,186.669998,825200,185.374069
"2021-06-29",188,189.289993,185.259995,185.960007,622900,184.669022
"2021-06-30",185.600006,187.830002,185.449997,187.169998,657200,185.870605
"2021-07-01",188.009995,189.820007,186.770004,189.759995,557000,188.442627
"2021-07-02",189.610001,191.339996,188.220001,190.550003,529400,189.227158
"2021-07-06",189.369995,190.550003,187.289993,189.270004,635600,187.956024
"2021-07-07",188.100006,191.160004,187.770004,189.580002,642300,188.26387
"2021-07-08",186.940002,188.149994,184.270004,186.449997,923800,185.155609
"2021-07-09",189.729996,194.929993,188.899994,194.490005,847300,193.139816
"2021-07-12",192.889999,198.089996,192.220001,196.990005,808400,195.622437
"2021-07-13",195.479996,199.699997,194.149994,196.940002,1180300,195.5728
"2021-07-14",197.029999,202.070007,195.009995,197.130005,883500,195.761475
"2021-07-15",195.399994,200,195.25,199.820007,968700,198.4328
"2021-07-16",200.330002,200.330002,194.100006,195.529999,950900,194.172562
"2021-07-19",191.929993,192.759995,187.169998,188.509995,898900,187.201294
"2021-07-20",187.789993,196.460007,187.789993,193.470001,784600,192.126892
"2021-07-21",194.570007,196.75,193.399994,196.089996,733300,194.728699
"2021-07-22",196.589996,197.199997,193.229996,194.570007,415600,193.219254
"2021-07-23",196,197.410004,194.949997,196.929993,425100,195.562851
"2021-07-26",197.089996,198.479996,194.110001,195.929993,381000,194.569794
"2021-07-27",194.380005,196.919998,193.770004,194.990005,587100,193.636322
"2021-07-28",195.210007,198.990005,194.380005,197.619995,526600,196.469727
"2021-07-29",198.690002,200.470001,197,198.509995,515000,197.354538
"2021-07-30",197.720001,199.490005,194.470001,195.020004,567400,193.884872
"2021-08-02",195.550003,198.320007,193.220001,194.080002,516800,192.950333
"2021-08-03",195.240005,196.889999,191.729996,196.309998,353700,195.167343
"2021-08-04",194.960007,197.559998,193.5,195.720001,444300,194.580795
"2021-08-05",196.25,199.240005,196,199.160004,338700,198.000778
"2021-08-06",201.470001,204.679993,200.479996,203.75,454400,202.564056
"2021-08-09",202.990005,204.220001,201.5,202.759995,699800,201.579803
"2021-08-10",197.449997,199.339996,196.669998,197.25,1835700,196.101883
"2021-08-11",198.789993,203.330002,197.300003,203.119995,1029200,201.937714
"2021-08-12",202.869995,204.210007,200.100006,200.160004,421200,198.994949
"2021-08-13",199.860001,200.539993,197.600006,198.850006,307600,197.692581
"2021-08-16",197.740005,201.100006,195.020004,201.089996,656900,199.919525
"2021-08-17",199.520004,200.419998,195,197.389999,634700,196.241074
"2021-08-18",196.160004,198.800003,194.770004,194.929993,603600,193.795395
"2021-08-19",193.270004,195.759995,192.410004,194.460007,669700,193.328125
"2021-08-20",194.160004,194.809998,191.020004,194.600006,485200,193.467331
"2021-08-23",195.899994,196.610001,194.619995,195.259995,340700,194.123474
"2021-08-24",196.089996,198.059998,196.089996,197.429993,407300,196.280838
"2021-08-25",198.300003,201.089996,197.610001,200.360001,548700,199.193787
"2021-08-26",201.160004,201.160004,198.039993,198.380005,355800,197.225311
"2021-08-27",199,203,198.929993,202.919998,587400,201.738876
"2021-08-30",202.990005,203,198.179993,198.190002,418200,197.036423
"2021-08-31",198.320007,199.610001,197.729996,198.940002,520100,197.782059
"2021-09-01",199.070007,199.839996,196.75,198.720001,410500,197.563339
"2021-09-02",199.669998,202.860001,198.639999,201.75,380700,200.575684
"2021-09-03",201.889999,203.460007,201.289993,202.130005,404700,200.953491
"2021-09-07",201.919998,202.860001,198.75,198.759995,444900,197.603073
"2021-09-08",197.910004,198.149994,195.800003,197.660004,337200,196.509506
"2021-09-09",197.970001,200.070007,197.270004,197.470001,496700,196.320602
"2021-09-10",199.059998,199.690002,197.399994,197.550003,593800,196.400146
"2021-09-13",200.070007,202.029999,198.509995,201.529999,586800,200.356964
"2021-09-14",201.520004,202.360001,198.619995,199.630005,484800,198.468033
"2021-09-15",200.070007,201.720001,199.25,200.570007,448300,199.402573
"2021-09-16",201.880005,202.919998,199.229996,200.919998,386500,199.750534
"2021-09-17",201.75,203.979996,199.509995,200.039993,1093000,198.875626
"2021-09-20",195.199997,196.630005,190.75,192.830002,837800,191.707626
"2021-09-21",194.210007,194.649994,191.429993,192.25,694900,191.130981
"2021-09-22",193.630005,194.910004,192.529999,192.639999,1112100,191.518707
"2021-09-23",194.809998,196.910004,193.529999,195.839996,1469300,194.700089
"2021-09-24",195.850006,198,195.190002,197.610001,993000,196.459793
"2021-09-27",199.600006,202.089996,198.720001,199.809998,777500,198.646973
"2021-09-28",199.360001,200.119995,191.910004,192.289993,882600,191.170746
"2021-09-29",193.389999,195.580002,192.300003,194.830002,907600,193.695969
"2021-09-30",195.479996,195.960007,192.139999,192.880005,705800,191.757324
"2021-10-01",193.789993,198.75,192.639999,197.800003,638600,196.648697
"2021-10-04",197.570007,199.5,194.509995,197.490005,692700,196.3405
"2021-10-05",199.100006,202.350006,198.029999,201.789993,590100,200.615463
"2021-10-06",200.630005,201.630005,197.660004,201.220001,744400,200.048782
"2021-10-07",203.380005,204.949997,202.009995,202.929993,999000,201.748825
"2021-10-08",201.770004,206.759995,200.910004,204.029999,584000,202.842422
"2021-10-11",205,207.669998,201.910004,201.929993,569700,200.754639
"2021-10-12",201.529999,203.449997,200.020004,200.729996,626900,199.56163
"2021-10-13",199.960007,206.830002,197.339996,204.850006,928300,203.657669
"2021-10-14",208.149994,210.820007,207.300003,210.339996,881600,209.115692
"2021-10-15",212.449997,212.75,209.050003,210.399994,901400,209.175339
"2021-10-18",209.410004,211.75,208.020004,208.720001,742100,207.505127
"2021-10-19",210.100006,211.600006,209.050003,211.119995,468800,209.891159
"2021-10-20",211.149994,213.490005,210.779999,212.520004,562500,211.283005
"2021-10-21",212.270004,215.300003,211,214.850006,849700,213.599442
"2021-10-22",216.160004,219.529999,215.710007,218.139999,614300,216.8703
"2021-10-25",218.690002,219.699997,215.389999,215.580002,499300,214.325211
"2021-10-26",216.089996,217.320007,215.199997,215.699997,488600,214.444504
"2021-10-27",214.240005,216.139999,211.639999,211.910004,686000,210.891663
"2021-10-28",212.550003,216.350006,212.550003,216.279999,486200,215.240662
"2021-10-29",216.460007,218.75,215.940002,216.330002,697800,215.290405
"2021-11-01",218.100006,219.029999,215.669998,216.779999,525700,215.738251
"2021-11-02",216.509995,219.339996,215.929993,217.669998,680000,216.623978
"2021-11-03",216.919998,221.800003,216.690002,219.699997,488000,218.644211
"2021-11-04",219.429993,220.039993,217.520004,219,669500,217.947601
"2021-11-05",220.619995,222,218.240005,219.050003,531000,217.997345
"2021-11-08",219.880005,221.130005,217.139999,218.529999,352300,217.479828
"2021-11-09",216.919998,219.399994,216.690002,219.320007,546400,218.266037
"2021-11-10",220.149994,221.259995,217.320007,219.630005,569100,218.574554
"2021-11-11",219.389999,220.339996,217.539993,219.850006,366300,218.793503
"2021-11-12",220.610001,221.279999,217.050003,219.160004,436100,218.106827
"2021-11-15",219.520004,220.75,218.580002,219.759995,483600,218.703918
"2021-11-16",219.839996,222.850006,218.600006,221.910004,577600,220.843597
"2021-11-17",221.460007,222.860001,218.539993,219.649994,490100,218.594452
"2021-11-18",219.800003,220.770004,216.889999,219.039993,477700,217.987381
"2021-11-19",216.960007,218.979996,214.850006,218.75,641200,217.698792
"2021-11-22",221.389999,222,217.089996,217.589996,854900,216.544357
"2021-11-23",218.320007,219.009995,214.940002,218.919998,799700,217.867966
"2021-11-24",218.550003,218.839996,215.970001,217.960007,1223200,216.912582
"2021-11-26",208.660004,213.740005,206.389999,211.229996,728000,210.21492
"2021-11-29",215.210007,217.360001,211.75,214.449997,743400,213.419434
"2021-11-30",212.729996,214.130005,209.029999,209.660004,1062700,208.652466
"2021-12-01",214.320007,216.270004,209.880005,209.899994,966400,208.891312
"2021-12-02",211.570007,216.869995,210.089996,215.589996,741600,214.553955
"2021-12-03",215.820007,215.990005,204.320007,206.369995,1349800,205.378281
"2021-12-06",209.649994,216.419998,208.729996,214.009995,866300,212.981567
"2021-12-07",216.190002,217.270004,212.690002,213.550003,860600,212.523788
"2021-12-08",213.460007,214.630005,211.360001,213.119995,694900,212.09584
"2021-12-09",211.660004,213.690002,209.610001,209.770004,819200,208.761948
"2021-12-10",211.789993,212.320007,207.839996,208.660004,1034100,207.657272
"2021-12-13",207.619995,207.869995,204.600006,205.309998,1247000,204.32338
"2021-12-14",205.380005,208.070007,203.070007,203.610001,1160200,202.631531
"2021-12-15",205.960007,206.970001,203.369995,205.779999,720000,204.791107
"2021-12-16",207.470001,210.240005,203.929993,204.570007,1064100,203.586945
"2021-12-17",204.110001,205.289993,198.419998,199.339996,2223500,198.382065
"2021-12-20",196.610001,197.479996,191.910004,196.190002,790300,195.247208
"2021-12-21",198.389999,200.880005,197.619995,200.710007,644400,199.745483
"2021-12-22",200.220001,202.380005,199.929993,201.919998,445900,200.949661
"2021-12-23",203.470001,205.820007,203.029999,203.910004,356300,202.930099
"2021-12-27",204.309998,207.410004,203.179993,207.289993,360500,206.293839
"2021-12-28",207.5,208.580002,206.509995,207.369995,360500,206.373474
"2021-12-29",207.509995,208.309998,205.770004,206.929993,598900,205.935577
"2021-12-30",207.520004,209.330002,206.479996,206.820007,311200,205.826126
"2021-12-31",206.190002,207.960007,205.669998,206.509995,296700,205.517609
"2022-01-03",206.679993,209.179993,194.570007,197.360001,2561700,196.411575
"2022-01-04",199.720001,204.770004,197.559998,202.619995,1515500,201.646286
"2022-01-05",203.210007,203.5,197.970001,197.970001,1018300,197.018646
"2022-01-06",200.470001,202.910004,198.169998,202.630005,936200,201.65625
"2022-01-07",203.669998,205,201.320007,204.059998,1034700,203.079376
"2022-01-10",205.020004,206.199997,198.449997,202.470001,998500,201.497009
